timestamps,eeg_1,eeg_2,eeg_3,eeg_4
1730001729.944085,827.9251194546827,806.4578148391852,687.9465680988587,805.1414190596313
1730001729.9580913,826.6061867008892,806.7243446275062,732.2366480919192,810.4047759950286
1730001729.963,826.1095479926186,806.9832944980284,739.4304788708101,810.2614821040003
1730001729.973667,827.4263448464487,807.2351290225694,690.2764102359579,802.5648437905206
1730001729.976034,831.3930007220221,807.6043604909942,594.7998550092511,789.9105945316562
1730001729.9799318,837.9554799131921,808.4292232351634,488.8262446832025,778.2769038852811
1730001729.9819152,845.7103119984349,810.0338422446597,412.13701568075055,773.3284799682705
1730001729.9838295,852.38597134268,812.1633515777665,380.0096798037529,776.6902417989901
1730001729.9877274,856.1982528049392,813.6070089028218,371.59860525773763,784.95692045552
1730001729.9892418,857.1694758943004,812.6664354587729,349.5215654248728,792.3530421497677
1730001729.9916253,857.2952541410904,808.4020873733982,297.2666386723987,794.962045229958
1730001729.9955232,859.1533229863016,801.6127300457905,240.45073639781242,793.020492587991
1730001729.9994211,863.7691339229094,794.4768842773244,228.77125623765312,789.5272747466943
1730001730.0008304,869.3945918655213,789.0231258121876,291.5405453354991,786.8578782659345
1730001730.003319,872.4657718040554,785.8464302769074,406.773549162229,784.8170395089429
1730001730.0048172,870.3417784335115,784.2730837515624,513.7882292142845,781.8415206459825
1730001730.0072167,863.7153166304832,783.6453289751685,559.9530882912019,777.7237396426065
1730001730.0111146,856.5136439247203,784.2583926526335,540.680722212706,774.7564611263599
1730001730.0150125,853.075171858459,786.9813025086432,498.1357821822818,775.9639619617168
1730001730.0189104,854.7514507066945,792.0642065447272,482.06904933488397,782.0779069827324
1730001730.0197456,858.6535195213992,798.4137317039969,509.33385849032743,790.1538463585771
1730001730.0203924,859.5223273541288,804.0185268387052,556.3945538042094,795.2337891580132
1730001730.0228083,853.2591638775492,807.0921781294417,586.1033237283642,793.8096776989428
1730001730.0267062,839.5374085328453,807.0203742449293,579.6547396628597,786.3590595214289
1730001730.030604,821.8190731216552,804.552630114316,544.9892388351219,776.9991934891507
1730001730.0345018,805.0952913760584,801.2757956934751,500.1264537841762,770.5495508469661
1730001730.0359678,793.1820056260245,798.7590575671213,454.4286844071461,769.2117351236083
1730001730.0383997,787.37605607317,797.827181587732,408.29451668924173,771.3291099531718
1730001730.0386608,786.9065935279888,798.304845457427,367.5404657432117,773.1826376199779
1730001730.0422976,790.1697126574189,799.3179809477015,350.96719169391537,772.488443674417
1730001730.0461955,795.4580054186732,799.9304073803086,378.1429843210389,770.713056985269
1730001730.0500932,800.8852640875174,799.7326840096752,448.6207962721635,771.9224590817637
1730001730.0515432,804.3317598133202,799.0819470432436,535.3615051552532,778.7199951515965
1730001730.0539913,804.2518408272446,798.8948818815155,601.1914989163379,788.796274940966
1730001730.057576,800.9929784812077,800.076487099547,624.0362174982873,795.6938211813617
1730001730.057889,797.1528939195036,802.8438889624804,609.3484890921292,793.8081122535442
1730001730.061787,795.9199388589129,806.386131218759,581.9051347832457,783.458952455366
1730001730.0656848,798.2855292157626,809.2505495558728,567.1331976071438,771.3528176867715
1730001730.0671184,801.6108851193611,810.3394756885227,577.0072334725096,765.8256355983641
1730001730.0695825,801.3137046866836,809.7594019433466,607.0143834035753,771.0313829803105
1730001730.0734804,794.6696753427881,808.7375532021586,641.0753269383149,784.9618645181249
1730001730.0764914,783.4872037864978,808.6435275498827,659.4392136476839,802.301539755214
1730001730.0773785,773.0818692153475,810.0146516823208,647.6995665036992,818.7730629420586
1730001730.0812762,768.1650600452323,812.3874345205027,605.6652232771935,833.000751542475
1730001730.0826938,769.0865739530365,814.8064919931891,551.2959634133574,845.0122977150444
1730001730.085174,771.7074677280851,816.2795021064765,513.5484782551783,853.7806321172944
1730001730.0890718,771.0997729533088,815.8687774381565,514.4931530825895,856.6381387740229
1730001730.0907636,765.9502150414284,812.8543984796128,551.9755169023429,851.1319995749062
1730001730.0929697,759.8861802623707,807.3375663450879,598.1642837477132,837.4425494955257
1730001730.0954063,758.5441506040013,800.8006948654695,618.9826107309382,819.0349294854865
1730001730.0968676,764.8407831453243,795.7109009298458,600.9319956075196,800.8674786296348
1730001730.098269,776.4503451177926,794.0313118142236,562.300328400582,786.5985509779906
1730001730.1007657,787.5941507056816,795.7438143036549,537.1799195198644,777.0062543195035
1730001730.1046634,793.538136421914,798.746883879393,545.501356083385,770.7107226184105
1730001730.1085613,793.9270793190826,800.3569003575994,576.9175712091578,766.3162789981924
1730001730.1124587,792.2802761337582,799.222294322072,604.1104192206171,764.0034728144235
1730001730.1138444,792.4952697851688,796.1505309072146,611.9462622999501,765.274966868453
1730001730.1143217,795.7314667125875,793.3551718950553,612.4005353792327,771.2304916587121
1730001730.1163568,800.2917096417225,792.9074632220778,629.5091172306667,780.8860989166755
1730001730.1202548,804.0637505594736,795.6154346114647,669.7671489436814,790.928165789079
1730001730.124153,806.7994864392206,800.9672902864286,709.1521312819617,797.3206067513255
1730001730.1256664,810.0072713070779,807.8215200084962,711.9105175625083,798.00124327206
1730001730.1280506,814.7123837696726,815.0139254531156,664.6030511989921,794.8968828719919
1730001730.1294198,819.3530761447846,821.358854040514,592.9684022244912,793.3169223739694
1730001730.1319482,819.9438731392795,825.3341896623436,544.0304075299782,798.2894929275108
1730001730.133237,812.6867074853222,825.2379053729846,547.3794023580156,810.1534064030039
1730001730.135846,797.140264488766,820.1759093526441,589.2654740677724,823.2969341552695
1730001730.139744,777.4617510779585,811.2036344138756,623.5695949076722,829.992831354792
1730001730.143642,760.5458027189383,801.3906505604583,612.1231327623005,826.7219807458921
1730001730.144995,752.1570220120052,794.272815988019,559.7373426178137,817.4800955462591
1730001730.14754,753.6951054392504,791.6134227607157,511.82034945011105,810.7592870903402
1730001730.1514375,761.8313708825386,792.237062271013,515.2578453057749,812.6042464743476
1730001730.152152,771.1354826666939,793.0093727362467,577.478805275819,821.8539772346943
1730001730.1553354,777.5619866668216,791.3040690743105,660.832090570369,831.659548239908
1730001730.159233,780.2004691490771,787.0284881030034,716.1768741948022,835.6108954498496
1730001730.1605692,780.4954822749568,782.6142956098432,723.4650187304526,832.8659177296895
1730001730.1605704,780.3283164064034,781.0469891268544,703.0975237865608,828.0213258358698
1730001730.1631312,780.7290411174364,783.5684841173834,691.450326664289,826.4190859080219
1730001730.1670291,781.7625941222709,788.8531437460066,706.3453276441992,829.4184872113889
1730001730.1709268,783.0528993466776,794.1811638724826,733.8078760102422,833.6485884271391
1730001730.1710672,784.2739649262679,797.5281089893846,744.9580440358042,834.3303801761517
1730001730.1748247,785.3265092113178,798.8409573031273,724.5795969659131,829.2953514324596
1730001730.1761458,786.2711947748495,799.5433993370991,684.5706533439323,820.3248006981117
1730001730.1787226,787.199658998489,800.835563385409,651.1370118745148,811.3015372163197
1730001730.1826203,788.1596182458425,802.3584634289481,639.1140858275929,805.3068513853839
1730001730.1865184,789.1500849415639,802.4403508943321,638.4252916821342,803.0354557247028
1730001730.1899824,790.149733265028,799.7309485110759,625.9002866909079,803.2292125758577
1730001730.1904163,791.1417968065551,794.7745369660781,591.0265980662496,804.1476183243257
1730001730.191721,792.1219210819197,790.0789881832942,550.2356738082017,804.7077758142021
1730001730.194314,793.0937838179578,788.5281577249852,535.3189616449497,804.7042581416564
1730001730.1954722,794.062194523627,791.4306861206883,566.8574684782537,804.4111659964527
1730001730.198212,795.0294228766476,797.7926791860243,637.3572297235439,804.1289976342689
1730001730.2021098,795.9952098808891,805.2823369348733,717.6729361290596,803.9790903736681
1730001730.2060077,796.9583551104587,811.8934509454075,777.5818120109462,803.9290657788263
1730001730.2072964,797.9179880245576,816.8788441325977,801.2182804811473,803.9004159456603
1730001730.2088976,798.8739058667612,820.4172780195449,788.2685023994827,803.8437660260372
1730001730.2099056,799.8262968618826,822.7057617152426,747.4457214158834,803.7530845802748
1730001730.2138033,800.7753753098352,823.541695488659,692.2929366746135,803.6447301592259
1730001730.2177012,801.7212182286825,822.7518151384957,640.4607344028332,803.5344620873435
1730001730.221599,802.6638047257425,820.8555586658865,610.0600931666294,803.4279362413572
1730001730.2228715,803.6031176149677,819.0843514722569,610.062246456288,803.3229343506741
1730001730.225497,804.5391751082482,818.5391228206331,631.2968205147641,803.2152433896862
1730001730.2278128,805.4719511614771,819.2001889794965,648.5991444269181,803.1024297572336
1730001730.229395,806.4012597766671,819.7947199848184,637.2969765803713,802.9843493598833
1730001730.2303753,807.326768061371,818.8352740905323,593.9787330165158,802.8619349804508
1730001730.2332926,808.2482795314227,816.035975320461,544.2131040190467,802.7360012362694
1730001730.2371905,809.1662068872993,812.8152388763094,527.2425279123094,802.606806832002
1730001730.238447,810.0817806919904,811.2759742029502,566.6066502313616,802.4742206926849
1730001730.2410884,810.9963378351592,812.4220376967814,650.5685706868411,802.3380459221306
1730001730.2449863,811.9095090652462,815.1729034031312,740.789815630701,802.1982017786265
1730001730.246728,812.8174854965265,817.1030718224861,802.8801346184054,802.0547122767975
1730001730.2488842,813.7139908666867,816.2472973226952,830.903889941233,801.9076011277419
