timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730218118.6069663,,,,,,,,,,1668937.8,1607692.2,,,,
1730218118.6130435,,,,,,,,,,,,,nan,112414360.0,nan
1730218118.6187787,,,,,,,0.0040283203,0.20684814,0.9658203,,,,,,
1730218118.6286669,,,,,,,,,,,,,nan,112429670.0,nan
1730218118.6337645,787.72894,810.696,813.1135,760.32965,nan,nan,,,,,,,,,
1730218118.6376665,,,,,,,0.0025634766,0.20758057,0.95910645,,,,,,
1730218118.6376667,822.7839,808.68134,812.3077,761.9414,nan,nan,,,,,,,,,
1730218118.6415689,813.91943,804.65204,811.9048,763.5531,nan,nan,,,,,,,,,
1730218118.6420674,,,,,,,,,,1668937.8,1607692.2,,,,
1730218118.6442902,,,,,,,,,,,,,nan,112415170.0,nan
1730218118.6454709,773.6264,803.8461,812.3077,761.9414,nan,nan,,,,,,,,,
1730218118.6493731,787.72894,811.0989,819.15753,762.74725,nan,nan,,,,,,,,,
1730218118.6532753,820.7692,796.5934,819.5604,770.80585,nan,nan,,,,,,,,,
1730218118.6565542,,,,,,,0.0087890625,0.20214844,0.9572754,,,,,,
1730218118.6571774,820.7692,792.5641,818.3516,776.8498,nan,nan,,,,,,,,,
1730218118.6599135,,,,,,,,,,,,,nan,112388570.0,nan
1730218118.6610796,784.10254,821.1722,824.3956,770.40295,nan,nan,,,,,,,,,
1730218118.6649818,786.1172,814.7253,822.381,763.5531,nan,nan,,,,,,,,,
1730218118.6688838,803.8461,796.99634,818.7546,757.50916,nan,nan,,,,,,,,,
1730218118.6727860,833.2601,814.3223,826.0073,770.40295,nan,nan,,,,,,,,,
1730218118.6754420,,,,,,,0.006652832,0.20574951,0.9585571,,,,,,
1730218118.6755366,,,,,,,,,,,,,nan,112386150.0,nan
1730218118.6766882,799.011,826.4103,823.9927,770.80585,nan,nan,,,,,,,,,
1730218118.6771686,,,,,,,,,,1668937.8,1607692.2,,,,
1730218118.6805904,783.69965,811.0989,819.15753,765.9707,nan,nan,,,,,,,,,
1730218118.6844926,801.4286,804.65204,815.5311,763.1502,nan,nan,,,,,,,,,
1730218118.6883948,827.2161,809.0842,813.5165,764.35895,nan,nan,,,,,,,,,
1730218118.6911600,,,,,,,,,,,,,nan,112406300.0,nan
1730218118.6922967,809.0842,807.47253,817.1429,766.77655,nan,nan,,,,,,,,,
1730218118.6943300,,,,,,,0.0024414062,0.20062256,0.96551514,,,,,,
1730218118.6961989,786.9231,803.0403,818.7546,764.35895,nan,nan,,,,,,,,,
1730218118.7001011,801.4286,794.17584,814.7253,757.50916,nan,nan,,,,,,,,,
1730218118.7040033,834.4689,813.1135,821.1722,764.35895,nan,nan,,,,,,,,,
1730218118.7067833,,,,,,,,,,,,,nan,112317656.0,nan
1730218118.7079055,834.0659,830.4396,821.1722,769.59705,nan,nan,,,,,,,,,
1730218118.7118077,791.75824,812.3077,816.337,764.35895,nan,nan,,,,,,,,,
1730218118.7122700,,,,,,,,,,1668131.9,1607692.2,,,,
1730218118.7132177,,,,,,,0.0016479492,0.20098877,0.96850586,,,,,,
1730218118.7157097,793.7729,805.05493,820.7692,755.4945,nan,nan,,,,,,,,,
1730218118.7196119,820.7692,813.5165,819.5604,752.674,nan,nan,,,,,,,,,
1730218118.7224066,,,,,,,,,,,,,nan,112250770.0,nan
1730218118.7235141,835.6777,809.89014,823.1868,767.1795,nan,nan,,,,,,,,,
1730218118.7274163,790.14655,798.60803,817.1429,762.3443,nan,nan,,,,,,,,,
1730218118.7313185,788.1319,805.05493,814.3223,766.3736,nan,nan,,,,,,,,,
1730218118.7321055,,,,,,,0.0021362305,0.20275879,0.97473145,,,,,,
1730218118.7352207,813.5165,818.7546,817.9487,761.9414,nan,nan,,,,,,,,,
1730218118.7380300,,,,,,,,,,,,,nan,112229816.0,nan
1730218118.7391226,840.10986,815.9341,819.15753,766.3736,nan,nan,,,,,,,,,
1730218118.7430248,802.6374,801.8315,817.1429,771.6117,nan,nan,,,,,,,,,
1730218118.7469270,776.8498,794.9817,809.0842,755.4945,nan,nan,,,,,,,,,
1730218118.7473712,,,,,,,,,,1668937.8,1607692.2,,,,
1730218118.7508292,792.5641,803.8461,808.68134,747.8388,nan,nan,,,,,,,,,
1730218118.7509933,,,,,,,0.0038452148,0.20153809,0.9672241,,,,,,
1730218118.7536533,,,,,,,,,,,,,nan,112195170.0,nan
1730218118.7547314,822.381,812.3077,814.7253,757.1062,nan,nan,,,,,,,,,
1730218118.7586336,812.71063,791.75824,815.5311,760.7326,nan,nan,,,,,,,,,
1730218118.7625356,780.87915,791.3553,815.5311,754.68866,nan,nan,,,,,,,,,
1730218118.7664378,786.52014,814.3223,810.696,749.0476,nan,nan,,,,,,,,,
1730218118.7692764,,,,,,,,,,,,,nan,112133920.0,nan
1730218118.7698810,,,,,,,-0.0030517578,0.2043457,0.97302246,,,,,,
1730218118.7703400,813.1135,809.89014,805.8608,751.4652,nan,nan,,,,,,,,,
1730218118.7742422,811.50183,807.8755,811.0989,764.35895,nan,nan,,,,,,,,,
1730218118.7781444,774.0293,809.4872,811.9048,765.9707,nan,nan,,,,,,,,,
1730218118.7820466,782.49084,810.696,812.71063,755.09155,nan,nan,,,,,,,,,
1730218118.7824724,,,,,,,,,,1668937.8,1607692.2,,,,
1730218118.7848997,,,,,,,,,,,,,nan,112116190.0,nan
1730218118.7859485,809.0842,806.6667,811.9048,757.1062,nan,nan,,,,,,,,,
1730218118.7887688,,,,,,,0.002380371,0.20025635,0.9713745,,,,,,
1730218118.7898507,827.619,802.6374,815.9341,771.6117,nan,nan,,,,,,,,,
