timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731697658.8798101,,,,,,,,,,,,,nan,203816700.0,nan
1731697658.8953795,,,,,,,,,,,,,nan,203837650.0,nan
1731697658.9027121,,,,,,,0.23254395,0.03869629,0.95751953,,,,,,
1731697658.9109488,,,,,,,,,,,,,nan,203902930.0,nan
1731697658.9215760,,,,,,,0.23638916,0.036499023,0.94525146,,,,,,
1731697658.9265182,,,,,,,,,,,,,nan,203893260.0,nan
1731697658.9307029,879.19415,808.68134,605.2015,812.71063,nan,nan,,,,,,,,,
1731697658.9345939,979.92676,834.0659,870.7326,862.674,nan,nan,,,,,,,,,
1731697658.9384847,790.14655,823.5897,787.326,810.696,nan,nan,,,,,,,,,
1731697658.9404402,,,,,,,0.2501831,0.036865234,0.9468994,,,,,,
1731697658.9420877,,,,,,,,,,,,,nan,203923070.0,nan
1731697658.9423757,703.91943,807.0696,527.8388,760.7326,nan,nan,,,,,,,,,
1731697658.9462664,840.10986,813.5165,552.8205,794.17584,nan,nan,,,,,,,,,
1731697658.9501574,1018.60803,823.5897,789.34064,871.53845,nan,nan,,,,,,,,,
1731697658.9540484,881.2088,822.7839,877.1795,844.94507,nan,nan,,,,,,,,,
1731697658.9576571,,,,,,,,,,,,,nan,203915820.0,nan
1731697658.9579391,674.90845,805.05493,571.3553,765.16486,nan,nan,,,,,,,,,
1731697658.9593041,,,,,,,0.25256348,0.039489746,0.9465332,,,,,,
1731697658.9618301,758.71796,790.14655,392.05127,790.14655,nan,nan,,,,,,,,,
1731697658.9657211,1014.57874,825.2015,846.1539,902.1612,nan,nan,,,,,,,,,
1731697658.9696119,965.0183,833.2601,1003.69965,898.5348,nan,nan,,,,,,,,,
1731697658.9732263,,,,,,,,,,,,,nan,203906160.0,nan
1731697658.9735029,620.10986,791.3553,515.34796,755.4945,nan,nan,,,,,,,,,
1731697658.9773936,664.43225,798.20514,388.02197,758.315,nan,nan,,,,,,,,,
1731697658.9781682,,,,,,,0.2578125,0.046936035,0.95025635,,,,,,
1731697658.9812846,1000.87915,840.5128,859.0476,892.49084,nan,nan,,,,,,,,,
1731697658.9851756,1062.5275,833.663,979.12085,933.9927,nan,nan,,,,,,,,,
1731697658.9887958,,,,,,,,,,,,,nan,203926300.0,nan
1731697658.9890664,633.8095,794.9817,520.58606,759.5238,nan,nan,,,,,,,,,
1731697658.9929574,595.5311,803.44324,452.49084,723.663,nan,nan,,,,,,,,,
1731697658.9968481,947.6923,827.2161,750.2564,858.6447,nan,nan,,,,,,,,,
1731697658.9970322,,,,,,,0.2541504,0.05029297,0.96209717,,,,,,
1731697659.0007391,1135.0549,835.6777,1028.6813,942.4542,nan,nan,,,,,,,,,
1731697659.0043652,,,,,,,,,,,,,nan,203836850.0,nan
1731697659.0046301,745.0183,789.34064,611.2454,794.57874,nan,nan,,,,,,,,,
1731697659.0085208,551.6117,778.0586,286.48352,699.0842,nan,nan,,,,,,,,,
1731697659.0124118,837.6923,830.4396,728.49817,796.5934,nan,nan,,,,,,,,,
1731697659.0158963,,,,,,,0.2501831,0.049560547,0.95721436,,,,,,
1731697659.0163028,1119.7435,837.6923,1033.1135,919.89014,nan,nan,,,,,,,,,
1731697659.0199347,,,,,,,,,,,,,nan,203786880.0,nan
1731697659.0201936,902.96704,816.7399,842.1245,851.79486,nan,nan,,,,,,,,,
1731697659.0240846,572.1612,805.05493,530.65936,711.5751,nan,nan,,,,,,,,,
1731697659.0279753,713.5897,814.3223,597.1429,754.2857,nan,nan,,,,,,,,,
1731697659.0318663,1016.1905,818.3516,852.1978,880.0,nan,nan,,,,,,,,,
1731697659.0347602,,,,,,,0.2397461,0.045776367,0.9619751,,,,,,
1731697659.0355039,,,,,,,,,,,,,nan,203879570.0,nan
1731697659.0357573,1001.28204,819.15753,948.9011,898.1319,nan,nan,,,,,,,,,
1731697659.0396481,668.0586,804.65204,696.6667,764.35895,nan,nan,,,,,,,,,
1731697659.0435390,669.67035,790.9524,512.1245,743.4066,nan,nan,,,,,,,,,
1731697659.0474300,902.5641,799.81683,614.0659,834.0659,nan,nan,,,,,,,,,
1731697659.0510733,,,,,,,,,,,,,nan,203827980.0,nan
1731697659.0513208,1018.20514,806.6667,691.8315,901.3553,nan,nan,,,,,,,,,
1731697659.0536244,,,,,,,0.23614502,0.041259766,0.9560547,,,,,,
1731697659.0552118,783.69965,810.696,706.7399,814.3223,nan,nan,,,,,,,,,
1731697659.0591025,688.60803,814.3223,672.0879,752.27106,nan,nan,,,,,,,,,
1731697659.0629935,832.4542,802.23444,547.1795,797.8022,nan,nan,,,,,,,,,
1731697659.0666428,,,,,,,,,,,,,nan,203861820.0,nan
1731697659.0668845,980.7326,812.71063,711.1722,867.9121,nan,nan,,,,,,,,,
