timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731305877.7854252,,,,,,,,,,1635091.6,1607692.2,,,,
1731305877.8074656,,,,,,,,,,,,,nan,119020810.0,nan
1731305877.8130314,824.7985,778.0586,517.3626,831.6484,nan,nan,,,,,,,,,
1731305877.8169365,827.619,782.0879,513.73627,840.10986,nan,nan,,,,,,,,,
1731305877.8203332,,,,,,,,,,1635091.6,1607692.2,,,,
1731305877.8208413,826.0073,784.10254,625.34796,829.2308,nan,nan,,,,,,,,,
1731305877.8230696,,,,,,,,,,,,,nan,119015970.0,nan
1731305877.8247464,826.0073,782.49084,605.2015,815.9341,nan,nan,,,,,,,,,
1731305877.8257546,,,,,,,-0.24975586,0.1026001,0.95233154,,,,,,
1731305877.8286512,821.978,784.90845,569.7436,808.68134,nan,nan,,,,,,,,,
1731305877.8325562,815.12823,782.49084,548.3883,805.05493,nan,nan,,,,,,,,,
1731305877.8364611,813.5165,782.49084,566.52014,796.5934,nan,nan,,,,,,,,,
1731305877.8386738,,,,,,,,,,,,,nan,119010330.0,nan
1731305877.8403661,819.15753,791.75824,611.6484,788.1319,nan,nan,,,,,,,,,
1731305877.8442712,815.12823,790.54944,447.65567,786.52014,nan,nan,,,,,,,,,
1731305877.8446667,,,,,,,-0.25170898,0.10290527,0.94921875,,,,,,
1731305877.8481760,812.3077,789.34064,478.6813,781.685,nan,nan,,,,,,,,,
1731305877.8520811,819.15753,788.93774,666.4469,772.01465,nan,nan,,,,,,,,,
1731305877.8542778,,,,,,,,,,,,,nan,118997430.0,nan
1731305877.8552413,,,,,,,,,,1635091.6,1607692.2,,,,
1731305877.8559859,816.7399,785.31134,579.41394,761.53845,nan,nan,,,,,,,,,
1731305877.8598909,816.7399,790.54944,564.5055,768.7912,nan,nan,,,,,,,,,
1731305877.8635788,,,,,,,-0.2487793,0.10644531,0.94976807,,,,,,
1731305877.8637958,820.3663,793.36993,653.1502,774.83514,nan,nan,,,,,,,,,
1731305877.8677008,815.9341,790.14655,614.87177,772.01465,nan,nan,,,,,,,,,
1731305877.8698819,,,,,,,,,,,,,nan,118950696.0,nan
1731305877.8716059,816.337,791.3553,508.49817,772.8205,nan,nan,,,,,,,,,
1731305877.8755107,816.7399,792.1612,492.38095,772.8205,nan,nan,,,,,,,,,
1731305877.8794158,818.7546,793.36993,556.4469,783.2967,nan,nan,,,,,,,,,
1731305877.8824906,,,,,,,-0.24871826,0.10028076,0.9525757,,,,,,
1731305877.8833206,821.5751,797.8022,654.7619,782.8938,nan,nan,,,,,,,,,
1731305877.8854859,,,,,,,,,,,,,nan,118975680.0,nan
1731305877.8872256,821.1722,793.36993,525.82416,776.8498,nan,nan,,,,,,,,,
1731305877.8901494,,,,,,,,,,1635091.6,1607692.2,,,,
1731305877.8911307,825.6044,788.5348,365.05493,790.14655,nan,nan,,,,,,,,,
1731305877.8950355,826.0073,788.93774,578.60803,790.9524,nan,nan,,,,,,,,,
1731305877.8989406,822.381,786.1172,670.4762,788.93774,nan,nan,,,,,,,,,
1731305877.9010901,,,,,,,,,,,,,nan,119018390.0,nan
