timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731304633.4190650,827.619,880.40295,651.9414,832.4542,nan,nan,,,,,,,,,
1731304633.4229677,828.8278,876.77655,657.1795,821.5751,nan,nan,,,,,,,,,
1731304633.4268703,858.6447,878.7912,658.7912,847.3626,nan,nan,,,,,,,,,
1731304633.4307728,855.82416,882.01465,651.13556,838.9011,nan,nan,,,,,,,,,
1731304633.4346755,821.1722,878.7912,643.0769,809.89014,nan,nan,,,,,,,,,
1731304633.4385781,815.5311,868.315,650.7326,827.619,nan,nan,,,,,,,,,
1731304633.4424808,838.9011,865.89746,657.5824,841.31866,nan,nan,,,,,,,,,
1731304633.4463835,840.9158,865.4945,661.6117,833.663,nan,nan,,,,,,,,,
1731304633.4502861,843.73627,867.1062,657.1795,841.7216,nan,nan,,,,,,,,,
1731304633.4541886,851.79486,864.2857,668.86444,832.4542,nan,nan,,,,,,,,,
1731304633.4580913,853.00366,865.89746,684.57874,830.0366,nan,nan,,,,,,,,,
1731304633.4617558,,,,,,,,,,,,,nan,81861760.0,nan
1731304633.4619939,849.3773,861.8681,682.5641,838.0952,nan,nan,,,,,,,,,
1731304633.4658966,855.82416,867.50916,678.93774,826.8132,nan,nan,,,,,,,,,
1731304633.4697993,843.73627,878.7912,683.36993,811.50183,nan,nan,,,,,,,,,
1731304633.4737020,831.6484,869.5238,687.8022,834.87177,nan,nan,,,,,,,,,
1731304633.4773333,,,,,,,,,,,,,nan,81840000.0,nan
1731304633.4776044,842.9304,864.2857,683.36993,861.4652,nan,nan,,,,,,,,,
1731304633.4815071,840.5128,860.2564,679.34064,839.304,nan,nan,,,,,,,,,
1731304633.4854097,840.5128,852.6007,678.1319,824.3956,nan,nan,,,,,,,,,
1731304633.4860559,,,,,,,-0.008056641,0.19268799,0.96643066,,,,,,
1731304633.4893124,836.4835,848.97437,676.52014,824.3956,nan,nan,,,,,,,,,
1731304633.4929106,,,,,,,,,,,,,nan,81840810.0,nan
1731304633.4932151,854.61536,849.3773,668.0586,850.18317,nan,nan,,,,,,,,,
1731304633.4971178,877.1795,850.18317,675.7143,863.0769,nan,nan,,,,,,,,,
1731304633.5010202,839.304,849.7802,691.8315,840.5128,nan,nan,,,,,,,,,
1731304633.5048890,,,,,,,-0.0099487305,0.19342041,0.95928955,,,,,,
1731304633.5049229,832.4542,852.1978,678.93774,834.87177,nan,nan,,,,,,,,,
1731304633.5084882,,,,,,,,,,,,,nan,81817430.0,nan
1731304633.5088255,852.6007,854.61536,680.54944,855.42126,nan,nan,,,,,,,,,
1731304633.5127282,849.7802,852.6007,692.6374,864.2857,nan,nan,,,,,,,,,
1731304633.5166309,843.73627,853.8095,687.3993,857.03296,nan,nan,,,,,,,,,
1731304633.5205333,841.7216,853.4066,678.1319,858.24176,nan,nan,,,,,,,,,
1731304633.5237222,,,,,,,-0.012329102,0.19274902,0.96014404,,,,,,
1731304633.5240655,,,,,,,,,,,,,nan,81876264.0,nan
1731304633.5244360,854.21246,847.3626,668.46155,865.89746,nan,nan,,,,,,,,,
1731304633.5283387,869.5238,844.94507,669.2674,859.0476,nan,nan,,,,,,,,,
1731304633.5322413,860.2564,849.7802,674.10254,854.61536,nan,nan,,,,,,,,,
1731304633.5361440,849.3773,848.5714,662.8205,846.55676,nan,nan,,,,,,,,,
1731304633.5396430,,,,,,,,,,,,,nan,81842420.0,nan
1731304633.5400467,857.4359,845.34796,651.13556,846.55676,nan,nan,,,,,,,,,
1731304633.5425553,,,,,,,-0.012145996,0.19177246,0.96258545,,,,,,
1731304633.5439491,862.674,846.9597,671.28204,849.3773,nan,nan,,,,,,,,,
1731304633.5478518,846.1539,841.31866,674.10254,839.707,nan,nan,,,,,,,,,
1731304633.5517545,840.9158,842.1245,656.77655,826.4103,nan,nan,,,,,,,,,
1731304633.5552204,,,,,,,,,,,,,nan,81818240.0,nan
1731304633.5556571,844.1392,847.76556,660.80585,834.4689,nan,nan,,,,,,,,,
1731304633.5595598,848.97437,843.73627,675.31134,854.61536,nan,nan,,,,,,,,,
1731304633.5613883,,,,,,,-0.014953613,0.1928711,0.96502686,,,,,,
1731304633.5634625,849.7802,850.58606,678.1319,847.76556,nan,nan,,,,,,,,,
1731304633.5673649,834.87177,848.97437,669.67035,836.08057,nan,nan,,,,,,,,,
1731304633.5707979,,,,,,,,,,,,,nan,81818240.0,nan
1731304633.5712676,830.0366,844.1392,672.8938,820.3663,nan,nan,,,,,,,,,
1731304633.5751703,837.6923,850.18317,680.14655,834.87177,nan,nan,,,,,,,,,
1731304633.5790730,856.63007,849.3773,679.34064,846.1539,nan,nan,,,,,,,,,
1731304633.5802214,,,,,,,-0.011474609,0.19561768,0.961853,,,,,,
1731304633.5829756,862.674,853.00366,674.5055,835.2747,nan,nan,,,,,,,,,
1731304633.5863752,,,,,,,,,,,,,nan,81831944.0,nan
1731304633.5868783,840.10986,856.63007,684.57874,832.4542,nan,nan,,,,,,,,,
1731304633.5907807,839.304,842.9304,703.5165,826.8132,nan,nan,,,,,,,,,
1731304633.5946834,853.8095,838.49817,702.71063,848.5714,nan,nan,,,,,,,,,
1731304633.5985861,851.79486,842.1245,699.4872,844.94507,nan,nan,,,,,,,,,
1731304633.5990546,,,,,,,-0.018310547,0.19543457,0.9622803,,,,,,
1731304633.6019528,,,,,,,,,,,,,nan,81813410.0,nan
