timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731653502.8417783,,,,,,,0.09326172,0.111206055,0.98083496,,,,,,
1731653502.8606946,,,,,,,0.08526611,0.0993042,0.9661865,,,,,,
1731653502.8796108,,,,,,,0.08026123,0.099243164,0.9751587,,,,,,
1731653502.8985271,,,,,,,0.083984375,0.097595215,0.97613525,,,,,,
1731653502.8990335,890.4762,805.4579,801.8315,872.3443,nan,nan,,,,,,,,,
1731653502.9029336,808.68134,809.89014,799.41394,815.9341,nan,nan,,,,,,,,,
1731653502.9068336,842.9304,812.71063,802.6374,857.8388,nan,nan,,,,,,,,,
1731653502.9107337,927.5458,808.68134,793.7729,914.65204,nan,nan,,,,,,,,,
1731653502.9146338,923.91943,810.696,799.81683,917.47253,nan,nan,,,,,,,,,
1731653502.9174433,,,,,,,0.085754395,0.09454346,0.97753906,,,,,,
1731653502.9185338,823.1868,812.3077,815.9341,867.50916,nan,nan,,,,,,,,,
1731653502.9224339,828.4249,807.47253,813.1135,863.47986,nan,nan,,,,,,,,,
1731653502.9263339,913.8461,801.02563,814.7253,908.20514,nan,nan,,,,,,,,,
1731653502.9302340,949.304,805.4579,813.91943,930.3663,nan,nan,,,,,,,,,
1731653502.9341340,865.4945,807.0696,816.337,884.43225,nan,nan,,,,,,,,,
1731653502.9363596,,,,,,,0.09033203,0.08758545,0.97906494,,,,,,
1731653502.9380341,834.0659,809.0842,812.3077,874.7619,nan,nan,,,,,,,,,
1731653502.9419341,890.07324,809.4872,808.68134,911.4286,nan,nan,,,,,,,,,
1731653502.9431367,,,,,,,,,,,,,nan,116459784.0,nan
1731653502.9458342,947.28937,803.0403,823.1868,924.7253,nan,nan,,,,,,,,,
1731653502.9471171,,,,,,,,,,1589157.5,1607692.2,,,,
1731653502.9497342,894.90845,803.8461,826.0073,892.0879,nan,nan,,,,,,,,,
1731653502.9536343,823.9927,811.0989,824.7985,867.1062,nan,nan,,,,,,,,,
1731653502.9552758,,,,,,,0.08917236,0.08911133,0.9848633,,,,,,
1731653502.9575343,870.7326,813.1135,825.6044,900.14655,nan,nan,,,,,,,,,
1731653502.9587264,,,,,,,,,,,,,nan,116433180.0,nan
1731653502.9614344,926.7399,810.293,817.1429,929.15753,nan,nan,,,,,,,,,
1731653502.9653344,903.7729,807.0696,807.8755,897.72894,nan,nan,,,,,,,,,
1731653502.9692345,820.7692,809.4872,801.8315,840.10986,nan,nan,,,,,,,,,
1731653502.9731345,843.3333,807.0696,805.8608,874.7619,nan,nan,,,,,,,,,
1731653502.9741921,,,,,,,0.1005249,0.08898926,0.98028564,,,,,,
1731653502.9743164,,,,,,,,,,,,,nan,116424320.0,nan
1731653502.9770346,923.1135,807.0696,815.9341,920.696,nan,nan,,,,,,,,,
1731653502.9809346,936.4103,808.68134,815.9341,919.4872,nan,nan,,,,,,,,,
1731653502.9819999,,,,,,,,,,1589157.5,1607692.2,,,,
1731653502.9848347,832.4542,802.23444,809.0842,867.9121,nan,nan,,,,,,,,,
1731653502.9887347,826.4103,800.2198,805.05493,854.61536,nan,nan,,,,,,,,,
1731653502.9899061,,,,,,,,,,,,,nan,116392900.0,nan
1731653502.9926348,893.2967,805.8608,806.6667,889.2674,nan,nan,,,,,,,,,
1731653502.9931083,,,,,,,0.103881836,0.08679199,0.9818115,,,,,,
1731653502.9965348,927.5458,810.293,808.68134,919.4872,nan,nan,,,,,,,,,
1731653503.0004349,844.94507,807.47253,795.78754,873.1502,nan,nan,,,,,,,,,
1731653503.0043349,797.3993,804.65204,794.17584,840.9158,nan,nan,,,,,,,,,
1731653503.0054958,,,,,,,,,,,,,nan,116313110.0,nan
1731653503.0082350,867.9121,800.2198,812.71063,875.56775,nan,nan,,,,,,,,,
1731653503.0120246,,,,,,,0.1083374,0.087524414,0.97320557,,,,,,
1731653503.0121350,924.3223,799.011,815.12823,893.69965,nan,nan,,,,,,,,,
1731653503.0160351,871.13556,804.2491,806.26373,861.06226,nan,nan,,,,,,,,,
1731653503.0168827,,,,,,,,,,1589157.5,1607692.2,,,,
1731653503.0199351,792.1612,805.4579,800.2198,836.4835,nan,nan,,,,,,,,,
1731653503.0210857,,,,,,,,,,,,,nan,116334870.0,nan
1731653503.0238352,839.304,802.6374,807.8755,872.74725,nan,nan,,,,,,,,,
1731653503.0277352,921.50183,805.4579,807.0696,902.96704,nan,nan,,,,,,,,,
1731653503.0309408,,,,,,,0.104003906,0.08758545,0.9795532,,,,,,
1731653503.0316353,895.7143,807.47253,806.6667,887.25275,nan,nan,,,,,,,,,
1731653503.0355353,789.34064,807.0696,804.2491,822.7839,nan,nan,,,,,,,,,
1731653503.0366755,,,,,,,,,,,,,nan,116296190.0,nan
1731653503.0394354,813.1135,805.4579,800.2198,830.4396,nan,nan,,,,,,,,,
1731653503.0433354,896.52014,804.65204,800.6227,882.01465,nan,nan,,,,,,,,,
1731653503.0472355,921.50183,810.696,797.8022,894.10254,nan,nan,,,,,,,,,
1731653503.0498571,,,,,,,0.10369873,0.088134766,0.9788208,,,,,,
1731653503.0511355,819.9634,803.44324,804.2491,832.4542,nan,nan,,,,,,,,,
1731653503.0517654,,,,,,,,,,1589157.5,1607692.2,,,,
1731653503.0522652,,,,,,,,,,,,,nan,116283300.0,nan
1731653503.0550356,796.99634,790.54944,808.2784,815.5311,nan,nan,,,,,,,,,
1731653503.0589356,864.2857,796.1905,805.05493,860.65936,nan,nan,,,,,,,,,
1731653503.0628357,894.10254,794.9817,806.6667,891.28204,nan,nan,,,,,,,,,
1731653503.0667357,827.2161,795.78754,809.0842,842.9304,nan,nan,,,,,,,,,
1731653503.0678551,,,,,,,,,,,,,nan,116309890.0,nan
1731653503.0687733,,,,,,,0.09729004,0.08483887,0.984375,,,,,,
1731653503.0706358,776.04395,803.44324,812.3077,815.12823,nan,nan,,,,,,,,,
1731653503.0745358,828.4249,804.65204,811.9048,854.61536,nan,nan,,,,,,,,,
1731653503.0784359,898.1319,805.05493,808.2784,875.9707,nan,nan,,,,,,,,,
1731653503.0823359,846.9597,804.2491,797.3993,840.10986,nan,nan,,,,,,,,,
1731653503.0834448,,,,,,,,,,,,,nan,116280070.0,nan
1731653503.0862360,747.03296,802.23444,793.7729,786.1172,nan,nan,,,,,,,,,
1731653503.0866482,,,,,,,,,,1589157.5,1607692.2,,,,
1731653503.0876896,,,,,,,0.09442139,0.08441162,0.9783325,,,,,,
