timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731655479.5604055,,,,,,,0.17370605,0.09283447,0.97283936,,,,,,
1731655479.5756991,788.93774,814.7253,800.6227,794.57874,nan,nan,,,,,,,,,
1731655479.5793333,,,,,,,0.17095947,0.09222412,0.97161865,,,,,,
1731655479.5796015,823.5897,809.89014,803.0403,819.5604,nan,nan,,,,,,,,,
1731655479.5835040,835.6777,789.34064,802.23444,825.6044,nan,nan,,,,,,,,,
1731655479.5874064,786.1172,784.90845,796.5934,787.326,nan,nan,,,,,,,,,
1731655479.5913088,772.4176,799.011,801.02563,782.49084,nan,nan,,,,,,,,,
1731655479.5952115,807.0696,805.4579,806.26373,813.5165,nan,nan,,,,,,,,,
1731655479.5982611,,,,,,,0.16699219,0.09057617,0.9725952,,,,,,
1731655479.5991139,842.9304,811.9048,809.89014,840.9158,nan,nan,,,,,,,,,
1731655479.6030164,817.5458,802.6374,811.50183,820.3663,nan,nan,,,,,,,,,
1731655479.6069188,789.34064,799.81683,803.44324,796.1905,nan,nan,,,,,,,,,
1731655479.6108212,806.6667,801.02563,805.05493,809.0842,nan,nan,,,,,,,,,
1731655479.6147237,834.4689,806.26373,807.8755,833.2601,nan,nan,,,,,,,,,
1731655479.6171892,,,,,,,0.17419434,0.089416504,0.9750366,,,,,,
1731655479.6186261,817.5458,810.696,805.8608,813.1135,nan,nan,,,,,,,,,
1731655479.6204338,,,,,,,,,,,,,nan,113712600.0,nan
1731655479.6225286,774.43225,800.2198,803.44324,792.1612,nan,nan,,,,,,,,,
1731655479.6264312,785.7143,801.02563,807.0696,803.44324,nan,nan,,,,,,,,,
1731655479.6303337,820.3663,799.81683,813.5165,813.5165,nan,nan,,,,,,,,,
1731655479.6342361,822.7839,804.2491,808.68134,809.89014,nan,nan,,,,,,,,,
1731655479.6359999,,,,,,,,,,,,,nan,113748860.0,nan
1731655479.6361170,,,,,,,0.17840576,0.09173584,0.9598999,,,,,,
1731655479.6381385,788.1319,806.6667,807.47253,798.20514,nan,nan,,,,,,,,,
1731655479.6420410,774.43225,799.81683,806.26373,791.3553,nan,nan,,,,,,,,,
1731655479.6459434,800.6227,796.99634,801.02563,797.3993,nan,nan,,,,,,,,,
1731655479.6498458,836.8865,803.0403,807.0696,818.3516,nan,nan,,,,,,,,,
1731655479.6515660,,,,,,,,,,,,,nan,113719860.0,nan
1731655479.6537483,792.1612,804.65204,812.3077,797.3993,nan,nan,,,,,,,,,
1731655479.6550448,,,,,,,0.18920898,0.09515381,0.95770264,,,,,,
1731655479.6576509,765.9707,804.2491,812.71063,779.2674,nan,nan,,,,,,,,,
1731655479.6615534,797.3993,808.68134,809.0842,795.78754,nan,nan,,,,,,,,,
1731655479.6654558,815.12823,811.9048,803.0403,809.4872,nan,nan,,,,,,,,,
1731655479.6671324,,,,,,,,,,,,,nan,113713410.0,nan
1731655479.6693583,796.1905,811.0989,802.6374,804.2491,nan,nan,,,,,,,,,
1731655479.6732607,786.1172,817.9487,807.8755,799.011,nan,nan,,,,,,,,,
1731655479.6739726,,,,,,,0.19018555,0.097229004,0.9616089,,,,,,
1731655479.6771631,801.02563,811.0989,803.44324,803.0403,nan,nan,,,,,,,,,
1731655479.6810656,828.4249,798.20514,794.17584,821.978,nan,nan,,,,,,,,,
1731655479.6826985,,,,,,,,,,,,,nan,113735170.0,nan
1731655479.6849680,821.5751,792.1612,797.3993,814.7253,nan,nan,,,,,,,,,
1731655479.6888707,777.6557,819.15753,797.8022,777.6557,nan,nan,,,,,,,,,
1731655479.6927731,784.90845,820.7692,808.68134,790.54944,nan,nan,,,,,,,,,
1731655479.6929004,,,,,,,0.18292236,0.09716797,0.9682617,,,,,,
1731655479.6966755,829.6337,798.20514,811.50183,818.3516,nan,nan,,,,,,,,,
1731655479.6982646,,,,,,,,,,,,,nan,113765784.0,nan
1731655479.7005780,838.49817,804.65204,798.60803,826.8132,nan,nan,,,,,,,,,
1731655479.7044804,792.1612,809.4872,801.02563,797.8022,nan,nan,,,,,,,,,
1731655479.7083828,780.07324,799.41394,806.6667,780.07324,nan,nan,,,,,,,,,
1731655479.7118285,,,,,,,0.18206787,0.097473145,0.9677124,,,,,,
1731655479.7122853,808.68134,797.3993,803.0403,809.89014,nan,nan,,,,,,,,,
1731655479.7138307,,,,,,,,,,,,,nan,113753700.0,nan
1731655479.7161877,841.7216,804.65204,799.81683,830.84247,nan,nan,,,,,,,,,
1731655479.7200902,812.71063,807.8755,810.696,806.26373,nan,nan,,,,,,,,,
1731655479.7239928,791.3553,820.3663,815.9341,800.2198,nan,nan,,,,,,,,,
1731655479.7278953,809.4872,811.9048,803.0403,806.6667,nan,nan,,,,,,,,,
1731655479.7293968,,,,,,,,,,,,,nan,113761760.0,nan
1731655479.7307563,,,,,,,0.17773438,0.10272217,0.96643066,,,,,,
1731655479.7317977,831.2454,801.02563,799.011,816.337,nan,nan,,,,,,,,,
1731655479.7357001,801.4286,808.68134,807.8755,810.696,nan,nan,,,,,,,,,
1731655479.7396026,774.43225,810.696,816.7399,791.75824,nan,nan,,,,,,,,,
1731655479.7435050,792.5641,801.8315,810.293,803.44324,nan,nan,,,,,,,,,
1731655479.7449629,,,,,,,,,,,,,nan,113785940.0,nan
1731655479.7474060,,,,,,,,,,1585934.1,1606886.5,,,,
1731655479.7474074,828.8278,795.38464,800.6227,828.8278,nan,nan,,,,,,,,,
1731655479.7496841,,,,,,,0.17254639,0.10308838,0.9692993,,,,,,
1731655479.7513099,826.4103,798.20514,799.011,825.6044,nan,nan,,,,,,,,,
1731655479.7552125,776.8498,800.6227,806.6667,794.9817,nan,nan,,,,,,,,,
1731655479.7591150,778.0586,799.41394,807.0696,795.78754,nan,nan,,,,,,,,,
1731655479.7605293,,,,,,,,,,,,,nan,113769010.0,nan
1731655479.7630174,814.7253,800.2198,804.65204,813.91943,nan,nan,,,,,,,,,
1731655479.7669199,827.2161,806.26373,806.6667,820.3663,nan,nan,,,,,,,,,
1731655479.7686119,,,,,,,0.16729736,0.103149414,0.9782715,,,,,,
1731655479.7708223,777.25275,805.05493,807.0696,795.38464,nan,nan,,,,,,,,,
1731655479.7747247,772.01465,805.8608,811.0989,800.6227,nan,nan,,,,,,,,,
1731655479.7760954,,,,,,,,,,,,,nan,113731140.0,nan
1731655479.7786272,808.68134,809.0842,817.9487,823.1868,nan,nan,,,,,,,,,
1731655479.7821879,,,,,,,,,,1585934.1,1606886.5,,,,
1731655479.7825296,830.0366,805.8608,812.71063,833.2601,nan,nan,,,,,,,,,
1731655479.7864323,792.96704,803.44324,805.05493,801.4286,nan,nan,,,,,,,,,
1731655479.7875397,,,,,,,0.16375732,0.09875488,0.9724121,,,,,,
1731655479.7903347,765.16486,802.6374,810.293,789.34064,nan,nan,,,,,,,,,
1731655479.7916615,,,,,,,,,,,,,nan,113732744.0,nan
1731655479.7942371,788.5348,798.20514,809.89014,813.1135,nan,nan,,,,,,,,,
1731655479.7981396,825.2015,798.60803,807.47253,819.5604,nan,nan,,,,,,,,,
1731655479.8020420,806.6667,797.3993,809.4872,808.68134,nan,nan,,,,,,,,,
1731655479.8059444,776.04395,800.6227,809.0842,794.17584,nan,nan,,,,,,,,,
1731655479.8064678,,,,,,,0.16748047,0.10058594,0.9621582,,,,,,
1731655479.8072276,,,,,,,,,,,,,nan,113723080.0,nan
1731655479.8098469,782.49084,810.293,804.65204,789.34064,nan,nan,,,,,,,,,
1731655479.8137493,817.5458,804.2491,799.011,814.7253,nan,nan,,,,,,,,,
1731655479.8169699,,,,,,,,,,1585934.1,1607692.2,,,,
1731655479.8176517,830.0366,798.20514,806.26373,830.0366,nan,nan,,,,,,,,,
1731655479.8215544,772.8205,807.8755,807.0696,788.1319,nan,nan,,,,,,,,,
1731655479.8227937,,,,,,,,,,,,,nan,113672300.0,nan
1731655479.8253956,,,,,,,0.16986084,0.099365234,0.9622803,,,,,,
1731655479.8254569,769.59705,796.5934,805.8608,781.28204,nan,nan,,,,,,,,,
1731655479.8293593,809.4872,787.72894,811.0989,818.7546,nan,nan,,,,,,,,,
1731655479.8332617,825.6044,802.6374,813.5165,826.8132,nan,nan,,,,,,,,,
1731655479.8371642,777.6557,803.0403,808.68134,790.14655,nan,nan,,,,,,,,,
1731655479.8383601,,,,,,,,,,,,,nan,113646520.0,nan
1731655479.8410666,761.13556,794.57874,807.47253,779.67035,nan,nan,,,,,,,,,
1731655479.8443234,,,,,,,0.16809082,0.10180664,0.96868896,,,,,,
1731655479.8449690,799.011,793.7729,809.4872,805.05493,nan,nan,,,,,,,,,
1731655479.8488715,832.0513,798.60803,811.0989,825.6044,nan,nan,,,,,,,,,
1731655479.8517518,,,,,,,,,,1585934.1,1606886.5,,,,
1731655479.8527741,799.41394,799.81683,814.3223,808.2784,nan,nan,,,,,,,,,
1731655479.8539262,,,,,,,,,,,,,nan,113611064.0,nan
1731655479.8566766,767.98535,795.38464,809.89014,792.96704,nan,nan,,,,,,,,,
1731655479.8605790,789.34064,790.14655,800.6227,804.2491,nan,nan,,,,,,,,,
1731655479.8632512,,,,,,,0.17468262,0.10058594,0.9713135,,,,,,
1731655479.8644814,837.28937,791.3553,805.4579,825.2015,nan,nan,,,,,,,,,
1731655479.8683839,824.3956,805.8608,807.0696,811.0989,nan,nan,,,,,,,,,
1731655479.8694923,,,,,,,,,,,,,nan,113639260.0,nan
1731655479.8722863,765.9707,803.0403,803.8461,779.67035,nan,nan,,,,,,,,,
1731655479.8761888,772.4176,790.14655,805.05493,779.67035,nan,nan,,,,,,,,,
1731655479.8800912,820.7692,800.2198,805.4579,811.0989,nan,nan,,,,,,,,,
1731655479.8821790,,,,,,,0.1743164,0.10418701,0.9650879,,,,,,
1731655479.8839939,832.4542,806.26373,809.4872,826.8132,nan,nan,,,,,,,,,
1731655479.8850584,,,,,,,,,,,,,nan,113611064.0,nan
1731655479.8865335,,,,,,,,,,1585934.1,1607692.2,,,,
1731655479.8878963,780.07324,799.011,809.4872,785.31134,nan,nan,,,,,,,,,
1731655479.8917987,761.9414,794.9817,802.23444,775.2381,nan,nan,,,,,,,,,
1731655479.8957012,804.2491,801.8315,806.26373,805.8608,nan,nan,,,,,,,,,
1731655479.8996036,829.6337,800.6227,802.23444,811.0989,nan,nan,,,,,,,,,
1731655479.9006245,,,,,,,,,,,,,nan,113609450.0,nan
1731655479.9011071,,,,,,,0.1772461,0.101745605,0.9626465,,,,,,
1731655479.9035060,784.5055,808.68134,797.3993,777.6557,nan,nan,,,,,,,,,
1731655479.9074085,764.7619,811.0989,797.8022,769.59705,nan,nan,,,,,,,,,
1731655479.9113109,791.3553,806.26373,801.02563,795.78754,nan,nan,,,,,,,,,
1731655479.9152136,835.2747,809.4872,807.47253,828.4249,nan,nan,,,,,,,,,
1731655479.9161906,,,,,,,,,,,,,nan,113616700.0,nan
1731655479.9191160,799.81683,798.60803,800.2198,796.5934,nan,nan,,,,,,,,,
1731655479.9200349,,,,,,,0.17333984,0.09820557,0.9696655,,,,,,
1731655479.9213154,,,,,,,,,,1585934.1,1606886.5,,,,
1731655479.9230185,758.315,792.1612,805.4579,764.35895,nan,nan,,,,,,,,,
1731655479.9269209,792.1612,805.4579,814.7253,796.5934,nan,nan,,,,,,,,,
1731655479.9308233,830.84247,797.3993,802.23444,823.1868,nan,nan,,,,,,,,,
1731655479.9317570,,,,,,,,,,,,,nan,113632824.0,nan
1731655479.9347258,817.9487,794.57874,801.4286,802.23444,nan,nan,,,,,,,,,
1731655479.9386282,772.01465,810.696,809.4872,777.25275,nan,nan,,,,,,,,,
1731655479.9389627,,,,,,,0.16992188,0.09918213,0.9686279,,,,,,
1731655479.9425306,778.46155,808.68134,809.4872,783.2967,nan,nan,,,,,,,,,
1731655479.9464331,824.3956,799.81683,809.4872,805.4579,nan,nan,,,,,,,,,
1731655479.9473231,,,,,,,,,,,,,nan,113627176.0,nan
1731655479.9503357,831.6484,801.4286,810.696,813.91943,nan,nan,,,,,,,,,
1731655479.9542382,785.31134,803.44324,803.44324,784.90845,nan,nan,,,,,,,,,
1731655479.9560974,,,,,,,,,,1585934.1,1606886.5,,,,
