timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731304741.2216988,837.28937,847.3626,688.60803,806.6667,nan,nan,,,,,,,,,
1731304741.2256021,832.0513,834.87177,601.978,804.2491,nan,nan,,,,,,,,,
1731304741.2295058,830.84247,828.022,648.315,826.4103,nan,nan,,,,,,,,,
1731304741.2334092,834.0659,830.4396,627.76556,838.9011,nan,nan,,,,,,,,,
1731304741.2373126,848.97437,845.7509,627.76556,832.0513,nan,nan,,,,,,,,,
1731304741.2381985,,,,,,,0.04168701,0.09320068,0.98236084,,,,,,
1731304741.2412159,867.9121,853.8095,538.315,836.08057,nan,nan,,,,,,,,,
1731304741.2451196,873.5531,855.42126,589.4872,853.4066,nan,nan,,,,,,,,,
1731304741.2477498,,,,,,,,,,,,,nan,72337290.0,nan
1731304741.2490230,874.7619,875.9707,819.9634,842.52747,nan,nan,,,,,,,,,
1731304741.2529263,863.8828,863.0769,673.2967,829.2308,nan,nan,,,,,,,,,
1731304741.2568300,834.87177,846.1539,561.28204,809.89014,nan,nan,,,,,,,,,
1731304741.2570496,,,,,,,0.03881836,0.09222412,0.98864746,,,,,,
1731304741.2607334,834.0659,850.989,684.57874,804.2491,nan,nan,,,,,,,,,
1731304741.2633333,,,,,,,,,,,,,nan,72313110.0,nan
1731304741.2646368,846.1539,844.94507,735.34796,813.1135,nan,nan,,,,,,,,,
1731304741.2685401,846.55676,832.8571,669.2674,813.5165,nan,nan,,,,,,,,,
1731304741.2724438,825.6044,819.15753,630.18317,789.34064,nan,nan,,,,,,,,,
1731304741.2759008,,,,,,,0.04071045,0.093566895,0.9828491,,,,,,
1731304741.2763472,816.337,819.9634,701.9048,783.69965,nan,nan,,,,,,,,,
1731304741.2789171,,,,,,,,,,,,,nan,72330040.0,nan
1731304741.2802505,830.84247,822.381,758.71796,806.26373,nan,nan,,,,,,,,,
1731304741.2841542,832.0513,809.89014,663.6264,801.4286,nan,nan,,,,,,,,,
1731304741.2880576,817.1429,806.26373,555.2381,790.54944,nan,nan,,,,,,,,,
1731304741.2919610,816.7399,811.9048,577.8022,784.10254,nan,nan,,,,,,,,,
1731304741.2945006,,,,,,,,,,,,,nan,72341320.0,nan
1731304741.2947519,,,,,,,0.04071045,0.08874512,0.973938,,,,,,
1731304741.2958643,825.6044,819.5604,717.2161,792.1612,nan,nan,,,,,,,,,
1731304741.2997680,834.87177,823.1868,674.5055,817.1429,nan,nan,,,,,,,,,
1731304741.3036714,838.9011,816.7399,520.18317,824.7985,nan,nan,,,,,,,,,
1731304741.3075747,835.6777,836.8865,684.17584,805.4579,nan,nan,,,,,,,,,
1731304741.3100841,,,,,,,,,,,,,nan,72355016.0,nan
1731304741.3114784,850.989,857.03296,759.12085,818.7546,nan,nan,,,,,,,,,
1731304741.3136029,,,,,,,0.042663574,0.087890625,0.97753906,,,,,,
1731304741.3153818,884.83514,859.0476,637.4359,857.8388,nan,nan,,,,,,,,,
1731304741.3192852,891.685,868.315,569.34064,870.7326,nan,nan,,,,,,,,,
1731304741.3231885,888.0586,888.86444,579.41394,864.2857,nan,nan,,,,,,,,,
1731304741.3256679,,,,,,,,,,,,,nan,72334870.0,nan
1731304741.3270922,910.2198,898.1319,538.315,878.3883,nan,nan,,,,,,,,,
1731304741.3309956,919.0842,893.2967,551.6117,902.1612,nan,nan,,,,,,,,,
1731304741.3324542,,,,,,,0.037597656,0.09161377,0.980896,,,,,,
1731304741.3348989,916.6667,898.1319,579.011,902.1612,nan,nan,,,,,,,,,
1731304741.3388026,893.2967,909.81683,547.1795,873.5531,nan,nan,,,,,,,,,
1731304741.3412514,,,,,,,,,,,,,nan,72391280.0,nan
1731304741.3427060,886.04395,910.2198,534.2857,846.55676,nan,nan,,,,,,,,,
1731304741.3466094,922.3077,889.2674,467.39926,885.2381,nan,nan,,,,,,,,,
1731304741.3505127,935.6044,896.52014,547.1795,902.5641,nan,nan,,,,,,,,,
1731304741.3513052,,,,,,,0.04107666,0.0892334,0.9807129,,,,,,
1731304741.3544164,898.93774,913.44324,687.8022,860.65936,nan,nan,,,,,,,,,
1731304741.3568349,,,,,,,,,,,,,nan,72348570.0,nan
1731304741.3583198,888.46155,897.326,588.68134,859.85345,nan,nan,,,,,,,,,
1731304741.3622231,905.38464,892.0879,589.89014,866.30035,nan,nan,,,,,,,,,
1731304741.3661268,904.57874,889.2674,612.8571,870.32965,nan,nan,,,,,,,,,
1731304741.3700302,898.93774,888.0586,554.83514,863.8828,nan,nan,,,,,,,,,
1731304741.3701563,,,,,,,0.044921875,0.08905029,0.9794922,,,,,,
1731304741.3724186,,,,,,,,,,,,,nan,72392090.0,nan
1731304741.3739336,909.81683,894.5055,525.42126,869.92676,nan,nan,,,,,,,,,
1731304741.3778369,912.23444,893.2967,540.32965,887.25275,nan,nan,,,,,,,,,
1731304741.3817406,906.1905,888.46155,593.1135,904.9817,nan,nan,,,,,,,,,
1731304741.3856440,893.2967,889.2674,662.01465,882.4176,nan,nan,,,,,,,,,
1731304741.3880022,,,,,,,,,,,,,nan,72362270.0,nan
1731304741.3890076,,,,,,,0.04309082,0.0927124,0.9777832,,,,,,
1731304741.3895473,865.09155,877.1795,620.9158,840.9158,nan,nan,,,,,,,,,
1731304741.3934510,863.47986,855.42126,555.2381,844.5421,nan,nan,,,,,,,,,
1731304741.3973544,865.89746,863.0769,750.2564,861.4652,nan,nan,,,,,,,,,
1731304741.4012578,863.8828,863.8828,707.1429,862.27106,nan,nan,,,,,,,,,
1731304741.4035857,,,,,,,,,,,,,nan,72370330.0,nan
1731304741.4051611,852.6007,843.73627,500.03662,847.76556,nan,nan,,,,,,,,,
1731304741.4078586,,,,,,,0.045288086,0.0914917,0.9838257,,,,,,
1731304741.4090648,828.022,830.4396,545.9707,825.6044,nan,nan,,,,,,,,,
1731304741.4129682,834.87177,836.8865,653.5531,828.8278,nan,nan,,,,,,,,,
1731304741.4168715,841.31866,830.4396,585.8608,842.52747,nan,nan,,,,,,,,,
1731304741.4187403,,,,,,,,,,1660879.1,1607692.2,,,,
1731304741.4191692,,,,,,,,,,,,,nan,72361464.0,nan
1731304741.4207752,825.2015,804.2491,491.5751,823.5897,nan,nan,,,,,,,,,
1731304741.4246786,819.15753,802.6374,498.02197,797.8022,nan,nan,,,,,,,,,
1731304741.4267097,,,,,,,0.049316406,0.09118652,0.97979736,,,,,,
1731304741.4285820,828.4249,812.71063,528.6447,809.0842,nan,nan,,,,,,,,,
1731304741.4324853,824.7985,811.9048,577.8022,829.2308,nan,nan,,,,,,,,,
1731304741.4347529,,,,,,,,,,,,,nan,72404180.0,nan
1731304741.4363890,815.12823,787.326,498.4249,827.2161,nan,nan,,,,,,,,,
1731304741.4402924,799.011,778.86444,561.685,794.9817,nan,nan,,,,,,,,,
1731304741.4441957,782.0879,794.57874,855.0183,768.3883,nan,nan,,,,,,,,,
1731304741.4455607,,,,,,,0.050964355,0.09106445,0.9881592,,,,,,
1731304741.4480994,783.69965,773.6264,974.2857,774.83514,nan,nan,,,,,,,,,
1731304741.4503365,,,,,,,,,,,,,nan,72374360.0,nan
1731304741.4520028,775.2381,759.12085,891.685,770.0,nan,nan,,,,,,,,,
1731304741.4535198,,,,,,,,,,1660879.1,1607692.2,,,,
1731304741.4559062,767.98535,759.5238,713.9927,753.47986,nan,nan,,,,,,,,,
1731304741.4598095,770.80585,760.32965,703.1135,757.9121,nan,nan,,,,,,,,,
1731304741.4637132,788.93774,767.1795,834.87177,779.67035,nan,nan,,,,,,,,,
1731304741.4644120,,,,,,,0.05053711,0.09246826,0.9871216,,,,,,
1731304741.4659200,,,,,,,,,,,,,nan,72392090.0,nan
1731304741.4676166,794.9817,774.43225,964.61536,779.67035,nan,nan,,,,,,,,,
1731304741.4715199,776.04395,776.4469,950.9158,768.3883,nan,nan,,,,,,,,,
1731304741.4754236,778.86444,765.16486,800.6227,763.1502,nan,nan,,,,,,,,,
1731304741.4793270,799.011,767.98535,898.93774,779.67035,nan,nan,,,,,,,,,
1731304741.4815037,,,,,,,,,,,,,nan,72371140.0,nan
1731304741.4832304,818.3516,772.4176,836.08057,810.293,nan,nan,,,,,,,,,
1731304741.4832630,,,,,,,0.053222656,0.08996582,0.9805908,,,,,,
1731304741.4871337,803.8461,772.8205,805.05493,778.86444,nan,nan,,,,,,,,,
1731304741.4882994,,,,,,,,,,1661685.0,1607692.2,,,,
1731304741.4910374,761.13556,761.13556,801.4286,745.0183,nan,nan,,,,,,,,,
1731304741.4949408,753.0769,738.97437,616.08057,755.89746,nan,nan,,,,,,,,,
1731304741.4970872,,,,,,,,,,,,,nan,72398536.0,nan
1731304741.4988441,775.64105,738.1685,616.08057,768.7912,nan,nan,,,,,,,,,
1731304741.5021141,,,,,,,0.054260254,0.09082031,0.97442627,,,,,,
1731304741.5027478,789.7436,752.674,607.2161,768.7912,nan,nan,,,,,,,,,
1731304741.5066512,754.68866,743.00366,536.30035,731.31866,nan,nan,,,,,,,,,
1731304741.5105546,740.58606,725.2747,562.0879,723.663,nan,nan,,,,,,,,,
1731304741.5126708,,,,,,,,,,,,,nan,72397730.0,nan
1731304741.5144579,761.53845,724.0659,599.9634,747.8388,nan,nan,,,,,,,,,
1731304741.5183616,762.3443,728.49817,581.02563,747.03296,nan,nan,,,,,,,,,
1731304741.5209653,,,,,,,0.047668457,0.09033203,0.9859009,,,,,,
1731304741.5222650,754.2857,740.58606,542.74725,726.08057,nan,nan,,,,,,,,,
1731304741.5230789,,,,,,,,,,1660879.1,1606886.5,,,,
1731304741.5261683,767.1795,755.09155,468.60806,733.73627,nan,nan,,,,,,,,,
1731304741.5282545,,,,,,,,,,,,,nan,72370330.0,nan
1731304741.5300720,773.22345,754.2857,469.81686,763.1502,nan,nan,,,,,,,,,
1731304741.5339754,759.5238,758.315,619.707,755.09155,nan,nan,,,,,,,,,
1731304741.5378788,734.5421,741.39197,523.00366,716.0073,nan,nan,,,,,,,,,
1731304741.5398164,,,,,,,0.044921875,0.09698486,0.98187256,,,,,,
1731304741.5417821,711.978,725.2747,470.6227,689.81683,nan,nan,,,,,,,,,
1731304741.5438380,,,,,,,,,,,,,nan,72376776.0,nan
1731304741.5456858,725.6777,729.707,600.7692,703.91943,nan,nan,,,,,,,,,
1731304741.5495892,749.0476,737.76556,613.2601,726.08057,nan,nan,,,,,,,,,
1731304741.5534925,746.63007,736.9597,559.2674,723.663,nan,nan,,,,,,,,,
1731304741.5573962,736.1539,738.5714,556.8498,709.5604,nan,nan,,,,,,,,,
1731304741.5578587,,,,,,,,,,1660879.1,1607692.2,,,,
1731304741.5586674,,,,,,,0.04638672,0.09326172,0.9830322,,,,,,
