timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731652752.2730415,,,,,,,,,,1596410.2,1607692.2,,,,
1731652752.2814734,,,,,,,,,,,,,nan,115352530.0,nan
1731652752.2970531,,,,,,,,,,,,,nan,115259050.0,nan
1731652752.3027694,,,,,,,0.08001709,0.070251465,0.96899414,,,,,,
1731652752.3080001,,,,,,,,,,1596410.2,1607692.2,,,,
1731652752.3126326,,,,,,,,,,,,,nan,115193780.0,nan
1731652752.3161337,761.9414,815.12823,813.5165,745.0183,nan,nan,,,,,,,,,
1731652752.3200333,784.90845,813.1135,814.7253,750.65936,nan,nan,,,,,,,,,
1731652752.3216152,,,,,,,0.08538818,0.07110596,0.9666748,,,,,,
1731652752.3239329,844.94507,814.7253,813.1135,769.19415,nan,nan,,,,,,,,,
1731652752.3278325,863.47986,810.293,811.50183,784.10254,nan,nan,,,,,,,,,
1731652752.3282123,,,,,,,,,,,,,nan,115142200.0,nan
1731652752.3317320,778.0586,803.8461,805.05493,747.4359,nan,nan,,,,,,,,,
1731652752.3356316,765.9707,800.2198,807.8755,746.63007,nan,nan,,,,,,,,,
1731652752.3395312,820.7692,805.05493,807.8755,774.0293,nan,nan,,,,,,,,,
1731652752.3404613,,,,,,,0.070129395,0.07055664,0.9841919,,,,,,
1731652752.3429587,,,,,,,,,,1596410.2,1606886.5,,,,
1731652752.3434308,871.53845,809.4872,802.23444,798.20514,nan,nan,,,,,,,,,
1731652752.3437917,,,,,,,,,,,,,nan,115159930.0,nan
1731652752.3473306,798.60803,803.8461,800.2198,763.95605,nan,nan,,,,,,,,,
1731652752.3512301,759.92676,805.4579,803.8461,736.55676,nan,nan,,,,,,,,,
1731652752.3551297,811.50183,810.696,815.12823,767.98535,nan,nan,,,,,,,,,
1731652752.3590293,877.5824,807.0696,813.1135,798.60803,nan,nan,,,,,,,,,
1731652752.3593071,,,,,,,0.06866455,0.06262207,0.97631836,,,,,,
1731652752.3593714,,,,,,,,,,,,,nan,115109960.0,nan
1731652752.3629289,833.2601,807.47253,807.8755,770.0,nan,nan,,,,,,,,,
1731652752.3668284,766.3736,807.0696,808.2784,743.4066,nan,nan,,,,,,,,,
1731652752.3707280,794.9817,801.4286,805.4579,759.5238,nan,nan,,,,,,,,,
1731652752.3746276,863.8828,808.2784,804.65204,792.5641,nan,nan,,,,,,,,,
1731652752.3749509,,,,,,,,,,,,,nan,115113990.0,nan
1731652752.3779173,,,,,,,,,,1596410.2,1607692.2,,,,
1731652752.3781528,,,,,,,0.076416016,0.064819336,0.9673462,,,,,,
1731652752.3785272,863.8828,811.0989,805.8608,799.41394,nan,nan,,,,,,,,,
1731652752.3824267,770.0,804.65204,805.4579,754.68866,nan,nan,,,,,,,,,
1731652752.3863263,773.6264,812.3077,803.0403,754.2857,nan,nan,,,,,,,,,
1731652752.3902259,827.2161,802.23444,797.8022,777.25275,nan,nan,,,,,,,,,
1731652752.3905306,,,,,,,,,,,,,nan,115053550.0,nan
1731652752.3941255,857.4359,793.7729,801.02563,788.5348,nan,nan,,,,,,,,,
1731652752.3969989,,,,,,,0.08666992,0.06561279,0.95306396,,,,,,
1731652752.3980250,780.07324,805.4579,807.0696,756.7033,nan,nan,,,,,,,,,
1731652752.4019248,754.2857,805.05493,809.4872,750.2564,nan,nan,,,,,,,,,
1731652752.4058244,807.8755,803.44324,806.26373,766.77655,nan,nan,,,,,,,,,
1731652752.4061100,,,,,,,,,,,,,nan,115126890.0,nan
1731652752.4097240,867.50916,809.4872,806.6667,796.5934,nan,nan,,,,,,,,,
1731652752.4128759,,,,,,,,,,1595604.4,1607692.2,,,,
1731652752.4136236,806.6667,810.696,808.2784,776.04395,nan,nan,,,,,,,,,
1731652752.4158447,,,,,,,0.08996582,0.0748291,0.9573364,,,,,,
1731652752.4175231,767.98535,806.6667,813.5165,756.30035,nan,nan,,,,,,,,,
1731652752.4214227,817.5458,804.65204,818.7546,776.04395,nan,nan,,,,,,,,,
1731652752.4216897,,,,,,,,,,,,,nan,115110770.0,nan
1731652752.4253223,861.06226,809.0842,812.71063,796.1905,nan,nan,,,,,,,,,
1731652752.4292219,823.9927,813.91943,813.1135,779.2674,nan,nan,,,,,,,,,
1731652752.4331214,765.9707,806.6667,806.6667,744.61536,nan,nan,,,,,,,,,
1731652752.4346905,,,,,,,0.090148926,0.08270264,0.9605713,,,,,,
1731652752.4370210,788.1319,806.6667,805.4579,757.50916,nan,nan,,,,,,,,,
1731652752.4372692,,,,,,,,,,,,,nan,115138170.0,nan
1731652752.4409206,843.3333,813.91943,812.3077,784.90845,nan,nan,,,,,,,,,
1731652752.4448202,858.24176,807.0696,815.5311,807.47253,nan,nan,,,,,,,,,
1731652752.4478345,,,,,,,,,,1595604.4,1607692.2,,,,
1731652752.4487197,781.28204,800.6227,818.3516,776.4469,nan,nan,,,,,,,,,
1731652752.4526193,783.69965,799.41394,813.91943,765.56775,nan,nan,,,,,,,,,
1731652752.4528489,,,,,,,,,,,,,nan,115119630.0,nan
1731652752.4535363,,,,,,,0.09375,0.091430664,0.9651489,,,,,,
1731652752.4565191,834.0659,801.4286,811.0989,791.3553,nan,nan,,,,,,,,,
1731652752.4604187,867.50916,810.696,818.7546,817.5458,nan,nan,,,,,,,,,
1731652752.4643183,795.78754,814.3223,813.91943,784.90845,nan,nan,,,,,,,,,
1731652752.4682178,763.1502,806.6667,801.4286,762.74725,nan,nan,,,,,,,,,
1731652752.4684286,,,,,,,,,,,,,nan,115125270.0,nan
1731652752.4721174,804.2491,807.0696,801.02563,780.07324,nan,nan,,,,,,,,,
1731652752.4723823,,,,,,,0.095947266,0.099731445,0.9755249,,,,,,
1731652752.4760170,862.27106,805.8608,804.2491,813.5165,nan,nan,,,,,,,,,
1731652752.4799166,826.8132,806.6667,810.696,803.44324,nan,nan,,,,,,,,,
1731652752.4827931,,,,,,,,,,1595604.4,1607692.2,,,,
1731652752.4838161,780.4762,799.81683,810.696,782.49084,nan,nan,,,,,,,,,
1731652752.4840081,,,,,,,,,,,,,nan,115147840.0,nan
1731652752.4877157,798.60803,801.8315,809.4872,787.72894,nan,nan,,,,,,,,,
1731652752.4912281,,,,,,,0.09899902,0.1048584,0.97540283,,,,,,
1731652752.4916153,849.3773,808.2784,811.0989,808.2784,nan,nan,,,,,,,,,
1731652752.4955149,846.1539,811.0989,819.15753,816.337,nan,nan,,,,,,,,,
1731652752.4994144,781.28204,807.47253,822.7839,789.34064,nan,nan,,,,,,,,,
1731652752.4995878,,,,,,,,,,,,,nan,115183300.0,nan
1731652752.5033140,784.5055,797.8022,809.89014,782.8938,nan,nan,,,,,,,,,
1731652752.5072136,831.6484,798.20514,800.6227,794.9817,nan,nan,,,,,,,,,
1731652752.5100739,,,,,,,0.09777832,0.10595703,0.9715576,,,,,,
1731652752.5111134,848.97437,795.78754,794.17584,804.65204,nan,nan,,,,,,,,,
1731652752.5150130,781.28204,796.99634,794.57874,780.87915,nan,nan,,,,,,,,,
1731652752.5151672,,,,,,,,,,,,,nan,115156700.0,nan
1731652752.5177519,,,,,,,,,,1596410.2,1607692.2,,,,
1731652752.5189126,782.49084,805.4579,795.38464,782.8938,nan,nan,,,,,,,,,
1731652752.5228121,827.2161,811.0989,801.4286,797.8022,nan,nan,,,,,,,,,
1731652752.5267117,862.27106,804.65204,811.0989,811.0989,nan,nan,,,,,,,,,
1731652752.5289199,,,,,,,0.09552002,0.10821533,0.96484375,,,,,,
1731652752.5306113,808.68134,798.20514,805.05493,792.1612,nan,nan,,,,,,,,,
1731652752.5307469,,,,,,,,,,,,,nan,115171210.0,nan
1731652752.5345109,780.4762,802.6374,810.696,785.31134,nan,nan,,,,,,,,,
1731652752.5384104,813.91943,803.0403,816.337,793.36993,nan,nan,,,,,,,,,
1731652752.5423100,865.09155,799.81683,803.44324,811.0989,nan,nan,,,,,,,,,
1731652752.5462096,828.022,801.4286,806.26373,798.60803,nan,nan,,,,,,,,,
1731652752.5463264,,,,,,,,,,,,,nan,115192160.0,nan
1731652752.5477657,,,,,,,0.09082031,0.10656738,0.9838257,,,,,,
1731652752.5501091,774.43225,804.65204,811.50183,765.9707,nan,nan,,,,,,,,,
1731652752.5527105,,,,,,,,,,1595604.4,1607692.2,,,,
1731652752.5540087,787.326,801.02563,806.26373,759.92676,nan,nan,,,,,,,,,
1731652752.5579083,845.7509,799.81683,809.89014,783.69965,nan,nan,,,,,,,,,
1731652752.5618079,843.73627,801.4286,812.3077,794.57874,nan,nan,,,,,,,,,
1731652752.5619061,,,,,,,,,,,,,nan,115207470.0,nan
1731652752.5657077,766.3736,801.4286,805.4579,763.5531,nan,nan,,,,,,,,,
1731652752.5666115,,,,,,,0.09118652,0.10394287,0.9916382,,,,,,
1731652752.5696073,777.25275,799.81683,802.23444,761.13556,nan,nan,,,,,,,,,
1731652752.5735068,836.08057,801.4286,809.0842,793.7729,nan,nan,,,,,,,,,
1731652752.5774064,864.68866,808.2784,815.5311,817.1429,nan,nan,,,,,,,,,
1731652752.5774856,,,,,,,,,,,,,nan,115171210.0,nan
1731652752.5813060,792.5641,811.0989,813.1135,789.7436,nan,nan,,,,,,,,,
1731652752.5852056,771.6117,814.7253,814.3223,767.98535,nan,nan,,,,,,,,,
1731652752.5854576,,,,,,,0.09710693,0.1015625,0.9953613,,,,,,
1731652752.5876691,,,,,,,,,,1595604.4,1606886.5,,,,
1731652752.5891051,811.9048,812.71063,809.4872,779.2674,nan,nan,,,,,,,,,
1731652752.5930047,858.6447,805.8608,812.71063,808.68134,nan,nan,,,,,,,,,
1731652752.5930653,,,,,,,,,,,,,nan,115230840.0,nan
1731652752.5969043,803.0403,808.2784,825.2015,787.326,nan,nan,,,,,,,,,
1731652752.6008039,763.5531,805.05493,821.5751,761.9414,nan,nan,,,,,,,,,
1731652752.6043034,,,,,,,0.10467529,0.10266113,0.9876709,,,,,,
1731652752.6047034,803.0403,814.3223,821.1722,770.40295,nan,nan,,,,,,,,,
1731652752.6086030,861.4652,816.337,818.3516,799.81683,nan,nan,,,,,,,,,
1731652752.6086447,,,,,,,,,,,,,nan,115225200.0,nan
1731652752.6125026,830.4396,809.89014,808.68134,795.78754,nan,nan,,,,,,,,,
1731652752.6164021,776.4469,815.12823,815.12823,771.2088,nan,nan,,,,,,,,,
1731652752.6203020,795.78754,810.696,812.71063,767.98535,nan,nan,,,,,,,,,
1731652752.6226277,,,,,,,,,,1596410.2,1606886.5,,,,
1731652752.6231492,,,,,,,0.11456299,0.10614014,0.97229004,,,,,,
1731652752.6242015,850.58606,803.0403,800.6227,796.5934,nan,nan,,,,,,,,,
1731652752.6242244,,,,,,,,,,,,,nan,115215530.0,nan
1731652752.6281011,850.989,801.8315,809.0842,815.12823,nan,nan,,,,,,,,,
1731652752.6320007,766.3736,802.23444,820.3663,774.43225,nan,nan,,,,,,,,,
1731652752.6359003,770.80585,812.3077,819.9634,763.5531,nan,nan,,,,,,,,,
1731652752.6397998,829.6337,815.5311,819.5604,785.7143,nan,nan,,,,,,,,,
1731652752.6398041,,,,,,,,,,,,,nan,115243736.0,nan
1731652752.6419950,,,,,,,0.12640381,0.10418701,0.9700928,,,,,,
1731652752.6436994,862.674,810.293,819.9634,799.011,nan,nan,,,,,,,,,
1731652752.6475990,794.17584,806.26373,823.1868,764.35895,nan,nan,,,,,,,,,
1731652752.6514986,773.6264,799.011,817.9487,753.47986,nan,nan,,,,,,,,,
1731652752.6553836,,,,,,,,,,,,,nan,115233260.0,nan
1731652752.6553981,815.12823,803.44324,808.68134,770.40295,nan,nan,,,,,,,,,
1731652752.6575863,,,,,,,,,,1596410.2,1606886.5,,,,
1731652752.6592977,866.30035,814.7253,810.293,796.99634,nan,nan,,,,,,,,,
1731652752.6608410,,,,,,,0.137146,0.1071167,0.9785156,,,,,,
1731652752.6631973,814.7253,814.7253,809.4872,774.83514,nan,nan,,,,,,,,,
1731652752.6670969,765.56775,807.8755,807.0696,753.0769,nan,nan,,,,,,,,,
1731652752.6709633,,,,,,,,,,,,,nan,115260660.0,nan
1731652752.6709964,792.1612,807.47253,806.6667,767.98535,nan,nan,,,,,,,,,
1731652752.6748962,859.45056,809.4872,811.9048,791.75824,nan,nan,,,,,,,,,
1731652752.6787958,847.76556,813.1135,820.3663,792.5641,nan,nan,,,,,,,,,
1731652752.6796868,,,,,,,0.13531494,0.09753418,0.98706055,,,,,,
1731652752.6826954,779.2674,813.91943,818.7546,759.5238,nan,nan,,,,,,,,,
