timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731654916.3935995,,,,,,,,,,,,,nan,111432020.0,nan
1731654916.4040306,807.0696,811.9048,801.02563,806.26373,nan,nan,,,,,,,,,
1731654916.4074130,,,,,,,0.1671753,0.1027832,0.97088623,,,,,,
1731654916.4079390,808.2784,810.293,801.02563,807.0696,nan,nan,,,,,,,,,
1731654916.4092002,,,,,,,,,,,,,nan,111397360.0,nan
1731654916.4118471,795.38464,805.4579,795.38464,800.2198,nan,nan,,,,,,,,,
1731654916.4157555,794.9817,808.2784,794.17584,801.02563,nan,nan,,,,,,,,,
1731654916.4196637,805.4579,815.5311,796.5934,808.2784,nan,nan,,,,,,,,,
1731654916.4235721,810.293,813.5165,796.99634,815.5311,nan,nan,,,,,,,,,
1731654916.4248006,,,,,,,,,,,,,nan,111408650.0,nan
1731654916.4262934,,,,,,,0.16119385,0.09765625,0.9765625,,,,,,
1731654916.4274805,799.011,814.7253,801.8315,823.1868,nan,nan,,,,,,,,,
1731654916.4313886,799.41394,811.50183,803.44324,823.9927,nan,nan,,,,,,,,,
1731654916.4352970,804.2491,801.8315,801.02563,815.9341,nan,nan,,,,,,,,,
1731654916.4392054,811.9048,803.0403,802.6374,814.3223,nan,nan,,,,,,,,,
1731654916.4404013,,,,,,,,,,,,,nan,111373990.0,nan
1731654916.4431136,804.2491,812.3077,805.05493,813.5165,nan,nan,,,,,,,,,
1731654916.4451737,,,,,,,0.15863037,0.08856201,0.97094727,,,,,,
1731654916.4470220,799.011,815.5311,800.6227,817.1429,nan,nan,,,,,,,,,
1731654916.4509301,801.4286,810.696,799.011,815.9341,nan,nan,,,,,,,,,
1731654916.4548385,809.89014,809.0842,803.44324,819.5604,nan,nan,,,,,,,,,
1731654916.4560020,,,,,,,,,,,,,nan,111308720.0,nan
1731654916.4587469,805.4579,808.68134,807.0696,819.15753,nan,nan,,,,,,,,,
1731654916.4626551,795.38464,803.44324,807.8755,807.47253,nan,nan,,,,,,,,,
1731654916.4640541,,,,,,,0.16003418,0.08581543,0.9727783,,,,,,
1731654916.4665635,793.36993,803.44324,805.8608,802.23444,nan,nan,,,,,,,,,
1731654916.4704716,796.5934,805.8608,805.4579,801.4286,nan,nan,,,,,,,,,
1731654916.4716027,,,,,,,,,,,,,nan,111294216.0,nan
1731654916.4743800,811.0989,810.696,805.8608,812.71063,nan,nan,,,,,,,,,
1731654916.4782884,806.26373,812.3077,802.23444,810.696,nan,nan,,,,,,,,,
1731654916.4821966,802.6374,806.26373,797.8022,799.81683,nan,nan,,,,,,,,,
1731654916.4829345,,,,,,,0.16027832,0.083862305,0.96313477,,,,,,
1731654916.4861050,807.8755,803.0403,800.2198,795.78754,nan,nan,,,,,,,,,
1731654916.4872031,,,,,,,,,,,,,nan,111301464.0,nan
1731654916.4900131,807.47253,802.23444,805.4579,807.8755,nan,nan,,,,,,,,,
1731654916.4933455,,,,,,,,,,1587545.8,1607692.2,,,,
1731654916.4939215,794.9817,802.23444,804.65204,814.7253,nan,nan,,,,,,,,,
1731654916.4978299,799.41394,803.8461,797.8022,813.1135,nan,nan,,,,,,,,,
1731654916.5017381,801.8315,803.44324,795.78754,806.6667,nan,nan,,,,,,,,,
1731654916.5018151,,,,,,,0.16802979,0.0881958,0.9644165,,,,,,
1731654916.5028038,,,,,,,,,,,,,nan,111222490.0,nan
1731654916.5056465,815.12823,802.6374,805.05493,815.9341,nan,nan,,,,,,,,,
1731654916.5095549,815.5311,798.20514,807.8755,817.1429,nan,nan,,,,,,,,,
1731654916.5134630,794.17584,799.41394,801.8315,807.0696,nan,nan,,,,,,,,,
1731654916.5173714,795.78754,802.23444,799.81683,810.696,nan,nan,,,,,,,,,
