timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730218923.4583833,,,,,,,,,,,,,nan,105284104.0,nan
1730218923.4740000,,,,,,,,,,,,,nan,105285710.0,nan
1730218923.4896166,,,,,,,,,,,,,nan,105275240.0,nan
1730218923.5052335,,,,,,,,,,,,,nan,105255090.0,nan
1730218923.5208502,,,,,,,,,,,,,nan,105249450.0,nan
1730218923.5253975,799.011,803.8461,797.8022,794.17584,nan,nan,,,,,,,,,
1730218923.5293009,794.57874,811.0989,807.0696,790.14655,nan,nan,,,,,,,,,
1730218923.5332043,797.8022,805.8608,803.8461,795.38464,nan,nan,,,,,,,,,
1730218923.5364668,,,,,,,,,,,,,nan,105272020.0,nan
1730218923.5371077,812.3077,805.8608,805.4579,806.26373,nan,nan,,,,,,,,,
1730218923.5393736,,,,,,,0.09515381,0.22631836,0.9647217,,,,,,
1730218923.5410111,816.337,811.50183,808.68134,812.71063,nan,nan,,,,,,,,,
1730218923.5449145,810.696,816.7399,808.2784,821.978,nan,nan,,,,,,,,,
1730218923.5488179,805.8608,811.0989,802.6374,822.7839,nan,nan,,,,,,,,,
1730218923.5520835,,,,,,,,,,,,,nan,105263960.0,nan
1730218923.5527213,802.23444,799.011,794.17584,810.293,nan,nan,,,,,,,,,
1730218923.5566247,815.5311,802.23444,796.1905,818.3516,nan,nan,,,,,,,,,
1730218923.5582528,,,,,,,0.09539795,0.22406006,0.9621582,,,,,,
1730218923.5605280,808.2784,810.293,803.0403,819.5604,nan,nan,,,,,,,,,
1730218923.5644314,799.81683,810.696,796.99634,814.7253,nan,nan,,,,,,,,,
1730218923.5677001,,,,,,,,,,,,,nan,105279260.0,nan
1730218923.5683348,808.2784,808.2784,798.20514,820.3663,nan,nan,,,,,,,,,
1730218923.5722382,809.0842,803.8461,810.293,810.293,nan,nan,,,,,,,,,
1730218923.5761416,808.2784,807.47253,806.6667,813.5165,nan,nan,,,,,,,,,
1730218923.5771317,,,,,,,0.087890625,0.22711182,0.95080566,,,,,,
1730218923.5800450,799.011,812.71063,805.05493,821.1722,nan,nan,,,,,,,,,
1730218923.5833170,,,,,,,,,,,,,nan,105273624.0,nan
1730218923.5839484,800.2198,811.0989,811.0989,823.5897,nan,nan,,,,,,,,,
1730218923.5878518,806.6667,809.0842,801.8315,804.2491,nan,nan,,,,,,,,,
1730218923.5917552,814.7253,809.0842,800.2198,795.78754,nan,nan,,,,,,,,,
1730218923.5956585,805.05493,803.44324,806.6667,811.0989,nan,nan,,,,,,,,,
1730218923.5960109,,,,,,,0.09075928,0.2298584,0.9508667,,,,,,
1730218923.5989337,,,,,,,,,,,,,nan,105297800.0,nan
1730218923.5995619,801.02563,806.26373,809.0842,800.6227,nan,nan,,,,,,,,,
1730218923.6034653,809.4872,809.89014,805.8608,791.3553,nan,nan,,,,,,,,,
