timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731654032.8890588,,,,,,,,,,,,,nan,112245940.0,nan
1731654032.9046667,,,,,,,,,,,,,nan,112233850.0,nan
1731654032.9202743,,,,,,,,,,,,,nan,112224984.0,nan
1731654032.9353976,798.60803,801.02563,776.4469,790.14655,nan,nan,,,,,,,,,
1731654032.9358821,,,,,,,,,,,,,nan,112274940.0,nan
1731654032.9393013,813.1135,811.50183,780.4762,801.8315,nan,nan,,,,,,,,,
1731654032.9432046,803.8461,802.23444,788.93774,799.41394,nan,nan,,,,,,,,,
1731654032.9471083,791.75824,787.72894,794.17584,796.5934,nan,nan,,,,,,,,,
1731654032.9510117,816.7399,796.5934,799.41394,816.7399,nan,nan,,,,,,,,,
1731654032.9514897,,,,,,,,,,,,,nan,112275750.0,nan
1731654032.9527817,,,,,,,,,,1585934.1,1606886.5,,,,
1731654032.9549153,823.5897,788.93774,808.68134,807.47253,nan,nan,,,,,,,,,
1731654032.9588187,796.99634,796.5934,799.41394,776.8498,nan,nan,,,,,,,,,
1731654032.9627223,763.95605,807.8755,784.5055,760.7326,nan,nan,,,,,,,,,
1731654032.9666257,768.7912,792.5641,782.49084,756.7033,nan,nan,,,,,,,,,
1731654032.9670975,,,,,,,,,,,,,nan,112259630.0,nan
1731654032.9705293,787.326,804.2491,774.83514,763.95605,nan,nan,,,,,,,,,
1731654032.9721084,,,,,,,0.19464111,0.1038208,0.96307373,,,,,,
1731654032.9744327,798.60803,808.68134,776.04395,775.2381,nan,nan,,,,,,,,,
1731654032.9783363,761.13556,798.60803,786.1172,752.27106,nan,nan,,,,,,,,,
1731654032.9822397,743.4066,793.7729,793.36993,751.8681,nan,nan,,,,,,,,,
1731654032.9827051,,,,,,,,,,,,,nan,112303960.0,nan
1731654032.9861434,749.85345,795.38464,800.2198,765.56775,nan,nan,,,,,,,,,
1731654032.9876668,,,,,,,,,,1585934.1,1607692.2,,,,
1731654032.9900467,778.0586,795.78754,794.9817,778.0586,nan,nan,,,,,,,,,
1731654032.9909456,,,,,,,0.19403076,0.101623535,0.9682007,,,,,,
1731654032.9939504,777.25275,799.011,790.9524,775.64105,nan,nan,,,,,,,,,
1731654032.9978538,758.315,797.8022,787.72894,766.3736,nan,nan,,,,,,,,,
1731654032.9983130,,,,,,,,,,,,,nan,112237870.0,nan
1731654033.0017574,766.3736,802.23444,785.31134,771.2088,nan,nan,,,,,,,,,
1731654033.0056608,798.20514,808.2784,787.326,783.69965,nan,nan,,,,,,,,,
1731654033.0095644,807.8755,819.9634,787.326,792.96704,nan,nan,,,,,,,,,
1731654033.0097828,,,,,,,0.19104004,0.09692383,0.97094727,,,,,,
1731654033.0134678,785.7143,809.4872,786.9231,786.1172,nan,nan,,,,,,,,,
1731654033.0139205,,,,,,,,,,,,,nan,112244320.0,nan
1731654033.0173714,797.8022,785.7143,784.10254,790.54944,nan,nan,,,,,,,,,
1731654033.0212748,806.26373,808.2784,783.69965,793.7729,nan,nan,,,,,,,,,
1731654033.0225518,,,,,,,,,,1586739.9,1606886.5,,,,
1731654033.0251784,813.91943,805.8608,787.72894,799.41394,nan,nan,,,,,,,,,
1731654033.0286200,,,,,,,0.19140625,0.09112549,0.97283936,,,,,,
