timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731654246.9391143,817.1429,808.68134,813.5165,806.6667,nan,nan,,,,,,,,,
1731654246.9430285,809.4872,805.4579,812.3077,802.6374,nan,nan,,,,,,,,,
1731654246.9469428,783.69965,807.8755,811.50183,798.20514,nan,nan,,,,,,,,,
1731654246.9508569,787.326,808.68134,813.91943,805.05493,nan,nan,,,,,,,,,
1731654246.9547713,812.3077,807.0696,809.0842,812.3077,nan,nan,,,,,,,,,
1731654246.9586854,823.9927,808.2784,802.23444,813.5165,nan,nan,,,,,,,,,
1731654246.9625998,787.72894,810.293,801.02563,793.36993,nan,nan,,,,,,,,,
1731654246.9665139,778.0586,812.3077,799.41394,781.28204,nan,nan,,,,,,,,,
1731654246.9704280,800.6227,803.0403,805.4579,783.2967,nan,nan,,,,,,,,,
1731654246.9743423,828.022,805.05493,813.91943,809.0842,nan,nan,,,,,,,,,
1731654246.9782565,806.26373,816.7399,806.6667,805.8608,nan,nan,,,,,,,,,
1731654246.9821708,776.04395,806.26373,793.36993,773.22345,nan,nan,,,,,,,,,
1731654246.9860849,790.54944,801.4286,794.57874,783.69965,nan,nan,,,,,,,,,
1731654246.9899993,815.9341,811.50183,805.05493,803.0403,nan,nan,,,,,,,,,
1731654246.9939134,819.15753,818.3516,808.68134,799.81683,nan,nan,,,,,,,,,
1731654246.9978275,789.7436,816.337,802.6374,780.87915,nan,nan,,,,,,,,,
1731654247.0017419,788.93774,811.9048,805.4579,786.1172,nan,nan,,,,,,,,,
1731654247.0056560,807.8755,808.2784,800.2198,799.41394,nan,nan,,,,,,,,,
1731654247.0095704,810.696,808.2784,799.81683,797.8022,nan,nan,,,,,,,,,
1731654247.0134845,784.10254,811.50183,805.05493,786.52014,nan,nan,,,,,,,,,
1731654247.0173988,781.28204,806.6667,796.5934,784.5055,nan,nan,,,,,,,,,
1731654247.0213130,809.89014,813.5165,805.8608,801.4286,nan,nan,,,,,,,,,
1731654247.0252271,834.87177,818.3516,819.5604,817.1429,nan,nan,,,,,,,,,
1731654247.0291414,799.81683,801.02563,808.68134,795.78754,nan,nan,,,,,,,,,
1731654247.0330555,785.31134,804.2491,801.4286,782.8938,nan,nan,,,,,,,,,
1731654247.0369699,800.6227,817.9487,801.8315,787.72894,nan,nan,,,,,,,,,
1731654247.0408840,819.5604,813.91943,800.2198,789.34064,nan,nan,,,,,,,,,
1731654247.0417817,,,,,,,,,,1587545.8,1607692.2,,,,
1731654247.0447984,810.696,808.2784,802.23444,791.75824,nan,nan,,,,,,,,,
1731654247.0487125,791.3553,806.26373,802.23444,795.38464,nan,nan,,,,,,,,,
1731654247.0526266,791.75824,801.02563,805.05493,797.3993,nan,nan,,,,,,,,,
1731654247.0527270,,,,,,,0.15563965,0.0993042,0.9645996,,,,,,
1731654247.0565410,801.4286,794.17584,803.0403,799.41394,nan,nan,,,,,,,,,
1731654247.0604551,796.99634,797.8022,802.23444,801.4286,nan,nan,,,,,,,,,
1731654247.0607715,,,,,,,,,,,,,nan,112171790.0,nan
1731654247.0643694,780.87915,807.0696,810.696,799.41394,nan,nan,,,,,,,,,
1731654247.0682836,783.69965,811.0989,804.65204,800.6227,nan,nan,,,,,,,,,
1731654247.0715466,,,,,,,0.16168213,0.097839355,0.96539307,,,,,,
1731654247.0721979,798.60803,808.68134,800.2198,800.6227,nan,nan,,,,,,,,,
1731654247.0761120,808.2784,803.8461,796.99634,801.4286,nan,nan,,,,,,,,,
1731654247.0763335,,,,,,,,,,,,,nan,112241900.0,nan
1731654247.0766668,,,,,,,,,,1587545.8,1606886.5,,,,
1731654247.0800261,787.326,805.8608,794.9817,802.23444,nan,nan,,,,,,,,,
1731654247.0839405,786.1172,802.6374,796.99634,811.9048,nan,nan,,,,,,,,,
1731654247.0878546,792.5641,796.5934,800.2198,808.2784,nan,nan,,,,,,,,,
1731654247.0903661,,,,,,,0.16827393,0.093566895,0.9714966,,,,,,
1731654247.0917690,800.6227,797.8022,804.2491,806.6667,nan,nan,,,,,,,,,
1731654247.0918956,,,,,,,,,,,,,nan,112202420.0,nan
1731654247.0956831,789.7436,803.44324,804.65204,800.6227,nan,nan,,,,,,,,,
1731654247.0995975,780.87915,800.6227,801.8315,787.326,nan,nan,,,,,,,,,
1731654247.1035116,790.54944,794.57874,799.41394,779.67035,nan,nan,,,,,,,,,
1731654247.1074257,809.0842,801.8315,798.20514,790.9524,nan,nan,,,,,,,,,
1731654247.1074576,,,,,,,,,,,,,nan,112235460.0,nan
1731654247.1091855,,,,,,,0.17706299,0.10083008,0.9658203,,,,,,
1731654247.1113400,805.8608,809.4872,794.9817,802.6374,nan,nan,,,,,,,,,
1731654247.1115518,,,,,,,,,,1587545.8,1606886.5,,,,
1731654247.1152542,786.1172,802.23444,793.36993,791.75824,nan,nan,,,,,,,,,
1731654247.1191685,787.72894,802.6374,798.60803,791.75824,nan,nan,,,,,,,,,
1731654247.1230197,,,,,,,,,,,,,nan,112262050.0,nan
1731654247.1230826,807.0696,811.9048,803.0403,809.0842,nan,nan,,,,,,,,,
1731654247.1269970,806.26373,809.0842,805.8608,805.05493,nan,nan,,,,,,,,,
1731654247.1280050,,,,,,,0.18310547,0.10131836,0.9744873,,,,,,
