timestamps,eeg_1,eeg_2,eeg_3,eeg_4
1731306218.7546997,824.0899683398462,735.9940052503233,693.8044667209459,802.2608337678604
1731306218.758601,796.7090287688939,741.3228606480681,675.5708361952469,780.5811463112201
1731306218.761762,784.186420638512,744.7442356302207,658.9272905300384,759.5370752574753
1731306218.762502,791.7508893692011,744.7123853094507,639.2617935143654,741.949879653272
1731306218.7655084,812.1010593959728,740.7605118431213,609.5613108895755,732.3556753913406
1731306218.7664032,831.1505850681159,734.2247188852932,571.1560714620721,733.9350368079432
1731306218.7703042,838.07304214976,728.0740991074907,538.0199294409063,745.700185155921
1731306218.7742054,832.1982057613459,725.4122400734569,526.8587669652585,762.7937598152398
1731306218.7773335,821.8628415239078,727.4366738876739,541.3178587301542,779.7795379180917
1731306218.7781067,816.7181763075281,732.4481253941681,566.7478685610309,793.7887928433767
1731306218.7820077,820.0822956024944,736.9346343148334,582.0246531675214,804.5473947700038
1731306218.7843769,827.3889973978869,738.0927527894527,577.3738572444544,811.6793894740672
1731306218.7859087,831.2228916599307,735.7935508669614,561.2147966213979,812.7432389883164
1731306218.7898102,827.9848588911502,732.3112436111112,550.8592147661894,804.7700936451771
1731306218.7929046,820.6195727483966,730.0685343497236,557.9876176262665,788.1764028553741
1731306218.7937112,815.8605934872747,729.513676865552,582.7573692166357,768.922557913852
1731306218.7976124,818.8419298822864,729.1227649912197,618.5035504558704,755.961394509244
1731306218.8015134,829.1688120983198,727.3786511058623,657.5041874533083,755.3843113582939
1731306218.8032453,840.7965170465883,724.5784634833892,690.6626811074465,766.0650138072316
1731306218.805415,845.5345563922299,722.5997652805319,705.6155550876408,780.7231635763206
1731306218.808476,838.0782305545521,722.9821867180736,692.1278426834748,791.7715415835347
1731306218.809316,819.5251753408447,725.3952724680462,653.5030977347742,797.0562951940993
1731306218.8132167,796.9176310811079,727.9784767010882,610.4865147306948,800.5452951193746
1731306218.8171182,778.8531912358997,728.994218849611,587.3635124414482,807.4229006407612
1731306218.8210194,770.2493894834242,728.0542225102447,588.9784337644469,818.108892048948
1731306218.822114,770.17685259501,725.9627959971192,591.8869369254434,826.836120284611
1731306218.824047,774.1059417293907,723.7843208843552,563.5732284887429,826.3657218567233
1731306218.8249204,778.1504714801829,722.2608925195618,495.94094401136067,814.6994858156494
1731306218.8288217,781.4901299710175,721.8717253364803,420.8552449175451,797.6101420236075
1731306218.832723,785.3033002901975,722.9378772307743,388.523385075354,784.6053072036227
1731306218.836624,789.9658551788751,725.3258507360285,425.0445503160987,782.0285683313056
1731306218.8396184,793.6662982935345,728.0990947658701,508.6754260553419,789.3632781678812
1731306218.8405252,793.8262536936487,729.7510553801768,588.896981729068,801.2541205083763
1731306218.8409824,789.7386584930686,729.0445948459696,630.6905459238642,812.3090988954746
1731306218.8444262,783.6332060755767,725.7552248539187,640.7669069485396,819.970847387473
1731306218.8483274,779.0519363810371,720.6626752074975,650.917345006966,823.7380622629867
1731306218.8522284,778.1498453150302,714.908400153409,678.0066301629795,822.939346101267
1731306218.8551898,780.5067994307199,709.443390412577,703.7962827770217,816.140381967151
1731306218.8561296,784.3522953773381,705.0359640916922,695.7264114641303,802.8819431260137
1731306218.859851,788.6434344550656,702.5161332840185,645.5907158257726,785.7172827802672
1731306218.860031,793.7615668491568,702.6063252766922,583.5835171741337,770.150957238627
1731306218.863932,800.2566946387669,705.2984749363933,551.0075180170937,762.1392860439972
1731306218.8678331,807.1963446395915,709.5411152314808,559.00248746116,765.0548188563408
1731306218.8707612,812.0692086491154,713.8815350280926,576.7626805235798,778.3047339362704
1731306218.8717344,812.5689174053872,717.6430472169365,563.3432859278867,798.1647505822159
1731306218.8756354,808.6829335546586,721.4492792667572,512.0241539784203,819.7307874397461
1731306218.878719,803.1953828464459,726.4563324387016,462.0312321355963,838.6511544078946
1731306218.8795366,800.1228450880891,733.0005370435117,464.47834926700756,852.069878749777
1731306218.8834376,802.2539133549036,740.0135536984716,535.1582289567,858.7838519540778
1731306218.8863325,809.4470506858362,745.7681821210558,639.6748877223973,858.7430408518269
1731306218.8873389,818.6086461837947,749.1623928958788,724.1300651525373,852.2706589793966
1731306218.89124,825.2237322219218,750.2780152665393,760.8736947759146,839.7342778976208
1731306218.8951411,825.6155457682548,749.8096789324148,766.8681767633825,822.1402493954902
1731306218.8975878,818.8566699140252,748.1697549671761,780.905730495263,802.1588850156261
1731306218.8990424,807.4053802162656,745.3388687791452,824.5233255840316,784.405016073453
1731306218.9019036,796.0924625589529,741.6078774041965,883.325117655982,774.2207519025102
1731306218.9029436,789.8433033558504,738.2686711758447,922.6607212385486,775.360710029232
1731306218.9068446,791.164590362067,737.2341616042637,918.7840573770393,787.861375624607
1731306218.910746,798.7012345248826,739.6163044238756,875.1462008849826,807.414716420333
1731306218.9146469,807.8135962884509,744.4393424590863,812.2605822994389,826.8254252822305
1731306218.9164562,813.0103022433304,748.7855455587967,747.4917117558917,838.9952113156994
1731306218.917475,810.786173643599,749.5717206213858,688.5484634811918,839.9509964884929
1731306218.918548,801.1139915238119,745.728646591574,644.6050902616363,830.3643486240394
1731306218.9224494,786.9300834763635,739.0517477153367,635.9028545934136,814.9188789870886
1731306218.9263504,772.3675983536945,732.9753372445166,684.2306072715709,800.0778349711301
1731306218.927738,760.8952374673736,730.2427173119297,791.1725370370087,791.392222717598
1731306218.9302516,753.9559587963327,731.3337363754137,928.5178037113203,791.3050216992963
1731306218.9330463,750.3345759173552,734.70935346341,1053.8888888714046,798.0877685836078
1731306218.9341526,746.7723509118625,738.2832272548113,1137.5990567205104,806.5305289747736
1731306218.935325,740.25384871651,740.6957352928133,1175.743168338971,810.7289347460684
1731306218.9380538,730.9818770929885,741.5816549121299,1181.2802821633652,807.9926377616913
1731306218.941955,723.4459993917993,741.1539473691902,1168.269407918953,801.2216886796109
1731306218.945856,723.6014137104185,739.8537942109468,1147.3107928022255,797.2016000560138
1731306218.9486177,733.5434343378738,738.3640601565221,1131.518905721998,801.2124360559825
1731306218.949757,748.2108551573086,737.6870461286256,1136.7609861631731,811.9866138452597
1731306218.9536586,757.8392538514521,738.8862652251221,1167.5275144908846,821.6194735757033
1731306218.9541934,755.0459761376769,742.4801996416962,1201.8025441870166,821.250087852092
1731306218.9575596,740.9111271952296,747.9332632603646,1197.1757935573996,808.2653193947577
1731306218.9614608,724.742694945103,753.7893712871617,1122.5162295396663,789.1106303302763
1731306218.9625244,717.3934436114216,758.5640626811883,991.5164572880203,775.1936387052989
1731306218.9641888,723.4490253954586,761.813252895449,865.8218276520196,774.9058030354219
1731306218.9653618,738.537042459599,764.461140392508,817.8885244933794,787.7799085269089
1731306218.9692633,753.7026075999889,767.9609336203551,879.1384317440209,805.0250278162617
1731306218.9730618,762.9748578018383,772.8853863656084,1015.6241994174803,815.869639300546
1731306218.9731643,767.7461696410428,778.1690699620059,1153.5450913448567,815.0304064489052
1731306218.977065,774.4413680165181,781.7711062378125,1234.5630923989297,806.0184412378924
1731306218.9797602,787.7651287970875,782.3134427359856,1253.5112249545195,798.1401905819248
1731306218.9809666,805.5861812438878,780.3599606360699,1246.7724352282964,799.6673436620505
1731306218.9848678,819.9359520443236,778.2653701414479,1246.2043690487358,812.363259322791
1731306218.9887688,823.1899564561911,778.7118530902031,1245.9162639109293,831.230198782357
1731306218.9919302,814.2377392764301,783.087327073907,1214.2972859616102,848.9806841345409
1731306218.99267,799.8815692900955,790.8427524719746,1136.347388906042,861.0131542657588
1731306218.9953313,790.7888591014347,800.0292328473715,1040.0711457859863,866.858359726317
1731306218.9965713,795.1850884859758,808.3315056896819,977.0226000499906,867.8586038228864
1731306218.997311,814.4336224659203,813.8589693718418,973.9054387992824,864.4514833043936
1731306219.0004723,842.8804000274636,815.5526566602155,1002.5052091359212,856.2580527120517
1731306219.0043736,871.5336800039985,813.5047324725846,999.4627010697066,844.5582849697248
1731306219.0082746,892.9288211213329,809.2650006040014,920.8084824178069,833.6815213917516
1731306219.0107987,904.051960835378,805.6628849756171,783.0157787904955,828.7848412721174
1731306219.0109026,905.8470869381127,805.6098340312113,653.4518413569434,831.5278104092331
1731306219.0121758,900.5387762410099,810.1674949101897,597.9080459005384,837.9172880681925
1731306219.0160768,889.5518306294856,817.2600605596369,630.3982733425523,840.9768228525456
1731306219.019978,873.7798012419001,822.5041653069426,707.2093033992176,836.3681672624334
1731306219.0238793,855.3778333189175,822.1152108906705,767.0973938362895,826.1584149883809
1731306219.026474,838.7115892877187,815.8258595533629,779.6439286525215,817.4699828550436
1731306219.0277803,829.0068113396437,807.2851190733684,760.2478013528872,817.2105956270217
1731306219.0296671,829.5099144397263,801.3260771675028,744.2192123368609,827.2084834475664
1731306219.0316815,839.3812922524397,800.2154169709491,749.6797803686978,843.2759102747859
1731306219.0320976,854.0180013541465,801.9729415188798,764.543012756878,858.3113824272593
1731306219.0355828,867.6754207855939,802.1129324015309,765.1179519207853,866.8096739871819
1731306219.0394838,876.5517516379039,797.276829964297,742.899357178346,867.8678273960945
1731306219.042045,880.1692420113618,787.7539099485854,711.4956396451175,865.2416138491317
1731306219.043385,880.329823350548,777.0137090675557,688.7928668619525,864.7213483233124
1731306219.047286,879.0053008295263,768.9525255354041,675.3273471041854,870.3145107695154
1731306219.0485358,877.1302596913093,765.2792725020528,652.8771425013767,881.2745072502328
1731306219.0511873,874.8227730367314,764.978568860195,605.5911397861474,891.7110741848333
1731306219.0550883,872.0676796447029,765.7744136848174,542.0501216535506,893.3323652142273
1731306219.0576165,869.0072023068095,765.9467455672217,494.79648870652954,880.2138801413298
1731306219.0589895,865.8494720450718,765.0644989432463,495.9462745879749,853.0505485508648
1731306219.0628908,862.7292794824526,763.5665969467262,550.9976020491298,820.0175516011366
1731306219.066792,859.6749514591555,762.0173402475314,634.1697647253743,792.9933314181304
1731306219.066884,856.6544288493226,760.690618188403,707.4261915321534,781.0822336781332
1731306219.0674045,853.6307859219279,759.5669940439991,744.5371683012169,785.7180801257234
1731306219.070693,850.5884795437174,758.5138910789093,741.2294664245843,800.6680823759457
1731306219.0731878,847.5310586620236,757.4331343317253,709.1476477506596,816.4612132926028
1731306219.0745945,844.4681817607776,756.3026756422669,665.0216992597118,825.5358743086234
1731306219.0784953,841.406197333679,755.1468961765769,624.6940001453585,824.5941194450455
1731306219.0823965,838.3461568074159,753.9948085190582,601.2523925624027,813.7114788209808
1731306219.0862727,835.2862688426407,752.8591883452516,601.693902596135,794.5128996460261
1731306219.0862978,832.2247307107439,751.7377459325483,621.6543231921762,769.6602742851952
1731306219.0887587,829.1609526055547,750.6230404946923,644.4187515998728,743.5220747532672
1731306219.0901988,826.0953254001441,749.50995822133,649.30455193986,722.0533975909683
1731306219.0941,823.0285068830054,748.3974709845745,625.8279748892808,710.6315257589001
1731306219.098001,819.960948118636,747.2868381230421,582.6165917721032,710.8969171776249
1731306219.1016707,816.8928224660586,746.1794031036394,541.9197212772988,718.9569666529335
1731306219.1019022,813.8241760221183,745.0755926679818,521.6695189128467,726.5383890625932
1731306219.1043303,810.7550785932917,743.9750578933155,518.7588958074458,724.9527058510857
1731306219.1051412,807.6856700541052,742.877217793336,508.8997167001743,710.2658329652036
1731306219.1058035,804.6161145954036,741.7816369224852,466.2893545753155,686.9337400586621
1731306219.1097045,801.5465343778035,740.6880974171679,388.4939980819222,666.8447026807237
1731306219.1136055,798.4770001265039,739.5964966154488,304.2352304916871,662.7312097344817
1731306219.117507,795.4076199794122,738.5067334687592,254.0462015775169,679.3338212313236
1731306219.1199017,792.3386856046488,737.4186564195917,258.1031262021826,708.9137046420902
1731306219.121408,789.2707257988571,736.3320621563115,299.7669833515274,735.4772615693291
1731306219.1240096,786.2042743019028,735.2467129262169,341.3698114967057,745.1703561465514
1731306219.1253092,783.1393219328503,734.1623624080237,358.977801678528,735.0041913637284
1731306219.1292102,780.0748369431934,733.0788001461502,363.4665976338025,713.6222617283809
1731306219.1331117,777.0091413269853,731.9959080103368,386.95907252246263,694.5330225225588
1731306219.135473,773.941728808412,730.9136740705777,446.92097879709223,687.599561790104
1731306219.1364572,770.8757919680074,729.8320823054477,522.772877831156,694.3965071152193
1731306219.1370127,767.818724934238,728.7508650309455,569.0794675116185,709.022778580392
1731306219.1409135,764.7771858564095,727.6692910991076,555.0074417721148,722.4412031410886
1731306219.142878,761.7466808731677,726.5863453234891,494.1236871582057,727.4530379237212
1731306219.144815,758.7035445258164,725.5015595754144,435.7101501117897,722.0486493644023
1731306219.1487162,755.6141548055873,724.4161538244974,422.928679864844,709.8836685841264
1731306219.151044,752.4708531025498,723.3332403163624,454.3940316743432,697.9377476958339
1731306219.1526172,749.3377896293362,722.2555512345535,485.16739930730046,692.8413292126125
1731306219.1565185,746.3532536737732,721.1807077585394,468.8132410534303,697.8924351329279
1731306219.1604197,743.6274942738173,720.0976465657917,403.4759705157641,711.9713111459195
1731306219.1617467,741.0462946584939,718.9909345960881,338.71483464692966,730.3783537616657
1731306219.1643207,738.1419343582037,717.8571654042746,334.63988160931206,747.0648704257868
1731306219.1666155,734.3119344797709,716.7256327252123,409.3786678426278,757.4737292219376
1731306219.168222,729.5394712737188,715.6589144717019,522.410794787938,760.7026121134945
1731306219.1712437,725.2660638988675,714.7059062534893,608.3130268348107,759.6250417525591
1731306219.172123,724.4495432956861,713.8126170289321,629.5872664322201,758.8629748871517
1731306219.1760242,729.948774968808,712.7647263846043,601.7774626426559,762.2299319783841
1731306219.1799252,741.8874690758842,711.2886282021021,571.7924653472303,771.3985535704928
1731306219.1806152,756.3407898679441,709.3776578279364,573.090180897006,785.7967599622764
1731306219.1821868,767.0282196963565,707.6782751431767,599.3757937177145,802.5175276764328
1731306219.1838264,768.8841595629732,707.4860095690844,617.867150016927,816.2657168218337
1731306219.1877277,760.8458934465775,709.9368061967709,605.8528856553174,821.2215484663662
1731306219.1916287,746.4444192114529,714.6728130293317,574.6095597221081,815.5338605128027
1731306219.19553,732.5516834641755,719.1781055849435,558.6291356787108,805.1052367216517
1731306219.197758,726.9353853902088,719.8937737388296,581.182258342686,801.5970171535286
1731306219.1994312,734.8734397943443,714.6952841170875,629.2711099686851,814.1153563987228
1731306219.1994836,755.6638881080668,704.7600775232507,662.4168574390162,841.1898212737193
1731306219.2033322,781.2672955042596,694.032060720688,648.4465651554075,871.0530656362072
1731306219.2060304,799.3556270618549,686.4476065362536,594.1008657963974,890.7434163039613
1731306219.2072334,800.2777373307637,683.1002248016749,542.4407071432229,895.5370789000832
1731306219.2111344,783.6764718352539,681.7201494268342,539.0702697250023,890.2080122519121
1731306219.2133293,759.5275001990891,678.91899870462,596.9579897793413,882.7701115290413
1731306219.2150357,742.0238505893875,673.260219719887,689.2241286848042,878.1887352984717
1731306219.218352,740.388216955045,666.5720445243326,772.5108169310739,876.9411026441106
1731306219.2189367,753.4417626314989,662.6145357188024,817.5242958119268,877.1907920093105
1731306219.222838,771.9474123793417,664.5402539049478,821.9048997874904,877.2263440397373
1731306219.2267392,786.5316127286097,673.2857388147585,801.0366760235233,876.4503065636997
1731306219.228901,794.5922964081719,687.6692985306221,771.6824920444599,875.11444358453
1731306219.2306404,800.8253506448839,705.2945139280246,743.9554485311882,873.6773063770672
1731306219.2345414,811.7143500871963,723.1777324002178,723.3190319526637,872.3995448666449
1731306219.2372203,829.2887037204191,738.1510789380735,713.5023632719231,871.293828256402
1731306219.238443,849.2862467822473,747.7859920680768,714.0715928793495,870.2583333557191
1731306219.2408168,864.3313065214461,751.7864323895836,716.9459871615189,869.205680295531
1731306219.2423437,868.6568460607698,752.5059113334166,710.3423914397408,868.1093329897731
1731306219.2444718,860.815327935081,753.3281839053468,690.5276045663514,866.9855264127557
1731306219.246245,843.6716986726502,755.6219214763482,670.3269873601892,865.8587724394154
1731306219.2501462,823.0610165569896,757.0582274235496,672.9144841255247,864.7418597669548
1731306219.2540472,806.0173518008795,753.7154227477398,713.2270020866863,863.634580139929
1731306219.256089,798.2323034870833,745.0165923820626,783.8254581476664,862.5312993157828
1731306219.2579484,800.9748498065815,736.942664473025,860.1298528848065,861.4275990046162
1731306219.2600431,809.7323289299236,739.2126261813522,921.1112811994699,860.3223692885167
1731306219.2618494,817.0505938154535,757.2018152940849,964.9549225357081,859.2166380461416
1731306219.2657506,818.6153652962988,785.0652122711758,1003.7501307011887,858.1117292047304
1731306219.269652,817.489222618066,806.9398528146664,1043.2806012364995,857.0082832386133
1731306219.273553,821.7772640301238,806.8608974870418,1070.1424282486769,855.9062602672385
1731306219.2749577,836.820586109223,780.4200528778124,1061.2773825657096,854.8053635091115
1731306219.2756033,858.833930957089,739.1957939827763,1007.8684756068324,853.7053787312874
1731306219.2756145,876.3502583815048,704.3974128869731,929.8706043124022,852.6062653628093
1731306219.277454,878.8792847068398,694.1678226530773,864.6903004835465,851.5080838541577
1731306219.2813554,865.4742523449352,713.0877783567735,837.2783587962576,850.4108981366094
1731306219.2852564,845.9071753819559,750.1610168423977,837.8250945453399,849.3147286603853
1731306219.2891576,833.7223162766212,785.6691317301775,829.5098988798942,848.2195568891655
1731306219.2911856,837.2207677396292,802.263090979304,783.2770489556494,847.1253490057868
1731306219.2930586,855.3369748112764,793.962707883093,710.2752580642504,846.0320720055927
1731306219.293826,880.3252186860428,768.2526559193707,660.3331769981543,844.9396947121979
1731306219.29696,903.5359703345063,740.2779445324946,682.743912498216,843.8481808749578
1731306219.3008611,919.347290909071,722.921158195638,781.3148672187118,842.7574857671491
1731306219.304762,925.5662429206075,719.4948913068165,905.0513250011945,841.6675631686009
1731306219.306757,922.2612814213005,723.9714831510046,986.1144500674143,840.5783791122523
1731306219.3086634,911.4679435530883,727.7640829998079,993.2570229286318,839.4899167659784
1731306219.31039,897.7746643564769,727.0137902644545,953.7074825524185,838.4021530508599
1731306219.3125646,887.6496698754685,724.6285879761634,925.1685297267769,837.315005110212
1731306219.3126943,886.1654977004873,726.3231683689474,944.6703937116342,836.2282860653492
1731306219.3164656,892.9310217027806,734.8219327086564,999.9126061033271,835.1417473831758
1731306219.3203669,901.1820177292686,747.2079501635386,1045.7558842096012,834.0552611140678
1731306219.3223283,902.2059265794264,757.1789961083824,1047.1757044625313,832.9690623930856
1731306219.324268,892.4419830787099,759.893329934011,1008.2097482630206,831.8837795648511
1731306219.328169,877.2224403777614,755.3796589254237,962.1823043724044,830.7999265830367
1731306219.331563,867.1506120953921,748.0607328417886,935.6142183128105,829.7168825514153
1731306219.3320704,869.4456867110283,743.1620342800967,922.225552420025,828.632161801339
1731306219.3359714,881.4623367516454,743.0265684612147,892.5790909083967,827.54242124068
1731306219.3378997,892.1289328064585,746.0513441545492,829.8267064595885,826.4470453709271
1731306219.3398726,890.2993552566644,748.6170524985347,756.0473918895832,825.3525170654005
1731306219.3437736,873.1199559104756,748.0644503005439,721.780989651399,824.2722629970838
1731306219.3451765,847.7371615934676,744.3427181968698,766.0523266235591,823.2161959042879
1731306219.3476748,825.5002533878053,739.4893871627788,882.1330123225041,822.1714896194677
1731306219.3504314,813.8534733944308,735.934361264385,1018.9668202768482,821.0909068203954
1731306219.351576,812.3346357032925,735.1131250777578,1115.9919462059133,819.9156743304137
1731306219.3534708,815.0733034646489,737.0242946504089,1141.6004354712736,818.6455048853882
1731306219.355477,816.7723584303159,740.4697909471189,1106.6089844566018,817.4165901078927
1731306219.3593783,816.8144804589014,743.6359892215299,1048.2999890722165,816.4849864607899
1731306219.3632796,818.3847309567241,744.9659818852158,1002.9068238156962,816.0147397184717
1731306219.3671806,824.1144651883475,744.1267915638983,987.2418665389076,815.7218609829982
1731306219.3690422,832.7279483849526,742.4025442071071,996.9927914858238,814.7070441870109
1731306219.3693,839.9558878088311,741.911013016222,1015.6917607638172,811.963295734271
1731306219.3710818,842.6854923250737,743.9531553257925,1024.9929761580734,807.618651575213
1731306219.3749828,842.0214745316132,747.7186191811068,1011.6625557633326,803.9282781191679
1731306219.378884,842.0074525035633,750.4557926961822,971.4340557923745,804.4496113785241
1731306219.3799627,845.2761264918499,749.1087773321427,910.2617449289678,811.0823274102593
1731306219.382785,850.1686510164517,742.3503500398979,841.9122680793813,821.1356079897319
1731306219.3846135,852.3317287977607,731.7224099923693,781.5723339890981,827.5572943108529
1731306219.3866863,849.0981653894646,721.157131573454,738.6912979559796,823.1774356101685
1731306219.3881686,842.1486531306588,714.9976412050723,714.5788364645298,806.0301734387479
1731306219.3905876,835.8718807030417,715.4714550644306,707.211579734434,781.2381605527086
1731306219.3944888,833.2052831400323,721.1272533257436,718.4220989784808,757.499445433889
1731306219.3983898,833.0458536243077,727.4852817467983,754.3687903980668,740.9589428824269
1731306219.4001846,831.6055099664549,729.7992809835049,815.596058674097,731.8006833273189
1731306219.4022913,826.3663807452623,726.1712761398496,885.2481601410341,726.4601517446074
1731306219.406192,819.0444715995898,718.7734999859383,930.4365722815455,722.8896904143905
1731306219.407037,814.9084572226193,712.2713378233494,922.4102761189747,723.2290977168839
1731306219.4100933,818.8352864592617,710.6686162540302,861.9543973521826,730.9306818509157
1731306219.4139946,831.0773816826008,714.8836298394839,786.2664525368136,745.2977330501326
1731306219.4147496,845.9890105782825,722.5633772135569,745.5933807679022,759.4542688811493
1731306219.415756,854.8820038650597,729.8420989566222,764.3546573535541,764.7503871258119
1731306219.4178956,851.2836522055628,733.5723317679223,818.7597986735194,758.3528597618956
1731306219.4217968,835.1033238451221,732.7411323063037,853.047785705662,747.1911238478461
1731306219.4256978,812.8055257824682,728.6828454428536,824.7090955546612,743.9432379577397
1731306219.4259057,793.3680886152706,724.3027886677438,741.8900224551674,757.3646172992878
1731306219.429599,782.7744780907204,722.6371466776766,659.4726524116958,784.4215466563197
1731306219.431327,780.8413923271627,725.2188209545158,634.6547089247026,810.9300014229984
1731306219.4335003,782.4542824503856,731.0977664123996,679.3006606267243,821.0179812909134
1731306219.4374013,782.0533401714714,737.3857718608753,750.8495249726724,808.6316104423648
1731306219.4413023,777.9111870420792,741.2916205247229,789.8761056793418,782.2576666573536
1731306219.444774,773.0721218768944,742.2814413072712,770.5637997494749,759.0502802404446
1731306219.4452038,772.4766728939837,742.57593007552,719.3530038217648,752.8415318836522
1731306219.4468985,778.6837455658181,745.3888675891152,686.9896477662451,765.2378225426817
1731306219.4491048,789.4947960666177,752.2138767756924,701.4682741260008,786.1910455629286
1731306219.449536,799.1404109433807,761.3422498585805,744.8015485144635,802.6833409454863
1731306219.453006,801.9982358336673,768.8231122906493,772.6022003790309,808.1244961234357
1731306219.456907,796.1469213822824,771.1398023766058,755.982092985375,805.3560792323797
1731306219.4608085,784.4140696828605,767.6309657711718,706.5685896067796,801.8662311592271
