timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730573643.3907630,,,,,,,-0.14007568,0.0038452148,0.97924805,,,,,,
1730573643.3930304,791.75824,888.46155,302.60074,801.02563,nan,nan,,,,,,,,,
1730573643.3969390,798.20514,231.28206,145.86081,809.0842,nan,nan,,,,,,,,,
1730573643.4008477,792.5641,652.3443,300.989,809.89014,nan,nan,,,,,,,,,
1730573643.4047563,795.38464,1139.0842,397.69232,815.9341,nan,nan,,,,,,,,,
1730573643.4064684,,,,,,,,,,,,,nan,158660290.0,nan
1730573643.4086649,797.8022,848.97437,304.21246,811.50183,nan,nan,,,,,,,,,
1730573643.4096668,,,,,,,-0.13989258,0.001953125,0.97613525,,,,,,
1730573643.4125738,781.685,611.6484,284.06595,810.293,nan,nan,,,,,,,,,
1730573643.4164824,784.90845,691.8315,315.4945,805.05493,nan,nan,,,,,,,,,
1730573643.4203911,785.7143,984.7619,347.72894,787.72894,nan,nan,,,,,,,,,
1730573643.4220631,,,,,,,,,,,,,nan,158653840.0,nan
1730573643.4242997,806.26373,727.28937,268.75458,822.7839,nan,nan,,,,,,,,,
1730573643.4282084,813.91943,261.0989,249.41393,841.31866,nan,nan,,,,,,,,,
1730573643.4285705,,,,,,,-0.14562988,-0.0026245117,0.9795532,,,,,,
1730573643.4321170,767.5824,615.6777,340.07327,784.5055,nan,nan,,,,,,,,,
1730573643.4360256,763.5531,977.1062,365.8608,780.07324,nan,nan,,,,,,,,,
1730573643.4376578,,,,,,,,,,,,,nan,158644180.0,nan
1730573643.4399343,772.4176,692.23444,222.01465,804.65204,nan,nan,,,,,,,,,
1730573643.4438429,774.83514,801.4286,313.07693,798.60803,nan,nan,,,,,,,,,
1730573643.4474740,,,,,,,-0.13995361,-0.0017089844,0.9736328,,,,,,
1730573643.4477515,788.1319,1102.0146,409.7802,789.7436,nan,nan,,,,,,,,,
1730573643.4516604,797.3993,816.337,298.97437,792.96704,nan,nan,,,,,,,,,
1730573643.4532526,,,,,,,,,,,,,nan,158554720.0,nan
1730573643.4555690,789.34064,496.00732,206.7033,795.38464,nan,nan,,,,,,,,,
1730573643.4594777,791.75824,563.69965,267.14285,794.57874,nan,nan,,,,,,,,,
1730573643.4633863,797.3993,840.5128,375.93405,791.3553,nan,nan,,,,,,,,,
1730573643.4663777,,,,,,,-0.13397217,0.00012207031,0.96728516,,,,,,
1730573643.4672949,801.02563,972.674,365.05493,795.38464,nan,nan,,,,,,,,,
1730573643.4688475,,,,,,,,,,,,,nan,158535400.0,nan
1730573643.4712036,815.5311,290.51282,158.75458,818.3516,nan,nan,,,,,,,,,
1730573643.4751122,800.6227,379.1575,279.23077,808.2784,nan,nan,,,,,,,,,
1730573643.4790208,789.34064,1131.4286,433.15018,807.47253,nan,nan,,,,,,,,,
1730573643.4829295,801.02563,997.25275,333.22345,822.7839,nan,nan,,,,,,,,,
1730573643.4844422,,,,,,,,,,,,,nan,158537000.0,nan
1730573643.4852815,,,,,,,-0.14154053,-0.00018310547,0.9734497,,,,,,
1730573643.4868381,787.326,485.53113,298.57144,792.5641,nan,nan,,,,,,,,,
1730573643.4907470,785.31134,749.85345,380.76923,780.87915,nan,nan,,,,,,,,,
1730573643.4946556,792.5641,1146.7399,412.1978,796.1905,nan,nan,,,,,,,,,
1730573643.4985642,795.78754,967.03296,340.07327,805.8608,nan,nan,,,,,,,,,
1730573643.5000370,,,,,,,,,,,,,nan,158503950.0,nan
1730573643.5024729,800.6227,836.8865,345.31134,801.4286,nan,nan,,,,,,,,,
1730573643.5041852,,,,,,,-0.14642334,0.00061035156,0.9837036,,,,,,
1730573643.5063815,795.78754,821.5751,349.34067,799.011,nan,nan,,,,,,,,,
1730573643.5102901,811.50183,792.5641,309.45056,826.0073,nan,nan,,,,,,,,,
1730573643.5141988,819.15753,637.03296,270.76923,829.2308,nan,nan,,,,,,,,,
1730573643.5156317,,,,,,,,,,,,,nan,158536200.0,nan
1730573643.5181074,801.4286,356.5934,294.94507,801.4286,nan,nan,,,,,,,,,
1730573643.5220160,801.02563,646.30035,342.08792,804.2491,nan,nan,,,,,,,,,
1730573643.5230889,,,,,,,-0.15057373,0.0032958984,0.9838257,,,,,,
1730573643.5259247,793.36993,988.3883,368.6813,808.2784,nan,nan,,,,,,,,,
1730573643.5298336,790.14655,814.3223,263.51648,795.78754,nan,nan,,,,,,,,,
1730573643.5312264,,,,,,,,,,,,,nan,158470110.0,nan
1730573643.5337422,809.0842,895.31134,322.74725,808.68134,nan,nan,,,,,,,,,
1730573643.5376508,814.3223,1173.7362,421.86813,801.02563,nan,nan,,,,,,,,,
1730573643.5415595,802.23444,1035.1282,356.5934,788.93774,nan,nan,,,,,,,,,
1730573643.5419924,,,,,,,-0.14978027,-0.00012207031,0.97320557,,,,,,
1730573643.5454681,795.78754,728.9011,271.5751,802.6374,nan,nan,,,,,,,,,
1730573643.5468211,,,,,,,,,,,,,nan,158516850.0,nan
1730573643.5493767,797.3993,848.97437,325.9707,798.60803,nan,nan,,,,,,,,,
1730573643.5532854,803.44324,848.97437,330.40292,788.93774,nan,nan,,,,,,,,,
1730573643.5571940,799.011,695.8608,292.9304,796.5934,nan,nan,,,,,,,,,
1730573643.5608962,,,,,,,-0.14538574,0.00030517578,0.9713745,,,,,,
1730573643.5611026,784.90845,254.65201,164.79854,806.26373,nan,nan,,,,,,,,,
1730573643.5612545,,,,,,,,,,1589157.5,1607692.2,,,,
1730573643.5624158,,,,,,,,,,,,,nan,158477360.0,nan
1730573643.5650113,789.34064,460.1465,288.09525,813.1135,nan,nan,,,,,,,,,
1730573643.5689201,799.41394,1109.2675,426.30035,811.9048,nan,nan,,,,,,,,,
1730573643.5728288,796.1905,1031.9048,340.4762,807.0696,nan,nan,,,,,,,,,
