timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730146537.0347281,828.8278,810.696,800.2198,826.4103,nan,nan,,,,,,,,,
1730146537.0386362,828.8278,809.0842,797.8022,825.2015,nan,nan,,,,,,,,,
1730146537.0425444,830.84247,811.50183,798.20514,821.5751,nan,nan,,,,,,,,,
1730146537.0444605,,,,,,,,,,,,,nan,101908350.0,nan
1730146537.0464523,832.0513,814.3223,800.6227,820.7692,nan,nan,,,,,,,,,
1730146537.0503604,833.2601,817.5458,798.20514,814.7253,nan,nan,,,,,,,,,
1730146537.0542686,833.663,817.5458,796.99634,813.5165,nan,nan,,,,,,,,,
1730146537.0547502,,,,,,,,,,1691501.9,1607692.2,,,,
1730146537.0581768,831.6484,817.5458,796.99634,818.3516,nan,nan,,,,,,,,,
1730146537.0600791,,,,,,,,,,,,,nan,101894660.0,nan
1730146537.0620847,830.0366,815.12823,799.011,822.7839,nan,nan,,,,,,,,,
1730146537.0659928,823.9927,812.71063,797.8022,819.5604,nan,nan,,,,,,,,,
1730146537.0699010,825.2015,818.3516,795.38464,824.3956,nan,nan,,,,,,,,,
1730146537.0738091,824.7985,819.15753,797.3993,832.0513,nan,nan,,,,,,,,,
1730146537.0756977,,,,,,,,,,,,,nan,101855170.0,nan
1730146537.0777171,824.3956,817.5458,794.9817,834.4689,nan,nan,,,,,,,,,
1730146537.0816252,823.1868,819.5604,796.1905,832.0513,nan,nan,,,,,,,,,
1730146537.0855334,819.5604,819.9634,802.23444,817.9487,nan,nan,,,,,,,,,
1730146537.0894415,821.5751,819.15753,800.2198,808.68134,nan,nan,,,,,,,,,
1730146537.0899374,,,,,,,,,,1691501.9,1607692.2,,,,
1730146537.0913162,,,,,,,,,,,,,nan,101860810.0,nan
1730146537.0923703,,,,,,,0.1940918,0.07269287,0.96569824,,,,,,
1730146537.0933495,825.6044,821.1722,799.011,811.9048,nan,nan,,,,,,,,,
1730146537.0972576,826.8132,815.9341,802.6374,815.12823,nan,nan,,,,,,,,,
1730146537.1011658,824.7985,811.0989,802.6374,809.4872,nan,nan,,,,,,,,,
1730146537.1050739,820.7692,813.5165,801.02563,808.68134,nan,nan,,,,,,,,,
1730146537.1069348,,,,,,,,,,,,,nan,101860000.0,nan
1730146537.1089818,821.978,813.91943,802.6374,814.7253,nan,nan,,,,,,,,,
1730146537.1112595,,,,,,,0.19616699,0.070617676,0.96777344,,,,,,
1730146537.1128900,826.0073,819.5604,806.6667,813.5165,nan,nan,,,,,,,,,
1730146537.1167982,819.9634,819.15753,804.2491,804.2491,nan,nan,,,,,,,,,
1730146537.1207063,817.5458,817.5458,801.02563,797.8022,nan,nan,,,,,,,,,
1730146537.1225533,,,,,,,,,,,,,nan,101847910.0,nan
1730146537.1246142,825.2015,821.5751,800.2198,796.1905,nan,nan,,,,,,,,,
1730146537.1251249,,,,,,,,,,1691501.9,1607692.2,,,,
1730146537.1285224,828.022,823.1868,802.23444,794.9817,nan,nan,,,,,,,,,
1730146537.1301489,,,,,,,0.19433594,0.07543945,0.9642334,,,,,,
1730146537.1324306,825.6044,820.7692,803.0403,799.81683,nan,nan,,,,,,,,,
1730146537.1363387,822.381,818.7546,801.02563,805.4579,nan,nan,,,,,,,,,
1730146537.1381719,,,,,,,,,,,,,nan,101889816.0,nan
1730146537.1402469,821.1722,818.3516,797.3993,812.3077,nan,nan,,,,,,,,,
1730146537.1441548,823.1868,820.7692,798.20514,819.9634,nan,nan,,,,,,,,,
1730146537.1480629,821.1722,820.7692,800.6227,821.978,nan,nan,,,,,,,,,
1730146537.1490381,,,,,,,0.19311523,0.07208252,0.96569824,,,,,,
1730146537.1519711,820.3663,818.7546,799.41394,826.4103,nan,nan,,,,,,,,,
1730146537.1537907,,,,,,,,,,,,,nan,101875310.0,nan
1730146537.1558793,821.1722,817.9487,800.2198,826.8132,nan,nan,,,,,,,,,
1730146537.1597872,822.7839,818.7546,799.81683,820.7692,nan,nan,,,,,,,,,
1730146537.1603122,,,,,,,,,,1691501.9,1607692.2,,,,
1730146537.1636953,824.3956,817.9487,799.41394,818.3516,nan,nan,,,,,,,,,
1730146537.1676035,821.1722,818.7546,799.41394,811.0989,nan,nan,,,,,,,,,
1730146537.1679273,,,,,,,0.19317627,0.0725708,0.9609375,,,,,,
1730146537.1694093,,,,,,,,,,,,,nan,101863224.0,nan
1730146537.1715117,821.1722,821.5751,800.2198,811.9048,nan,nan,,,,,,,,,
1730146537.1754196,824.7985,820.3663,800.6227,825.2015,nan,nan,,,,,,,,,
1730146537.1793277,831.2454,821.5751,801.8315,833.663,nan,nan,,,,,,,,,
1730146537.1832359,830.0366,821.1722,803.8461,828.4249,nan,nan,,,,,,,,,
1730146537.1850278,,,,,,,,,,,,,nan,101860810.0,nan
1730146537.1868165,,,,,,,0.19488525,0.07159424,0.9651489,,,,,,
1730146537.1871440,823.1868,819.5604,802.6374,827.619,nan,nan,,,,,,,,,
1730146537.1910520,820.7692,818.7546,801.8315,832.0513,nan,nan,,,,,,,,,
1730146537.1949601,816.7399,814.7253,801.4286,832.8571,nan,nan,,,,,,,,,
1730146537.1954997,,,,,,,,,,1691501.9,1607692.2,,,,
1730146537.1988683,812.3077,811.9048,796.99634,829.2308,nan,nan,,,,,,,,,
1730146537.2006464,,,,,,,,,,,,,nan,101868056.0,nan
1730146537.2027764,810.293,814.7253,798.60803,828.4249,nan,nan,,,,,,,,,
1730146537.2057059,,,,,,,0.18804932,0.07159424,0.97283936,,,,,,
1730146537.2066844,807.8755,812.71063,802.23444,830.4396,nan,nan,,,,,,,,,
1730146537.2105925,813.5165,809.0842,804.2491,826.0073,nan,nan,,,,,,,,,
1730146537.2145007,817.1429,812.71063,804.2491,819.15753,nan,nan,,,,,,,,,
1730146537.2162650,,,,,,,,,,,,,nan,101871280.0,nan
1730146537.2184088,812.71063,814.7253,800.6227,807.8755,nan,nan,,,,,,,,,
1730146537.2223170,813.91943,812.3077,795.78754,806.6667,nan,nan,,,,,,,,,
1730146537.2245951,,,,,,,0.1907959,0.07623291,0.9663086,,,,,,
1730146537.2262249,818.7546,810.293,798.20514,808.2784,nan,nan,,,,,,,,,
1730146537.2301331,818.7546,811.9048,801.02563,798.60803,nan,nan,,,,,,,,,
1730146537.2306869,,,,,,,,,,1691501.9,1607692.2,,,,
1730146537.2318835,,,,,,,,,,,,,nan,101909160.0,nan
1730146537.2340412,829.6337,815.9341,796.99634,796.99634,nan,nan,,,,,,,,,
1730146537.2379494,840.5128,816.337,803.8461,805.4579,nan,nan,,,,,,,,,
1730146537.2418573,824.3956,813.5165,815.12823,798.60803,nan,nan,,,,,,,,,
1730146537.2434843,,,,,,,0.19519043,0.074523926,0.9638672,,,,,,
1730146537.2457654,808.68134,808.68134,816.7399,783.69965,nan,nan,,,,,,,,,
1730146537.2475021,,,,,,,,,,,,,nan,101905130.0,nan
1730146537.2496736,815.5311,809.0842,813.1135,784.10254,nan,nan,,,,,,,,,
1730146537.2535818,818.7546,808.2784,810.293,794.17584,nan,nan,,,,,,,,,
1730146537.2574897,814.7253,804.65204,810.696,798.60803,nan,nan,,,,,,,,,
1730146537.2613978,820.7692,805.8608,813.1135,808.68134,nan,nan,,,,,,,,,
1730146537.2623734,,,,,,,0.19482422,0.07366943,0.96972656,,,,,,
1730146537.2631207,,,,,,,,,,,,,nan,101896264.0,nan
1730146537.2653060,824.3956,804.65204,814.7253,812.3077,nan,nan,,,,,,,,,
1730146537.2658744,,,,,,,,,,1691501.9,1607692.2,,,,
1730146537.2692142,815.5311,798.20514,814.7253,804.65204,nan,nan,,,,,,,,,
1730146537.2731221,817.1429,800.2198,821.1722,808.68134,nan,nan,,,,,,,,,
1730146537.2770302,820.3663,800.2198,821.1722,809.0842,nan,nan,,,,,,,,,
1730146537.2787392,,,,,,,,,,,,,nan,101919630.0,nan
1730146537.2809384,816.7399,799.41394,817.5458,804.2491,nan,nan,,,,,,,,,
1730146537.2812629,,,,,,,0.19329834,0.06982422,0.9664917,,,,,,
1730146537.2848465,815.12823,798.60803,817.1429,807.47253,nan,nan,,,,,,,,,
1730146537.2887545,820.7692,795.78754,817.5458,815.12823,nan,nan,,,,,,,,,
1730146537.2926626,826.4103,798.20514,817.5458,821.5751,nan,nan,,,,,,,,,
1730146537.2943578,,,,,,,,,,,,,nan,101910770.0,nan
1730146537.2965708,822.381,799.81683,812.3077,812.71063,nan,nan,,,,,,,,,
1730146537.3001521,,,,,,,0.19488525,0.0657959,0.95703125,,,,,,
1730146537.3004789,819.15753,799.011,810.696,799.81683,nan,nan,,,,,,,,,
1730146537.3010616,,,,,,,,,,1691501.9,1607692.2,,,,
1730146537.3043869,817.9487,798.20514,809.89014,794.57874,nan,nan,,,,,,,,,
1730146537.3082950,814.3223,795.78754,809.0842,788.1319,nan,nan,,,,,,,,,
1730146537.3099763,,,,,,,,,,,,,nan,101938980.0,nan
1730146537.3122032,819.5604,796.5934,810.696,794.57874,nan,nan,,,,,,,,,
1730146537.3161113,824.7985,799.41394,809.4872,799.81683,nan,nan,,,,,,,,,
1730146537.3190413,,,,,,,0.19317627,0.06549072,0.95861816,,,,,,
1730146537.3200195,826.0073,801.02563,811.0989,798.20514,nan,nan,,,,,,,,,
1730146537.3239274,828.022,799.81683,810.696,797.3993,nan,nan,,,,,,,,,
1730146537.3255949,,,,,,,,,,,,,nan,101970400.0,nan
1730146537.3278356,829.6337,801.8315,809.0842,802.23444,nan,nan,,,,,,,,,
1730146537.3317437,830.4396,807.47253,810.293,812.3077,nan,nan,,,,,,,,,
1730146537.3356519,827.2161,807.0696,813.1135,812.3077,nan,nan,,,,,,,,,
1730146537.3362491,,,,,,,,,,1691501.9,1607692.2,,,,
1730146537.3379304,,,,,,,0.19384766,0.06341553,0.9581299,,,,,,
1730146537.3395598,822.7839,803.0403,811.9048,805.4579,nan,nan,,,,,,,,,
