timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730575784.7655785,,,,,,,,,,1603663.0,1607692.2,,,,
1730575784.7713609,984.35895,0.0,707.1429,809.89014,nan,nan,,,,,,,,,
1730575784.7752786,963.00366,16.117216,772.4176,802.23444,nan,nan,,,,,,,,,
1730575784.7791965,980.32965,18.937729,884.43225,804.2491,nan,nan,,,,,,,,,
1730575784.7831142,965.42126,6.0439563,817.9487,803.0403,nan,nan,,,,,,,,,
1730575784.7870321,942.0513,4.029304,779.67035,802.6374,nan,nan,,,,,,,,,
1730575784.7909498,952.52747,0.8058608,774.0293,811.0989,nan,nan,,,,,,,,,
1730575784.7948678,949.707,0.4029304,801.8315,815.5311,nan,nan,,,,,,,,,
1730575784.7987854,947.28937,0.0,793.7729,818.7546,nan,nan,,,,,,,,,
1730575784.8008430,,,,,,,,,,1603663.0,1607692.2,,,,
1730575784.8027034,942.0513,1.6117216,680.54944,819.15753,nan,nan,,,,,,,,,
1730575784.8066211,942.8571,14.102564,812.71063,808.68134,nan,nan,,,,,,,,,
1730575784.8105390,944.0659,11.684981,872.3443,804.2491,nan,nan,,,,,,,,,
1730575784.8144567,923.1135,1.6117216,798.60803,805.05493,nan,nan,,,,,,,,,
1730575784.8146791,,,,,,,,,,,,,nan,117529960.0,nan
1730575784.8183746,907.8022,0.0,785.7143,812.71063,nan,nan,,,,,,,,,
1730575784.8222923,902.96704,0.4029304,791.75824,810.696,nan,nan,,,,,,,,,
1730575784.8262100,900.9524,11.684981,843.73627,805.05493,nan,nan,,,,,,,,,
1730575784.8301280,888.0586,5.2380953,802.23444,813.1135,nan,nan,,,,,,,,,
1730575784.8303335,,,,,,,,,,,,,nan,117564616.0,nan
1730575784.8340456,880.80585,0.0,785.31134,816.337,nan,nan,,,,,,,,,
1730575784.8361073,,,,,,,,,,1603663.0,1607692.2,,,,
1730575784.8379636,900.54944,1.6117216,811.50183,811.9048,nan,nan,,,,,,,,,
1730575784.8418813,910.2198,0.0,808.68134,808.68134,nan,nan,,,,,,,,,
1730575784.8457992,906.5934,0.0,746.63007,824.7985,nan,nan,,,,,,,,,
1730575784.8459876,,,,,,,,,,,,,nan,117663736.0,nan
1730575784.8460600,,,,,,,-0.03778076,-0.010437012,0.9866333,,,,,,
1730575784.8497169,903.7729,0.8058608,763.5531,834.4689,nan,nan,,,,,,,,,
1730575784.8536348,911.4286,7.655678,887.6557,811.0989,nan,nan,,,,,,,,,
1730575784.8575525,923.91943,2.4175825,848.97437,807.47253,nan,nan,,,,,,,,,
1730575784.8614705,899.7436,0.0,775.64105,807.8755,nan,nan,,,,,,,,,
1730575784.8616419,,,,,,,,,,,,,nan,117583150.0,nan
1730575784.8650148,,,,,,,-0.038391113,-0.00982666,0.9760132,,,,,,
1730575784.8653882,886.8498,8.864469,823.9927,803.8461,nan,nan,,,,,,,,,
1730575784.8693058,898.1319,6.0439563,834.0659,810.293,nan,nan,,,,,,,,,
1730575784.8713717,,,,,,,,,,1603663.0,1607692.2,,,,
1730575784.8732238,909.41394,0.0,748.6447,822.381,nan,nan,,,,,,,,,
1730575784.8771415,912.23444,0.0,728.9011,816.7399,nan,nan,,,,,,,,,
1730575784.8772960,,,,,,,,,,,,,nan,117656480.0,nan
1730575784.8810594,901.75824,9.267399,799.41394,805.8608,nan,nan,,,,,,,,,
1730575784.8839695,,,,,,,-0.037475586,-0.009643555,0.9746094,,,,,,
1730575784.8849771,897.72894,6.4468865,789.7436,804.65204,nan,nan,,,,,,,,,
1730575784.8888950,907.3993,0.0,740.989,800.2198,nan,nan,,,,,,,,,
1730575784.8928127,904.9817,4.029304,682.5641,831.2454,nan,nan,,,,,,,,,
1730575784.8929503,,,,,,,,,,,,,nan,117657290.0,nan
1730575784.8967307,916.6667,44.725273,808.2784,830.0366,nan,nan,,,,,,,,,
1730575784.9006484,940.4396,60.43956,870.7326,801.02563,nan,nan,,,,,,,,,
1730575784.9029245,,,,,,,-0.037841797,-0.00592041,0.9691162,,,,,,
1730575784.9045663,948.9011,16.923077,794.17584,820.3663,nan,nan,,,,,,,,,
1730575784.9066360,,,,,,,,,,1603663.0,1607692.2,,,,
1730575784.9084840,957.76556,40.29304,807.0696,828.4249,nan,nan,,,,,,,,,
1730575784.9086044,,,,,,,,,,,,,nan,117582344.0,nan
1730575784.9124019,962.1978,52.783882,849.7802,826.0073,nan,nan,,,,,,,,,
1730575784.9163196,942.4542,0.0,809.89014,813.5165,nan,nan,,,,,,,,,
1730575784.9202373,940.4396,0.0,787.326,809.0842,nan,nan,,,,,,,,,
1730575784.9218793,,,,,,,-0.039978027,-0.009521484,0.9692383,,,,,,
1730575784.9241552,952.9304,31.428572,829.6337,820.7692,nan,nan,,,,,,,,,
1730575784.9242587,,,,,,,,,,,,,nan,117666960.0,nan
1730575784.9280729,948.0952,18.131868,830.4396,820.3663,nan,nan,,,,,,,,,
1730575784.9319909,948.9011,0.0,813.5165,812.71063,nan,nan,,,,,,,,,
1730575784.9359086,959.7802,0.8058608,760.7326,819.5604,nan,nan,,,,,,,,,
1730575784.9398265,954.1392,0.4029304,729.707,830.0366,nan,nan,,,,,,,,,
1730575784.9399128,,,,,,,,,,,,,nan,117600070.0,nan
1730575784.9408340,,,,,,,-0.03375244,-0.004699707,0.9730835,,,,,,
1730575784.9419005,,,,,,,,,,1603663.0,1607692.2,,,,
1730575784.9437442,952.9304,70.91575,878.7912,810.696,nan,nan,,,,,,,,,
1730575784.9476621,947.6923,96.7033,871.53845,811.0989,nan,nan,,,,,,,,,
1730575784.9515798,925.12823,18.131868,774.43225,814.3223,nan,nan,,,,,,,,,
1730575784.9554977,912.23444,14.908425,812.71063,811.0989,nan,nan,,,,,,,,,
1730575784.9555671,,,,,,,,,,,,,nan,117610550.0,nan
1730575784.9594154,921.0989,26.996338,841.7216,815.12823,nan,nan,,,,,,,,,
1730575784.9597888,,,,,,,-0.028015137,-0.005493164,0.98114014,,,,,,
1730575784.9633331,927.9487,5.2380953,793.7729,821.5751,nan,nan,,,,,,,,,
1730575784.9672511,908.20514,0.8058608,764.35895,814.3223,nan,nan,,,,,,,,,
1730575784.9711688,897.326,7.252747,813.91943,792.5641,nan,nan,,,,,,,,,
1730575784.9712214,,,,,,,,,,,,,nan,117650040.0,nan
1730575784.9750867,887.6557,4.4322343,830.0366,818.3516,nan,nan,,,,,,,,,
1730575784.9771647,,,,,,,,,,1603663.0,1607692.2,,,,
1730575784.9787438,,,,,,,-0.027770996,-0.009277344,0.9914551,,,,,,
1730575784.9790044,872.74725,0.0,758.71796,834.0659,nan,nan,,,,,,,,,
1730575784.9829223,871.53845,0.0,645.89746,823.5897,nan,nan,,,,,,,,,
1730575784.9868400,885.2381,0.4029304,762.74725,815.9341,nan,nan,,,,,,,,,
1730575784.9868755,,,,,,,,,,,,,nan,117681464.0,nan
1730575784.9907579,895.7143,9.67033,871.53845,806.6667,nan,nan,,,,,,,,,
1730575784.9946756,882.8205,4.029304,796.99634,795.78754,nan,nan,,,,,,,,,
1730575784.9976985,,,,,,,-0.029174805,-0.0076904297,1.0024414,,,,,,
1730575784.9985936,880.40295,6.0439563,783.69965,794.9817,nan,nan,,,,,,,,,
