timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730147917.2810781,,,,,,,-0.07531738,-0.05847168,0.9816284,,,,,,
1730147917.2817643,800.2198,802.6374,809.4872,811.9048,nan,nan,,,,,,,,,
1730147917.2856667,806.26373,806.26373,811.9048,811.9048,nan,nan,,,,,,,,,
1730147917.2881322,,,,,,,,,,,,,nan,103712670.0,nan
1730147917.2895691,814.3223,807.8755,811.50183,821.1722,nan,nan,,,,,,,,,
1730147917.2934716,810.293,805.4579,807.47253,817.1429,nan,nan,,,,,,,,,
1730147917.2973740,799.81683,809.0842,803.8461,805.05493,nan,nan,,,,,,,,,
1730147917.2999609,,,,,,,-0.0713501,-0.059387207,0.98223877,,,,,,
1730147917.3012764,798.60803,807.47253,805.8608,808.68134,nan,nan,,,,,,,,,
1730147917.3037355,,,,,,,,,,,,,nan,103722344.0,nan
1730147917.3051791,810.293,804.65204,810.696,817.1429,nan,nan,,,,,,,,,
1730147917.3090816,811.0989,803.44324,810.293,815.5311,nan,nan,,,,,,,,,
1730147917.3116212,,,,,,,,,,1703589.8,1607692.2,,,,
1730147917.3129840,807.8755,801.02563,809.4872,815.9341,nan,nan,,,,,,,,,
1730147917.3168864,808.2784,803.0403,808.68134,812.71063,nan,nan,,,,,,,,,
1730147917.3188436,,,,,,,-0.07244873,-0.059387207,0.9859009,,,,,,
1730147917.3193388,,,,,,,,,,,,,nan,103682856.0,nan
1730147917.3207889,807.47253,804.2491,807.8755,813.1135,nan,nan,,,,,,,,,
1730147917.3246913,813.1135,809.0842,805.8608,810.293,nan,nan,,,,,,,,,
1730147917.3285937,815.5311,814.3223,806.6667,810.293,nan,nan,,,,,,,,,
1730147917.3324962,809.4872,805.8608,808.68134,803.8461,nan,nan,,,,,,,,,
1730147917.3349421,,,,,,,,,,,,,nan,103698170.0,nan
1730147917.3363986,810.293,803.44324,805.8608,805.4579,nan,nan,,,,,,,,,
1730147917.3377264,,,,,,,-0.07281494,-0.056762695,0.98876953,,,,,,
1730147917.3403010,828.4249,809.4872,809.89014,818.7546,nan,nan,,,,,,,,,
1730147917.3442035,822.7839,806.26373,809.89014,809.4872,nan,nan,,,,,,,,,
1730147917.3467577,,,,,,,,,,1703589.8,1607692.2,,,,
1730147917.3481059,806.26373,803.44324,807.47253,802.6374,nan,nan,,,,,,,,,
1730147917.3505454,,,,,,,,,,,,,nan,103639340.0,nan
1730147917.3520086,817.1429,807.47253,811.50183,809.4872,nan,nan,,,,,,,,,
1730147917.3559110,823.1868,809.4872,813.91943,807.8755,nan,nan,,,,,,,,,
1730147917.3566091,,,,,,,-0.0657959,-0.05706787,0.984375,,,,,,
1730147917.3598135,825.6044,808.68134,814.3223,809.4872,nan,nan,,,,,,,,,
1730147917.3637159,820.3663,810.293,812.3077,808.2784,nan,nan,,,,,,,,,
1730147917.3661489,,,,,,,,,,,,,nan,103637730.0,nan
1730147917.3676183,806.6667,812.3077,809.0842,798.60803,nan,nan,,,,,,,,,
1730147917.3715208,815.5311,814.3223,806.6667,805.05493,nan,nan,,,,,,,,,
1730147917.3754232,830.4396,811.50183,810.293,813.1135,nan,nan,,,,,,,,,
1730147917.3754919,,,,,,,-0.0703125,-0.05682373,0.9838257,,,,,,
1730147917.3793256,821.978,809.0842,811.0989,805.4579,nan,nan,,,,,,,,,
1730147917.3817523,,,,,,,,,,,,,nan,103590990.0,nan
1730147917.3818941,,,,,,,,,,1703589.8,1607692.2,,,,
1730147917.3832281,812.3077,814.3223,806.26373,801.02563,nan,nan,,,,,,,,,
1730147917.3871305,814.3223,811.50183,804.65204,806.6667,nan,nan,,,,,,,,,
1730147917.3910329,821.1722,802.6374,805.8608,805.05493,nan,nan,,,,,,,,,
1730147917.3943746,,,,,,,-0.06945801,-0.055725098,0.9862671,,,,,,
1730147917.3949354,814.7253,803.8461,809.0842,800.2198,nan,nan,,,,,,,,,
1730147917.3973556,,,,,,,,,,,,,nan,103639340.0,nan
1730147917.3988380,800.6227,807.0696,805.8608,789.7436,nan,nan,,,,,,,,,
1730147917.4027405,800.2198,807.0696,805.4579,791.3553,nan,nan,,,,,,,,,
1730147917.4066429,803.8461,803.44324,807.47253,796.5934,nan,nan,,,,,,,,,
1730147917.4105453,807.0696,804.65204,808.2784,794.17584,nan,nan,,,,,,,,,
1730147917.4129589,,,,,,,,,,,,,nan,103651430.0,nan
1730147917.4132574,,,,,,,-0.07165527,-0.05670166,0.979126,,,,,,
1730147917.4144478,797.8022,806.6667,807.0696,792.5641,nan,nan,,,,,,,,,
1730147917.4170308,,,,,,,,,,1703589.8,1607692.2,,,,
1730147917.4183502,790.9524,803.0403,805.4579,788.93774,nan,nan,,,,,,,,,
1730147917.4222527,799.41394,804.2491,809.0842,793.36993,nan,nan,,,,,,,,,
1730147917.4261551,803.8461,811.0989,811.0989,801.02563,nan,nan,,,,,,,,,
1730147917.4285622,,,,,,,,,,,,,nan,103636120.0,nan
1730147917.4300575,794.9817,809.0842,808.68134,797.8022,nan,nan,,,,,,,,,
1730147917.4321401,,,,,,,-0.071777344,-0.059509277,0.9835205,,,,,,
1730147917.4339600,782.0879,802.6374,811.50183,787.326,nan,nan,,,,,,,,,
1730147917.4378624,794.57874,806.6667,816.337,786.52014,nan,nan,,,,,,,,,
1730147917.4417648,813.5165,812.71063,814.3223,798.20514,nan,nan,,,,,,,,,
1730147917.4441655,,,,,,,,,,,,,nan,103611944.0,nan
1730147917.4456675,802.23444,811.50183,808.2784,802.6374,nan,nan,,,,,,,,,
1730147917.4495699,790.14655,810.293,808.68134,802.23444,nan,nan,,,,,,,,,
1730147917.4510229,,,,,,,-0.068359375,-0.059509277,0.979187,,,,,,
1730147917.4521673,,,,,,,,,,1703589.8,1607692.2,,,,
1730147917.4534724,790.54944,806.26373,810.696,799.81683,nan,nan,,,,,,,,,
1730147917.4573748,805.4579,808.68134,808.2784,804.65204,nan,nan,,,,,,,,,
1730147917.4597688,,,,,,,,,,,,,nan,103584540.0,nan
1730147917.4612772,804.2491,811.50183,808.68134,803.8461,nan,nan,,,,,,,,,
1730147917.4651797,786.9231,806.6667,808.68134,798.20514,nan,nan,,,,,,,,,
1730147917.4690821,791.75824,804.65204,807.8755,805.05493,nan,nan,,,,,,,,,
1730147917.4699059,,,,,,,-0.06640625,-0.05682373,0.9793091,,,,,,
1730147917.4729846,811.50183,806.26373,806.6667,812.3077,nan,nan,,,,,,,,,
1730147917.4753721,,,,,,,,,,,,,nan,103619190.0,nan
1730147917.4768870,816.7399,805.8608,808.68134,810.696,nan,nan,,,,,,,,,
1730147917.4807894,805.4579,805.8608,807.8755,801.8315,nan,nan,,,,,,,,,
1730147917.4846919,804.65204,806.26373,802.23444,799.011,nan,nan,,,,,,,,,
1730147917.4873037,,,,,,,,,,1703589.8,1607692.2,,,,
1730147917.4885945,810.696,803.8461,805.8608,804.2491,nan,nan,,,,,,,,,
1730147917.4887886,,,,,,,-0.06982422,-0.05859375,0.98394775,,,,,,
1730147917.4909754,,,,,,,,,,,,,nan,103642570.0,nan
1730147917.4924970,807.8755,801.4286,805.05493,803.44324,nan,nan,,,,,,,,,
1730147917.4963994,803.8461,802.6374,803.0403,792.1612,nan,nan,,,,,,,,,
1730147917.5003018,802.6374,804.65204,803.8461,790.9524,nan,nan,,,,,,,,,
1730147917.5042043,805.8608,803.8461,801.4286,805.4579,nan,nan,,,,,,,,,
1730147917.5065789,,,,,,,,,,,,,nan,103595016.0,nan
1730147917.5076714,,,,,,,-0.071777344,-0.058898926,0.98291016,,,,,,
1730147917.5081067,815.12823,807.8755,803.44324,813.91943,nan,nan,,,,,,,,,
1730147917.5120091,808.68134,809.89014,804.65204,807.47253,nan,nan,,,,,,,,,
1730147917.5159116,799.81683,800.6227,807.0696,798.60803,nan,nan,,,,,,,,,
1730147917.5198140,800.6227,797.8022,803.8461,801.4286,nan,nan,,,,,,,,,
1730147917.5221822,,,,,,,,,,,,,nan,103636120.0,nan
1730147917.5224402,,,,,,,,,,1703589.8,1607692.2,,,,
1730147917.5237164,805.4579,802.23444,802.6374,809.0842,nan,nan,,,,,,,,,
1730147917.5265541,,,,,,,-0.06695557,-0.05718994,0.9819336,,,,,,
1730147917.5276189,803.44324,801.8315,806.26373,810.293,nan,nan,,,,,,,,,
1730147917.5315213,793.36993,801.02563,806.26373,798.60803,nan,nan,,,,,,,,,
1730147917.5354240,791.3553,803.0403,805.05493,797.3993,nan,nan,,,,,,,,,
1730147917.5377855,,,,,,,,,,,,,nan,103609520.0,nan
1730147917.5393264,801.4286,804.2491,807.0696,800.6227,nan,nan,,,,,,,,,
1730147917.5432289,813.1135,801.02563,810.696,809.0842,nan,nan,,,,,,,,,
1730147917.5454369,,,,,,,-0.06707764,-0.054748535,0.9841919,,,,,,
1730147917.5471313,801.4286,798.60803,808.68134,807.47253,nan,nan,,,,,,,,,
1730147917.5510337,800.2198,801.02563,806.6667,800.6227,nan,nan,,,,,,,,,
1730147917.5533888,,,,,,,,,,,,,nan,103576480.0,nan
1730147917.5549362,813.5165,805.4579,807.8755,811.0989,nan,nan,,,,,,,,,
