timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730572887.6549840,814.3223,1015.78754,365.05493,811.0989,nan,nan,,,,,,,,,
1730572887.6590321,818.7546,992.4176,350.1465,805.8608,nan,nan,,,,,,,,,
1730572887.6630802,803.44324,928.7546,360.2198,811.0989,nan,nan,,,,,,,,,
1730572887.6671283,778.0586,865.89746,349.7436,786.9231,nan,nan,,,,,,,,,
1730572887.6711764,799.81683,1002.0879,377.94873,767.5824,nan,nan,,,,,,,,,
1730572887.6752245,799.011,979.92676,373.9194,775.2381,nan,nan,,,,,,,,,
1730572887.6792727,788.93774,744.61536,296.55676,776.4469,nan,nan,,,,,,,,,
1730572887.6833208,812.3077,383.58975,266.73993,807.0696,nan,nan,,,,,,,,,
1730572887.6873689,790.14655,790.9524,448.46155,802.6374,nan,nan,,,,,,,,,
1730572887.6914172,780.4762,1234.5787,454.90842,763.5531,nan,nan,,,,,,,,,
1730572887.6954653,792.5641,941.6484,393.26007,788.1319,nan,nan,,,,,,,,,
1730572887.6995134,780.07324,867.50916,392.05127,792.5641,nan,nan,,,,,,,,,
1730572887.7035615,761.9414,1121.7583,442.01465,778.46155,nan,nan,,,,,,,,,
1730572887.7076097,777.25275,1137.8755,419.45056,790.9524,nan,nan,,,,,,,,,
1730572887.7116578,794.57874,884.43225,386.41025,809.89014,nan,nan,,,,,,,,,
1730572887.7157059,789.7436,736.1539,411.39194,815.12823,nan,nan,,,,,,,,,
1730572887.7197540,805.8608,891.28204,401.72162,818.3516,nan,nan,,,,,,,,,
1730572887.7238021,805.4579,922.3077,404.1392,786.52014,nan,nan,,,,,,,,,
1730572887.7278502,788.5348,364.24908,257.47253,776.8498,nan,nan,,,,,,,,,
1730572887.7318983,787.326,226.04396,271.97803,778.46155,nan,nan,,,,,,,,,
1730572887.7359464,776.4469,981.53845,515.34796,764.35895,nan,nan,,,,,,,,,
1730572887.7399945,776.4469,1115.7142,457.32602,768.3883,nan,nan,,,,,,,,,
1730572887.7440426,775.64105,864.2857,413.8095,760.7326,nan,nan,,,,,,,,,
1730572887.7480907,783.2967,1004.90845,481.0989,762.3443,nan,nan,,,,,,,,,
1730572887.7521389,774.83514,1218.8645,496.00732,767.5824,nan,nan,,,,,,,,,
1730572887.7561870,775.2381,1074.6154,436.37363,762.3443,nan,nan,,,,,,,,,
1730572887.7602351,794.17584,901.3553,416.2271,757.9121,nan,nan,,,,,,,,,
1730572887.7642834,781.685,1088.7179,483.9194,757.1062,nan,nan,,,,,,,,,
1730572887.7683315,782.49084,1128.608,468.60806,757.9121,nan,nan,,,,,,,,,
1730572887.7723796,817.1429,778.86444,343.69965,771.6117,nan,nan,,,,,,,,,
1730572887.7764277,807.47253,352.16116,322.34433,775.64105,nan,nan,,,,,,,,,
1730572887.7804759,782.8938,658.7912,481.50183,757.1062,nan,nan,,,,,,,,,
1730572887.7845240,771.2088,1245.8608,555.64105,728.0952,nan,nan,,,,,,,,,
1730572887.7885721,774.43225,904.9817,377.94873,732.1245,nan,nan,,,,,,,,,
1730572887.7926202,787.326,622.52747,327.98535,745.82416,nan,nan,,,,,,,,,
1730572887.7966683,774.83514,1129.8169,540.32965,752.674,nan,nan,,,,,,,,,
1730572887.8007164,777.25275,1272.4542,516.9597,757.9121,nan,nan,,,,,,,,,
1730572887.8047645,776.4469,996.8498,468.60806,778.0586,nan,nan,,,,,,,,,
1730572887.8088126,777.6557,952.1245,495.20148,790.54944,nan,nan,,,,,,,,,
1730572887.8128607,783.69965,1181.392,525.42126,783.2967,nan,nan,,,,,,,,,
1730572887.8169088,790.14655,1218.4615,516.1539,778.46155,nan,nan,,,,,,,,,
1730572887.8209569,801.4286,864.68866,450.4762,789.34064,nan,nan,,,,,,,,,
1730572887.8250051,768.7912,666.8498,458.93774,777.25275,nan,nan,,,,,,,,,
1730572887.8290532,774.43225,833.2601,512.52747,757.50916,nan,nan,,,,,,,,,
1730572887.8331013,788.5348,1026.2638,550.0,771.6117,nan,nan,,,,,,,,,
1730572887.8351731,,,,,,,,,,,,,nan,158608720.0,nan
