timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730572796.0803382,,,,,,,,,,1595604.4,1607692.2,,,,
1730572796.1163344,,,,,,,,,,1595604.4,1607692.2,,,,
1730572796.1523304,,,,,,,,,,1595604.4,1607692.2,,,,
1730572796.1883266,,,,,,,,,,1595604.4,1607692.2,,,,
1730572796.2084229,,,,,,,,,,,,,nan,161202780.0,nan
1730572796.2241540,,,,,,,,,,,,,nan,161177810.0,nan
1730572796.2243228,,,,,,,,,,1595604.4,1607692.2,,,,
1730572796.2380397,811.50183,756.7033,1166.4835,793.36993,nan,nan,,,,,,,,,
1730572796.2398853,,,,,,,,,,,,,nan,161190690.0,nan
1730572796.2420099,811.9048,1028.6813,1229.3407,789.7436,nan,nan,,,,,,,,,
1730572796.2459800,817.1429,1172.1245,1225.7142,782.49084,nan,nan,,,,,,,,,
1730572796.2499502,813.5165,878.7912,1182.6007,786.52014,nan,nan,,,,,,,,,
1730572796.2539203,790.14655,868.71796,1187.033,784.5055,nan,nan,,,,,,,,,
1730572796.2556164,,,,,,,,,,,,,nan,161181020.0,nan
1730572796.2578905,792.5641,861.4652,1178.1685,784.5055,nan,nan,,,,,,,,,
1730572796.2603188,,,,,,,,,,1595604.4,1607692.2,,,,
1730572796.2618606,798.20514,759.5238,1151.978,782.49084,nan,nan,,,,,,,,,
1730572796.2658308,788.1319,461.75824,1091.9414,770.80585,nan,nan,,,,,,,,,
1730572796.2698009,785.7143,476.26373,1148.3517,759.5238,nan,nan,,,,,,,,,
1730572796.2713475,,,,,,,,,,,,,nan,161251140.0,nan
1730572796.2737710,786.52014,1086.3004,1218.4615,767.5824,nan,nan,,,,,,,,,
1730572796.2777412,791.75824,1095.1648,1151.978,786.52014,nan,nan,,,,,,,,,
1730572796.2817113,789.7436,833.663,1102.8206,792.1612,nan,nan,,,,,,,,,
1730572796.2856815,797.8022,1012.5641,1172.5275,796.99634,nan,nan,,,,,,,,,
1730572796.2870786,,,,,,,,,,,,,nan,161203580.0,nan
1730572796.2896519,812.71063,1180.1831,1181.7949,801.8315,nan,nan,,,,,,,,,
1730572796.2936220,820.3663,989.59705,1142.7106,796.99634,nan,nan,,,,,,,,,
1730572796.2963150,,,,,,,,,,1595604.4,1607692.2,,,,
1730572796.2975922,815.5311,673.69965,1118.5348,800.2198,nan,nan,,,,,,,,,
1730572796.3015623,811.50183,841.7216,1123.773,796.5934,nan,nan,,,,,,,,,
1730572796.3028100,,,,,,,,,,,,,nan,161187470.0,nan
1730572796.3055325,813.5165,861.4652,1114.1025,804.65204,nan,nan,,,,,,,,,
1730572796.3095026,805.05493,593.91943,1057.6923,822.7839,nan,nan,,,,,,,,,
1730572796.3134727,806.6667,160.3663,911.02563,826.0073,nan,nan,,,,,,,,,
1730572796.3156135,,,,,,,-0.18713379,-0.053894043,0.96569824,,,,,,
1730572796.3174429,806.26373,613.663,1078.2417,808.2784,nan,nan,,,,,,,,,
1730572796.3185410,,,,,,,,,,,,,nan,161220510.0,nan
1730572796.3214130,818.7546,1219.6703,1171.7216,786.52014,nan,nan,,,,,,,,,
1730572796.3253832,829.2308,933.9927,1075.8242,791.75824,nan,nan,,,,,,,,,
1730572796.3293533,827.2161,713.1868,1100.0,792.96704,nan,nan,,,,,,,,,
1730572796.3323109,,,,,,,,,,1595604.4,1607692.2,,,,
1730572796.3333235,830.4396,1068.9744,1143.5165,798.60803,nan,nan,,,,,,,,,
1730572796.3342721,,,,,,,,,,,,,nan,161252750.0,nan
1730572796.3347731,,,,,,,-0.19171143,-0.054138184,0.9680786,,,,,,
1730572796.3372936,813.1135,1177.3627,1124.1758,797.8022,nan,nan,,,,,,,,,
1730572796.3412638,799.41394,887.25275,1076.227,794.57874,nan,nan,,,,,,,,,
1730572796.3452339,814.3223,913.0403,1099.1941,784.5055,nan,nan,,,,,,,,,
1730572796.3492041,827.2161,1072.1978,1116.9231,784.10254,nan,nan,,,,,,,,,
1730572796.3500035,,,,,,,,,,,,,nan,161236620.0,nan
1730572796.3531742,828.8278,834.4689,1064.1392,790.54944,nan,nan,,,,,,,,,
1730572796.3539329,,,,,,,-0.190979,-0.054260254,0.97351074,,,,,,
1730572796.3571444,832.0513,560.07324,1016.1905,783.2967,nan,nan,,,,,,,,,
1730572796.3611145,832.8571,725.2747,1061.7216,774.83514,nan,nan,,,,,,,,,
1730572796.3650846,841.7216,1062.9304,1126.9963,782.49084,nan,nan,,,,,,,,,
1730572796.3657346,,,,,,,,,,,,,nan,161284980.0,nan
1730572796.3683071,,,,,,,,,,1595604.4,1607692.2,,,,
1730572796.3690548,832.0513,1085.4945,1075.0183,803.44324,nan,nan,,,,,,,,,
1730572796.3730249,813.1135,416.63004,890.07324,820.3663,nan,nan,,,,,,,,,
1730572796.3730924,,,,,,,-0.19476318,-0.052978516,0.9661865,,,,,,
1730572796.3769951,799.011,324.7619,1016.1905,794.57874,nan,nan,,,,,,,,,
1730572796.3809652,812.71063,1049.2307,1139.0842,777.25275,nan,nan,,,,,,,,,
1730572796.3814657,,,,,,,,,,,,,nan,161239860.0,nan
1730572796.3849354,826.8132,1039.9634,1066.9597,789.34064,nan,nan,,,,,,,,,
1730572796.3889058,818.3516,771.6117,1042.7839,798.20514,nan,nan,,,,,,,,,
1730572796.3922522,,,,,,,-0.19830322,-0.055114746,0.9660034,,,,,,
1730572796.3928759,818.7546,980.7326,1073.8096,805.8608,nan,nan,,,,,,,,,
1730572796.3968461,822.7839,1101.2087,1097.9854,797.8022,nan,nan,,,,,,,,,
1730572796.3971968,,,,,,,,,,,,,nan,161243890.0,nan
1730572796.4008162,830.0366,735.34796,1004.10254,796.5934,nan,nan,,,,,,,,,
1730572796.4043033,,,,,,,,,,1595604.4,1607692.2,,,,
1730572796.4047863,832.8571,163.99268,805.05493,812.3077,nan,nan,,,,,,,,,
1730572796.4087565,828.8278,403.33334,957.3626,800.6227,nan,nan,,,,,,,,,
1730572796.4114118,,,,,,,-0.20458984,-0.055908203,0.9567871,,,,,,
1730572796.4127266,830.4396,852.6007,1078.6447,791.3553,nan,nan,,,,,,,,,
1730572796.4129281,,,,,,,,,,,,,nan,161243890.0,nan
1730572796.4166968,828.022,753.47986,985.9707,798.20514,nan,nan,,,,,,,,,
1730572796.4206669,829.2308,489.1575,966.63007,794.9817,nan,nan,,,,,,,,,
1730572796.4246371,838.0952,931.5751,1080.6593,794.17584,nan,nan,,,,,,,,,
1730572796.4286072,840.5128,1159.2307,1091.1355,787.326,nan,nan,,,,,,,,,
1730572796.4286592,,,,,,,,,,,,,nan,161268060.0,nan
1730572796.4305716,,,,,,,-0.19769287,-0.057128906,0.95684814,,,,,,
1730572796.4325774,850.18317,888.46155,1028.2784,794.17584,nan,nan,,,,,,,,,
1730572796.4365475,848.97437,921.50183,1054.0659,799.011,nan,nan,,,,,,,,,
1730572796.4402993,,,,,,,,,,1595604.4,1607692.2,,,,
1730572796.4405177,824.3956,1135.4579,1094.359,778.0586,nan,nan,,,,,,,,,
1730572796.4443903,,,,,,,,,,,,,nan,161268860.0,nan
1730572796.4444878,828.4249,1121.3553,1074.2124,766.77655,nan,nan,,,,,,,,,
1730572796.4484580,838.9011,711.978,1011.3553,782.49084,nan,nan,,,,,,,,,
1730572796.4497311,,,,,,,-0.2033081,-0.06347656,0.9540405,,,,,,
1730572796.4524281,837.28937,579.011,1012.96704,785.31134,nan,nan,,,,,,,,,
1730572796.4563982,834.0659,997.6557,1085.8975,782.8938,nan,nan,,,,,,,,,
1730572796.4601216,,,,,,,,,,,,,nan,161272080.0,nan
1730572796.4603684,844.5421,1081.8682,1058.0952,808.68134,nan,nan,,,,,,,,,
1730572796.4643385,859.0476,619.304,919.4872,816.7399,nan,nan,,,,,,,,,
1730572796.4683087,834.0659,623.73627,977.9121,803.8461,nan,nan,,,,,,,,,
1730572796.4688909,,,,,,,-0.21014404,-0.06262207,0.9602051,,,,,,
1730572796.4722788,826.0073,1022.6374,1097.1794,809.89014,nan,nan,,,,,,,,,
1730572796.4758527,,,,,,,,,,,,,nan,161229380.0,nan
1730572796.4762490,857.03296,1011.75824,1039.1575,797.8022,nan,nan,,,,,,,,,
1730572796.4762955,,,,,,,,,,1595604.4,1607692.2,,,,
1730572796.4802191,864.68866,363.04028,800.2198,788.5348,nan,nan,,,,,,,,,
1730572796.4841893,833.2601,565.31134,953.3333,769.19415,nan,nan,,,,,,,,,
1730572796.4880505,,,,,,,-0.21307373,-0.06188965,0.95788574,,,,,,
1730572796.4881597,827.2161,1113.2968,1110.8792,765.9707,nan,nan,,,,,,,,,
1730572796.4915838,,,,,,,,,,,,,nan,161245490.0,nan
1730572796.4921298,828.022,878.7912,1002.0879,772.8205,nan,nan,,,,,,,,,
1730572796.4960999,828.022,379.56042,900.54944,775.2381,nan,nan,,,,,,,,,
1730572796.5000701,829.6337,508.09525,965.42126,783.2967,nan,nan,,,,,,,,,
1730572796.5040402,822.381,743.4066,1024.652,807.0696,nan,nan,,,,,,,,,
1730572796.5072103,,,,,,,-0.21276855,-0.066345215,0.95477295,,,,,,
1730572796.5073149,,,,,,,,,,,,,nan,161277730.0,nan
1730572796.5080104,828.022,664.43225,978.315,797.8022,nan,nan,,,,,,,,,
1730572796.5119805,842.1245,201.86813,821.978,791.3553,nan,nan,,,,,,,,,
1730572796.5122917,,,,,,,,,,1595604.4,1607692.2,,,,
1730572796.5159507,835.2747,694.65204,1009.34064,784.90845,nan,nan,,,,,,,,,
1730572796.5199208,830.4396,1252.3077,1119.3407,765.16486,nan,nan,,,,,,,,,
1730572796.5230463,,,,,,,,,,,,,nan,161244690.0,nan
1730572796.5238910,834.4689,922.71063,1002.49084,774.83514,nan,nan,,,,,,,,,
1730572796.5263698,,,,,,,-0.20941162,-0.061157227,0.9553833,,,,,,
1730572796.5278611,845.34796,775.64105,1009.7436,786.1172,nan,nan,,,,,,,,,
1730572796.5318313,841.31866,1100.403,1086.3004,780.87915,nan,nan,,,,,,,,,
1730572796.5358014,836.8865,1215.641,1079.0476,791.3553,nan,nan,,,,,,,,,
1730572796.5387774,,,,,,,,,,,,,nan,161270480.0,nan
1730572796.5397716,834.87177,847.3626,1014.57874,801.8315,nan,nan,,,,,,,,,
1730572796.5437417,829.6337,661.6117,1009.7436,778.0586,nan,nan,,,,,,,,,
1730572796.5455294,,,,,,,-0.19970703,-0.059509277,0.965271,,,,,,
1730572796.5477118,836.8865,790.9524,1032.3077,773.22345,nan,nan,,,,,,,,,
1730572796.5482876,,,,,,,,,,1595604.4,1606886.5,,,,
1730572796.5516820,824.3956,1019.81683,1057.2894,797.8022,nan,nan,,,,,,,,,
1730572796.5545084,,,,,,,,,,,,,nan,161264030.0,nan
1730572796.5556521,832.0513,583.8461,936.4103,800.6227,nan,nan,,,,,,,,,
1730572796.5596223,841.31866,453.2967,1006.1172,809.0842,nan,nan,,,,,,,,,
1730572796.5635924,822.381,1089.9268,1110.4762,809.0842,nan,nan,,,,,,,,,
1730572796.5646892,,,,,,,-0.20666504,-0.058288574,0.95721436,,,,,,
1730572796.5675626,817.1429,1095.1648,1046.4103,777.6557,nan,nan,,,,,,,,,
1730572796.5702398,,,,,,,,,,,,,nan,161289820.0,nan
1730572796.5715327,830.4396,826.8132,983.95605,782.49084,nan,nan,,,,,,,,,
