timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730572525.9813662,,,,,,,,,,1599633.8,1607692.2,,,,
1730572526.0178170,,,,,,,,,,1599633.8,1607692.2,,,,
1730572526.0542679,,,,,,,,,,1599633.8,1607692.2,,,,
1730572526.0907190,,,,,,,,,,1599633.8,1607692.2,,,,
1730572526.1271698,,,,,,,,,,1599633.8,1607692.2,,,,
1730572526.1636207,,,,,,,,,,1599633.8,1607692.2,,,,
1730572526.2000716,,,,,,,,,,1599633.8,1607692.2,,,,
1730572526.2365224,,,,,,,,,,1599633.8,1607692.2,,,,
1730572526.2729733,,,,,,,,,,1599633.8,1607692.2,,,,
1730572526.3094244,,,,,,,,,,1599633.8,1607692.2,,,,
1730572526.3458753,,,,,,,,,,1599633.8,1607692.2,,,,
1730572526.3570137,,,,,,,-0.22375488,-0.029541016,0.95874023,,,,,,
1730572526.3763332,,,,,,,-0.21533203,-0.030517578,0.95532227,,,,,,
1730572526.3823261,,,,,,,,,,1598827.9,1607692.2,,,,
1730572526.3956528,,,,,,,-0.21258545,-0.035339355,0.97143555,,,,,,
1730572526.4149723,,,,,,,-0.20874023,-0.042114258,0.97052,,,,,,
1730572526.4187770,,,,,,,,,,1599633.8,1607692.2,,,,
1730572526.4342918,,,,,,,-0.20391846,-0.043518066,0.96502686,,,,,,
1730572526.4473341,770.40295,879.59705,859.45056,773.6264,nan,nan,,,,,,,,,
1730572526.4513321,781.28204,1075.0183,935.6044,791.3553,nan,nan,,,,,,,,,
1730572526.4536114,,,,,,,-0.18457031,-0.05053711,0.9555664,,,,,,
1730572526.4552279,,,,,,,,,,1599633.8,1607692.2,,,,
1730572526.4553301,775.2381,782.0879,832.0513,786.52014,nan,nan,,,,,,,,,
1730572526.4593284,773.22345,781.685,855.82416,781.685,nan,nan,,,,,,,,,
1730572526.4633265,776.4469,1079.4506,928.3516,784.10254,nan,nan,,,,,,,,,
1730572526.4673245,778.46155,1008.5348,910.6227,782.0879,nan,nan,,,,,,,,,
1730572526.4713225,786.52014,683.7729,797.3993,782.0879,nan,nan,,,,,,,,,
1730572526.4729309,,,,,,,-0.17218018,-0.049194336,0.95269775,,,,,,
1730572526.4753208,775.64105,585.8608,775.64105,791.3553,nan,nan,,,,,,,,,
1730572526.4793189,766.3736,1011.75824,945.2747,782.49084,nan,nan,,,,,,,,,
1730572526.4833169,785.31134,1264.7986,971.06226,778.86444,nan,nan,,,,,,,,,
1730572526.4873149,792.96704,833.663,780.4762,788.93774,nan,nan,,,,,,,,,
1730572526.4913130,774.43225,703.5165,772.01465,787.326,nan,nan,,,,,,,,,
1730572526.4916787,,,,,,,,,,1599633.8,1607692.2,,,,
1730572526.4922504,,,,,,,-0.17651367,-0.051452637,0.9569702,,,,,,
1730572526.4953113,757.9121,1161.6483,960.58606,780.87915,nan,nan,,,,,,,,,
1730572526.4993093,782.49084,1241.8315,964.21246,793.7729,nan,nan,,,,,,,,,
1730572526.5033073,776.8498,732.9304,788.93774,792.5641,nan,nan,,,,,,,,,
1730572526.5073054,768.7912,573.7729,761.53845,799.41394,nan,nan,,,,,,,,,
1730572526.5113037,780.4762,880.40295,896.1172,813.1135,nan,nan,,,,,,,,,
1730572526.5115700,,,,,,,-0.18017578,-0.05053711,0.9655762,,,,,,
1730572526.5153017,758.71796,743.8095,857.03296,796.5934,nan,nan,,,,,,,,,
1730572526.5192997,751.06226,592.3077,797.8022,774.0293,nan,nan,,,,,,,,,
1730572526.5232978,762.3443,784.90845,850.58606,771.2088,nan,nan,,,,,,,,,
1730572526.5272958,767.98535,1039.5604,919.89014,788.93774,nan,nan,,,,,,,,,
1730572526.5281298,,,,,,,,,,1598827.9,1607692.2,,,,
1730572526.5308895,,,,,,,-0.19702148,-0.047058105,0.95965576,,,,,,
1730572526.5312941,790.14655,940.84247,907.8022,815.5311,nan,nan,,,,,,,,,
1730572526.5352921,773.22345,334.43222,645.4945,803.44324,nan,nan,,,,,,,,,
1730572526.5392902,751.06226,286.0806,648.71796,771.6117,nan,nan,,,,,,,,,
1730572526.5432882,747.03296,1085.0916,975.09155,764.35895,nan,nan,,,,,,,,,
1730572526.5472863,752.27106,1081.8682,883.6264,786.9231,nan,nan,,,,,,,,,
1730572526.5502090,,,,,,,-0.19506836,-0.04473877,0.9626465,,,,,,
1730572526.5512846,751.06226,585.8608,734.5421,789.34064,nan,nan,,,,,,,,,
1730572526.5552826,748.6447,786.9231,844.5421,789.7436,nan,nan,,,,,,,,,
1730572526.5592806,752.27106,1222.0879,981.13556,790.14655,nan,nan,,,,,,,,,
1730572526.5632787,752.27106,887.6557,817.1429,780.4762,nan,nan,,,,,,,,,
1730572526.5645807,,,,,,,,,,1599633.8,1607692.2,,,,
1730572526.5672770,767.98535,266.337,616.8865,792.1612,nan,nan,,,,,,,,,
1730572526.5695286,,,,,,,-0.190979,-0.036254883,0.9614868,,,,,,
1730572526.5712750,751.4652,599.5604,832.4542,766.3736,nan,nan,,,,,,,,,
1730572526.5752730,743.4066,1229.7435,981.9414,779.2674,nan,nan,,,,,,,,,
