timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730573181.516758,-817.3576884270194,-830.0323608668857,-592.3093394947408,821.1722,,,,,,,,,,,
1730573181.5206666,-788.5119826241851,-700.663023647248,-534.7392807961359,807.47253,,,,,,,,,,,
1730573181.524575,-798.1930105889396,-568.8860286605898,-496.5454080020229,806.26373,,,,,,,,,,,
1730573181.5284836,-791.3539202174346,-668.9194139046916,-567.0912467486598,800.2198,,,,,,,,,,,
1730573181.5323925,-805.7953185104743,-875.6065679514563,-608.9550712765547,794.57874,,,,,,,,,,,
1730573181.536301,-811.7892085913008,-757.839970787329,-529.7924968773533,804.65204,,,,,,,,,,,
1730573181.5402093,-807.1734951492208,-477.0221498767653,-457.68145374235723,813.1135,,,,,,,,,,,
1730573181.544118,-800.4248735148738,-188.44606377176441,-348.5118361715628,803.8461,,,,,,,,,,,
1730573181.5480266,-803.3651320970132,-689.0245804284406,-565.0827762807058,804.2491,,,,,,,,,,,
1730573181.551935,-815.8395759472811,-833.4149777774898,-560.8060055381751,810.293,,,,,,,,,,,
1730573181.5558436,-790.6082343260653,-521.3307653006038,-463.2440219153758,782.0879,,,,,,,,,,,
1730573181.5597522,-784.5013203248727,-745.4324193068684,-548.7079855704087,787.326,,,,,,,,,,,
1730573181.5636606,-799.5818289151507,-1054.6908292706194,-650.6228364478104,801.8315,,,,,,,,,,,
1730573181.5675693,-802.9105172050888,-976.2839795832547,-592.6087206872015,801.02563,,,,,,,,,,,
1730573181.571478,-797.9177721793359,-667.9699441270551,-465.16297894707577,807.47253,,,,,,,,,,,
1730573181.5753863,-813.7640214386644,-763.9331635272985,-530.8001052615595,803.44324,,,,,,,,,,,
1730573181.5792947,-787.3623285381524,-988.1125350817551,-594.7944394050255,793.36993,,,,,,,,,,,
1730573181.5832036,-798.7678566394027,-689.0633319307377,-504.43112943879385,797.8022,,,,,,,,,,,
1730573181.5871122,-799.1914930394961,-143.27840551452366,-329.53799363427936,805.4579,,,,,,,,,,,
1730573181.5910206,-808.0098970554249,-459.98206983984056,-475.58713686361796,825.6044,,,,,,,,,,,
1730573181.5949292,-829.2941625045287,-858.2138585146133,-584.6275257401724,832.8571,,,,,,,,,,,
1730573181.598838,-784.3055453862844,-514.6105946743302,-442.9650236372447,778.0586,,,,,,,,,,,
1730573181.6027465,-794.6751557901582,-451.22040210084464,-499.90677431876054,760.7326,,,,,,,,,,,
1730573181.606655,-809.347789123031,-800.4928058579616,-590.7417650777664,793.7729,,,,,,,,,,,
1730573181.6086366,,,,,,,,,,1601245.4,1607692.2,,,,
1730573181.6105635,-805.2424096665898,-813.1079288696417,-504.6157103419659,800.2198,,,,,,,,,,,
1730573181.6144722,-801.1317010420439,-452.35085505104837,-432.9844095912485,793.7729,,,,,,,,,,,
1730573181.6183803,-799.462233025134,-445.630838995308,-492.9574597225183,797.3993,,,,,,,,,,,
1730573181.6222892,-801.4241222369568,-731.4114217462095,-532.1721977971348,792.5641,,,,,,,,,,,
1730573181.6261978,-790.9602722047749,-830.0294290424549,-549.4832721661019,796.1905,,,,,,,,,,,
1730573181.6301064,-813.6136969627996,-489.84754823186654,-466.75001147761583,811.50183,,,,,,,,,,,
1730573181.6340148,-811.7806688995404,-298.0855338444947,-461.5802548050526,806.26373,,,,,,,,,,,
1730573181.6379237,-790.6375241308396,-776.5543881753857,-592.5049681102621,798.60803,,,,,,,,,,,
1730573181.641832,-812.4187813052594,-869.7384563500516,-544.5864005247586,801.4286,,,,,,,,,,,
1730573181.6436818,,,,,,,,,,1601245.4,1607692.2,,,,
1730573181.6457405,-811.6007597889363,-582.05430470218,-460.5142451351957,809.0842,,,,,,,,,,,
1730573181.6496491,-834.5887169421904,-587.3225740739581,-509.1093010493318,807.47253,,,,,,,,,,,
1730573181.6535578,-824.0141806634903,-669.0539005304176,-517.1323538264962,819.5604,,,,,,,,,,,
1730573181.6574662,-830.0783779128415,-726.0367997702093,-535.2499285138598,821.978,,,,,,,,,,,
1730573181.6613748,-805.3062034695595,-461.90661298060104,-416.36038117992024,811.50183,,,,,,,,,,,
1730573181.6652834,-804.9751560236239,-506.47615268703436,-504.5012919595468,808.68134,,,,,,,,,,,
1730573181.669192,-809.9398880309925,-886.9748772612893,-628.3262339611557,786.52014,,,,,,,,,,,
1730573181.6731005,-782.987920825514,-830.4140150498577,-549.7450865287875,780.87915,,,,,,,,,,,
1730573181.677009,-816.6739782750532,-386.9519177516445,-436.4861067945041,794.9817,,,,,,,,,,,
1730573181.678727,,,,,,,,,,1601245.4,1607692.2,,,,
1730573181.6809175,-798.3187808224943,-419.2387214648857,-486.4512916568574,799.41394,,,,,,,,,,,
1730573181.684826,-819.2587094886561,-932.3750963280274,-633.7545303601089,798.60803,,,,,,,,,,,
1730573181.6887348,-819.2887684922827,-856.7478556756589,-561.872627572765,809.4872,,,,,,,,,,,
1730573181.6926434,-814.3392443669322,-231.6760763081367,-384.1736424778942,816.337,,,,,,,,,,,
1730573181.696552,-829.3071527667815,-570.3757470716024,-513.724724807047,805.8608,,,,,,,,,,,
1730573181.7004604,-813.1143581791058,-1057.1126818209373,-657.5822728766991,803.0403,,,,,,,,,,,
1730573181.7043693,-815.4944414993772,-868.6095308794486,-558.7041905922124,806.6667,,,,,,,,,,,
1730573181.7082777,-802.4782573363918,-532.1879811851587,-492.91397122755114,803.8461,,,,,,,,,,,
1730573181.712186,-790.8831935282172,-593.8881084127743,-527.1805589044419,795.78754,,,,,,,,,,,
1730573181.7136972,,,,,,,-0.08526611,-0.055603027,0.9766846,,,,,,
1730573181.7137718,,,,,,,,,,1601245.4,1607692.2,,,,
1730573181.7160947,-782.8666842372073,-924.9789377465014,-625.8304683652307,794.57874,,,,,,,,,,,
1730573181.7200034,-772.2720267012578,-824.3311734724192,-563.0818062270314,798.20514,,,,,,,,,,,
1730573181.723912,-797.657673563851,-343.2422542113868,-477.90630536476885,802.23444,,,,,,,,,,,
1730573181.7278204,-795.016584940655,-507.62444924395834,-548.8663847517558,788.1319,,,,,,,,,,,
1730573181.731729,-812.0348219931078,-899.1595368990361,-593.6407701085942,793.7729,,,,,,,,,,,
1730573181.7326057,,,,,,,-0.09692383,-0.058898926,0.9859009,,,,,,
1730573181.7356377,-829.4272344717178,-579.1680902666633,-443.6325212655045,815.5311,,,,,,,,,,,
1730573181.739546,-796.4640772314615,-252.8743937587499,-455.0689449570789,801.4286,,,,,,,,,,,
1730573181.7434547,-796.7425104776692,-679.1037059643268,-550.0705245324228,786.1172,,,,,,,,,,,
1730573181.747363,-797.8169504322573,-734.6661591188375,-511.8942911752804,789.7436,,,,,,,,,,,
1730573181.7488167,,,,,,,,,,1601245.4,1607692.2,,,,
1730573181.7512715,-789.7999186235477,-393.32021845309526,-382.22952436962294,790.14655,,,,,,,,,,,
1730573181.7515142,,,,,,,-0.09716797,-0.05596924,0.9729614,,,,,,
1730573181.7551804,-805.5251111892605,-454.0656645501959,-422.2933139124811,794.57874,,,,,,,,,,,
1730573181.759089,-819.5563577765624,-574.8260741621748,-499.186062376556,799.41394,,,,,,,,,,,
1730573181.7629976,-810.338936875704,-282.16591347363624,-351.087436216291,786.9231,,,,,,,,,,,
1730573181.766906,-818.2826529764709,-65.58912268104812,-267.4759343779619,784.90845,,,,,,,,,,,
1730573181.7704227,,,,,,,-0.09741211,-0.05432129,0.98150635,,,,,,
1730573181.770815,-793.2825904733238,-52.85228741743507,-319.3843790485387,798.60803,,,,,,,,,,,
1730573181.7747233,-784.2106459912374,-200.2070627473241,-450.8797371663151,799.81683,,,,,,,,,,,
1730573181.7786317,-795.1816798065572,-386.36263733444093,-428.7762133968998,784.90845,,,,,,,,,,,
1730573181.7825403,-804.1362261917019,-102.42108847460665,-252.26802861784003,797.8022,,,,,,,,,,,
1730573181.783862,,,,,,,,,,1601245.4,1607692.2,,,,
1730573181.786449,-803.626801324952,-257.32941874160963,-377.9002340171334,799.011,,,,,,,,,,,
1730573181.7893314,,,,,,,-0.091674805,-0.051513672,0.97424316,,,,,,
1730573181.7903576,-810.2633871099063,-700.2539429041904,-524.9198810078211,795.78754,,,,,,,,,,,
1730573181.794266,-792.7005010081964,-628.6506367966149,-459.49877452851734,801.4286,,,,,,,,,,,
1730573181.797397,,,,,,,,,,,,,,157577220.0,
1730573181.7981746,-832.4003377158673,-466.48422011231355,-483.4544818351339,803.8461,,,,,,,,,,,
1730573181.8020833,-825.1440063019436,-387.23986454303144,-459.1624165409197,806.6667,,,,,,,,,,,
1730573181.8059916,-817.1769400638226,-647.2809902316895,-525.217362677877,794.57874,,,,,,,,,,,
1730573181.80824,,,,,,,-0.09655762,-0.05065918,0.97924805,,,,,,
1730573181.8099003,-804.539191946969,-682.7842777710957,-491.8090087307542,803.8461,,,,,,,,,,,
1730573181.8130002,,,,,,,,,,,,,,157589310.0,
1730573181.813809,-823.1239152467994,-560.1698432440702,-494.5630260988224,819.15753,,,,,,,,,,,
1730573181.8177176,-824.0872302686266,-490.78241296559264,-448.7943763139637,807.0696,,,,,,,,,,,
1730573181.8189068,,,,,,,,,,1600439.5,1607692.2,,,,
1730573181.821626,-812.7009600448166,-540.5499937101899,-502.260894052479,799.41394,,,,,,,,,,,
1730573181.8255346,-807.5836492536134,-429.15689724255657,-424.42897052320745,804.65204,,,,,,,,,,,
1730573181.8271484,,,,,,,-0.09710693,-0.053894043,0.9827881,,,,,,
1730573181.8286035,,,,,,,,,,,,,,157581250.0,
1730573181.8294432,-815.8036659254063,-118.86216399209513,-306.82915063572074,810.696,,,,,,,,,,,
1730573181.8333516,-812.9858416957611,-667.382960417832,-527.4536077237849,808.2784,,,,,,,,,,,
1730573181.8372602,-798.6621923173419,-937.7197848856861,-596.6217729869263,810.293,,,,,,,,,,,
1730573181.8411689,-825.5941515316199,-638.5360468098143,-477.9761676397228,806.6667,,,,,,,,,,,
1730573181.8442073,,,,,,,,,,,,,,157577220.0,
1730573181.8450773,-814.1432220192077,-776.5293726200129,-549.5260691024652,797.3993,,,,,,,,,,,
1730573181.8460572,,,,,,,-0.09802246,-0.051452637,0.97473145,,,,,,
1730573181.848986,-782.9372963727516,-1020.9348793906751,-626.4084034499871,804.2491,,,,,,,,,,,
1730573181.8528943,-780.5487743254118,-949.0405905492918,-589.957857709782,808.2784,,,,,,,,,,,
1730573181.853952,,,,,,,,,,1601245.4,1607692.2,,,,
1730573181.8568032,-791.0078636249697,-677.822187478056,-490.835094172212,803.0403,,,,,,,,,,,
1730573181.8598108,,,,,,,,,,,,,,157599780.0,
1730573181.8607116,-794.0632769806405,-814.6056261905912,-548.8455045624166,807.0696,,,,,,,,,,,
1730573181.8646202,-794.0829740210609,-726.3708271246254,-557.5443017706824,821.5751,,,,,,,,,,,
1730573181.8649657,,,,,,,-0.09967041,-0.046447754,0.97991943,,,,,,
1730573181.8685288,-819.4969052277795,-518.2634215583523,-474.81560082960806,828.8278,,,,,,,,,,,
1730573181.8724372,-813.962125676037,-207.95256039435523,-369.3698969647382,824.3956,,,,,,,,,,,
1730573181.8754144,,,,,,,,,,,,,,157521620.0,
1730573181.876346,-808.4674058216408,-552.272945977819,-513.975161646723,806.26373,,,,,,,,,,,
1730573181.8802545,-799.0693709897921,-969.8691677946962,-613.2050950424273,803.8461,,,,,,,,,,,
1730573181.8838742,,,,,,,-0.1003418,-0.04650879,0.9748535,,,,,,
1730573181.8841631,-817.6541692598507,-689.5126919142521,-511.55386428758675,815.5311,,,,,,,,,,,
1730573181.8880715,-806.0316871926384,-678.9026035850449,-587.8602060292988,823.5897,,,,,,,,,,,
1730573181.8889968,,,,,,,,,,1601245.4,1607692.2,,,,
1730573181.891018,,,,,,,,,,,,,,157504690.0,
1730573181.8919802,-793.5717167140931,-936.2330013710402,-632.5333148723498,813.1135,,,,,,,,,,,
1730573181.8958888,-802.5474187493979,-828.7707427083889,-570.7426902403646,812.3077,,,,,,,,,,,
1730573181.8997972,-809.499296083578,-718.8787188213162,-539.363860422829,819.9634,,,,,,,,,,,
1730573181.902783,,,,,,,-0.100097656,-0.046020508,0.9790039,,,,,,
1730573181.9037058,-796.7018801746027,-835.3182129330911,-607.6071379385219,795.78754,,,,,,,,,,,
1730573181.9066217,,,,,,,,,,,,,,157515970.0,
1730573181.9076145,-807.9556492271088,-1039.4097742086258,-644.272376370317,783.69965,,,,,,,,,,,
1730573181.9115229,-806.3774569257231,-910.9185122109873,-573.125914680043,799.81683,,,,,,,,,,,
1730573181.9154315,-822.6636243374508,-572.8400075654024,-511.9800281226961,822.7839,,,,,,,,,,,
1730573181.91934,-824.0794247206683,-327.87759285930616,-477.77746872309217,815.12823,,,,,,,,,,,
1730573181.9216914,,,,,,,-0.10668945,-0.04815674,0.9736328,,,,,,
1730573181.922225,,,,,,,,,,,,,,157516780.0,
1730573181.9232488,-802.1199016238533,-892.5661485048379,-612.0233794607805,783.69965,,,,,,,,,,,
1730573181.924042,,,,,,,,,,1600439.5,1607692.2,,,,
1730573181.9271572,-815.4503205903849,-1121.001185277758,-636.1568462181519,792.1612,,,,,,,,,,,
