timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730573181.5167580,815.9341,835.6777,584.65204,821.1722,nan,nan,,,,,,,,,
1730573181.5206666,809.0842,686.5934,534.2857,807.47253,nan,nan,,,,,,,,,
1730573181.5245750,801.02563,570.14655,501.24542,806.26373,nan,nan,,,,,,,,,
1730573181.5284836,804.65204,667.6557,556.8498,800.2198,nan,nan,,,,,,,,,
1730573181.5323923,804.2491,876.3736,607.619,794.57874,nan,nan,,,,,,,,,
1730573181.5363009,811.0989,763.1502,536.7033,804.65204,nan,nan,,,,,,,,,
1730573181.5402093,814.7253,464.9817,464.9817,813.1135,nan,nan,,,,,,,,,
1730573181.5441179,808.68134,177.6923,360.2198,803.8461,nan,nan,,,,,,,,,
1730573181.5480266,802.23444,704.7253,547.1795,804.2491,nan,nan,,,,,,,,,
1730573181.5519350,792.1612,833.663,566.52014,810.293,nan,nan,,,,,,,,,
1730573181.5558436,788.93774,537.1062,455.31134,782.0879,nan,nan,,,,,,,,,
1730573181.5597522,791.3553,758.71796,551.2088,787.326,nan,nan,,,,,,,,,
1730573181.5636606,799.81683,1036.7399,630.18317,801.8315,nan,nan,,,,,,,,,
1730573181.5675693,807.47253,990.80585,584.2491,801.02563,nan,nan,,,,,,,,,
1730573181.5714779,800.6227,660.40295,458.5348,807.47253,nan,nan,,,,,,,,,
1730573181.5753865,799.41394,758.315,531.4652,803.44324,nan,nan,,,,,,,,,
1730573181.5792949,796.1905,996.04395,610.4396,793.36993,nan,nan,,,,,,,,,
1730573181.5832036,792.96704,685.78754,502.85715,797.8022,nan,nan,,,,,,,,,
1730573181.5871122,794.17584,146.66667,327.17947,805.4579,nan,nan,,,,,,,,,
1730573181.5910206,813.91943,461.35532,478.27838,825.6044,nan,nan,,,,,,,,,
1730573181.5949292,821.978,868.71796,588.68134,832.8571,nan,nan,,,,,,,,,
1730573181.5988379,786.9231,534.2857,454.5055,778.0586,nan,nan,,,,,,,,,
1730573181.6027465,786.1172,443.22345,508.49817,760.7326,nan,nan,,,,,,,,,
1730573181.6066549,807.47253,813.91943,581.4286,793.7729,nan,nan,,,,,,,,,
1730573181.6086366,,,,,,,,,,1601245.4,1607692.2,,,,
1730573181.6105635,800.6227,801.8315,515.7509,800.2198,nan,nan,,,,,,,,,
1730573181.6144722,792.96704,437.58243,449.2674,793.7729,nan,nan,,,,,,,,,
1730573181.6183805,799.011,458.93774,497.61905,797.3993,nan,nan,,,,,,,,,
1730573181.6222892,802.6374,732.9304,539.92676,792.5641,nan,nan,,,,,,,,,
1730573181.6261978,800.2198,834.4689,552.01465,796.1905,nan,nan,,,,,,,,,
1730573181.6301064,807.8755,500.8425,464.57877,811.50183,nan,nan,,,,,,,,,
1730573181.6340148,812.3077,292.52747,453.2967,806.26373,nan,nan,,,,,,,,,
1730573181.6379235,812.71063,763.1502,581.4286,798.60803,nan,nan,,,,,,,,,
1730573181.6418321,816.337,885.64105,556.04395,801.4286,nan,nan,,,,,,,,,
1730573181.6436818,,,,,,,,,,1601245.4,1607692.2,,,,
1730573181.6457405,815.9341,564.90845,464.1758,809.0842,nan,nan,,,,,,,,,
1730573181.6496491,817.5458,566.1172,497.61905,807.47253,nan,nan,,,,,,,,,
1730573181.6535578,821.5751,673.2967,525.82416,819.5604,nan,nan,,,,,,,,,
1730573181.6574662,808.68134,728.9011,539.5238,821.978,nan,nan,,,,,,,,,
1730573181.6613748,813.91943,464.1758,411.39194,811.50183,nan,nan,,,,,,,,,
1730573181.6652834,821.978,516.9597,493.1868,808.68134,nan,nan,,,,,,,,,
1730573181.6691921,804.65204,900.14655,612.0513,786.52014,nan,nan,,,,,,,,,
1730573181.6731005,800.6227,831.2454,548.3883,780.87915,nan,nan,,,,,,,,,
1730573181.6770091,805.4579,376.73993,430.32968,794.9817,nan,nan,,,,,,,,,
1730573181.6787267,,,,,,,,,,1601245.4,1607692.2,,,,
1730573181.6809177,803.8461,421.4652,492.38095,799.41394,nan,nan,,,,,,,,,
1730573181.6848261,811.0989,946.8865,631.39197,798.60803,nan,nan,,,,,,,,,
1730573181.6887348,814.3223,859.45056,558.46155,809.4872,nan,nan,,,,,,,,,
1730573181.6926434,825.2015,234.90843,375.1282,816.337,nan,nan,,,,,,,,,
1730573181.6965520,819.5604,580.2198,529.85345,805.8608,nan,nan,,,,,,,,,
1730573181.7004604,810.293,1062.1245,657.1795,803.0403,nan,nan,,,,,,,,,
1730573181.7043691,814.3223,855.0183,562.49084,806.6667,nan,nan,,,,,,,,,
1730573181.7082777,806.26373,541.13556,501.24542,803.8461,nan,nan,,,,,,,,,
1730573181.7121861,798.20514,590.696,529.45056,795.78754,nan,nan,,,,,,,,,
1730573181.7136972,,,,,,,-0.08526611,-0.055603027,0.9766846,,,,,,
1730573181.7137718,,,,,,,,,,1601245.4,1607692.2,,,,
1730573181.7160947,792.96704,938.8278,616.4835,794.57874,nan,nan,,,,,,,,,
1730573181.7200034,801.02563,827.619,556.04395,798.20514,nan,nan,,,,,,,,,
1730573181.7239120,805.8608,349.7436,485.1282,802.23444,nan,nan,,,,,,,,,
1730573181.7278204,800.6227,516.9597,558.46155,788.1319,nan,nan,,,,,,,,,
1730573181.7317290,808.2784,919.4872,594.7253,793.7729,nan,nan,,,,,,,,,
1730573181.7326057,,,,,,,-0.09692383,-0.058898926,0.9859009,,,,,,
1730573181.7356377,815.5311,581.4286,447.65567,815.5311,nan,nan,,,,,,,,,
1730573181.7395461,802.6374,250.62271,441.61172,801.4286,nan,nan,,,,,,,,,
1730573181.7434547,795.38464,677.326,560.4762,786.1172,nan,nan,,,,,,,,,
1730573181.7473633,810.696,732.52747,507.28937,789.7436,nan,nan,,,,,,,,,
