timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730575233.5229805,,,,,,,,,,1601245.4,1607692.2,,,,
1730575233.5587144,,,,,,,,,,1601245.4,1607692.2,,,,
1730575233.5944483,,,,,,,,,,1601245.4,1607692.2,,,,
1730575233.6301825,,,,,,,,,,1601245.4,1607692.2,,,,
1730575233.6659164,,,,,,,,,,1601245.4,1607692.2,,,,
1730575233.7016504,,,,,,,,,,1601245.4,1607692.2,,,,
1730575233.7313747,,,,,,,,,,,,,nan,123442570.0,nan
1730575233.7373843,,,,,,,,,,1601245.4,1607692.2,,,,
1730575233.7472506,,,,,,,,,,,,,nan,123486080.0,nan
1730575233.7631264,,,,,,,,,,,,,nan,123548130.0,nan
1730575233.7731185,,,,,,,,,,1601245.4,1607692.2,,,,
1730575233.7790022,,,,,,,,,,,,,nan,123625496.0,nan
1730575233.7948780,,,,,,,,,,,,,nan,123606150.0,nan
1730575233.8088524,,,,,,,,,,1601245.4,1607692.2,,,,
1730575233.8107538,,,,,,,,,,,,,nan,123586010.0,nan
1730575233.8266296,,,,,,,,,,,,,nan,123503810.0,nan
1730575233.8425055,,,,,,,,,,,,,nan,123406300.0,nan
1730575233.8445864,,,,,,,,,,1601245.4,1607692.2,,,,
1730575233.8583813,,,,,,,,,,,,,nan,123316040.0,nan
1730575233.8742571,,,,,,,,,,,,,nan,123185496.0,nan
1730575233.8803203,,,,,,,,,,1601245.4,1607692.2,,,,
1730575233.8901329,,,,,,,,,,,,,nan,123062200.0,nan
1730575233.9060087,,,,,,,,,,,,,nan,123038024.0,nan
1730575233.9160542,,,,,,,,,,1601245.4,1607692.2,,,,
1730575233.9218845,,,,,,,,,,,,,nan,122887330.0,nan
1730575233.9377604,,,,,,,,,,,,,nan,122868790.0,nan
1730575233.9517884,,,,,,,,,,1601245.4,1607692.2,,,,
1730575233.9536359,,,,,,,,,,,,,nan,122822050.0,nan
1730575233.9695117,,,,,,,,,,,,,nan,122738240.0,nan
