timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730574668.4110055,,,,,,,,,,,,,nan,132915460.0,nan
1730574668.4207733,738.97437,579.011,508.9011,788.1319,nan,nan,,,,,,,,,
1730574668.4246933,750.65936,691.8315,499.6337,782.49084,nan,nan,,,,,,,,,
1730574668.4266667,,,,,,,,,,,,,nan,132925940.0,nan
1730574668.4286134,758.71796,460.1465,443.62637,780.87915,nan,nan,,,,,,,,,
1730574668.4325337,738.5714,440.0,464.57877,782.8938,nan,nan,,,,,,,,,
1730574668.4364538,743.4066,598.3516,500.43958,787.326,nan,nan,,,,,,,,,
1730574668.4403739,756.30035,425.09158,453.69965,786.9231,nan,nan,,,,,,,,,
1730574668.4423277,,,,,,,,,,,,,nan,132918680.0,nan
1730574668.4442940,756.30035,128.5348,336.84982,802.23444,nan,nan,,,,,,,,,
1730574668.4482141,751.8681,209.5238,407.36264,809.4872,nan,nan,,,,,,,,,
1730574668.4521341,755.89746,662.4176,549.59705,801.4286,nan,nan,,,,,,,,,
1730574668.4550087,,,,,,,0.07788086,-0.1640625,0.9436035,,,,,,
1730574668.4560544,769.19415,619.304,459.34067,800.2198,nan,nan,,,,,,,,,
1730574668.4579890,,,,,,,,,,,,,nan,132978310.0,nan
1730574668.4599745,774.0293,215.9707,316.30035,810.696,nan,nan,,,,,,,,,
1730574668.4638946,783.69965,474.24908,452.49084,817.5458,nan,nan,,,,,,,,,
1730574668.4678147,803.0403,795.38464,535.4945,823.5897,nan,nan,,,,,,,,,
1730574668.4717348,806.6667,670.87915,474.652,832.0513,nan,nan,,,,,,,,,
1730574668.4736500,,,,,,,,,,,,,nan,132993624.0,nan
1730574668.4740000,,,,,,,0.054870605,-0.16638184,0.9574585,,,,,,
1730574668.4756551,798.60803,452.49084,466.5934,836.08057,nan,nan,,,,,,,,,
1730574668.4795752,790.14655,451.68497,441.2088,833.663,nan,nan,,,,,,,,,
1730574668.4834952,774.0293,442.82053,430.7326,833.2601,nan,nan,,,,,,,,,
1730574668.4874153,782.0879,357.8022,399.30402,839.304,nan,nan,,,,,,,,,
1730574668.4893112,,,,,,,,,,,,,nan,133033110.0,nan
1730574668.4913354,789.7436,80.18315,225.64102,851.39197,nan,nan,,,,,,,,,
1730574668.4929912,,,,,,,0.022155762,-0.15905762,0.9468384,,,,,,
1730574668.4952555,770.40295,400.91574,400.91574,824.7985,nan,nan,,,,,,,,,
1730574668.4991758,776.4469,846.9597,531.06226,821.1722,nan,nan,,,,,,,,,
1730574668.5030959,798.60803,659.19415,402.9304,836.8865,nan,nan,,,,,,,,,
1730574668.5049722,,,,,,,,,,,,,nan,133045200.0,nan
1730574668.5070159,784.10254,531.8681,443.22345,824.7985,nan,nan,,,,,,,,,
1730574668.5109360,770.0,747.4359,503.663,821.5751,nan,nan,,,,,,,,,
1730574668.5119822,,,,,,,0.0025024414,-0.14569092,0.9412842,,,,,,
1730574668.5148561,788.1319,656.77655,441.61172,838.49817,nan,nan,,,,,,,,,
1730574668.5187762,787.326,473.04028,410.989,842.52747,nan,nan,,,,,,,,,
1730574668.5206335,,,,,,,,,,,,,nan,133095170.0,nan
1730574668.5226965,777.6557,616.8865,483.9194,822.381,nan,nan,,,,,,,,,
1730574668.5266166,780.4762,894.5055,537.1062,808.2784,nan,nan,,,,,,,,,
1730574668.5305367,789.34064,956.1539,533.8828,807.47253,nan,nan,,,,,,,,,
1730574668.5309734,,,,,,,0.006713867,-0.117126465,0.94244385,,,,,,
1730574668.5344567,799.41394,604.3956,425.09158,815.12823,nan,nan,,,,,,,,,
1730574668.5362945,,,,,,,,,,,,,nan,133187030.0,nan
1730574668.5383768,793.7729,462.96704,429.5238,819.5604,nan,nan,,,,,,,,,
1730574668.5422971,776.8498,884.43225,567.72894,809.4872,nan,nan,,,,,,,,,
1730574668.5462172,766.77655,1043.9927,566.9231,808.2784,nan,nan,,,,,,,,,
1730574668.5499647,,,,,,,0.03314209,-0.09466553,0.97857666,,,,,,
1730574668.5501373,784.90845,518.5714,363.04028,826.0073,nan,nan,,,,,,,,,
1730574668.5519557,,,,,,,,,,,,,nan,133174136.0,nan
1730574668.5540574,775.2381,558.86444,499.23077,820.7692,nan,nan,,,,,,,,,
1730574668.5579774,752.27106,1094.359,659.59705,804.65204,nan,nan,,,,,,,,,
1730574668.5618975,757.9121,1039.9634,592.71063,820.3663,nan,nan,,,,,,,,,
1730574668.5658178,759.12085,840.10986,589.89014,821.5751,nan,nan,,,,,,,,,
1730574668.5676169,,,,,,,,,,,,,nan,133182200.0,nan
1730574668.5689559,,,,,,,0.031799316,-0.080200195,1.0075073,,,,,,
1730574668.5697379,757.9121,960.989,613.2601,809.4872,nan,nan,,,,,,,,,
1730574668.5736580,759.5238,936.0073,620.9158,811.9048,nan,nan,,,,,,,,,
1730574668.5775781,757.50916,705.9341,530.2564,813.1135,nan,nan,,,,,,,,,
1730574668.5814981,769.59705,201.06227,333.62637,828.022,nan,nan,,,,,,,,,
1730574668.5832779,,,,,,,,,,,,,nan,133248280.0,nan
1730574668.5854185,754.2857,500.43958,527.4359,808.2784,nan,nan,,,,,,,,,
1730574668.5879471,,,,,,,0.018798828,-0.07952881,0.9939575,,,,,,
1730574668.5893385,733.73627,1195.8975,694.2491,789.34064,nan,nan,,,,,,,,,
1730574668.5932586,749.45056,1022.23444,547.5824,807.47253,nan,nan,,,,,,,,,
1730574668.5971787,759.92676,627.76556,539.92676,813.91943,nan,nan,,,,,,,,,
1730574668.5989392,,,,,,,,,,,,,nan,133248280.0,nan
1730574668.6010988,761.9414,953.3333,621.31866,792.96704,nan,nan,,,,,,,,,
1730574668.6050189,757.1062,1108.8645,596.7399,788.93774,nan,nan,,,,,,,,,
1730574668.6069381,,,,,,,0.0017700195,-0.07269287,0.99938965,,,,,,
1730574668.6089392,762.3443,862.27106,531.06226,800.6227,nan,nan,,,,,,,,,
1730574668.6128592,763.1502,830.84247,545.56775,803.0403,nan,nan,,,,,,,,,
1730574668.6146002,,,,,,,,,,,,,nan,133325640.0,nan
1730574668.6167793,753.8828,960.18317,581.02563,799.41394,nan,nan,,,,,,,,,
1730574668.6206994,756.30035,941.6484,552.8205,805.4579,nan,nan,,,,,,,,,
1730574668.6246195,763.5531,637.4359,463.7729,811.50183,nan,nan,,,,,,,,,
1730574668.6259294,,,,,,,-0.0033569336,-0.06933594,0.9824829,,,,,,
1730574668.6285398,753.0769,443.62637,442.41757,807.8755,nan,nan,,,,,,,,,
1730574668.6302614,,,,,,,,,,,,,nan,133326450.0,nan
1730574668.6324599,749.45056,481.0989,481.0989,809.89014,nan,nan,,,,,,,,,
1730574668.6363800,750.65936,558.46155,494.79852,801.8315,nan,nan,,,,,,,,,
1730574668.6403000,763.1502,313.07693,344.5055,805.8608,nan,nan,,,,,,,,,
1730574668.6442201,759.12085,240.95238,424.2857,781.685,nan,nan,,,,,,,,,
1730574668.6449206,,,,,,,-0.022827148,-0.079711914,0.9864502,,,,,,
1730574668.6459224,,,,,,,,,,,,,nan,133383660.0,nan
1730574668.6481402,745.42126,832.4542,596.337,760.32965,nan,nan,,,,,,,,,
1730574668.6520605,749.85345,903.36993,550.40295,788.1319,nan,nan,,,,,,,,,
1730574668.6559806,748.24176,601.1722,498.4249,799.011,nan,nan,,,,,,,,,
1730574668.6599007,739.3773,770.40295,548.7912,787.326,nan,nan,,,,,,,,,
