timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730574964.2927189,,,,,,,0.014282227,-0.16784668,0.99017334,,,,,,
1730574964.3116667,,,,,,,0.018066406,-0.18707275,0.9852905,,,,,,
1730574964.3306146,,,,,,,0.005065918,-0.19995117,0.97698975,,,,,,
1730574964.3476963,732.1245,0.0,413.00366,719.6337,nan,nan,,,,,,,,,
1730574964.3495624,,,,,,,0.016906738,-0.20666504,0.9682617,,,,,,
1730574964.3516078,779.67035,4.4322343,340.87912,745.82416,nan,nan,,,,,,,,,
1730574964.3555191,756.30035,0.0,373.51648,725.2747,nan,nan,,,,,,,,,
1730574964.3594306,740.18317,5.6410255,413.4066,730.5128,nan,nan,,,,,,,,,
1730574964.3633418,716.8132,109.19414,458.93774,711.5751,nan,nan,,,,,,,,,
1730574964.3672533,790.9524,32.234432,313.88278,793.7729,nan,nan,,,,,,,,,
1730574964.3685102,,,,,,,0.034240723,-0.19866943,0.9450073,,,,,,
1730574964.3711646,736.9597,75.750916,363.84616,740.58606,nan,nan,,,,,,,,,
1730574964.3750761,642.674,452.89377,561.28204,640.2564,nan,nan,,,,,,,,,
1730574964.3789873,725.2747,574.17584,523.8095,719.6337,nan,nan,,,,,,,,,
1730574964.3828988,801.4286,180.51282,331.61172,806.6667,nan,nan,,,,,,,,,
1730574964.3868101,713.9927,381.17215,473.04028,703.5165,nan,nan,,,,,,,,,
1730574964.3874581,,,,,,,0.028625488,-0.1984253,0.9503784,,,,,,
1730574964.3907216,680.54944,787.326,616.08057,653.1502,nan,nan,,,,,,,,,
1730574964.3946328,739.3773,700.696,542.3443,720.0366,nan,nan,,,,,,,,,
1730574964.3985443,760.7326,420.2564,536.30035,746.2271,nan,nan,,,,,,,,,
1730574964.4024556,735.7509,398.9011,536.30035,722.8571,nan,nan,,,,,,,,,
1730574964.4063671,699.0842,774.43225,604.3956,693.0403,nan,nan,,,,,,,,,
1730574964.4064059,,,,,,,0.033813477,-0.19451904,0.9500122,,,,,,
1730574964.4102783,741.39197,799.41394,577.3993,726.8865,nan,nan,,,,,,,,,
1730574964.4125333,,,,,,,,,,1589963.4,1607692.2,,,,
1730574964.4141898,754.2857,487.54578,531.8681,723.663,nan,nan,,,,,,,,,
1730574964.4181011,730.10986,508.9011,547.5824,688.60803,nan,nan,,,,,,,,,
1730574964.4220126,707.5458,727.6923,598.3516,650.32965,nan,nan,,,,,,,,,
1730574964.4253538,,,,,,,0.03112793,-0.19702148,0.9818115,,,,,,
1730574964.4259238,732.52747,726.08057,544.35895,686.1905,nan,nan,,,,,,,,,
1730574964.4298353,797.8022,162.78389,337.25275,765.9707,nan,nan,,,,,,,,,
1730574964.4337466,662.8205,567.72894,565.31134,606.4103,nan,nan,,,,,,,,,
1730574964.4376581,653.95605,1034.7252,657.98535,609.6337,nan,nan,,,,,,,,,
1730574964.4415693,726.8865,772.01465,535.4945,707.5458,nan,nan,,,,,,,,,
1730574964.4443016,,,,,,,0.022216797,-0.2029419,0.98358154,,,,,,
1730574964.4454808,697.0696,825.2015,589.4872,661.6117,nan,nan,,,,,,,,,
1730574964.4476666,,,,,,,,,,1589963.4,1606886.5,,,,
1730574964.4493921,690.2198,994.43225,606.4103,645.4945,nan,nan,,,,,,,,,
1730574964.4533036,695.4579,979.92676,579.41394,668.0586,nan,nan,,,,,,,,,
1730574964.4572148,723.2601,682.5641,466.99634,722.0513,nan,nan,,,,,,,,,
1730574964.4611263,723.2601,434.7619,428.31503,733.73627,nan,nan,,,,,,,,,
1730574964.4621253,,,,,,,,,,,,,nan,131900880.0,nan
1730574964.4632494,,,,,,,0.03692627,-0.18408203,0.96173096,,,,,,
1730574964.4650376,691.4286,581.02563,514.94507,680.54944,nan,nan,,,,,,,,,
1730574964.4689491,707.1429,910.2198,570.54944,661.2088,nan,nan,,,,,,,,,
1730574964.4728603,812.71063,414.21246,328.7912,767.5824,nan,nan,,,,,,,,,
1730574964.4767718,719.2308,266.337,431.9414,668.0586,nan,nan,,,,,,,,,
1730574964.4777493,,,,,,,,,,,,,nan,131871870.0,nan
1730574964.4806831,645.09155,1020.6227,649.92676,556.04395,nan,nan,,,,,,,,,
1730574964.4821973,,,,,,,0.05517578,-0.16680908,0.9649048,,,,,,
1730574964.4828000,,,,,,,,,,1589963.4,1606886.5,,,,
1730574964.4845946,736.55676,1031.0989,560.4762,656.3736,nan,nan,,,,,,,,,
1730574964.4885058,749.0476,745.0183,547.98535,684.57874,nan,nan,,,,,,,,,
1730574964.4924173,726.08057,852.1978,549.59705,665.64105,nan,nan,,,,,,,,,
1730574964.4933734,,,,,,,,,,,,,nan,131863810.0,nan
1730574964.4963288,750.2564,756.7033,505.67764,686.1905,nan,nan,,,,,,,,,
1730574964.5002401,767.5824,601.5751,469.011,674.5055,nan,nan,,,,,,,,,
1730574964.5011454,,,,,,,0.0637207,-0.14935303,0.9616699,,,,,,
1730574964.5041516,758.71796,587.0696,500.03662,657.5824,nan,nan,,,,,,,,,
1730574964.5080628,771.6117,569.7436,483.11356,679.34064,nan,nan,,,,,,,,,
1730574964.5089977,,,,,,,,,,,,,nan,131821900.0,nan
1730574964.5119743,759.5238,658.3883,494.79852,664.83514,nan,nan,,,,,,,,,
1730574964.5158856,774.43225,648.315,440.80585,695.05493,nan,nan,,,,,,,,,
1730574964.5179334,,,,,,,,,,1589963.4,1606886.5,,,,
1730574964.5197971,836.4835,150.29305,243.36996,784.5055,nan,nan,,,,,,,,,
1730574964.5200932,,,,,,,0.08129883,-0.1348877,0.9628906,,,,,,
1730574964.5237083,704.3223,529.85345,463.36996,638.24176,nan,nan,,,,,,,,,
1730574964.5246217,,,,,,,,,,,,,nan,131743736.0,nan
1730574964.5276198,726.4835,815.9341,520.58606,647.50916,nan,nan,,,,,,,,,
1730574964.5315311,799.81683,461.35532,398.09525,738.97437,nan,nan,,,,,,,,,
1730574964.5354426,730.9158,557.6557,477.87546,684.17584,nan,nan,,,,,,,,,
1730574964.5390410,,,,,,,0.084106445,-0.11627197,0.95843506,,,,,,
1730574964.5393538,716.8132,840.5128,522.6007,669.67035,nan,nan,,,,,,,,,
1730574964.5402458,,,,,,,,,,,,,nan,131721976.0,nan
1730574964.5432653,754.2857,808.68134,472.23444,721.2454,nan,nan,,,,,,,,,
1730574964.5471766,781.28204,530.2564,377.54578,750.2564,nan,nan,,,,,,,,,
1730574964.5510881,741.39197,551.2088,404.94507,697.8755,nan,nan,,,,,,,,,
1730574964.5530667,,,,,,,,,,1589963.4,1607692.2,,,,
1730574964.5549994,744.61536,490.76923,399.70697,705.12823,nan,nan,,,,,,,,,
1730574964.5558698,,,,,,,,,,,,,nan,131667980.0,nan
1730574964.5579889,,,,,,,0.061340332,-0.11450195,0.9677124,,,,,,
1730574964.5589108,756.7033,327.58243,352.96704,724.4689,nan,nan,,,,,,,,,
1730574964.5628221,785.7143,127.728935,206.7033,765.56775,nan,nan,,,,,,,,,
1730574964.5667336,710.7692,181.31868,294.94507,708.3516,nan,nan,,,,,,,,,
1730574964.5706449,644.2857,615.2747,454.90842,657.1795,nan,nan,,,,,,,,,
1730574964.5714939,,,,,,,,,,,,,nan,131588210.0,nan
1730574964.5745564,709.15753,563.2967,375.53113,727.28937,nan,nan,,,,,,,,,
1730574964.5769367,,,,,,,0.028808594,-0.124938965,0.97021484,,,,,,
1730574964.5784676,731.31866,215.56776,300.989,744.61536,nan,nan,,,,,,,,,
1730574964.5823791,689.011,353.7729,334.83517,701.9048,nan,nan,,,,,,,,,
1730574964.5862904,695.8608,302.60074,328.7912,710.7692,nan,nan,,,,,,,,,
1730574964.5871181,,,,,,,,,,,,,nan,131613990.0,nan
1730574964.5881999,,,,,,,,,,1589963.4,1607692.2,,,,
1730574964.5902019,756.30035,26.593407,241.35532,757.9121,nan,nan,,,,,,,,,
1730574964.5941131,787.326,29.010988,133.77289,771.6117,nan,nan,,,,,,,,,
1730574964.5958846,,,,,,,0.005004883,-0.12957764,0.9649658,,,,,,
1730574964.5980246,683.7729,213.55312,255.45787,646.7033,nan,nan,,,,,,,,,
1730574964.6019359,700.293,88.24176,256.26373,656.77655,nan,nan,,,,,,,,,
1730574964.6027422,,,,,,,,,,,,,nan,131526960.0,nan
1730574964.6058474,771.2088,0.0,156.33699,729.304,nan,nan,,,,,,,,,
1730574964.6097586,796.1905,14.908425,91.86813,763.95605,nan,nan,,,,,,,,,
1730574964.6136701,678.93774,65.67766,188.1685,651.13556,nan,nan,,,,,,,,,
1730574964.6148324,,,,,,,-0.0038452148,-0.11291504,0.98583984,,,,,,
1730574964.6175814,684.17584,101.53846,245.38461,648.71796,nan,nan,,,,,,,,,
1730574964.6183662,,,,,,,,,,,,,nan,131465710.0,nan
1730574964.6214929,758.315,26.593407,166.81319,726.08057,nan,nan,,,,,,,,,
1730574964.6233332,,,,,,,,,,1589963.4,1607692.2,,,,
1730574964.6254041,729.707,12.490843,185.75092,704.3223,nan,nan,,,,,,,,,
1730574964.6293156,728.0952,36.666668,211.53847,684.17584,nan,nan,,,,,,,,,
1730574964.6332271,764.7619,16.117216,184.13919,712.7839,nan,nan,,,,,,,,,
1730574964.6337802,,,,,,,0.016418457,-0.09387207,0.9960327,,,,,,
1730574964.6339903,,,,,,,,,,,,,nan,131436700.0,nan
1730574964.6371384,788.1319,1.2087913,130.54945,752.27106,nan,nan,,,,,,,,,
1730574964.6410499,780.4762,0.0,132.16118,736.55676,nan,nan,,,,,,,,,
1730574964.6449611,777.25275,8.058608,171.64835,713.9927,nan,nan,,,,,,,,,
1730574964.6488726,782.49084,6.4468865,140.62271,721.6484,nan,nan,,,,,,,,,
1730574964.6496143,,,,,,,,,,,,,nan,131390770.0,nan
1730574964.6527281,,,,,,,0.025146484,-0.08081055,1.0037231,,,,,,
1730574964.6527839,837.6923,0.0,62.857143,785.31134,nan,nan,,,,,,,,,
