timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730574398.3092008,,,,,,,,,,1603663.0,1607692.2,,,,
1730574398.3183241,,,,,,,,,,,,,nan,140515540.0,nan
1730574398.3348379,,,,,,,,,,,,,nan,140486530.0,nan
1730574398.3463993,,,,,,,,,,1603663.0,1606886.5,,,,
1730574398.3513517,,,,,,,,,,,,,nan,140512300.0,nan
1730574398.3678656,,,,,,,,,,,,,nan,140526000.0,nan
1730574398.3835979,,,,,,,,,,1603663.0,1607692.2,,,,
1730574398.3843794,,,,,,,,,,,,,nan,140530850.0,nan
1730574398.4008932,,,,,,,,,,,,,nan,140571140.0,nan
1730574398.4174070,,,,,,,,,,,,,nan,140568720.0,nan
1730574398.4207964,,,,,,,,,,1603663.0,1607692.2,,,,
1730574398.4339209,,,,,,,,,,,,,nan,140563070.0,nan
1730574398.4504344,,,,,,,,,,,,,nan,140518750.0,nan
1730574398.4579949,,,,,,,,,,1603663.0,1607692.2,,,,
1730574398.4669483,,,,,,,,,,,,,nan,140489740.0,nan
1730574398.4834621,,,,,,,,,,,,,nan,140450260.0,nan
1730574398.4951935,,,,,,,,,,1603663.0,1607692.2,,,,
1730574398.4999759,,,,,,,,,,,,,nan,140377730.0,nan
1730574398.5164897,,,,,,,,,,,,,nan,140420430.0,nan
1730574398.5323918,,,,,,,,,,1603663.0,1607692.2,,,,
1730574398.5330036,,,,,,,,,,,,,nan,140390620.0,nan
1730574398.5495174,,,,,,,,,,,,,nan,140434140.0,nan
1730574398.5660312,,,,,,,,,,,,,nan,140526820.0,nan
1730574398.5695903,,,,,,,,,,1603663.0,1607692.2,,,,
1730574398.5825450,,,,,,,,,,,,,nan,140549380.0,nan
1730574398.5990589,,,,,,,,,,,,,nan,140550180.0,nan
1730574398.6067889,,,,,,,,,,1603663.0,1607692.2,,,,
1730574398.6155727,,,,,,,,,,,,,nan,140488940.0,nan
1730574398.6320865,,,,,,,,,,,,,nan,140548580.0,nan
1730574398.6439874,,,,,,,,,,1603663.0,1607692.2,,,,
1730574398.6456609,,,,,,,-0.23657227,0.024414062,0.94885254,,,,,,
1730574398.6486003,,,,,,,,,,,,,nan,140516340.0,nan
1730574398.6651142,,,,,,,,,,,,,nan,140488130.0,nan
1730574398.6656458,,,,,,,-0.22930908,0.02355957,0.95306396,,,,,,
1730574398.6811860,,,,,,,,,,1603663.0,1607692.2,,,,
1730574398.6816278,,,,,,,,,,,,,nan,140520370.0,nan
1730574398.6856306,,,,,,,-0.20532227,0.03302002,0.9383545,,,,,,
1730574398.6981416,,,,,,,,,,,,,nan,140521170.0,nan
1730574398.7056155,,,,,,,-0.15545654,0.055725098,0.91485596,,,,,,
1730574398.7146554,,,,,,,,,,,,,nan,140406740.0,nan
1730574398.7183845,,,,,,,,,,1603663.0,1607692.2,,,,
1730574398.7256002,,,,,,,-0.111206055,0.070617676,0.9406738,,,,,,
1730574398.7311692,,,,,,,,,,,,,nan,140352750.0,nan
1730574398.7379808,842.1245,414.21246,587.47253,650.7326,nan,nan,,,,,,,,,
1730574398.7420876,819.15753,441.2088,633.8095,633.4066,nan,nan,,,,,,,,,
1730574398.7455852,,,,,,,-0.17138672,0.035888672,0.9885864,,,,,,
1730574398.7461944,819.15753,624.94507,660.80585,630.18317,nan,nan,,,,,,,,,
1730574398.7476830,,,,,,,,,,,,,nan,140314860.0,nan
1730574398.7503011,824.3956,628.97437,639.85345,633.4066,nan,nan,,,,,,,,,
1730574398.7544079,817.1429,346.11722,564.10254,634.21246,nan,nan,,,,,,,,,
1730574398.7555830,,,,,,,,,,1603663.0,1607692.2,,,,
1730574398.7585146,820.7692,166.00732,553.6264,634.21246,nan,nan,,,,,,,,,
1730574398.7626214,818.3516,222.01465,587.8755,644.2857,nan,nan,,,,,,,,,
1730574398.7641969,,,,,,,,,,,,,nan,140316480.0,nan
1730574398.7655702,,,,,,,-0.21228027,0.020935059,0.99243164,,,,,,
1730574398.7667282,803.44324,340.07327,609.6337,635.82416,nan,nan,,,,,,,,,
1730574398.7708349,830.4396,121.28205,391.24542,665.64105,nan,nan,,,,,,,,,
1730574398.7749417,808.2784,110.80586,504.06595,641.4652,nan,nan,,,,,,,,,
1730574398.7790484,791.75824,470.2198,696.26373,595.12823,nan,nan,,,,,,,,,
1730574398.7807107,,,,,,,,,,,,,nan,140399490.0,nan
1730574398.7831552,828.8278,407.36264,607.619,623.3333,nan,nan,,,,,,,,,
1730574398.7855549,,,,,,,-0.20129395,0.020263672,0.94421387,,,,,,
1730574398.7872617,827.619,190.58607,615.6777,629.3773,nan,nan,,,,,,,,,
1730574398.7913685,804.65204,298.1685,632.1978,620.10986,nan,nan,,,,,,,,,
1730574398.7927816,,,,,,,,,,1603663.0,1607692.2,,,,
1730574398.7954752,807.0696,373.9194,625.7509,624.5421,nan,nan,,,,,,,,,
1730574398.7972245,,,,,,,,,,,,,nan,140447040.0,nan
1730574398.7995820,832.4542,201.86813,552.01465,647.9121,nan,nan,,,,,,,,,
1730574398.8036888,844.1392,51.17216,543.95605,653.1502,nan,nan,,,,,,,,,
1730574398.8055398,,,,,,,-0.2234497,0.008117676,0.9286499,,,,,,
1730574398.8077955,837.28937,38.27839,569.34064,631.39197,nan,nan,,,,,,,,,
1730574398.8119023,830.4396,17.326008,562.0879,621.7216,nan,nan,,,,,,,,,
1730574398.8137383,,,,,,,,,,,,,nan,140472820.0,nan
1730574398.8160090,828.4249,20.952381,528.24176,643.47986,nan,nan,,,,,,,,,
1730574398.8201158,826.0073,10.476191,387.21613,680.54944,nan,nan,,,,,,,,,
1730574398.8242226,789.34064,258.6813,607.2161,629.7802,nan,nan,,,,,,,,,
1730574398.8255248,,,,,,,-0.22558594,-0.0026855469,0.9460449,,,,,,
1730574398.8283293,788.93774,466.99634,722.0513,627.76556,nan,nan,,,,,,,,,
1730574398.8299801,,,,,,,,,,1603663.0,1607692.2,,,,
1730574398.8302522,,,,,,,,,,,,,nan,140492160.0,nan
1730574398.8324361,785.7143,283.26007,603.1868,670.4762,nan,nan,,,,,,,,,
1730574398.8365428,743.00366,251.42857,629.3773,662.8205,nan,nan,,,,,,,,,
1730574398.8406496,709.5604,437.58243,664.0293,659.59705,nan,nan,,,,,,,,,
1730574398.8447564,704.3223,441.2088,635.0183,682.5641,nan,nan,,,,,,,,,
1730574398.8455095,,,,,,,-0.21722412,-0.0063476562,0.94537354,,,,,,
1730574398.8467660,,,,,,,,,,,,,nan,140545340.0,nan
1730574398.8488631,722.4542,199.04762,547.1795,721.2454,nan,nan,,,,,,,,,
1730574398.8529699,734.94507,214.7619,572.1612,743.4066,nan,nan,,,,,,,,,
1730574398.8570766,759.92676,176.08058,583.0403,752.674,nan,nan,,,,,,,,,
1730574398.8611834,791.3553,23.772894,533.47986,752.27106,nan,nan,,,,,,,,,
1730574398.8632798,,,,,,,,,,,,,nan,140600140.0,nan
1730574398.8652902,828.4249,0.0,392.45422,764.7619,nan,nan,,,,,,,,,
1730574398.8654945,,,,,,,-0.22454834,-0.014526367,0.9503784,,,,,,
1730574398.8671787,,,,,,,,,,1603663.0,1607692.2,,,,
1730574398.8693969,838.49817,141.42857,514.1392,749.85345,nan,nan,,,,,,,,,
1730574398.8735037,857.8388,361.02563,654.35895,728.0952,nan,nan,,,,,,,,,
1730574398.8776104,894.90845,189.37729,532.27106,748.6447,nan,nan,,,,,,,,,
1730574398.8797936,,,,,,,,,,,,,nan,140553400.0,nan
1730574398.8817170,918.2784,120.87912,509.30402,757.1062,nan,nan,,,,,,,,,
1730574398.8854792,,,,,,,-0.20385742,-0.018066406,0.96380615,,,,,,
1730574398.8858237,916.26373,383.1868,591.0989,726.8865,nan,nan,,,,,,,,,
1730574398.8899305,919.4872,509.70697,620.9158,716.8132,nan,nan,,,,,,,,,
1730574398.8940372,950.9158,361.42856,564.5055,738.1685,nan,nan,,,,,,,,,
1730574398.8963075,,,,,,,,,,,,,nan,140573550.0,nan
1730574398.8981440,957.76556,105.16483,546.77655,742.6007,nan,nan,,,,,,,,,
1730574398.9022508,940.84247,107.58242,579.81683,716.8132,nan,nan,,,,,,,,,
1730574398.9043772,,,,,,,,,,1603663.0,1607692.2,,,,
1730574398.9054642,,,,,,,-0.20837402,-0.03161621,0.96954346,,,,,,
1730574398.9063575,937.619,188.1685,624.5421,700.696,nan,nan,,,,,,,,,
1730574398.9104643,946.8865,151.90475,579.011,703.5165,nan,nan,,,,,,,,,
1730574398.9128213,,,,,,,,,,,,,nan,140542130.0,nan
1730574398.9145710,966.2271,65.27473,430.7326,720.0366,nan,nan,,,,,,,,,
1730574398.9186778,937.2161,352.96704,716.8132,679.7436,nan,nan,,,,,,,,,
1730574398.9227846,928.3516,490.76923,772.01465,662.4176,nan,nan,,,,,,,,,
1730574398.9254491,,,,,,,-0.1928711,-0.0390625,0.9758911,,,,,,
1730574398.9268913,946.08057,350.54944,620.9158,683.7729,nan,nan,,,,,,,,,
1730574398.9293349,,,,,,,,,,,,,nan,140526820.0,nan
1730574398.9309981,944.4689,363.44324,666.04395,684.9817,nan,nan,,,,,,,,,
1730574398.9351048,943.663,408.1685,667.25275,676.52014,nan,nan,,,,,,,,,
1730574398.9392116,931.5751,482.71063,707.9487,657.5824,nan,nan,,,,,,,,,
1730574398.9415758,,,,,,,,,,1603663.0,1607692.2,,,,
1730574398.9433184,937.2161,350.1465,636.2271,666.4469,nan,nan,,,,,,,,,
1730574398.9454339,,,,,,,-0.1821289,-0.047302246,0.9760132,,,,,,
1730574398.9458487,,,,,,,,,,,,,nan,140512300.0,nan
1730574398.9474251,932.7839,351.75824,702.3077,652.74725,nan,nan,,,,,,,,,
1730574398.9515319,926.337,523.4066,841.31866,626.9597,nan,nan,,,,,,,,,
1730574398.9556386,944.87177,269.96338,671.28204,643.47986,nan,nan,,,,,,,,,
1730574398.9597454,959.3773,13.296703,463.7729,654.7619,nan,nan,,,,,,,,,
1730574398.9623625,,,,,,,,,,,,,nan,140497000.0,nan
1730574398.9638522,935.2015,137.8022,614.0659,610.84247,nan,nan,,,,,,,,,
1730574398.9654188,,,,,,,-0.1609497,-0.055908203,0.99121094,,,,,,
1730574398.9679589,925.12823,398.49817,841.7216,582.6374,nan,nan,,,,,,,,,
1730574398.9720657,953.3333,327.17947,781.28204,620.5128,nan,nan,,,,,,,,,
1730574398.9761724,969.85345,107.17949,625.34796,633.8095,nan,nan,,,,,,,,,
1730574398.9787741,,,,,,,,,,1603663.0,1607692.2,,,,
1730574398.9788764,,,,,,,,,,,,,nan,140530030.0,nan
1730574398.9802790,967.8388,176.48352,633.00366,614.87177,nan,nan,,,,,,,,,
1730574398.9843857,976.7033,194.61539,657.1795,606.4103,nan,nan,,,,,,,,,
1730574398.9854038,,,,,,,-0.15222168,-0.05621338,0.9998169,,,,,,
1730574398.9884925,984.35895,78.168495,608.4249,609.6337,nan,nan,,,,,,,,,
1730574398.9925992,988.7912,26.593407,602.381,614.0659,nan,nan,,,,,,,,,
1730574398.9953902,,,,,,,,,,,,,nan,140523580.0,nan
1730574398.9967060,987.1795,4.4322343,574.17584,613.2601,nan,nan,,,,,,,,,
1730574399.0008128,975.09155,0.0,577.8022,606.0073,nan,nan,,,,,,,,,
1730574399.0049195,979.12085,0.0,529.85345,607.2161,nan,nan,,,,,,,,,
1730574399.0053885,,,,,,,-0.13061523,-0.0602417,0.9971924,,,,,,
1730574399.0090263,996.4469,0.0,365.8608,627.3626,nan,nan,,,,,,,,,
1730574399.0119040,,,,,,,,,,,,,nan,140564690.0,nan
1730574399.0131330,961.79486,4.4322343,565.31134,581.02563,nan,nan,,,,,,,,,
1730574399.0159726,,,,,,,,,,1603663.0,1607692.2,,,,
1730574399.0172398,954.1392,3.6263735,683.36993,564.10254,nan,nan,,,,,,,,,
1730574399.0213466,985.56775,0.0,566.9231,593.91943,nan,nan,,,,,,,,,
1730574399.0253735,,,,,,,-0.09820557,-0.04486084,0.97351074,,,,,,
1730574399.0254533,976.30035,0.0,600.7692,583.44324,nan,nan,,,,,,,,,
1730574399.0284178,,,,,,,,,,,,,nan,140538900.0,nan
1730574399.0295601,961.39197,0.0,629.7802,574.9817,nan,nan,,,,,,,,,
1730574399.0336668,973.47986,0.0,614.87177,569.7436,nan,nan,,,,,,,,,
1730574399.0377736,984.35895,0.0,556.8498,581.4286,nan,nan,,,,,,,,,
1730574399.0418804,976.7033,0.0,572.1612,583.44324,nan,nan,,,,,,,,,
1730574399.0449317,,,,,,,,,,,,,nan,140659780.0,nan
1730574399.0453582,,,,,,,-0.071777344,-0.038146973,0.9753418,,,,,,
1730574399.0459871,968.6447,0.0,612.8571,568.93774,nan,nan,,,,,,,,,
1730574399.0500939,977.1062,0.0,572.1612,578.20514,nan,nan,,,,,,,,,
1730574399.0531712,,,,,,,,,,1603663.0,1607692.2,,,,
1730574399.0542006,1003.2967,0.0,444.83517,611.2454,nan,nan,,,,,,,,,
1730574399.0583074,996.04395,0.0,473.44324,616.8865,nan,nan,,,,,,,,,
1730574399.0614455,,,,,,,,,,,,,nan,140651730.0,nan
1730574399.0624142,983.5531,0.0,568.93774,595.5311,nan,nan,,,,,,,,,
1730574399.0653431,,,,,,,-0.055664062,-0.02532959,0.9782715,,,,,,
1730574399.0665209,1002.49084,0.0,572.96704,603.5897,nan,nan,,,,,,,,,
1730574399.0706277,1037.5458,0.0,375.53113,654.7619,nan,nan,,,,,,,,,
1730574399.0747342,1017.3993,0.0,517.76556,636.2271,nan,nan,,,,,,,,,
1730574399.0779593,,,,,,,,,,,,,nan,140688780.0,nan
1730574399.0788410,1014.9817,0.0,672.0879,632.6007,nan,nan,,,,,,,,,
1730574399.0829477,1051.2454,0.0,573.7729,674.5055,nan,nan,,,,,,,,,
1730574399.0853281,,,,,,,-0.052001953,-0.017456055,0.98095703,,,,,,
1730574399.0870545,1058.9011,0.0,576.99634,683.36993,nan,nan,,,,,,,,,
1730574399.0903697,,,,,,,,,,1603663.0,1607692.2,,,,
1730574399.0911613,1054.8718,0.0,606.0073,684.9817,nan,nan,,,,,,,,,
1730574399.0944731,,,,,,,,,,,,,nan,140691220.0,nan
1730574399.0952680,1065.751,0.0,578.20514,710.3663,nan,nan,,,,,,,,,
1730574399.0993748,1075.8242,0.0,517.76556,724.0659,nan,nan,,,,,,,,,
1730574399.1034815,1074.2124,0.0,524.61536,721.6484,nan,nan,,,,,,,,,
1730574399.1053128,,,,,,,-0.060058594,-0.0154418945,0.9890137,,,,,,
1730574399.1075883,1068.9744,0.0,595.12823,709.5604,nan,nan,,,,,,,,,
1730574399.1109869,,,,,,,,,,,,,nan,140676700.0,nan
1730574399.1116951,1061.7216,0.0,635.0183,691.4286,nan,nan,,,,,,,,,
1730574399.1158018,1073.0037,0.0,516.9597,714.7985,nan,nan,,,,,,,,,
1730574399.1199086,1079.0476,0.0,389.23077,728.49817,nan,nan,,,,,,,,,
1730574399.1240153,1045.2014,2.014652,615.6777,678.93774,nan,nan,,,,,,,,,
1730574399.1252978,,,,,,,-0.06085205,-0.01373291,0.9840698,,,,,,
1730574399.1275008,,,,,,,,,,,,,nan,140681540.0,nan
1730574399.1275682,,,,,,,,,,1603663.0,1607692.2,,,,
1730574399.1281221,1046.8132,1.2087913,689.011,684.57874,nan,nan,,,,,,,,,
1730574399.1322289,1062.9304,0.0,591.9048,701.9048,nan,nan,,,,,,,,,
1730574399.1363356,1049.2307,0.0,632.1978,686.1905,nan,nan,,,,,,,,,
1730574399.1404424,1042.7839,0.0,640.2564,690.2198,nan,nan,,,,,,,,,
1730574399.1440146,,,,,,,,,,,,,nan,140743580.0,nan
1730574399.1445491,1055.2748,0.0,620.9158,695.4579,nan,nan,,,,,,,,,
1730574399.1452827,,,,,,,-0.07672119,-0.020385742,0.9847412,,,,,,
1730574399.1486559,1040.3663,0.0,545.16486,693.0403,nan,nan,,,,,,,,,
1730574399.1527627,1003.2967,0.0,550.80585,688.20514,nan,nan,,,,,,,,,
1730574399.1568694,999.67035,0.0,612.0513,682.96704,nan,nan,,,,,,,,,
1730574399.1605284,,,,,,,,,,,,,nan,140700880.0,nan
1730574399.1609762,1002.8938,0.0,622.1245,685.38464,nan,nan,,,,,,,,,
1730574399.1647668,,,,,,,,,,1603663.0,1607692.2,,,,
1730574399.1650829,1021.02563,0.0,411.39194,722.8571,nan,nan,,,,,,,,,
1730574399.1652675,,,,,,,-0.08251953,-0.020141602,0.9810791,,,,,,
1730574399.1691895,999.67035,0.0,523.8095,693.44324,nan,nan,,,,,,,,,
1730574399.1732962,977.50916,0.0,674.10254,653.95605,nan,nan,,,,,,,,,
1730574399.1770420,,,,,,,,,,,,,nan,140745200.0,nan
1730574399.1774030,991.2088,0.0,601.978,669.2674,nan,nan,,,,,,,,,
1730574399.1815097,994.43225,0.0,611.6484,673.2967,nan,nan,,,,,,,,,
1730574399.1852524,,,,,,,-0.06732178,-0.0134887695,0.9747925,,,,,,
1730574399.1856165,981.9414,0.0,672.8938,664.0293,nan,nan,,,,,,,,,
1730574399.1897233,989.19415,0.0,680.54944,660.0,nan,nan,,,,,,,,,
1730574399.1935558,,,,,,,,,,,,,nan,140692820.0,nan
1730574399.1938300,996.8498,0.0,627.76556,669.2674,nan,nan,,,,,,,,,
1730574399.1979368,992.8205,0.0,588.68134,676.9231,nan,nan,,,,,,,,,
1730574399.2019653,,,,,,,,,,1603663.0,1607692.2,,,,
1730574399.2020435,985.16486,0.0,587.47253,668.46155,nan,nan,,,,,,,,,
1730574399.2052372,,,,,,,-0.05847168,-0.0126953125,0.9697876,,,,,,
1730574399.2061503,973.8828,0.0,655.9707,654.35895,nan,nan,,,,,,,,,
1730574399.2100697,,,,,,,,,,,,,nan,140688780.0,nan
1730574399.2102571,986.3736,0.0,598.7546,664.0293,nan,nan,,,,,,,,,
1730574399.2143638,1004.10254,0.0,427.91208,691.02563,nan,nan,,,,,,,,,
1730574399.2184706,969.0476,1.6117216,735.34796,643.0769,nan,nan,,,,,,,,,
1730574399.2225773,962.6007,1.2087913,897.72894,634.61536,nan,nan,,,,,,,,,
1730574399.2252221,,,,,,,-0.057861328,-0.021972656,0.97076416,,,,,,
1730574399.2265835,,,,,,,,,,,,,nan,140599340.0,nan
1730574399.2266841,973.47986,0.0,728.49817,654.7619,nan,nan,,,,,,,,,
1730574399.2307909,966.63007,2.8205128,676.52014,641.06226,nan,nan,,,,,,,,,
1730574399.2348976,977.50916,1.2087913,670.07324,635.0183,nan,nan,,,,,,,,,
1730574399.2390044,981.9414,0.0,674.5055,630.18317,nan,nan,,,,,,,,,
1730574399.2391639,,,,,,,,,,1603663.0,1607692.2,,,,
1730574399.2430973,,,,,,,,,,,,,nan,140605800.0,nan
1730574399.2431111,988.3883,0.0,604.3956,649.92676,nan,nan,,,,,,,,,
1730574399.2452071,,,,,,,-0.059692383,-0.026550293,0.986084,,,,,,
1730574399.2472179,983.95605,5.6410255,649.5238,642.27106,nan,nan,,,,,,,,,
1730574399.2513247,979.5238,3.2234433,659.19415,631.39197,nan,nan,,,,,,,,,
1730574399.2554314,993.22345,0.0,608.022,643.47986,nan,nan,,,,,,,,,
1730574399.2595382,1014.57874,0.0,469.011,667.6557,nan,nan,,,,,,,,,
1730574399.2596111,,,,,,,,,,,,,nan,140574350.0,nan
1730574399.2636447,981.13556,23.369963,580.6227,637.4359,nan,nan,,,,,,,,,
1730574399.2651918,,,,,,,-0.06530762,-0.030334473,0.98864746,,,,,,
1730574399.2677515,966.2271,37.875458,751.06226,612.8571,nan,nan,,,,,,,,,
1730574399.2718582,990.40295,24.981686,670.4762,634.61536,nan,nan,,,,,,,,,
1730574399.2759650,990.40295,15.714286,618.0952,643.47986,nan,nan,,,,,,,,,
1730574399.2761250,,,,,,,,,,,,,nan,140513920.0,nan
1730574399.2763624,,,,,,,,,,1603663.0,1607692.2,,,,
1730574399.2800717,983.1502,50.3663,662.01465,641.8681,nan,nan,,,,,,,,,
1730574399.2841785,987.98535,95.091576,697.47253,640.2564,nan,nan,,,,,,,,,
1730574399.2851768,,,,,,,-0.06072998,-0.022583008,0.98828125,,,,,,
1730574399.2882853,999.2674,68.49817,637.8388,639.0476,nan,nan,,,,,,,,,
1730574399.2923920,1000.07324,4.4322343,597.1429,643.0769,nan,nan,,,,,,,,,
1730574399.2926388,,,,,,,,,,,,,nan,140487330.0,nan
1730574399.2964988,988.7912,0.0,616.4835,641.4652,nan,nan,,,,,,,,,
1730574399.3006055,994.0293,7.252747,640.2564,641.06226,nan,nan,,,,,,,,,
1730574399.3047123,1002.49084,1.6117216,583.8461,651.53845,nan,nan,,,,,,,,,
1730574399.3051617,,,,,,,-0.04638672,-0.01953125,0.9902344,,,,,,
1730574399.3088191,1008.93774,0.0,414.6154,667.25275,nan,nan,,,,,,,,,
1730574399.3091526,,,,,,,,,,,,,nan,140496200.0,nan
1730574399.3129258,959.7802,133.77289,649.5238,619.707,nan,nan,,,,,,,,,
1730574399.3135610,,,,,,,,,,1603663.0,1606886.5,,,,
1730574399.3170326,941.2454,275.20148,889.2674,603.9927,nan,nan,,,,,,,,,
1730574399.3211393,964.61536,134.57875,731.7216,639.45056,nan,nan,,,,,,,,,
1730574399.3251464,,,,,,,-0.043762207,-0.020812988,0.9890137,,,,,,
1730574399.3252461,950.5128,95.89744,678.1319,642.674,nan,nan,,,,,,,,,
1730574399.3256664,,,,,,,,,,,,,nan,140497000.0,nan
1730574399.3293529,941.2454,265.93405,838.9011,626.9597,nan,nan,,,,,,,,,
1730574399.3334596,947.6923,297.36264,859.0476,631.79486,nan,nan,,,,,,,,,
1730574399.3375664,959.3773,110.80586,697.8755,657.1795,nan,nan,,,,,,,,,
1730574399.3416731,958.5714,159.15752,685.38464,639.0476,nan,nan,,,,,,,,,
1730574399.3421803,,,,,,,,,,,,,nan,140447840.0,nan
