timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731015493.1896892,,,,,,,,,,,,,nan,97439860.0,nan
1731015493.1940601,798.60803,801.8315,815.5311,810.696,nan,nan,,,,,,,,,
1731015493.1957414,,,,,,,0.27386475,0.09692383,0.95098877,,,,,,
1731015493.1979702,801.02563,801.8315,811.0989,807.0696,nan,nan,,,,,,,,,
1731015493.2018800,807.0696,796.99634,807.0696,810.696,nan,nan,,,,,,,,,
1731015493.2053330,,,,,,,,,,,,,nan,97418100.0,nan
1731015493.2057900,817.9487,802.23444,813.91943,815.5311,nan,nan,,,,,,,,,
1731015493.2096999,815.5311,807.0696,815.12823,810.293,nan,nan,,,,,,,,,
1731015493.2136099,801.8315,805.05493,811.0989,801.4286,nan,nan,,,,,,,,,
1731015493.2146292,,,,,,,0.2744751,0.097717285,0.94592285,,,,,,
1731015493.2175198,803.8461,807.0696,813.91943,803.8461,nan,nan,,,,,,,,,
1731015493.2209771,,,,,,,,,,,,,nan,97408424.0,nan
1731015493.2214298,808.2784,807.8755,813.91943,807.47253,nan,nan,,,,,,,,,
1731015493.2253397,810.696,805.05493,811.50183,806.26373,nan,nan,,,,,,,,,
1731015493.2292497,811.50183,806.6667,811.50183,806.6667,nan,nan,,,,,,,,,
1731015493.2331595,819.9634,809.4872,812.71063,811.0989,nan,nan,,,,,,,,,
1731015493.2335172,,,,,,,0.27264404,0.09686279,0.9506836,,,,,,
1731015493.2366209,,,,,,,,,,,,,nan,97430990.0,nan
1731015493.2370696,821.978,808.2784,814.7253,813.5165,nan,nan,,,,,,,,,
1731015493.2409794,807.47253,807.8755,811.50183,810.696,nan,nan,,,,,,,,,
1731015493.2448895,804.2491,811.0989,805.4579,808.2784,nan,nan,,,,,,,,,
1731015493.2487993,811.0989,808.2784,809.0842,809.4872,nan,nan,,,,,,,,,
1731015493.2522650,,,,,,,,,,,,,nan,97483370.0,nan
1731015493.2524049,,,,,,,0.2701416,0.10021973,0.94000244,,,,,,
1731015493.2527094,810.293,808.68134,807.47253,809.4872,nan,nan,,,,,,,,,
1731015493.2566192,810.293,809.4872,806.26373,808.68134,nan,nan,,,,,,,,,
1731015493.2605293,809.0842,806.6667,807.47253,804.2491,nan,nan,,,,,,,,,
1731015493.2644391,805.05493,808.68134,803.8461,800.2198,nan,nan,,,,,,,,,
1731015493.2679088,,,,,,,,,,,,,nan,97455170.0,nan
1731015493.2683492,806.6667,808.68134,807.0696,806.26373,nan,nan,,,,,,,,,
1731015493.2712929,,,,,,,0.2687378,0.09820557,0.946228,,,,,,
1731015493.2722590,807.0696,804.2491,807.8755,805.8608,nan,nan,,,,,,,,,
1731015493.2761691,798.60803,801.02563,802.23444,795.78754,nan,nan,,,,,,,,,
1731015493.2800789,797.8022,801.4286,801.4286,797.8022,nan,nan,,,,,,,,,
1731015493.2835529,,,,,,,,,,,,,nan,97483370.0,nan
1731015493.2839890,799.011,804.2491,803.8461,798.20514,nan,nan,,,,,,,,,
1731015493.2878988,799.41394,811.0989,809.4872,800.2198,nan,nan,,,,,,,,,
1731015493.2901807,,,,,,,0.2697754,0.09820557,0.94781494,,,,,,
1731015493.2918088,805.8608,811.9048,812.71063,806.26373,nan,nan,,,,,,,,,
1731015493.2957189,811.9048,811.50183,813.1135,805.4579,nan,nan,,,,,,,,,
1731015493.2991967,,,,,,,,,,,,,nan,97480950.0,nan
1731015493.2996287,805.4579,812.71063,809.4872,805.8608,nan,nan,,,,,,,,,
1731015493.3035388,806.6667,807.47253,806.6667,807.47253,nan,nan,,,,,,,,,
1731015493.3074486,812.3077,808.2784,808.68134,807.47253,nan,nan,,,,,,,,,
1731015493.3090687,,,,,,,0.27679443,0.09906006,0.9460449,,,,,,
1731015493.3113587,811.9048,811.9048,809.4872,811.0989,nan,nan,,,,,,,,,
1731015493.3148408,,,,,,,,,,,,,nan,97504320.0,nan
1731015493.3152685,818.7546,811.0989,808.68134,817.5458,nan,nan,,,,,,,,,
1731015493.3191786,818.7546,809.0842,806.6667,808.68134,nan,nan,,,,,,,,,
1731015493.3230884,812.3077,810.696,807.8755,801.02563,nan,nan,,,,,,,,,
1731015493.3269985,811.9048,814.3223,809.0842,804.65204,nan,nan,,,,,,,,,
