timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730149895.4386988,767.1795,819.9634,810.696,734.1392,nan,nan,,,,,,,,,
1730149895.4387012,,,,,,,0.21484375,0.13842773,0.96777344,,,,,,
1730149895.4426026,760.32965,815.5311,804.2491,728.49817,nan,nan,,,,,,,,,
1730149895.4465063,770.0,814.3223,811.50183,734.5421,nan,nan,,,,,,,,,
1730149895.4504101,769.19415,807.47253,813.1135,735.34796,nan,nan,,,,,,,,,
1730149895.4543138,767.1795,813.5165,811.9048,741.39197,nan,nan,,,,,,,,,
1730149895.4575977,,,,,,,0.21936035,0.14031982,0.9717407,,,,,,
1730149895.4582176,769.59705,815.5311,817.5458,743.8095,nan,nan,,,,,,,,,
1730149895.4615827,,,,,,,,,,1635897.4,1606886.5,,,,
1730149895.4621215,788.5348,829.6337,836.8865,760.7326,nan,nan,,,,,,,,,
1730149895.4660251,794.17584,836.4835,840.9158,769.59705,nan,nan,,,,,,,,,
1730149895.4699290,777.6557,826.8132,821.978,751.4652,nan,nan,,,,,,,,,
1730149895.4738326,794.9817,844.94507,833.2601,770.40295,nan,nan,,,,,,,,,
1730149895.4764941,,,,,,,0.21356201,0.14733887,0.97839355,,,,,,
1730149895.4777365,797.8022,842.9304,845.34796,786.1172,nan,nan,,,,,,,,,
1730149895.4816401,778.86444,824.7985,831.6484,768.3883,nan,nan,,,,,,,,,
1730149895.4855440,777.25275,828.8278,826.0073,769.19415,nan,nan,,,,,,,,,
1730149895.4894478,794.17584,838.49817,838.9011,786.52014,nan,nan,,,,,,,,,
1730149895.4894648,,,,,,,,,,,,,nan,111381250.0,nan
1730149895.4933515,802.23444,836.08057,840.5128,778.86444,nan,nan,,,,,,,,,
1730149895.4953907,,,,,,,0.20007324,0.14990234,0.9684448,,,,,,
1730149895.4966667,,,,,,,,,,1635897.4,1606886.5,,,,
1730149895.4972553,792.1612,829.6337,832.8571,764.7619,nan,nan,,,,,,,,,
1730149895.5011590,790.9524,832.0513,838.49817,767.5824,nan,nan,,,,,,,,,
1730149895.5050628,804.65204,837.28937,845.7509,779.67035,nan,nan,,,,,,,,,
1730149895.5050700,,,,,,,,,,,,,nan,111370770.0,nan
1730149895.5089667,799.011,831.2454,848.5714,775.2381,nan,nan,,,,,,,,,
1730149895.5128703,776.4469,818.7546,832.0513,748.24176,nan,nan,,,,,,,,,
1730149895.5142872,,,,,,,0.19030762,0.15533447,0.96087646,,,,,,
1730149895.5167742,784.10254,821.5751,821.1722,751.06226,nan,nan,,,,,,,,,
1730149895.5206754,,,,,,,,,,,,,nan,111418310.0,nan
1730149895.5206778,803.44324,829.2308,838.9011,780.4762,nan,nan,,,,,,,,,
1730149895.5245817,798.60803,823.1868,838.9011,778.86444,nan,nan,,,,,,,,,
1730149895.5284855,786.1172,822.7839,826.8132,760.32965,nan,nan,,,,,,,,,
1730149895.5317504,,,,,,,,,,1635897.4,1606886.5,,,,
1730149895.5323892,792.1612,834.4689,838.0952,773.6264,nan,nan,,,,,,,,,
1730149895.5331836,,,,,,,0.17224121,0.15441895,0.9725342,,,,,,
1730149895.5362806,,,,,,,,,,,,,nan,111381250.0,nan
1730149895.5362930,800.2198,842.9304,841.7216,782.49084,nan,nan,,,,,,,,,
1730149895.5401967,791.3553,837.28937,832.4542,771.2088,nan,nan,,,,,,,,,
1730149895.5441005,776.8498,827.2161,821.978,754.2857,nan,nan,,,,,,,,,
1730149895.5480042,785.31134,830.4396,826.8132,759.92676,nan,nan,,,,,,,,,
1730149895.5518861,,,,,,,,,,,,,nan,111381250.0,nan
1730149895.5519080,810.696,846.1539,846.1539,794.17584,nan,nan,,,,,,,,,
1730149895.5520802,,,,,,,0.14831543,0.14337158,0.97143555,,,,,,
1730149895.5558119,798.60803,840.10986,838.49817,783.2967,nan,nan,,,,,,,,,
1730149895.5597155,777.25275,824.7985,822.381,750.65936,nan,nan,,,,,,,,,
1730149895.5636194,777.25275,827.2161,826.0073,752.27106,nan,nan,,,,,,,,,
1730149895.5668344,,,,,,,,,,1635897.4,1606886.5,,,,
1730149895.5674913,,,,,,,,,,,,,nan,111401390.0,nan
1730149895.5675230,794.57874,842.52747,840.9158,776.4469,nan,nan,,,,,,,,,
1730149895.5709767,,,,,,,0.12774658,0.12988281,0.95996094,,,,,,
1730149895.5714269,783.2967,838.0952,827.619,761.9414,nan,nan,,,,,,,,,
1730149895.5753307,760.7326,824.3956,809.89014,735.7509,nan,nan,,,,,,,,,
1730149895.5792344,774.0293,836.08057,824.3956,755.89746,nan,nan,,,,,,,,,
1730149895.5830967,,,,,,,,,,,,,nan,111386080.0,nan
1730149895.5831382,782.49084,837.28937,826.0073,768.3883,nan,nan,,,,,,,,,
1730149895.5870419,782.49084,833.2601,825.2015,770.0,nan,nan,,,,,,,,,
1730149895.5898731,,,,,,,0.10839844,0.120910645,0.96154785,,,,,,
1730149895.5909457,778.86444,838.0952,823.1868,758.315,nan,nan,,,,,,,,,
1730149895.5948496,778.0586,842.52747,823.1868,752.674,nan,nan,,,,,,,,,
1730149895.5987020,,,,,,,,,,,,,nan,111401390.0,nan
1730149895.5987532,796.1905,851.79486,836.4835,784.5055,nan,nan,,,,,,,,,
1730149895.6019182,,,,,,,,,,1636703.2,1606886.5,,,,
1730149895.6026571,778.46155,839.707,822.7839,776.4469,nan,nan,,,,,,,,,
1730149895.6065607,759.12085,832.0513,817.5458,762.3443,nan,nan,,,,,,,,,
1730149895.6087697,,,,,,,0.09991455,0.105773926,0.96221924,,,,,,
1730149895.6104646,776.8498,844.94507,837.6923,784.5055,nan,nan,,,,,,,,,
1730149895.6143074,,,,,,,,,,,,,nan,111400584.0,nan
1730149895.6143682,778.0586,851.39197,837.6923,789.7436,nan,nan,,,,,,,,,
1730149895.6182721,762.3443,846.1539,821.1722,774.0293,nan,nan,,,,,,,,,
1730149895.6221759,769.19415,851.79486,826.8132,777.25275,nan,nan,,,,,,,,,
1730149895.6260796,777.25275,854.61536,832.4542,777.6557,nan,nan,,,,,,,,,
1730149895.6276660,,,,,,,0.1071167,0.09411621,0.9606323,,,,,,
1730149895.6299126,,,,,,,,,,,,,nan,111353850.0,nan
1730149895.6299834,776.8498,850.989,830.4396,772.4176,nan,nan,,,,,,,,,
1730149895.6338871,776.8498,848.97437,824.3956,776.4469,nan,nan,,,,,,,,,
1730149895.6370022,,,,,,,,,,1635897.4,1606886.5,,,,
1730149895.6377909,783.69965,856.63007,823.9927,776.8498,nan,nan,,,,,,,,,
1730149895.6416948,789.34064,853.8095,829.2308,761.53845,nan,nan,,,,,,,,,
1730149895.6455181,,,,,,,,,,,,,nan,111380440.0,nan
1730149895.6455984,786.9231,845.34796,828.8278,762.3443,nan,nan,,,,,,,,,
1730149895.6465626,,,,,,,0.13336182,0.09161377,0.9532471,,,,,,
1730149895.6495023,787.326,848.5714,830.4396,770.0,nan,nan,,,,,,,,,
1730149895.6534059,785.31134,844.94507,823.5897,763.95605,nan,nan,,,,,,,,,
1730149895.6573098,796.99634,856.2271,834.4689,781.685,nan,nan,,,,,,,,,
1730149895.6611233,,,,,,,,,,,,,nan,111369160.0,nan
1730149895.6612136,781.685,853.00366,824.3956,764.7619,nan,nan,,,,,,,,,
1730149895.6651173,754.68866,837.6923,807.47253,741.39197,nan,nan,,,,,,,,,
1730149895.6654592,,,,,,,0.15698242,0.082092285,0.958313,,,,,,
1730149895.6690211,774.0293,850.58606,826.8132,763.95605,nan,nan,,,,,,,,,
1730149895.6720860,,,,,,,,,,1635897.4,1606886.5,,,,
1730149895.6729248,786.52014,856.2271,842.1245,780.87915,nan,nan,,,,,,,,,
1730149895.6767287,,,,,,,,,,,,,nan,111378024.0,nan
1730149895.6768286,759.92676,837.28937,829.2308,765.16486,nan,nan,,,,,,,,,
1730149895.6807325,751.4652,833.2601,815.12823,743.00366,nan,nan,,,,,,,,,
1730149895.6843555,,,,,,,0.18237305,0.079589844,0.9543457,,,,,,
1730149895.6846361,774.0293,842.9304,828.8278,755.4945,nan,nan,,,,,,,,,
1730149895.6885400,777.25275,844.94507,832.4542,758.315,nan,nan,,,,,,,,,
1730149895.6923339,,,,,,,,,,,,,nan,111372380.0,nan
1730149895.6924436,773.22345,840.9158,832.0513,751.4652,nan,nan,,,,,,,,,
1730149895.6963475,782.0879,834.0659,825.6044,757.50916,nan,nan,,,,,,,,,
1730149895.7002511,793.36993,850.58606,821.5751,774.43225,nan,nan,,,,,,,,,
1730149895.7032521,,,,,,,0.20349121,0.07495117,0.9550781,,,,,,
1730149895.7041550,785.31134,863.47986,836.4835,777.6557,nan,nan,,,,,,,,,
1730149895.7071700,,,,,,,,,,1635897.4,1607692.2,,,,
1730149895.7079394,,,,,,,,,,,,,nan,111367544.0,nan
1730149895.7080588,746.63007,836.4835,819.5604,726.8865,nan,nan,,,,,,,,,
1730149895.7119625,743.8095,832.0513,811.9048,721.6484,nan,nan,,,,,,,,,
1730149895.7158663,767.5824,850.58606,824.7985,757.9121,nan,nan,,,,,,,,,
1730149895.7197700,769.19415,852.1978,817.9487,751.06226,nan,nan,,,,,,,,,
1730149895.7221487,,,,,,,0.23223877,0.08276367,0.9525757,,,,,,
1730149895.7235446,,,,,,,,,,,,,nan,111369160.0,nan
1730149895.7236738,762.3443,848.97437,802.23444,732.9304,nan,nan,,,,,,,,,
1730149895.7275777,760.32965,846.9597,805.4579,727.6923,nan,nan,,,,,,,,,
1730149895.7314813,765.9707,850.989,809.89014,729.304,nan,nan,,,,,,,,,
1730149895.7353852,772.8205,855.0183,805.05493,735.34796,nan,nan,,,,,,,,,
1730149895.7391500,,,,,,,,,,,,,nan,111365130.0,nan
1730149895.7392888,774.83514,856.2271,812.71063,738.97437,nan,nan,,,,,,,,,
1730149895.7410450,,,,,,,0.23791504,0.08117676,0.9574585,,,,,,
1730149895.7422538,,,,,,,,,,1635897.4,1606886.5,,,,
1730149895.7431927,775.2381,855.82416,813.5165,734.94507,nan,nan,,,,,,,,,
1730149895.7470965,793.7729,861.06226,823.1868,760.7326,nan,nan,,,,,,,,,
1730149895.7510002,782.8938,850.18317,816.337,753.47986,nan,nan,,,,,,,,,
1730149895.7547553,,,,,,,,,,,,,nan,111377220.0,nan
1730149895.7549040,756.30035,837.28937,796.99634,718.8278,nan,nan,,,,,,,,,
1730149895.7588077,771.2088,845.7509,811.0989,732.9304,nan,nan,,,,,,,,,
1730149895.7599416,,,,,,,0.24041748,0.080566406,0.9647827,,,,,,
1730149895.7627115,767.5824,840.9158,811.9048,730.5128,nan,nan,,,,,,,,,
1730149895.7666152,766.77655,836.4835,806.6667,730.9158,nan,nan,,,,,,,,,
1730149895.7703607,,,,,,,,,,,,,nan,111367544.0,nan
1730149895.7705190,772.01465,838.9011,808.2784,737.76556,nan,nan,,,,,,,,,
1730149895.7744229,771.6117,842.52747,816.337,742.6007,nan,nan,,,,,,,,,
1730149895.7773378,,,,,,,,,,1635897.4,1607692.2,,,,
1730149895.7783265,771.6117,836.8865,813.1135,739.3773,nan,nan,,,,,,,,,
1730149895.7788382,,,,,,,0.24273682,0.07067871,0.9690552,,,,,,
1730149895.7822304,772.01465,829.2308,808.2784,737.3626,nan,nan,,,,,,,,,
1730149895.7859659,,,,,,,,,,,,,nan,111352230.0,nan
1730149895.7861340,783.2967,834.0659,817.9487,752.674,nan,nan,,,,,,,,,
1730149895.7900379,789.7436,834.0659,813.91943,754.68866,nan,nan,,,,,,,,,
1730149895.7939417,798.20514,839.304,816.337,767.98535,nan,nan,,,,,,,,,
1730149895.7977345,,,,,,,0.24157715,0.0715332,0.9677124,,,,,,
1730149895.7978454,777.25275,826.8132,802.23444,751.4652,nan,nan,,,,,,,,,
