timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731014451.4023631,,,,,,,,,,1655238.1,1607692.2,,,,
1731014451.4095345,,,,,,,0.16723633,0.08148193,0.98028564,,,,,,
1731014451.4104090,811.0989,803.0403,813.5165,802.23444,nan,nan,,,,,,,,,
1731014451.4142954,815.5311,806.6667,807.47253,801.4286,nan,nan,,,,,,,,,
1731014451.4181817,825.2015,810.696,808.2784,811.0989,nan,nan,,,,,,,,,
1731014451.4220681,813.1135,807.47253,813.5165,811.0989,nan,nan,,,,,,,,,
1731014451.4244864,,,,,,,,,,,,,nan,99932380.0,nan
1731014451.4259546,800.6227,806.6667,813.1135,799.011,nan,nan,,,,,,,,,
1731014451.4283333,,,,,,,0.17199707,0.078186035,0.97320557,,,,,,
1731014451.4298408,795.78754,809.89014,811.9048,794.57874,nan,nan,,,,,,,,,
1731014451.4337273,789.34064,810.696,809.4872,786.1172,nan,nan,,,,,,,,,
1731014451.4373410,,,,,,,,,,1656044.0,1607692.2,,,,
1731014451.4376137,790.54944,808.68134,801.8315,783.69965,nan,nan,,,,,,,,,
1731014451.4400277,,,,,,,,,,,,,nan,99966220.0,nan
1731014451.4414999,796.99634,811.50183,799.81683,785.7143,nan,nan,,,,,,,,,
1731014451.4453864,800.2198,808.2784,803.0403,775.2381,nan,nan,,,,,,,,,
1731014451.4471321,,,,,,,0.17059326,0.08105469,0.973938,,,,,,
1731014451.4492729,789.34064,803.0403,803.8461,786.1172,nan,nan,,,,,,,,,
1731014451.4531591,787.72894,809.4872,808.68134,796.1905,nan,nan,,,,,,,,,
1731014451.4555690,,,,,,,,,,,,,nan,100011350.0,nan
1731014451.4570456,788.5348,811.9048,807.8755,784.10254,nan,nan,,,,,,,,,
1731014451.4609320,788.1319,810.696,808.68134,788.5348,nan,nan,,,,,,,,,
1731014451.4648182,794.57874,811.0989,813.1135,796.1905,nan,nan,,,,,,,,,
1731014451.4659309,,,,,,,0.17028809,0.07952881,0.9711304,,,,,,
1731014451.4687047,805.05493,809.4872,811.9048,799.011,nan,nan,,,,,,,,,
1731014451.4711103,,,,,,,,,,,,,nan,99967030.0,nan
1731014451.4723189,,,,,,,,,,1655238.1,1607692.2,,,,
1731014451.4725912,816.7399,813.5165,808.68134,797.3993,nan,nan,,,,,,,,,
1731014451.4764774,814.3223,811.0989,808.68134,792.1612,nan,nan,,,,,,,,,
1731014451.4803638,807.0696,809.4872,810.696,790.14655,nan,nan,,,,,,,,,
1731014451.4842503,811.0989,813.91943,808.68134,791.3553,nan,nan,,,,,,,,,
1731014451.4847298,,,,,,,0.17108154,0.07861328,0.96917725,,,,,,
1731014451.4866517,,,,,,,,,,,,,nan,100017800.0,nan
1731014451.4881365,812.3077,807.47253,809.4872,802.6374,nan,nan,,,,,,,,,
1731014451.4920230,803.8461,805.8608,811.50183,803.44324,nan,nan,,,,,,,,,
1731014451.4959095,801.4286,809.4872,813.1135,799.011,nan,nan,,,,,,,,,
1731014451.4997957,798.20514,813.91943,813.1135,803.8461,nan,nan,,,,,,,,,
1731014451.5021930,,,,,,,,,,,,,nan,99993624.0,nan
1731014451.5035286,,,,,,,0.17492676,0.08062744,0.9654541,,,,,,
1731014451.5036821,792.5641,814.3223,809.0842,803.44324,nan,nan,,,,,,,,,
1731014451.5072968,,,,,,,,,,1655238.1,1607692.2,,,,
1731014451.5075686,797.8022,808.2784,810.696,799.81683,nan,nan,,,,,,,,,
1731014451.5114548,807.8755,809.89014,805.05493,798.20514,nan,nan,,,,,,,,,
1731014451.5153413,806.6667,809.0842,800.2198,802.6374,nan,nan,,,,,,,,,
1731014451.5177345,,,,,,,,,,,,,nan,100054870.0,nan
1731014451.5192277,801.8315,805.4579,804.2491,800.6227,nan,nan,,,,,,,,,
1731014451.5223274,,,,,,,0.16888428,0.07952881,0.9678345,,,,,,
1731014451.5231140,812.71063,806.26373,807.0696,802.6374,nan,nan,,,,,,,,,
1731014451.5270004,806.6667,803.0403,807.0696,804.2491,nan,nan,,,,,,,,,
1731014451.5308867,806.6667,803.8461,811.0989,799.81683,nan,nan,,,,,,,,,
