timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731016844.2290001,,,,,,,,,,1632674.0,1607692.2,,,,
1731016844.2640002,,,,,,,,,,1632674.0,1607692.2,,,,
1731016844.2644074,,,,,,,0.113098145,0.06262207,0.9761963,,,,,,
1731016844.2832963,,,,,,,0.11138916,0.060180664,0.97888184,,,,,,
1731016844.2990000,,,,,,,,,,1632674.0,1606886.5,,,,
1731016844.3021855,,,,,,,0.10675049,0.06347656,0.97442627,,,,,,
1731016844.3050339,798.60803,799.81683,799.81683,779.67035,nan,nan,,,,,,,,,
1731016844.3089318,794.17584,801.02563,801.8315,781.28204,nan,nan,,,,,,,,,
1731016844.3128297,796.5934,803.0403,803.44324,774.43225,nan,nan,,,,,,,,,
1731016844.3167276,803.0403,803.8461,807.47253,775.64105,nan,nan,,,,,,,,,
1731016844.3201127,,,,,,,,,,,,,nan,97695310.0,nan
1731016844.3206255,801.8315,805.05493,811.50183,780.87915,nan,nan,,,,,,,,,
1731016844.3210745,,,,,,,0.10473633,0.06768799,0.9772949,,,,,,
1731016844.3245237,803.8461,809.4872,804.65204,782.49084,nan,nan,,,,,,,,,
1731016844.3284216,803.8461,807.8755,796.99634,778.86444,nan,nan,,,,,,,,,
1731016844.3323195,802.23444,809.89014,800.6227,782.49084,nan,nan,,,,,,,,,
1731016844.3340001,,,,,,,,,,1632674.0,1606886.5,,,,
1731016844.3356667,,,,,,,,,,,,,nan,97735610.0,nan
1731016844.3362174,806.26373,814.7253,806.6667,784.90845,nan,nan,,,,,,,,,
1731016844.3399634,,,,,,,0.10632324,0.06640625,0.9772949,,,,,,
1731016844.3401153,804.2491,814.3223,805.4579,784.5055,nan,nan,,,,,,,,,
1731016844.3440132,801.4286,812.3077,803.44324,786.1172,nan,nan,,,,,,,,,
1731016844.3479111,805.4579,809.89014,803.0403,785.31134,nan,nan,,,,,,,,,
1731016844.3512204,,,,,,,,,,,,,nan,97761390.0,nan
1731016844.3518090,805.4579,811.0989,803.44324,785.7143,nan,nan,,,,,,,,,
1731016844.3557072,803.0403,811.50183,803.0403,784.10254,nan,nan,,,,,,,,,
1731016844.3588526,,,,,,,0.10235596,0.06713867,0.98187256,,,,,,
1731016844.3596051,801.8315,805.8608,803.8461,782.49084,nan,nan,,,,,,,,,
1731016844.3635030,802.6374,803.8461,809.0842,778.46155,nan,nan,,,,,,,,,
