timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730154311.2298555,,,,,,,,,,1626227.1,1607692.2,,,,
1730154311.2636974,772.4176,826.0073,807.0696,815.5311,nan,nan,,,,,,,,,
1730154311.2650001,,,,,,,,,,1626227.1,1607692.2,,,,
1730154311.2676055,780.87915,813.5165,807.8755,811.9048,nan,nan,,,,,,,,,
1730154311.2715139,787.326,816.7399,813.1135,821.978,nan,nan,,,,,,,,,
1730154311.2754221,798.20514,813.5165,823.5897,837.28937,nan,nan,,,,,,,,,
1730154311.2793305,778.46155,827.2161,824.7985,831.2454,nan,nan,,,,,,,,,
1730154311.2832386,767.5824,833.663,827.2161,824.3956,nan,nan,,,,,,,,,
1730154311.2871470,804.2491,829.2308,828.8278,825.2015,nan,nan,,,,,,,,,
1730154311.2910552,810.696,840.10986,824.3956,842.9304,nan,nan,,,,,,,,,
1730154311.2949636,780.4762,838.0952,828.4249,850.989,nan,nan,,,,,,,,,
1730154311.2959094,,,,,,,,,,,,,nan,102484540.0,nan
1730154311.2988718,789.7436,834.87177,827.2161,827.2161,nan,nan,,,,,,,,,
1730154311.3001444,,,,,,,,,,1626227.1,1607692.2,,,,
1730154311.3027799,774.83514,833.663,819.5604,815.9341,nan,nan,,,,,,,,,
1730154311.3066883,756.30035,814.3223,823.9927,811.50183,nan,nan,,,,,,,,,
1730154311.3105965,791.75824,814.7253,826.0073,819.9634,nan,nan,,,,,,,,,
1730154311.3115451,,,,,,,,,,,,,nan,102465200.0,nan
1730154311.3145049,809.0842,819.9634,821.1722,838.49817,nan,nan,,,,,,,,,
1730154311.3184130,804.2491,823.1868,818.7546,842.1245,nan,nan,,,,,,,,,
1730154311.3223214,788.1319,820.3663,819.9634,823.1868,nan,nan,,,,,,,,,
1730154311.3262296,798.60803,838.0952,803.0403,812.3077,nan,nan,,,,,,,,,
1730154311.3271811,,,,,,,,,,,,,nan,102453110.0,nan
1730154311.3301380,796.99634,838.9011,803.0403,814.7253,nan,nan,,,,,,,,,
1730154311.3340461,778.86444,818.7546,814.3223,824.7985,nan,nan,,,,,,,,,
1730154311.3352890,,,,,,,,,,1626227.1,1607692.2,,,,
1730154311.3379543,771.6117,823.9927,807.0696,813.91943,nan,nan,,,,,,,,,
1730154311.3418627,790.14655,813.91943,805.8608,833.663,nan,nan,,,,,,,,,
1730154311.3428168,,,,,,,,,,,,,nan,102481320.0,nan
1730154311.3457708,793.36993,811.50183,809.89014,852.6007,nan,nan,,,,,,,,,
1730154311.3496792,784.5055,806.6667,816.7399,839.707,nan,nan,,,,,,,,,
1730154311.3535874,773.22345,805.4579,809.0842,832.0513,nan,nan,,,,,,,,,
1730154311.3574958,761.9414,807.47253,801.4286,828.022,nan,nan,,,,,,,,,
1730154311.3584526,,,,,,,,,,,,,nan,102485340.0,nan
1730154311.3614039,789.34064,804.2491,802.23444,820.7692,nan,nan,,,,,,,,,
1730154311.3653123,805.05493,810.696,800.6227,812.3077,nan,nan,,,,,,,,,
1730154311.3692205,780.4762,809.89014,802.6374,807.8755,nan,nan,,,,,,,,,
1730154311.3704336,,,,,,,,,,1626227.1,1607692.2,,,,
1730154311.3731289,759.92676,815.5311,799.81683,817.5458,nan,nan,,,,,,,,,
1730154311.3740885,,,,,,,,,,,,,nan,102478904.0,nan
1730154311.3770370,773.6264,822.7839,800.6227,823.9927,nan,nan,,,,,,,,,
1730154311.3809452,775.2381,820.3663,803.44324,807.8755,nan,nan,,,,,,,,,
1730154311.3848536,780.4762,811.50183,798.60803,802.23444,nan,nan,,,,,,,,,
1730154311.3887618,801.02563,817.1429,791.3553,814.3223,nan,nan,,,,,,,,,
1730154311.3897243,,,,,,,,,,,,,nan,102511140.0,nan
1730154311.3926702,782.49084,825.6044,794.17584,825.2015,nan,nan,,,,,,,,,
1730154311.3965783,784.90845,813.91943,805.4579,836.8865,nan,nan,,,,,,,,,
1730154311.4004867,788.93774,821.5751,801.02563,822.381,nan,nan,,,,,,,,,
1730154311.4043949,786.52014,822.7839,795.78754,811.9048,nan,nan,,,,,,,,,
1730154311.4053600,,,,,,,,,,,,,nan,102502270.0,nan
1730154311.4055779,,,,,,,,,,1626227.1,1607692.2,,,,
1730154311.4083033,794.57874,814.7253,797.3993,823.9927,nan,nan,,,,,,,,,
1730154311.4122114,790.9524,814.7253,799.81683,819.15753,nan,nan,,,,,,,,,
1730154311.4161196,792.5641,819.15753,808.68134,806.6667,nan,nan,,,,,,,,,
1730154311.4200280,811.50183,833.2601,809.4872,813.1135,nan,nan,,,,,,,,,
1730154311.4209960,,,,,,,,,,,,,nan,102548210.0,nan
1730154311.4227421,,,,,,,0.11804199,0.11047363,0.9871826,,,,,,
1730154311.4239361,792.96704,826.4103,813.5165,823.5897,nan,nan,,,,,,,,,
1730154311.4278445,788.1319,810.293,811.50183,828.8278,nan,nan,,,,,,,,,
1730154311.4317527,796.5934,815.9341,801.02563,821.978,nan,nan,,,,,,,,,
1730154311.4356611,787.72894,818.7546,797.3993,802.23444,nan,nan,,,,,,,,,
1730154311.4366317,,,,,,,,,,,,,nan,102563520.0,nan
1730154311.4395692,806.26373,809.4872,801.8315,813.91943,nan,nan,,,,,,,,,
