timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730149251.4361374,,,,,,,,,,1688278.4,1607692.2,,,,
1730149251.4713335,,,,,,,,,,1688278.4,1607692.2,,,,
1730149251.5065296,,,,,,,,,,1687472.5,1607692.2,,,,
1730149251.5134761,,,,,,,-0.011047363,0.004638672,0.9875488,,,,,,
1730149251.5136986,808.2784,823.1868,801.8315,816.337,nan,nan,,,,,,,,,
1730149251.5176022,790.9524,819.5604,800.6227,803.44324,nan,nan,,,,,,,,,
1730149251.5215056,789.34064,806.26373,805.05493,803.8461,nan,nan,,,,,,,,,
1730149251.5254092,795.38464,801.4286,802.6374,811.9048,nan,nan,,,,,,,,,
1730149251.5293126,799.41394,806.26373,800.6227,815.5311,nan,nan,,,,,,,,,
1730149251.5323689,,,,,,,-0.014343262,0.006652832,0.9829712,,,,,,
1730149251.5332162,802.6374,809.0842,796.5934,811.0989,nan,nan,,,,,,,,,
1730149251.5371196,805.4579,799.81683,799.011,804.2491,nan,nan,,,,,,,,,
1730149251.5410233,798.20514,800.6227,798.20514,804.65204,nan,nan,,,,,,,,,
1730149251.5417256,,,,,,,,,,1688278.4,1607692.2,,,,
1730149251.5449266,799.41394,803.0403,796.99634,809.0842,nan,nan,,,,,,,,,
1730149251.5488303,806.6667,805.05493,801.4286,813.1135,nan,nan,,,,,,,,,
1730149251.5512617,,,,,,,-0.008361816,0.0036621094,0.99102783,,,,,,
1730149251.5527337,805.05493,809.89014,807.47253,809.0842,nan,nan,,,,,,,,,
1730149251.5566373,797.3993,817.5458,806.26373,803.44324,nan,nan,,,,,,,,,
1730149251.5605407,802.23444,811.9048,803.0403,801.8315,nan,nan,,,,,,,,,
1730149251.5644443,807.8755,803.8461,803.8461,805.4579,nan,nan,,,,,,,,,
1730149251.5683477,792.1612,808.2784,807.0696,795.78754,nan,nan,,,,,,,,,
1730149251.5701544,,,,,,,-0.013977051,0.0048828125,0.98950195,,,,,,
1730149251.5722513,787.72894,822.381,804.2491,795.38464,nan,nan,,,,,,,,,
1730149251.5761547,807.47253,816.7399,801.02563,805.4579,nan,nan,,,,,,,,,
1730149251.5769217,,,,,,,,,,1687472.5,1607692.2,,,,
1730149251.5800583,819.5604,801.8315,805.05493,808.68134,nan,nan,,,,,,,,,
1730149251.5839617,807.8755,810.293,802.23444,806.26373,nan,nan,,,,,,,,,
1730149251.5878654,806.6667,809.4872,802.23444,798.60803,nan,nan,,,,,,,,,
