timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730148799.6730247,805.4579,821.5751,809.4872,826.8132,nan,nan,,,,,,,,,
1730148799.6769505,803.0403,815.5311,811.0989,829.2308,nan,nan,,,,,,,,,
1730148799.6808760,801.02563,814.3223,807.47253,829.2308,nan,nan,,,,,,,,,
1730148799.6848018,814.7253,815.5311,814.3223,828.8278,nan,nan,,,,,,,,,
1730148799.6887276,807.0696,814.7253,813.5165,830.0366,nan,nan,,,,,,,,,
1730148799.6926532,791.3553,812.3077,809.89014,827.2161,nan,nan,,,,,,,,,
1730148799.6965790,809.0842,809.0842,811.0989,827.2161,nan,nan,,,,,,,,,
1730148799.7005048,814.7253,811.50183,807.47253,836.8865,nan,nan,,,,,,,,,
1730148799.7044303,794.9817,817.9487,809.89014,823.9927,nan,nan,,,,,,,,,
1730148799.7083561,792.1612,820.3663,810.696,816.337,nan,nan,,,,,,,,,
1730148799.7122819,806.26373,813.1135,807.0696,826.8132,nan,nan,,,,,,,,,
1730148799.7162075,806.6667,810.696,808.2784,834.4689,nan,nan,,,,,,,,,
1730148799.7201333,807.47253,813.91943,811.9048,833.2601,nan,nan,,,,,,,,,
1730148799.7240591,799.41394,815.9341,812.71063,824.3956,nan,nan,,,,,,,,,
1730148799.7279847,801.4286,813.91943,811.0989,828.022,nan,nan,,,,,,,,,
1730148799.7319105,812.3077,812.71063,819.5604,828.8278,nan,nan,,,,,,,,,
1730148799.7358363,813.5165,818.3516,824.3956,831.2454,nan,nan,,,,,,,,,
1730148799.7397618,806.6667,814.7253,820.7692,839.304,nan,nan,,,,,,,,,
1730148799.7436876,800.6227,810.696,816.337,834.0659,nan,nan,,,,,,,,,
1730148799.7476134,801.4286,814.7253,807.0696,820.3663,nan,nan,,,,,,,,,
1730148799.7515390,808.68134,812.71063,805.4579,826.4103,nan,nan,,,,,,,,,
1730148799.7554648,796.5934,809.89014,809.0842,830.4396,nan,nan,,,,,,,,,
1730148799.7593906,777.25275,815.9341,804.65204,813.1135,nan,nan,,,,,,,,,
1730148799.7633162,803.8461,805.4579,807.8755,826.8132,nan,nan,,,,,,,,,
1730148799.7672420,818.7546,803.0403,812.71063,830.84247,nan,nan,,,,,,,,,
1730148799.7711678,818.7546,807.8755,813.1135,827.619,nan,nan,,,,,,,,,
1730148799.7750933,807.8755,811.0989,811.50183,830.0366,nan,nan,,,,,,,,,
1730148799.7790191,797.8022,812.71063,812.71063,821.5751,nan,nan,,,,,,,,,
1730148799.7829449,809.89014,815.12823,811.0989,826.8132,nan,nan,,,,,,,,,
1730148799.7868705,808.68134,813.1135,806.26373,822.381,nan,nan,,,,,,,,,
1730148799.7907963,798.60803,809.4872,806.6667,805.05493,nan,nan,,,,,,,,,
1730148799.7947221,788.93774,812.3077,802.6374,805.4579,nan,nan,,,,,,,,,
1730148799.7986476,795.38464,811.0989,800.2198,799.41394,nan,nan,,,,,,,,,
1730148799.8025734,806.26373,812.3077,802.6374,807.0696,nan,nan,,,,,,,,,
1730148799.8064990,810.696,811.9048,803.8461,823.5897,nan,nan,,,,,,,,,
1730148799.8104248,805.4579,807.0696,807.47253,823.5897,nan,nan,,,,,,,,,
1730148799.8143506,788.1319,817.9487,807.0696,813.91943,nan,nan,,,,,,,,,
1730148799.8182762,799.81683,811.0989,807.47253,808.2784,nan,nan,,,,,,,,,
1730148799.8222020,810.293,796.1905,806.26373,821.5751,nan,nan,,,,,,,,,
1730148799.8261278,799.81683,801.4286,801.4286,820.7692,nan,nan,,,,,,,,,
1730148799.8300533,789.7436,804.65204,799.81683,807.0696,nan,nan,,,,,,,,,
1730148799.8327484,,,,,,,0.08117676,-0.00079345703,0.9845581,,,,,,
1730148799.8339791,797.3993,806.26373,804.2491,807.47253,nan,nan,,,,,,,,,
