timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731141217.9254081,,,,,,,,,,,,,nan,115530620.0,nan
1731141217.9411020,,,,,,,,,,,,,nan,115472600.0,nan
1731141217.9567959,,,,,,,,,,,,,nan,115458904.0,nan
1731141217.9724898,,,,,,,,,,,,,nan,115365420.0,nan
1731141217.9870887,,,,,,,0.17559814,0.10870361,0.95684814,,,,,,
1731141217.9881837,,,,,,,,,,,,,nan,115322710.0,nan
1731141218.0038774,,,,,,,,,,,,,nan,115269520.0,nan
1731141218.0059555,,,,,,,0.17199707,0.11816406,0.9454956,,,,,,
1731141218.0195713,,,,,,,,,,,,,nan,115241320.0,nan
1731141218.0248222,,,,,,,0.17578125,0.12573242,0.9570923,,,,,,
1731141218.0352652,,,,,,,,,,,,,nan,115179260.0,nan
1731141218.0436893,,,,,,,0.18310547,0.12884521,0.97766113,,,,,,
1731141218.0497689,815.12823,800.6227,817.1429,812.3077,nan,nan,,,,,,,,,
1731141218.0509591,,,,,,,,,,,,,nan,115135750.0,nan
1731141218.0536666,843.73627,810.696,813.1135,816.337,nan,nan,,,,,,,,,
1731141218.0575645,807.8755,804.2491,810.293,810.293,nan,nan,,,,,,,,,
1731141218.0614622,782.0879,799.011,807.8755,807.47253,nan,nan,,,,,,,,,
1731141218.0625560,,,,,,,0.18511963,0.12756348,0.9852905,,,,,,
1731141218.0653598,811.0989,806.6667,796.99634,811.50183,nan,nan,,,,,,,,,
1731141218.0666530,,,,,,,,,,,,,nan,115131720.0,nan
1731141218.0692575,841.31866,805.4579,800.6227,811.9048,nan,nan,,,,,,,,,
1731141218.0731554,823.5897,801.02563,806.6667,808.2784,nan,nan,,,,,,,,,
1731141218.0770531,768.7912,800.2198,800.6227,797.8022,nan,nan,,,,,,,,,
1731141218.0809507,788.5348,800.2198,805.4579,806.6667,nan,nan,,,,,,,,,
1731141218.0814228,,,,,,,0.1876831,0.13287354,0.9824219,,,,,,
1731141218.0823469,,,,,,,,,,,,,nan,115134136.0,nan
1731141218.0848484,828.4249,795.78754,807.8755,815.5311,nan,nan,,,,,,,,,
1731141218.0887463,828.022,794.17584,801.02563,809.89014,nan,nan,,,,,,,,,
1731141218.0926440,776.4469,800.6227,797.8022,790.14655,nan,nan,,,,,,,,,
1731141218.0965416,776.4469,804.2491,797.8022,784.90845,nan,nan,,,,,,,,,
1731141218.0980408,,,,,,,,,,,,,nan,115105130.0,nan
1731141218.1002896,,,,,,,0.18206787,0.13653564,0.97021484,,,,,,
1731141218.1004393,815.5311,804.65204,798.20514,795.78754,nan,nan,,,,,,,,,
1731141218.1043372,838.49817,801.02563,794.57874,807.47253,nan,nan,,,,,,,,,
1731141218.1082349,788.93774,799.41394,787.72894,794.17584,nan,nan,,,,,,,,,
1731141218.1121325,753.0769,807.47253,791.3553,778.86444,nan,nan,,,,,,,,,
1731141218.1137347,,,,,,,,,,,,,nan,115076120.0,nan
1731141218.1160305,801.02563,812.71063,792.1612,796.1905,nan,nan,,,,,,,,,
1731141218.1191566,,,,,,,0.17199707,0.1328125,0.96466064,,,,,,
1731141218.1199281,838.0952,810.696,785.7143,809.89014,nan,nan,,,,,,,,,
1731141218.1238258,801.8315,807.47253,782.49084,798.60803,nan,nan,,,,,,,,,
1731141218.1277235,762.3443,806.26373,782.8938,785.31134,nan,nan,,,,,,,,,
1731141218.1294286,,,,,,,,,,,,,nan,115073700.0,nan
1731141218.1316214,784.90845,802.23444,792.5641,792.1612,nan,nan,,,,,,,,,
1731141218.1320622,,,,,,,,,,1618974.4,1607692.2,,,,
1731141218.1355190,842.1245,795.78754,801.8315,825.6044,nan,nan,,,,,,,,,
1731141218.1380234,,,,,,,0.16638184,0.13269043,0.9638672,,,,,,
1731141218.1394167,854.61536,803.8461,795.78754,842.1245,nan,nan,,,,,,,,,
1731141218.1433144,769.19415,807.47253,786.1172,794.57874,nan,nan,,,,,,,,,
1731141218.1451225,,,,,,,,,,,,,nan,115085784.0,nan
1731141218.1472123,753.8828,806.6667,784.10254,765.56775,nan,nan,,,,,,,,,
1731141218.1511099,800.2198,811.0989,782.49084,772.8205,nan,nan,,,,,,,,,
1731141218.1550076,801.02563,814.7253,766.77655,770.40295,nan,nan,,,,,,,,,
1731141218.1568902,,,,,,,0.16796875,0.12701416,0.9710083,,,,,,
