timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731305998.5246961,794.57874,1000.07324,506.88644,812.71063,nan,nan,,,,,,,,,
1731305998.5286074,796.1905,1000.07324,555.2381,824.7985,nan,nan,,,,,,,,,
1731305998.5325189,791.3553,998.0586,643.8828,818.3516,nan,nan,,,,,,,,,
1731305998.5364301,784.10254,994.43225,583.0403,809.89014,nan,nan,,,,,,,,,
1731305998.5403414,788.93774,993.6264,504.46887,820.3663,nan,nan,,,,,,,,,
1731305998.5417144,,,,,,,-0.22241211,0.06561279,0.9538574,,,,,,
1731305998.5442529,797.3993,987.1795,528.24176,826.4103,nan,nan,,,,,,,,,
1731305998.5481641,790.9524,982.3443,577.3993,822.7839,nan,nan,,,,,,,,,
1731305998.5520756,790.14655,986.3736,617.6923,823.1868,nan,nan,,,,,,,,,
1731305998.5558009,,,,,,,,,,,,,nan,112505420.0,nan
1731305998.5559869,780.87915,978.71796,395.67764,820.7692,nan,nan,,,,,,,,,
1731305998.5598981,782.49084,981.53845,400.1099,820.7692,nan,nan,,,,,,,,,
1731305998.5605710,,,,,,,-0.22375488,0.06640625,0.953125,,,,,,
1731305998.5638096,794.57874,987.98535,641.4652,819.9634,nan,nan,,,,,,,,,
1731305998.5677209,808.68134,987.1795,593.5165,819.5604,nan,nan,,,,,,,,,
1731305998.5713978,,,,,,,,,,,,,nan,112486080.0,nan
1731305998.5716321,818.7546,991.2088,541.9414,812.3077,nan,nan,,,,,,,,,
1731305998.5755436,809.0842,992.01465,607.2161,811.0989,nan,nan,,,,,,,,,
1731305998.5794277,,,,,,,-0.21813965,0.06793213,0.9532471,,,,,,
1731305998.5794549,796.5934,988.3883,671.685,819.5604,nan,nan,,,,,,,,,
1731305998.5833662,802.23444,985.16486,626.55676,819.9634,nan,nan,,,,,,,,,
1731305998.5869949,,,,,,,,,,,,,nan,112494940.0,nan
1731305998.5872777,802.6374,986.77655,519.7802,815.9341,nan,nan,,,,,,,,,
1731305998.5911889,788.93774,982.74725,517.76556,816.7399,nan,nan,,,,,,,,,
