timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731015129.4533646,803.8461,801.8315,798.20514,779.67035,nan,nan,,,,,,,,,
1731015129.4572701,808.68134,799.011,801.8315,793.36993,nan,nan,,,,,,,,,
1731015129.4611759,803.8461,795.78754,801.4286,792.1612,nan,nan,,,,,,,,,
1731015129.4650815,801.4286,797.3993,802.23444,792.5641,nan,nan,,,,,,,,,
1731015129.4689870,808.68134,795.38464,805.05493,803.8461,nan,nan,,,,,,,,,
1731015129.4728928,805.05493,798.20514,803.8461,809.4872,nan,nan,,,,,,,,,
1731015129.4767983,792.5641,799.81683,803.44324,807.0696,nan,nan,,,,,,,,,
1731015129.4807038,784.5055,798.60803,802.6374,802.6374,nan,nan,,,,,,,,,
1731015129.4846096,785.7143,801.8315,802.23444,800.6227,nan,nan,,,,,,,,,
1731015129.4885151,796.1905,801.02563,801.4286,801.02563,nan,nan,,,,,,,,,
1731015129.4924207,799.41394,801.4286,801.8315,801.02563,nan,nan,,,,,,,,,
1731015129.4936979,,,,,,,,,,,,,nan,98292456.0,nan
1731015129.4944050,,,,,,,0.0021362305,0.09576416,0.98236084,,,,,,
1731015129.4963264,801.4286,804.65204,805.4579,800.2198,nan,nan,,,,,,,,,
1731015129.5002320,812.71063,804.2491,803.0403,806.6667,nan,nan,,,,,,,,,
1731015129.5041375,813.1135,801.02563,799.011,803.44324,nan,nan,,,,,,,,,
1731015129.5080433,795.38464,796.5934,802.6374,791.75824,nan,nan,,,,,,,,,
1731015129.5093334,,,,,,,,,,,,,nan,98310184.0,nan
1731015129.5100255,,,,,,,,,,1645567.8,1606886.5,,,,
1731015129.5119488,791.3553,799.41394,805.05493,791.75824,nan,nan,,,,,,,,,
1731015129.5132976,,,,,,,0.0037841797,0.093811035,0.9805908,,,,,,
1731015129.5158544,800.6227,800.6227,808.2784,797.8022,nan,nan,,,,,,,,,
1731015129.5197601,799.41394,796.5934,807.0696,794.9817,nan,nan,,,,,,,,,
1731015129.5236657,800.6227,801.8315,807.47253,798.60803,nan,nan,,,,,,,,,
1731015129.5249686,,,,,,,,,,,,,nan,98319860.0,nan
1731015129.5275712,800.6227,807.0696,813.91943,801.02563,nan,nan,,,,,,,,,
1731015129.5314770,798.20514,804.65204,813.5165,794.17584,nan,nan,,,,,,,,,
1731015129.5321898,,,,,,,0.009094238,0.09161377,0.979126,,,,,,
1731015129.5353825,797.8022,801.4286,811.0989,794.9817,nan,nan,,,,,,,,,
1731015129.5392880,794.17584,798.20514,806.26373,789.34064,nan,nan,,,,,,,,,
1731015129.5406041,,,,,,,,,,,,,nan,98352900.0,nan
1731015129.5431938,794.17584,796.5934,805.05493,786.9231,nan,nan,,,,,,,,,
1731015129.5450001,,,,,,,,,,1645567.8,1607692.2,,,,
1731015129.5470994,797.8022,789.34064,809.4872,789.7436,nan,nan,,,,,,,,,
1731015129.5510051,798.60803,792.1612,810.696,789.34064,nan,nan,,,,,,,,,
1731015129.5510824,,,,,,,0.005859375,0.09362793,0.98321533,,,,,,
1731015129.5549107,799.011,802.23444,809.89014,790.9524,nan,nan,,,,,,,,,
1731015129.5562396,,,,,,,,,,,,,nan,98423000.0,nan
1731015129.5588162,800.6227,801.4286,813.5165,792.96704,nan,nan,,,,,,,,,
1731015129.5627220,797.8022,803.0403,812.3077,791.75824,nan,nan,,,,,,,,,
1731015129.5666275,795.38464,805.05493,807.0696,792.5641,nan,nan,,,,,,,,,
1731015129.5699749,,,,,,,0.001953125,0.093444824,0.9850464,,,,,,
1731015129.5705330,798.20514,803.8461,805.05493,797.8022,nan,nan,,,,,,,,,
1731015129.5718749,,,,,,,,,,,,,nan,98359340.0,nan
1731015129.5744388,799.011,802.6374,804.2491,798.20514,nan,nan,,,,,,,,,
1731015129.5783443,800.2198,808.68134,805.05493,800.2198,nan,nan,,,,,,,,,
1731015129.5799747,,,,,,,,,,1645567.8,1607692.2,,,,
1731015129.5822499,803.0403,805.8608,807.47253,800.6227,nan,nan,,,,,,,,,
1731015129.5861557,803.44324,798.20514,807.0696,792.5641,nan,nan,,,,,,,,,
1731015129.5875103,,,,,,,,,,,,,nan,98431064.0,nan
1731015129.5888672,,,,,,,0.0028686523,0.09655762,0.98638916,,,,,,
1731015129.5900612,808.68134,800.2198,811.0989,794.9817,nan,nan,,,,,,,,,
1731015129.5939667,809.4872,804.2491,810.696,798.60803,nan,nan,,,,,,,,,
1731015129.5978725,810.696,801.4286,807.47253,794.17584,nan,nan,,,,,,,,,
