timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731305660.2953689,,,,,,,,,,,,,nan,225587840.0,nan
1731305660.3110001,,,,,,,,,,,,,nan,225622500.0,nan
1731305660.3266311,,,,,,,,,,,,,nan,225638610.0,nan
1731305660.3422623,,,,,,,,,,,,,nan,225628940.0,nan
1731305660.3578932,,,,,,,,,,,,,nan,225658750.0,nan
1731305660.3735244,,,,,,,,,,,,,nan,225669230.0,nan
1731305660.3827569,,,,,,,-0.22894287,0.1494751,0.92889404,,,,,,
1731305660.3891554,,,,,,,,,,,,,nan,225692600.0,nan
1731305660.3917649,828.8278,750.2564,882.4176,805.4579,nan,nan,,,,,,,,,
1731305660.3956664,828.022,561.685,804.65204,813.91943,nan,nan,,,,,,,,,
1731305660.3995681,818.7546,608.4249,817.5458,799.011,nan,nan,,,,,,,,,
1731305660.4016213,,,,,,,-0.23822021,0.14544678,0.92492676,,,,,,
1731305660.4034696,812.3077,729.304,860.2564,788.1319,nan,nan,,,,,,,,,
1731305660.4047866,,,,,,,,,,,,,nan,225675680.0,nan
1731305660.4073710,826.0073,662.01465,847.76556,804.65204,nan,nan,,,,,,,,,
1731305660.4112728,831.6484,449.67032,796.5934,811.50183,nan,nan,,,,,,,,,
1731305660.4151742,832.8571,356.99634,761.13556,804.65204,nan,nan,,,,,,,,,
1731305660.4190757,828.4249,546.3736,824.3956,795.38464,nan,nan,,,,,,,,,
1731305660.4204178,,,,,,,,,,,,,nan,225651500.0,nan
1731305660.4204857,,,,,,,-0.23492432,0.14916992,0.93707275,,,,,,
1731305660.4229772,826.8132,479.48718,761.53845,788.5348,nan,nan,,,,,,,,,
1731305660.4268789,836.08057,117.65568,603.9927,793.7729,nan,nan,,,,,,,,,
1731305660.4307804,824.3956,549.59705,834.4689,788.1319,nan,nan,,,,,,,,,
1731305660.4346819,814.7253,742.1978,856.2271,778.86444,nan,nan,,,,,,,,,
1731305660.4360487,,,,,,,,,,,,,nan,225713550.0,nan
1731305660.4385836,827.2161,454.10257,742.1978,788.1319,nan,nan,,,,,,,,,
1731305660.4393501,,,,,,,-0.22521973,0.14660645,0.9369507,,,,,,
1731305660.4424851,828.8278,417.43588,797.8022,799.81683,nan,nan,,,,,,,,,
1731305660.4463866,822.381,630.58606,882.01465,794.17584,nan,nan,,,,,,,,,
1731305660.4502883,852.1978,691.4286,808.2784,803.8461,nan,nan,,,,,,,,,
1731305660.4516799,,,,,,,,,,,,,nan,225679710.0,nan
1731305660.4541898,880.0,363.04028,649.12085,840.5128,nan,nan,,,,,,,,,
1731305660.4580913,844.5421,308.24176,769.19415,830.84247,nan,nan,,,,,,,,,
1731305660.4582145,,,,,,,-0.22479248,0.14837646,0.9329834,,,,,,
1731305660.4619930,818.7546,626.55676,909.81683,799.81683,nan,nan,,,,,,,,,
1731305660.4658945,826.4103,651.9414,791.3553,801.4286,nan,nan,,,,,,,,,
1731305660.4673109,,,,,,,,,,,,,nan,225712750.0,nan
1731305660.4697959,817.5458,369.8901,639.45056,788.1319,nan,nan,,,,,,,,,
1731305660.4736977,795.38464,563.2967,802.6374,767.1795,nan,nan,,,,,,,,,
1731305660.4770787,,,,,,,-0.22583008,0.15063477,0.93463135,,,,,,
1731305660.4775991,792.96704,923.1135,947.28937,771.6117,nan,nan,,,,,,,,,
1731305660.4815006,791.3553,742.1978,805.8608,772.8205,nan,nan,,,,,,,,,
1731305660.4829421,,,,,,,,,,,,,nan,225737730.0,nan
1731305660.4854021,776.04395,212.34433,554.0293,755.4945,nan,nan,,,,,,,,,
1731305660.4893038,769.59705,439.19415,762.3443,745.82416,nan,nan,,,,,,,,,
1731305660.4932053,763.5531,902.1612,940.84247,743.00366,nan,nan,,,,,,,,,
1731305660.4959431,,,,,,,-0.23406982,0.14831543,0.93395996,,,,,,
1731305660.4971068,758.315,508.49817,702.71063,736.9597,nan,nan,,,,,,,,,
1731305660.4985731,,,,,,,,,,,,,nan,225680510.0,nan
1731305660.5010085,754.68866,239.34065,585.05493,729.304,nan,nan,,,,,,,,,
1731305660.5049100,740.58606,348.5348,670.4762,724.4689,nan,nan,,,,,,,,,
1731305660.5088115,747.8388,628.97437,876.3736,740.989,nan,nan,,,,,,,,,
1731305660.5127132,771.2088,542.74725,755.4945,755.89746,nan,nan,,,,,,,,,
1731305660.5142043,,,,,,,,,,,,,nan,225733700.0,nan
1731305660.5148075,,,,,,,-0.23425293,0.15045166,0.9394531,,,,,,
1731305660.5166147,776.4469,86.630035,447.25275,754.68866,nan,nan,,,,,,,,,
1731305660.5205162,769.19415,473.44324,747.03296,744.61536,nan,nan,,,,,,,,,
1731305660.5244179,777.25275,853.8095,937.2161,762.74725,nan,nan,,,,,,,,,
1731305660.5283194,787.326,638.6447,811.0989,770.80585,nan,nan,,,,,,,,,
1731305660.5298355,,,,,,,,,,,,,nan,225780430.0,nan
1731305660.5322208,788.93774,530.2564,761.9414,751.06226,nan,nan,,,,,,,,,
1731305660.5336719,,,,,,,-0.23706055,0.1506958,0.9465332,,,,,,
1731305660.5354252,,,,,,,,,,1634285.8,1607692.2,,,,
1731305660.5361226,793.36993,535.4945,744.61536,754.68866,nan,nan,,,,,,,,,
1731305660.5400240,794.9817,456.52014,773.22345,770.80585,nan,nan,,,,,,,,,
1731305660.5439255,794.9817,531.4652,820.3663,776.4469,nan,nan,,,,,,,,,
1731305660.5454664,,,,,,,,,,,,,nan,225711140.0,nan
