timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731142328.1966999,768.3883,798.20514,787.72894,784.5055,nan,nan,,,,,,,,,
1731142328.2006009,770.0,802.23444,784.5055,781.685,nan,nan,,,,,,,,,
1731142328.2045021,817.1429,806.26373,782.0879,800.2198,nan,nan,,,,,,,,,
1731142328.2084031,830.0366,805.05493,790.54944,806.26373,nan,nan,,,,,,,,,
1731142328.2123041,792.1612,803.8461,791.75824,794.9817,nan,nan,,,,,,,,,
1731142328.2162051,780.87915,808.68134,780.87915,795.38464,nan,nan,,,,,,,,,
1731142328.2201064,803.0403,813.5165,780.07324,808.68134,nan,nan,,,,,,,,,
1731142328.2240074,839.707,809.4872,791.3553,828.8278,nan,nan,,,,,,,,,
1731142328.2279084,819.5604,809.4872,801.02563,821.5751,nan,nan,,,,,,,,,
1731142328.2318094,776.4469,808.68134,799.011,798.20514,nan,nan,,,,,,,,,
1731142328.2357106,802.23444,808.2784,793.7729,796.5934,nan,nan,,,,,,,,,
1731142328.2396116,832.8571,811.9048,792.96704,796.5934,nan,nan,,,,,,,,,
1731142328.2435126,819.5604,811.0989,797.8022,793.36993,nan,nan,,,,,,,,,
1731142328.2441368,,,,,,,,,,,,,nan,113482130.0,nan
1731142328.2450690,,,,,,,,,,1601245.4,1606886.5,,,,
1731142328.2474136,776.8498,811.9048,796.99634,786.9231,nan,nan,,,,,,,,,
1731142328.2513149,789.7436,807.0696,795.38464,791.75824,nan,nan,,,,,,,,,
1731142328.2552159,827.619,799.41394,796.99634,803.44324,nan,nan,,,,,,,,,
1731142328.2591169,832.8571,796.1905,792.1612,808.2784,nan,nan,,,,,,,,,
1731142328.2597265,,,,,,,,,,,,,nan,113447470.0,nan
1731142328.2630181,777.6557,795.38464,793.7729,798.20514,nan,nan,,,,,,,,,
1731142328.2669191,777.6557,801.4286,791.75824,812.3077,nan,nan,,,,,,,,,
