timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731655021.3383842,,,,,,,,,,,,,nan,114175970.0,nan
1731655021.3540001,,,,,,,,,,,,,nan,114196920.0,nan
1731655021.3696158,,,,,,,,,,,,,nan,114192090.0,nan
1731655021.3852317,,,,,,,,,,,,,nan,114213040.0,nan
1731655021.3860652,774.43225,797.3993,807.47253,772.01465,nan,nan,,,,,,,,,
1731655021.3899674,828.8278,802.23444,804.65204,807.0696,nan,nan,,,,,,,,,
1731655021.3938699,823.9927,803.8461,795.38464,800.6227,nan,nan,,,,,,,,,
1731655021.3977721,758.315,801.4286,794.57874,754.2857,nan,nan,,,,,,,,,
1731655021.4008477,,,,,,,,,,,,,nan,114199340.0,nan
1731655021.4016745,759.12085,800.6227,802.23444,758.315,nan,nan,,,,,,,,,
1731655021.4055767,811.9048,806.6667,803.44324,802.6374,nan,nan,,,,,,,,,
1731655021.4077423,,,,,,,0.16693115,0.085632324,0.9779053,,,,,,
1731655021.4094791,842.52747,810.696,802.23444,822.381,nan,nan,,,,,,,,,
1731655021.4133813,776.04395,806.26373,804.2491,770.80585,nan,nan,,,,,,,,,
1731655021.4164634,,,,,,,,,,,,,nan,114225940.0,nan
1731655021.4172838,751.4652,802.6374,798.20514,756.7033,nan,nan,,,,,,,,,
1731655021.4211860,803.8461,804.65204,794.9817,798.60803,nan,nan,,,,,,,,,
1731655021.4250884,852.1978,809.89014,804.2491,823.9927,nan,nan,,,,,,,,,
1731655021.4266288,,,,,,,0.16131592,0.08294678,0.97613525,,,,,,
1731655021.4289906,809.4872,805.4579,808.68134,785.7143,nan,nan,,,,,,,,,
1731655021.4320793,,,,,,,,,,,,,nan,114208210.0,nan
1731655021.4328930,758.71796,800.6227,805.4579,759.12085,nan,nan,,,,,,,,,
1731655021.4367952,786.52014,802.6374,802.23444,778.46155,nan,nan,,,,,,,,,
1731655021.4406977,844.94507,807.0696,801.4286,816.337,nan,nan,,,,,,,,,
1731655021.4445999,821.5751,803.8461,804.65204,801.4286,nan,nan,,,,,,,,,
1731655021.4455154,,,,,,,0.15344238,0.07678223,0.97717285,,,,,,
1731655021.4476950,,,,,,,,,,,,,nan,114249304.0,nan
1731655021.4485023,756.7033,804.65204,803.0403,758.315,nan,nan,,,,,,,,,
1731655021.4524045,780.4762,803.0403,796.99634,770.40295,nan,nan,,,,,,,,,
1731655021.4563069,833.663,794.17584,802.23444,805.8608,nan,nan,,,,,,,,,
1731655021.4602091,840.10986,799.81683,808.2784,813.1135,nan,nan,,,,,,,,,
1731655021.4633110,,,,,,,,,,,,,nan,114226740.0,nan
1731655021.4641116,776.8498,803.0403,804.2491,774.43225,nan,nan,,,,,,,,,
1731655021.4644020,,,,,,,0.15234375,0.06958008,0.9682007,,,,,,
1731655021.4680138,765.9707,798.20514,806.26373,770.80585,nan,nan,,,,,,,,,
1731655021.4719162,817.1429,797.3993,807.8755,799.011,nan,nan,,,,,,,,,
1731655021.4758184,844.1392,800.6227,803.0403,807.47253,nan,nan,,,,,,,,,
1731655021.4789269,,,,,,,,,,,,,nan,114218680.0,nan
