timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731304522.5886996,871.53845,803.0403,675.31134,835.6777,nan,nan,,,,,,,,,
1731304522.5926008,841.7216,810.696,672.49084,825.6044,nan,nan,,,,,,,,,
1731304522.5965018,841.7216,815.5311,683.7729,829.2308,nan,nan,,,,,,,,,
1731304522.6004031,853.00366,799.81683,680.9524,826.0073,nan,nan,,,,,,,,,
1731304522.6043041,850.989,803.44324,686.1905,837.6923,nan,nan,,,,,,,,,
1731304522.6051087,,,,,,,,,,,,,nan,115359784.0,nan
1731304522.6057265,,,,,,,,,,1652014.6,1607692.2,,,,
1731304522.6082053,842.1245,825.6044,715.6044,817.9487,nan,nan,,,,,,,,,
1731304522.6121066,818.7546,814.7253,747.4359,765.9707,nan,nan,,,,,,,,,
1731304522.6151886,,,,,,,0.0064697266,0.13446045,0.9779053,,,,,,
1731304522.6160076,807.0696,806.6667,843.73627,772.8205,nan,nan,,,,,,,,,
1731304522.6199088,803.44324,826.8132,985.56775,790.54944,nan,nan,,,,,,,,,
1731304522.6206667,,,,,,,,,,,,,nan,115392020.0,nan
1731304522.6238101,778.0586,846.9597,1087.5092,753.0769,nan,nan,,,,,,,,,
1731304522.6277111,729.304,850.989,1211.6117,710.3663,nan,nan,,,,,,,,,
1731304522.6316123,710.7692,853.8095,1388.0952,690.2198,nan,nan,,,,,,,,,
1731304522.6340473,,,,,,,0.0065307617,0.13800049,0.9750366,,,,,,
1731304522.6355133,709.15753,850.18317,1567.3993,696.6667,nan,nan,,,,,,,,,
1731304522.6362247,,,,,,,,,,,,,nan,115396040.0,nan
1731304522.6394145,669.67035,843.73627,1630.6593,681.75824,nan,nan,,,,,,,,,
1731304522.6406667,,,,,,,,,,1652014.6,1607692.2,,,,
1731304522.6433158,647.9121,839.707,1624.6154,631.79486,nan,nan,,,,,,,,,
1731304522.6472168,657.5824,832.8571,1628.2417,614.87177,nan,nan,,,,,,,,,
1731304522.6511180,673.69965,830.0366,1628.6447,643.0769,nan,nan,,,,,,,,,
1731304522.6517825,,,,,,,,,,,,,nan,115346890.0,nan
1731304522.6529057,,,,,,,0.004272461,0.13690186,0.97436523,,,,,,
1731304522.6550193,689.81683,832.4542,1628.2417,673.2967,nan,nan,,,,,,,,,
1731304522.6589203,656.3736,813.91943,1628.2417,645.89746,nan,nan,,,,,,,,,
1731304522.6628215,647.1062,809.0842,1627.033,623.73627,nan,nan,,,,,,,,,
1731304522.6667225,694.65204,823.9927,1623.8096,665.64105,nan,nan,,,,,,,,,
1731304522.6673405,,,,,,,,,,,,,nan,115392020.0,nan
1731304522.6706238,703.1135,811.50183,1621.7949,705.9341,nan,nan,,,,,,,,,
1731304522.6717644,,,,,,,0.0015258789,0.13684082,0.9649048,,,,,,
1731304522.6745250,689.81683,793.7729,1545.238,695.05493,nan,nan,,,,,,,,,
1731304522.6756070,,,,,,,,,,1652014.6,1607692.2,,,,
1731304522.6784260,715.6044,797.8022,1408.2417,692.23444,nan,nan,,,,,,,,,
