timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731014653.6346793,,,,,,,0.1295166,0.13232422,0.9633179,,,,,,
1731014653.6470010,,,,,,,,,,,,,nan,100394940.0,nan
1731014653.6536698,,,,,,,0.12408447,0.12982178,0.9675293,,,,,,
1731014653.6573591,800.6227,802.6374,809.89014,796.1905,nan,nan,,,,,,,,,
1731014653.6612823,801.02563,803.8461,811.0989,793.7729,nan,nan,,,,,,,,,
1731014653.6626668,,,,,,,,,,,,,nan,100345784.0,nan
1731014653.6652055,804.65204,801.8315,807.8755,793.7729,nan,nan,,,,,,,,,
1731014653.6691287,805.4579,802.23444,804.65204,796.5934,nan,nan,,,,,,,,,
1731014653.6701782,,,,,,,,,,1657655.6,1607692.2,,,,
1731014653.6726604,,,,,,,0.12200928,0.12652588,0.96698,,,,,,
1731014653.6730521,800.2198,806.26373,805.8608,794.17584,nan,nan,,,,,,,,,
1731014653.6769753,808.68134,807.0696,805.8608,790.9524,nan,nan,,,,,,,,,
1731014653.6783323,,,,,,,,,,,,,nan,100365130.0,nan
1731014653.6808984,813.1135,805.8608,803.44324,793.36993,nan,nan,,,,,,,,,
1731014653.6848216,819.5604,806.6667,805.8608,801.8315,nan,nan,,,,,,,,,
1731014653.6887448,828.4249,809.89014,807.8755,807.0696,nan,nan,,,,,,,,,
1731014653.6916509,,,,,,,0.12133789,0.1260376,0.9673462,,,,,,
1731014653.6926680,826.8132,811.0989,805.8608,805.05493,nan,nan,,,,,,,,,
1731014653.6939981,,,,,,,,,,,,,nan,100378824.0,nan
1731014653.6965911,815.12823,805.4579,803.44324,796.1905,nan,nan,,,,,,,,,
1731014653.7005143,817.1429,807.0696,809.89014,797.8022,nan,nan,,,,,,,,,
1731014653.7044377,821.5751,813.91943,812.3077,802.6374,nan,nan,,,,,,,,,
1731014653.7056437,,,,,,,,,,1657655.6,1607692.2,,,,
1731014653.7083609,819.15753,807.8755,806.26373,799.81683,nan,nan,,,,,,,,,
1731014653.7096639,,,,,,,,,,,,,nan,100357870.0,nan
