timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731653178.3184714,,,,,,,,,,,,,nan,110050770.0,nan
1731653178.3210895,,,,,,,,,,1590769.2,1607692.2,,,,
1731653178.3340571,,,,,,,,,,,,,nan,110048350.0,nan
1731653178.3410325,805.8608,803.44324,809.4872,788.5348,nan,nan,,,,,,,,,
1731653178.3449357,822.7839,805.05493,808.2784,792.96704,nan,nan,,,,,,,,,
1731653178.3488388,811.0989,803.0403,805.4579,794.9817,nan,nan,,,,,,,,,
1731653178.3496428,,,,,,,,,,,,,nan,110086220.0,nan
1731653178.3527422,815.9341,806.26373,809.89014,819.5604,nan,nan,,,,,,,,,
1731653178.3559999,,,,,,,,,,1590769.2,1606886.5,,,,
1731653178.3566453,817.9487,805.8608,817.9487,817.1429,nan,nan,,,,,,,,,
1731653178.3605485,801.8315,795.38464,816.337,786.9231,nan,nan,,,,,,,,,
1731653178.3644516,793.36993,795.38464,816.7399,794.9817,nan,nan,,,,,,,,,
1731653178.3652287,,,,,,,,,,,,,nan,110033040.0,nan
1731653178.3683548,778.46155,798.20514,824.3956,807.47253,nan,nan,,,,,,,,,
1731653178.3722582,791.3553,789.34064,822.381,815.12823,nan,nan,,,,,,,,,
1731653178.3761613,811.9048,784.5055,819.9634,821.978,nan,nan,,,,,,,,,
1731653178.3800645,823.5897,790.54944,830.4396,833.663,nan,nan,,,,,,,,,
1731653178.3808143,,,,,,,,,,,,,nan,110063660.0,nan
1731653178.3839676,786.1172,792.1612,828.8278,817.5458,nan,nan,,,,,,,,,
1731653178.3878710,776.8498,788.93774,823.1868,812.3077,nan,nan,,,,,,,,,
1731653178.3909101,,,,,,,,,,1590769.2,1606886.5,,,,
1731653178.3917742,792.96704,790.54944,821.5751,813.91943,nan,nan,,,,,,,,,
1731653178.3956773,816.337,792.96704,817.5458,822.7839,nan,nan,,,,,,,,,
1731653178.3964000,,,,,,,,,,,,,nan,110077360.0,nan
1731653178.3995805,798.60803,790.9524,822.381,822.381,nan,nan,,,,,,,,,
1731653178.4034836,791.3553,796.5934,823.1868,824.3956,nan,nan,,,,,,,,,
1731653178.4073870,812.3077,803.0403,822.7839,824.7985,nan,nan,,,,,,,,,
1731653178.4112902,837.28937,804.65204,822.381,834.87177,nan,nan,,,,,,,,,
1731653178.4119856,,,,,,,,,,,,,nan,110048350.0,nan
1731653178.4145436,,,,,,,0.13085938,0.12701416,0.9762573,,,,,,
1731653178.4151933,824.7985,803.0403,816.337,836.8865,nan,nan,,,,,,,,,
1731653178.4190965,792.1612,807.8755,815.12823,815.9341,nan,nan,,,,,,,,,
1731653178.4229996,801.4286,808.68134,819.5604,810.696,nan,nan,,,,,,,,,
1731653178.4258206,,,,,,,,,,1590769.2,1607692.2,,,,
1731653178.4269030,832.0513,801.4286,819.9634,833.2601,nan,nan,,,,,,,,,
1731653178.4275715,,,,,,,,,,,,,nan,110106376.0,nan
1731653178.4308062,845.34796,803.8461,816.7399,855.42126,nan,nan,,,,,,,,,
1731653178.4333861,,,,,,,0.1328125,0.12567139,0.97436523,,,,,,
1731653178.4347093,803.0403,807.47253,812.3077,817.1429,nan,nan,,,,,,,,,
1731653178.4386125,783.69965,806.6667,804.65204,781.28204,nan,nan,,,,,,,,,
1731653178.4425156,805.05493,812.3077,799.81683,799.011,nan,nan,,,,,,,,,
1731653178.4431572,,,,,,,,,,,,,nan,110127330.0,nan
1731653178.4464190,817.1429,812.71063,800.2198,813.1135,nan,nan,,,,,,,,,
1731653178.4503222,780.07324,812.3077,792.96704,788.1319,nan,nan,,,,,,,,,
1731653178.4522285,,,,,,,0.13238525,0.12231445,0.9667969,,,,,,
1731653178.4542253,774.0293,818.3516,788.5348,780.4762,nan,nan,,,,,,,,,
1731653178.4581285,790.54944,818.7546,788.1319,794.17584,nan,nan,,,,,,,,,
1731653178.4587429,,,,,,,,,,,,,nan,110105570.0,nan
1731653178.4607308,,,,,,,,,,1590769.2,1607692.2,,,,
1731653178.4620318,807.47253,819.15753,788.93774,807.8755,nan,nan,,,,,,,,,
1731653178.4659350,792.96704,821.1722,788.1319,812.3077,nan,nan,,,,,,,,,
1731653178.4698381,770.80585,823.1868,788.5348,813.1135,nan,nan,,,,,,,,,
1731653178.4710710,,,,,,,0.13061523,0.11608887,0.963562,,,,,,
1731653178.4737413,790.9524,823.1868,793.7729,825.2015,nan,nan,,,,,,,,,
1731653178.4743285,,,,,,,,,,,,,nan,110195820.0,nan
1731653178.4776444,816.7399,826.4103,797.3993,848.1685,nan,nan,,,,,,,,,
1731653178.4815478,803.44324,824.3956,794.9817,859.0476,nan,nan,,,,,,,,,
1731653178.4854510,791.3553,819.9634,799.81683,853.8095,nan,nan,,,,,,,,,
1731653178.4893541,802.23444,821.1722,802.6374,853.8095,nan,nan,,,,,,,,,
1731653178.4899135,,,,,,,0.12158203,0.114990234,0.9640503,,,,,,
1731653178.4899142,,,,,,,,,,,,,nan,110153920.0,nan
1731653178.4932573,818.7546,820.3663,796.99634,861.06226,nan,nan,,,,,,,,,
1731653178.4956412,,,,,,,,,,1590769.2,1607692.2,,,,
1731653178.4971604,824.7985,820.3663,791.75824,861.8681,nan,nan,,,,,,,,,
1731653178.5010638,795.78754,821.1722,792.1612,844.5421,nan,nan,,,,,,,,,
1731653178.5049670,799.41394,817.5458,793.36993,837.6923,nan,nan,,,,,,,,,
1731653178.5055001,,,,,,,,,,,,,nan,110165200.0,nan
1731653178.5087557,,,,,,,0.12615967,0.116760254,0.95428467,,,,,,
1731653178.5088701,811.0989,817.1429,794.9817,845.34796,nan,nan,,,,,,,,,
1731653178.5127733,820.7692,812.71063,791.3553,848.97437,nan,nan,,,,,,,,,
1731653178.5166767,801.4286,807.0696,784.5055,836.08057,nan,nan,,,,,,,,,
1731653178.5205798,795.38464,804.2491,789.7436,836.8865,nan,nan,,,,,,,,,
1731653178.5210857,,,,,,,,,,,,,nan,110145060.0,nan
1731653178.5244830,811.9048,806.26373,794.57874,840.9158,nan,nan,,,,,,,,,
1731653178.5275981,,,,,,,0.12506104,0.1149292,0.95825195,,,,,,
1731653178.5283861,828.022,811.9048,788.5348,846.1539,nan,nan,,,,,,,,,
1731653178.5305517,,,,,,,,,,1590769.2,1606886.5,,,,
1731653178.5322893,817.1429,808.2784,790.9524,854.61536,nan,nan,,,,,,,,,
1731653178.5361927,801.8315,813.91943,798.60803,854.61536,nan,nan,,,,,,,,,
1731653178.5366714,,,,,,,,,,,,,nan,110113624.0,nan
1731653178.5400958,811.0989,822.381,802.6374,850.18317,nan,nan,,,,,,,,,
1731653178.5439990,832.4542,818.3516,805.05493,856.63007,nan,nan,,,,,,,,,
1731653178.5464406,,,,,,,0.12841797,0.11468506,0.95440674,,,,,,
1731653178.5479021,833.2601,812.71063,805.4579,861.4652,nan,nan,,,,,,,,,
1731653178.5518053,815.12823,811.50183,810.696,860.2564,nan,nan,,,,,,,,,
1731653178.5522571,,,,,,,,,,,,,nan,110170040.0,nan
1731653178.5557086,818.7546,811.0989,809.0842,856.63007,nan,nan,,,,,,,,,
1731653178.5596118,834.4689,811.0989,810.696,852.1978,nan,nan,,,,,,,,,
1731653178.5635149,836.08057,810.293,808.68134,863.47986,nan,nan,,,,,,,,,
1731653178.5652831,,,,,,,0.12670898,0.11621094,0.95306396,,,,,,
1731653178.5654619,,,,,,,,,,1590769.2,1607692.2,,,,
1731653178.5674181,805.4579,809.4872,805.05493,861.06226,nan,nan,,,,,,,,,
1731653178.5678430,,,,,,,,,,,,,nan,110154730.0,nan
1731653178.5713212,811.0989,811.0989,814.3223,858.24176,nan,nan,,,,,,,,,
1731653178.5752246,828.022,811.0989,812.71063,852.1978,nan,nan,,,,,,,,,
1731653178.5791278,836.08057,811.9048,805.8608,854.61536,nan,nan,,,,,,,,,
1731653178.5830309,813.91943,810.696,804.65204,849.3773,nan,nan,,,,,,,,,
1731653178.5834286,,,,,,,,,,,,,nan,110170840.0,nan
1731653178.5841255,,,,,,,0.12750244,0.119262695,0.9603882,,,,,,
1731653178.5869341,803.0403,806.6667,803.8461,838.9011,nan,nan,,,,,,,,,
1731653178.5908375,809.89014,807.47253,809.0842,833.663,nan,nan,,,,,,,,,
