timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731140310.1164620,,,,,,,,,,,,,nan,116255896.0,nan
1731140310.1320753,,,,,,,,,,,,,nan,116255090.0,nan
1731140310.1476886,,,,,,,,,,,,,nan,116276850.0,nan
1731140310.1490827,,,,,,,,,,1639926.8,1607692.2,,,,
1731140310.1633017,,,,,,,,,,,,,nan,116266376.0,nan
1731140310.1789150,,,,,,,,,,,,,nan,116271210.0,nan
1731140310.1840000,,,,,,,,,,1639926.8,1607692.2,,,,
1731140310.1857390,801.8315,813.5165,796.1905,763.1502,nan,nan,,,,,,,,,
1731140310.1896305,771.2088,816.337,791.75824,770.80585,nan,nan,,,,,,,,,
1731140310.1935222,728.0952,807.47253,782.49084,759.5238,nan,nan,,,,,,,,,
1731140310.1945283,,,,,,,,,,,,,nan,116301830.0,nan
1731140310.1974137,772.01465,803.8461,782.49084,776.4469,nan,nan,,,,,,,,,
1731140310.2013052,832.8571,812.3077,792.5641,799.81683,nan,nan,,,,,,,,,
1731140310.2051969,825.2015,811.0989,796.99634,796.99634,nan,nan,,,,,,,,,
1731140310.2090883,769.59705,803.44324,786.52014,794.17584,nan,nan,,,,,,,,,
1731140310.2091985,,,,,,,0.11791992,0.09954834,0.97753906,,,,,,
1731140310.2101417,,,,,,,,,,,,,nan,116280880.0,nan
1731140310.2129800,789.7436,794.9817,787.326,801.02563,nan,nan,,,,,,,,,
1731140310.2168715,843.73627,790.9524,794.17584,811.9048,nan,nan,,,,,,,,,
1731140310.2189171,,,,,,,,,,1639926.8,1607692.2,,,,
1731140310.2207630,859.85345,794.9817,792.96704,828.022,nan,nan,,,,,,,,,
1731140310.2246547,807.0696,800.2198,792.5641,824.7985,nan,nan,,,,,,,,,
1731140310.2257547,,,,,,,,,,,,,nan,116312300.0,nan
1731140310.2280495,,,,,,,0.11193848,0.09484863,0.9817505,,,,,,
