timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731655361.6261089,824.7985,820.7692,805.05493,821.978,nan,nan,,,,,,,,,
1731655361.6300273,782.8938,805.05493,795.38464,799.011,nan,nan,,,,,,,,,
1731655361.6303720,,,,,,,,,,,,,nan,113988210.0,nan
1731655361.6339457,773.6264,800.2198,791.3553,799.41394,nan,nan,,,,,,,,,
1731655361.6378639,799.41394,797.8022,793.7729,808.2784,nan,nan,,,,,,,,,
1731655361.6417823,826.4103,801.02563,800.6227,815.5311,nan,nan,,,,,,,,,
1731655361.6457007,809.4872,809.4872,806.26373,811.0989,nan,nan,,,,,,,,,
1731655361.6460001,,,,,,,,,,,,,nan,113970480.0,nan
1731655361.6496191,775.64105,810.696,806.26373,789.34064,nan,nan,,,,,,,,,
1731655361.6535375,785.31134,812.71063,804.65204,792.5641,nan,nan,,,,,,,,,
1731655361.6567798,,,,,,,0.13012695,0.08258057,0.97094727,,,,,,
1731655361.6574557,819.9634,810.293,801.8315,811.0989,nan,nan,,,,,,,,,
1731655361.6613741,819.5604,810.293,805.8608,817.1429,nan,nan,,,,,,,,,
1731655361.6616282,,,,,,,,,,,,,nan,114003520.0,nan
1731655361.6652925,786.1172,804.65204,807.47253,803.0403,nan,nan,,,,,,,,,
1731655361.6692109,788.1319,794.9817,802.6374,801.8315,nan,nan,,,,,,,,,
1731655361.6731293,810.696,801.4286,799.81683,810.696,nan,nan,,,,,,,,,
1731655361.6756666,,,,,,,0.12902832,0.08148193,0.9777832,,,,,,
1731655361.6770475,818.7546,803.44324,800.2198,810.696,nan,nan,,,,,,,,,
1731655361.6772561,,,,,,,,,,,,,nan,113998680.0,nan
1731655361.6809659,787.326,803.8461,802.23444,784.5055,nan,nan,,,,,,,,,
1731655361.6848843,780.4762,809.89014,807.0696,783.69965,nan,nan,,,,,,,,,
1731655361.6888027,804.2491,814.3223,810.696,800.6227,nan,nan,,,,,,,,,
1731655361.6927211,823.5897,813.1135,806.26373,812.3077,nan,nan,,,,,,,,,
1731655361.6928842,,,,,,,,,,,,,nan,113974504.0,nan
1731655361.6945534,,,,,,,0.12109375,0.07562256,0.9807739,,,,,,
1731655361.6966393,794.9817,809.89014,807.0696,797.8022,nan,nan,,,,,,,,,
1731655361.7005577,782.49084,806.26373,812.71063,786.9231,nan,nan,,,,,,,,,
1731655361.7044761,804.2491,802.6374,809.89014,801.4286,nan,nan,,,,,,,,,
1731655361.7083945,830.0366,803.8461,802.23444,818.3516,nan,nan,,,,,,,,,
1731655361.7085123,,,,,,,,,,,,,nan,113974504.0,nan
1731655361.7123129,810.696,809.0842,799.41394,807.47253,nan,nan,,,,,,,,,
1731655361.7134402,,,,,,,0.121154785,0.07495117,0.9789429,,,,,,
1731655361.7162311,778.0586,808.68134,800.6227,787.326,nan,nan,,,,,,,,,
1731655361.7201495,792.5641,808.2784,797.3993,787.72894,nan,nan,,,,,,,,,
1731655361.7240679,824.3956,808.68134,796.99634,801.8315,nan,nan,,,,,,,,,
1731655361.7241404,,,,,,,,,,,,,nan,113955170.0,nan
1731655361.7279863,819.5604,806.6667,799.41394,799.81683,nan,nan,,,,,,,,,
1731655361.7319047,801.8315,808.2784,805.4579,801.8315,nan,nan,,,,,,,,,
1731655361.7323272,,,,,,,0.1260376,0.068237305,0.9760132,,,,,,
1731655361.7358229,809.89014,808.2784,807.47253,810.293,nan,nan,,,,,,,,,
1731655361.7397413,818.7546,800.6227,803.44324,807.47253,nan,nan,,,,,,,,,
1731655361.7397685,,,,,,,,,,,,,nan,113998680.0,nan
1731655361.7436597,827.2161,807.0696,802.6374,806.26373,nan,nan,,,,,,,,,
1731655361.7475781,797.8022,810.293,805.4579,790.14655,nan,nan,,,,,,,,,
1731655361.7512140,,,,,,,0.13549805,0.06903076,0.97039795,,,,,,
1731655361.7514966,784.90845,809.89014,803.8461,786.9231,nan,nan,,,,,,,,,
1731655361.7553964,,,,,,,,,,,,,nan,113993040.0,nan
1731655361.7554147,808.2784,801.4286,802.23444,808.2784,nan,nan,,,,,,,,,
1731655361.7593331,835.6777,802.23444,803.44324,826.0073,nan,nan,,,,,,,,,
1731655361.7632515,806.6667,808.68134,802.6374,803.0403,nan,nan,,,,,,,,,
1731655361.7671700,771.2088,797.8022,798.60803,785.31134,nan,nan,,,,,,,,,
1731655361.7701008,,,,,,,0.1359253,0.072021484,0.96698,,,,,,
1731655361.7710245,,,,,,,,,,,,,nan,113996264.0,nan
1731655361.7710884,786.52014,794.57874,802.6374,788.5348,nan,nan,,,,,,,,,
1731655361.7717609,,,,,,,,,,1585934.1,1606886.5,,,,
1731655361.7750065,832.8571,802.6374,810.696,807.47253,nan,nan,,,,,,,,,
1731655361.7789249,826.0073,805.05493,807.8755,806.6667,nan,nan,,,,,,,,,
1731655361.7828434,789.7436,803.0403,809.4872,789.7436,nan,nan,,,,,,,,,
1731655361.7866526,,,,,,,,,,,,,nan,113976120.0,nan
1731655361.7867618,796.1905,807.8755,807.8755,800.6227,nan,nan,,,,,,,,,
1731655361.7889876,,,,,,,0.14025879,0.074645996,0.9707031,,,,,,
1731655361.7906802,823.1868,807.47253,803.8461,819.5604,nan,nan,,,,,,,,,
1731655361.7945983,827.2161,797.8022,802.23444,826.8132,nan,nan,,,,,,,,,
1731655361.7985168,792.5641,796.99634,797.8022,805.05493,nan,nan,,,,,,,,,
1731655361.8022807,,,,,,,,,,,,,nan,113998680.0,nan
1731655361.8024352,790.54944,804.65204,803.8461,805.4579,nan,nan,,,,,,,,,
1731655361.8063536,817.9487,815.12823,804.65204,821.5751,nan,nan,,,,,,,,,
1731655361.8066666,,,,,,,,,,1585934.1,1607692.2,,,,
1731655361.8078744,,,,,,,0.13867188,0.08081055,0.97717285,,,,,,
1731655361.8102720,829.2308,810.696,805.8608,819.5604,nan,nan,,,,,,,,,
1731655361.8141901,793.7729,798.60803,805.05493,798.60803,nan,nan,,,,,,,,,
1731655361.8179085,,,,,,,,,,,,,nan,114026890.0,nan
1731655361.8181086,782.0879,799.81683,803.44324,794.9817,nan,nan,,,,,,,,,
1731655361.8220270,803.44324,806.6667,798.20514,807.8755,nan,nan,,,,,,,,,
1731655361.8259454,830.4396,807.8755,799.011,828.4249,nan,nan,,,,,,,,,
1731655361.8267612,,,,,,,0.13964844,0.081848145,0.9788208,,,,,,
1731655361.8298638,806.26373,813.91943,807.0696,823.5897,nan,nan,,,,,,,,,
1731655361.8335366,,,,,,,,,,,,,nan,113997070.0,nan
