timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731305554.9070902,,,,,,,,,,,,,nan,216862780.0,nan
1731305554.9148335,,,,,,,-0.23071289,0.16156006,0.9399414,,,,,,
1731305554.9226665,,,,,,,,,,,,,nan,216869230.0,nan
1731305554.9337082,,,,,,,-0.22833252,0.16522217,0.9425049,,,,,,
1731305554.9363673,840.9158,608.022,833.2601,892.49084,nan,nan,,,,,,,,,
1731305554.9382429,,,,,,,,,,,,,nan,216915170.0,nan
1731305554.9402649,863.47986,559.2674,810.696,898.93774,nan,nan,,,,,,,,,
1731305554.9441624,858.6447,479.48718,845.34796,912.6374,nan,nan,,,,,,,,,
1731305554.9480600,835.2747,579.011,863.0769,907.3993,nan,nan,,,,,,,,,
1731305554.9519575,829.6337,576.5934,780.07324,894.90845,nan,nan,,,,,,,,,
1731305554.9525828,,,,,,,-0.23583984,0.15997314,0.9368286,,,,,,
1731305554.9538195,,,,,,,,,,,,,nan,216870030.0,nan
1731305554.9558551,811.0989,293.73627,678.5348,896.9231,nan,nan,,,,,,,,,
1731305554.9597526,816.337,43.113552,502.85715,920.696,nan,nan,,,,,,,,,
1731305554.9636502,826.0073,163.99268,601.5751,916.26373,nan,nan,,,,,,,,,
1731305554.9675479,826.0073,530.65936,849.3773,911.8315,nan,nan,,,,,,,,,
1731305554.9693959,,,,,,,,,,,,,nan,216868430.0,nan
1731305554.9714453,830.4396,406.95972,701.0989,919.0842,nan,nan,,,,,,,,,
1731305554.9714577,,,,,,,-0.23529053,0.15826416,0.9413452,,,,,,
1731305554.9753430,822.7839,287.28937,718.8278,911.02563,nan,nan,,,,,,,,,
1731305554.9792404,811.0989,564.5055,874.7619,911.8315,nan,nan,,,,,,,,,
1731305554.9831381,819.5604,704.3223,871.53845,914.65204,nan,nan,,,,,,,,,
1731305554.9849722,,,,,,,,,,,,,nan,216852300.0,nan
1731305554.9870358,830.0366,323.5531,649.5238,917.8755,nan,nan,,,,,,,,,
1731305554.9903324,,,,,,,-0.24005127,0.1652832,0.9361572,,,,,,
1731305554.9909332,828.4249,164.3956,593.5165,914.2491,nan,nan,,,,,,,,,
1731305554.9948308,805.8608,629.3773,886.8498,908.60803,nan,nan,,,,,,,,,
1731305554.9987283,808.2784,691.4286,870.7326,915.8608,nan,nan,,,,,,,,,
1731305555.0005486,,,,,,,,,,,,,nan,216863580.0,nan
1731305555.0026259,831.2454,228.86447,545.56775,929.9634,nan,nan,,,,,,,,,
1731305555.0065234,808.2784,128.5348,529.0476,925.5311,nan,nan,,,,,,,,,
1731305555.0092070,,,,,,,-0.23779297,0.15740967,0.93933105,,,,,,
1731305555.0104210,803.0403,595.9341,880.80585,910.2198,nan,nan,,,,,,,,,
1731305555.0143187,817.5458,757.50916,890.4762,910.6227,nan,nan,,,,,,,,,
1731305555.0161250,,,,,,,,,,,,,nan,216898240.0,nan
1731305555.0182161,796.1905,367.47253,702.71063,915.4579,nan,nan,,,,,,,,,
1731305555.0221138,801.02563,259.08426,690.2198,923.91943,nan,nan,,,,,,,,,
1731305555.0260112,819.5604,634.61536,881.2088,938.4249,nan,nan,,,,,,,,,
1731305555.0280817,,,,,,,-0.23779297,0.15753174,0.93499756,,,,,,
1731305555.0299089,813.91943,577.3993,838.0952,930.3663,nan,nan,,,,,,,,,
1731305555.0317016,,,,,,,,,,,,,nan,216968350.0,nan
1731305555.0338066,814.7253,200.25641,633.00366,910.6227,nan,nan,,,,,,,,,
1731305555.0377040,810.696,264.32236,668.0586,911.02563,nan,nan,,,,,,,,,
1731305555.0416017,813.1135,602.7839,830.0366,904.17584,nan,nan,,,,,,,,,
1731305555.0454991,822.7839,681.75824,875.16486,893.2967,nan,nan,,,,,,,,,
1731305555.0469563,,,,,,,-0.23980713,0.16314697,0.9269409,,,,,,
1731305555.0472779,,,,,,,,,,,,,nan,217017500.0,nan
1731305555.0493968,803.0403,325.16483,701.50183,909.011,nan,nan,,,,,,,,,
1731305555.0532942,796.1905,149.8901,603.1868,918.68134,nan,nan,,,,,,,,,
1731305555.0571918,825.2015,534.2857,796.5934,919.0842,nan,nan,,,,,,,,,
1731305555.0610895,834.4689,752.27106,877.1795,925.5311,nan,nan,,,,,,,,,
1731305555.0628543,,,,,,,,,,,,,nan,217127920.0,nan
1731305555.0649869,828.022,350.54944,682.1612,920.293,nan,nan,,,,,,,,,
1731305555.0658312,,,,,,,-0.24487305,0.15856934,0.93859863,,,,,,
1731305555.0688846,821.5751,326.37363,719.2308,896.1172,nan,nan,,,,,,,,,
1731305555.0727820,821.978,699.0842,860.2564,878.3883,nan,nan,,,,,,,,,
1731305555.0766797,827.619,645.4945,835.6777,905.38464,nan,nan,,,,,,,,,
1731305555.0784307,,,,,,,,,,,,,nan,217124690.0,nan
1731305555.0805774,822.381,374.72528,723.2601,901.3553,nan,nan,,,,,,,,,
1731305555.0844748,813.1135,323.15018,702.3077,873.5531,nan,nan,,,,,,,,,
1731305555.0847058,,,,,,,-0.24438477,0.15716553,0.93499756,,,,,,
1731305555.0883725,821.5751,425.89743,711.978,866.30035,nan,nan,,,,,,,,,
1731305555.0922699,825.2015,386.41025,695.4579,885.64105,nan,nan,,,,,,,,,
1731305555.0940070,,,,,,,,,,,,,nan,217149660.0,nan
1731305555.0961676,811.9048,146.26373,632.6007,898.5348,nan,nan,,,,,,,,,
1731305555.1000650,795.78754,308.64468,736.1539,866.30035,nan,nan,,,,,,,,,
1731305555.1035805,,,,,,,-0.23425293,0.16101074,0.94207764,,,,,,
1731305555.1039627,785.7143,626.9597,840.10986,851.79486,nan,nan,,,,,,,,,
