timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731304846.8627017,851.79486,834.87177,1000.87915,833.2601,nan,nan,,,,,,,,,
1731304846.8633747,,,,,,,-0.011474609,0.112976074,0.9885254,,,,,,
1731304846.8665965,861.8681,840.5128,934.7985,853.00366,nan,nan,,,,,,,,,
1731304846.8704910,840.5128,839.304,765.9707,835.6777,nan,nan,,,,,,,,,
1731304846.8743858,842.52747,845.7509,775.64105,805.4579,nan,nan,,,,,,,,,
1731304846.8782806,857.4359,850.18317,950.10986,803.8461,nan,nan,,,,,,,,,
1731304846.8821752,871.13556,847.3626,910.2198,839.304,nan,nan,,,,,,,,,
1731304846.8822510,,,,,,,-0.011047363,0.11450195,0.989624,,,,,,
1731304846.8860700,864.2857,852.1978,626.1539,843.3333,nan,nan,,,,,,,,,
1731304846.8868029,,,,,,,,,,,,,nan,100891350.0,nan
1731304846.8899648,831.2454,857.03296,848.1685,806.6667,nan,nan,,,,,,,,,
1731304846.8938594,814.3223,860.65936,1023.8461,817.9487,nan,nan,,,,,,,,,
1731304846.8977542,837.28937,862.674,917.47253,834.87177,nan,nan,,,,,,,,,
1731304846.9011276,,,,,,,0.0017089844,0.11291504,0.99542236,,,,,,
1731304846.9016490,851.39197,869.5238,914.65204,829.6337,nan,nan,,,,,,,,,
1731304846.9023938,,,,,,,,,,,,,nan,100912300.0,nan
1731304846.9055436,829.6337,870.32965,841.7216,811.9048,nan,nan,,,,,,,,,
1731304846.9094384,808.68134,865.09155,869.5238,806.26373,nan,nan,,,,,,,,,
1731304846.9133332,839.304,866.7033,901.3553,823.5897,nan,nan,,,,,,,,,
1731304846.9172277,840.9158,864.68866,868.315,833.663,nan,nan,,,,,,,,,
1731304846.9179845,,,,,,,,,,,,,nan,100855090.0,nan
1731304846.9200039,,,,,,,0.0044555664,0.119262695,0.9833374,,,,,,
1731304846.9211226,811.50183,865.4945,964.21246,829.2308,nan,nan,,,,,,,,,
1731304846.9250171,817.1429,868.315,938.022,818.7546,nan,nan,,,,,,,,,
1731304846.9289119,833.2601,869.5238,737.76556,839.707,nan,nan,,,,,,,,,
1731304846.9328067,854.61536,879.59705,811.9048,848.5714,nan,nan,,,,,,,,,
1731304846.9335754,,,,,,,,,,,,,nan,100874430.0,nan
1731304846.9367013,859.0476,888.0586,1000.07324,818.3516,nan,nan,,,,,,,,,
1731304846.9388802,,,,,,,0.0009765625,0.116760254,0.96899414,,,,,,
1731304846.9405961,838.49817,884.83514,915.8608,817.9487,nan,nan,,,,,,,,,
1731304846.9444909,855.0183,884.43225,707.5458,857.03296,nan,nan,,,,,,,,,
1731304846.9483855,884.0293,890.4762,862.674,865.09155,nan,nan,,,,,,,,,
1731304846.9491661,,,,,,,,,,,,,nan,100884104.0,nan
1731304846.9522803,870.7326,899.7436,977.50916,860.65936,nan,nan,,,,,,,,,
1731304846.9561751,850.989,909.41394,833.2601,835.2747,nan,nan,,,,,,,,,
1731304846.9577568,,,,,,,-0.0004272461,0.11279297,0.96466064,,,,,,
1731304846.9600697,858.24176,916.26373,769.59705,828.4249,nan,nan,,,,,,,,,
1731304846.9639645,868.315,934.7985,939.6337,868.71796,nan,nan,,,,,,,,,
1731304846.9647570,,,,,,,,,,,,,nan,100870400.0,nan
1731304846.9678593,859.85345,950.9158,1007.326,848.5714,nan,nan,,,,,,,,,
1731304846.9717538,843.3333,954.94507,858.6447,815.5311,nan,nan,,,,,,,,,
1731304846.9756486,825.2015,959.7802,674.90845,807.0696,nan,nan,,,,,,,,,
1731304846.9766331,,,,,,,-0.015014648,0.109436035,0.97369385,,,,,,
1731304846.9795434,833.663,972.674,785.31134,828.022,nan,nan,,,,,,,,,
1731304846.9803479,,,,,,,,,,,,,nan,100836560.0,nan
1731304846.9834380,853.00366,993.22345,1019.81683,841.7216,nan,nan,,,,,,,,,
1731304846.9873328,857.03296,1004.90845,861.06226,816.7399,nan,nan,,,,,,,,,
1731304846.9912276,838.9011,1012.96704,608.4249,817.1429,nan,nan,,,,,,,,,
1731304846.9951222,833.663,1024.249,904.9817,832.4542,nan,nan,,,,,,,,,
1731304846.9955094,,,,,,,-0.02508545,0.1083374,0.97424316,,,,,,
1731304846.9959385,,,,,,,,,,,,,nan,100813990.0,nan
1731304846.9990170,850.58606,1039.1575,1018.20514,839.304,nan,nan,,,,,,,,,
1731304847.0029118,840.10986,1048.022,873.1502,827.2161,nan,nan,,,,,,,,,
1731304847.0068064,830.4396,1055.2748,844.5421,800.2198,nan,nan,,,,,,,,,
1731304847.0107012,850.989,1064.9451,932.381,811.0989,nan,nan,,,,,,,,,
1731304847.0115294,,,,,,,,,,,,,nan,100792230.0,nan
1731304847.0143859,,,,,,,-0.031677246,0.109313965,0.9661255,,,,,,
1731304847.0145960,849.7802,1068.9744,1012.96704,837.6923,nan,nan,,,,,,,,,
1731304847.0184906,825.2015,1071.392,877.98535,828.4249,nan,nan,,,,,,,,,
1731304847.0223854,820.3663,1084.2858,730.5128,803.8461,nan,nan,,,,,,,,,
1731304847.0262799,826.4103,1089.9268,885.64105,799.011,nan,nan,,,,,,,,,
1731304847.0271204,,,,,,,,,,,,,nan,100779340.0,nan
1731304847.0301747,840.9158,1104.4323,1050.4396,824.3956,nan,nan,,,,,,,,,
1731304847.0332623,,,,,,,-0.015991211,0.107543945,0.98046875,,,,,,
1731304847.0340695,861.4652,1114.9084,838.0952,847.3626,nan,nan,,,,,,,,,
1731304847.0379641,829.2308,1112.8938,845.34796,819.9634,nan,nan,,,,,,,,,
1731304847.0418589,804.2491,1122.5641,1044.3956,794.9817,nan,nan,,,,,,,,,
1731304847.0427110,,,,,,,,,,,,,nan,100756776.0,nan
1731304847.0457537,826.4103,1132.2344,1008.93774,822.7839,nan,nan,,,,,,,,,
1731304847.0496483,844.5421,1141.0989,973.0769,847.3626,nan,nan,,,,,,,,,
1731304847.0521386,,,,,,,-0.0146484375,0.11102295,0.9684448,,,,,,
1731304847.0535431,837.28937,1171.7216,992.4176,823.5897,nan,nan,,,,,,,,,
1731304847.0574379,823.5897,1195.8975,1006.9231,802.6374,nan,nan,,,,,,,,,
1731304847.0583019,,,,,,,,,,,,,nan,100736630.0,nan
1731304847.0613325,840.9158,1199.9268,969.85345,825.6044,nan,nan,,,,,,,,,
1731304847.0652273,861.4652,1217.6556,929.15753,845.7509,nan,nan,,,,,,,,,
1731304847.0691221,848.97437,1230.5494,956.9597,836.4835,nan,nan,,,,,,,,,
1731304847.0710151,,,,,,,-0.02557373,0.113708496,0.9869995,,,,,,
1731304847.0730166,818.7546,1221.2821,979.5238,806.26373,nan,nan,,,,,,,,,
1731304847.0738926,,,,,,,,,,,,,nan,100775310.0,nan
1731304847.0769114,821.5751,1216.044,952.1245,814.7253,nan,nan,,,,,,,,,
1731304847.0808063,846.9597,1211.2087,740.989,853.4066,nan,nan,,,,,,,,,
1731304847.0847008,823.1868,1201.1355,954.94507,823.1868,nan,nan,,,,,,,,,
1731304847.0885956,805.05493,1191.8682,1055.2748,788.1319,nan,nan,,,,,,,,,
1731304847.0894835,,,,,,,,,,,,,nan,100703590.0,nan
1731304847.0898914,,,,,,,-0.034851074,0.11419678,0.9838257,,,,,,
1731304847.0924904,830.4396,1181.7949,954.5421,807.0696,nan,nan,,,,,,,,,
1731304847.0963850,836.08057,1167.6923,1040.3663,827.2161,nan,nan,,,,,,,,,
1731304847.1002798,839.304,1153.5897,1034.7252,830.4396,nan,nan,,,,,,,,,
1731304847.1041746,846.1539,1136.6666,989.19415,820.7692,nan,nan,,,,,,,,,
1731304847.1050744,,,,,,,,,,,,,nan,100706010.0,nan
1731304847.1080692,832.4542,1116.5201,923.1135,808.2784,nan,nan,,,,,,,,,
1731304847.1087677,,,,,,,-0.0423584,0.1159668,0.98516846,,,,,,
1731304847.1119640,841.31866,1104.4323,978.71796,831.2454,nan,nan,,,,,,,,,
1731304847.1158588,857.8388,1089.5238,1000.07324,861.06226,nan,nan,,,,,,,,,
1731304847.1160977,,,,,,,,,,1659267.4,1607692.2,,,,
1731304847.1197534,844.5421,1073.8096,1005.31134,838.49817,nan,nan,,,,,,,,,
1731304847.1206651,,,,,,,,,,,,,nan,100649600.0,nan
1731304847.1236482,837.6923,1054.0659,809.0842,820.7692,nan,nan,,,,,,,,,
1731304847.1275427,859.0476,1039.9634,718.4249,840.5128,nan,nan,,,,,,,,,
1731304847.1276441,,,,,,,-0.04638672,0.11071777,0.99365234,,,,,,
1731304847.1314375,868.315,1030.2931,1077.033,842.1245,nan,nan,,,,,,,,,
1731304847.1353323,852.6007,1002.0879,1039.9634,834.0659,nan,nan,,,,,,,,,
1731304847.1362560,,,,,,,,,,,,,nan,100654430.0,nan
1731304847.1392269,834.87177,981.53845,899.34064,811.9048,nan,nan,,,,,,,,,
1731304847.1431217,835.2747,970.65936,993.6264,811.50183,nan,nan,,,,,,,,,
1731304847.1465206,,,,,,,-0.051818848,0.11578369,0.9834595,,,,,,
1731304847.1470165,848.5714,956.55676,1055.2748,834.0659,nan,nan,,,,,,,,,
1731304847.1508052,,,,,,,,,,1660073.2,1607692.2,,,,
1731304847.1509111,876.77655,935.6044,959.7802,837.6923,nan,nan,,,,,,,,,
1731304847.1518469,,,,,,,,,,,,,nan,100667330.0,nan
1731304847.1548059,857.03296,916.26373,796.5934,819.15753,nan,nan,,,,,,,,,
