timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731306218.7546997,807.47253,670.4762,577.3993,776.4469,nan,nan,,,,,,,,,
1731306218.7586010,795.38464,671.685,532.27106,774.83514,nan,nan,,,,,,,,,
1731306218.7617621,,,,,,,,,,,,,nan,112994580.0,nan
1731306218.7625020,792.5641,674.5055,561.685,755.89746,nan,nan,,,,,,,,,
1731306218.7655084,,,,,,,-0.33898926,0.042419434,0.9232788,,,,,,
1731306218.7664032,812.71063,672.49084,561.28204,754.68866,nan,nan,,,,,,,,,
1731306218.7703042,817.5458,668.0586,485.1282,755.89746,nan,nan,,,,,,,,,
1731306218.7742054,806.6667,667.6557,463.36996,765.9707,nan,nan,,,,,,,,,
1731306218.7773335,,,,,,,,,,,,,nan,113033260.0,nan
1731306218.7781067,793.7729,669.67035,537.1062,774.83514,nan,nan,,,,,,,,,
1731306218.7820077,805.05493,674.90845,583.8461,765.16486,nan,nan,,,,,,,,,
1731306218.7843769,,,,,,,-0.3328247,0.043640137,0.91864014,,,,,,
1731306218.7859089,814.7253,675.7143,505.67764,779.67035,nan,nan,,,,,,,,,
1731306218.7898102,798.20514,667.6557,458.5348,775.2381,nan,nan,,,,,,,,,
1731306218.7929046,,,,,,,,,,,,,nan,113041320.0,nan
1731306218.7937112,801.02563,670.4762,612.8571,762.3443,nan,nan,,,,,,,,,
1731306218.7976124,803.8461,677.326,564.10254,756.30035,nan,nan,,,,,,,,,
1731306218.8015134,802.23444,672.0879,530.65936,752.27106,nan,nan,,,,,,,,,
1731306218.8032453,,,,,,,-0.33251953,0.04486084,0.91015625,,,,,,
1731306218.8054147,808.68134,667.25275,615.2747,767.98535,nan,nan,,,,,,,,,
1731306218.8084760,,,,,,,,,,,,,nan,113075970.0,nan
1731306218.8093159,807.0696,671.685,631.79486,770.40295,nan,nan,,,,,,,,,
1731306218.8132169,788.5348,676.9231,540.7326,767.1795,nan,nan,,,,,,,,,
1731306218.8171182,782.0879,673.2967,483.9194,761.53845,nan,nan,,,,,,,,,
1731306218.8210194,786.1172,670.07324,552.4176,772.01465,nan,nan,,,,,,,,,
1731306218.8221140,,,,,,,-0.33587646,0.048339844,0.9108887,,,,,,
1731306218.8240473,,,,,,,,,,,,,nan,112967980.0,nan
1731306218.8249204,788.93774,674.10254,573.36993,782.49084,nan,nan,,,,,,,,,
1731306218.8288217,787.72894,672.8938,504.46887,753.47986,nan,nan,,,,,,,,,
1731306218.8327227,782.49084,669.2674,332.01465,749.45056,nan,nan,,,,,,,,,
1731306218.8366239,789.34064,673.2967,422.67398,768.7912,nan,nan,,,,,,,,,
1731306218.8396184,,,,,,,,,,,,,nan,113019560.0,nan
1731306218.8405252,794.57874,676.52014,676.52014,764.35895,nan,nan,,,,,,,,,
1731306218.8409824,,,,,,,-0.3336792,0.049072266,0.9193115,,,,,,
1731306218.8444262,784.90845,674.90845,539.12085,767.5824,nan,nan,,,,,,,,,
1731306218.8483274,780.07324,671.28204,475.8608,769.19415,nan,nan,,,,,,,,,
1731306218.8522284,787.326,670.4762,627.3626,770.0,nan,nan,,,,,,,,,
1731306218.8551898,,,,,,,,,,,,,nan,113041320.0,nan
1731306218.8561296,788.1319,670.4762,677.326,764.35895,nan,nan,,,,,,,,,
1731306218.8598509,,,,,,,-0.34179688,0.05529785,0.9085083,,,,,,
1731306218.8600309,786.52014,666.4469,536.30035,753.0769,nan,nan,,,,,,,,,
1731306218.8639319,788.93774,666.4469,456.52014,744.21246,nan,nan,,,,,,,,,
1731306218.8678331,793.36993,672.8938,531.06226,754.68866,nan,nan,,,,,,,,,
1731306218.8707612,,,,,,,,,,,,,nan,113061464.0,nan
1731306218.8717344,796.1905,675.31134,648.315,757.9121,nan,nan,,,,,,,,,
1731306218.8756354,790.9524,673.2967,552.4176,762.3443,nan,nan,,,,,,,,,
1731306218.8787193,,,,,,,-0.36309814,0.057922363,0.928772,,,,,,
1731306218.8795366,788.5348,678.1319,366.66666,777.6557,nan,nan,,,,,,,,,
1731306218.8834376,792.96704,684.17584,577.3993,773.6264,nan,nan,,,,,,,,,
1731306218.8863325,,,,,,,,,,,,,nan,113046960.0,nan
1731306218.8873389,790.9524,685.78754,699.89014,767.5824,nan,nan,,,,,,,,,
1731306218.8912401,798.20514,683.7729,626.55676,776.04395,nan,nan,,,,,,,,,
1731306218.8951411,800.2198,684.57874,618.49817,762.3443,nan,nan,,,,,,,,,
1731306218.8975878,,,,,,,-0.354187,0.06213379,0.92248535,,,,,,
1731306218.8990424,788.5348,686.5934,658.7912,748.6447,nan,nan,,,,,,,,,
1731306218.9019036,,,,,,,,,,,,,nan,113030040.0,nan
1731306218.9029436,788.93774,682.1612,768.3883,750.65936,nan,nan,,,,,,,,,
1731306218.9068446,782.0879,680.9524,781.28204,750.2564,nan,nan,,,,,,,,,
1731306218.9107459,787.326,683.7729,662.01465,751.06226,nan,nan,,,,,,,,,
1731306218.9146469,794.9817,684.57874,603.1868,765.16486,nan,nan,,,,,,,,,
1731306218.9164562,,,,,,,-0.34857178,0.05895996,0.9238281,,,,,,
1731306218.9174750,,,,,,,,,,,,,nan,113076776.0,nan
1731306218.9185481,789.7436,689.81683,685.38464,764.35895,nan,nan,,,,,,,,,
1731306218.9224494,783.2967,682.5641,540.32965,750.2564,nan,nan,,,,,,,,,
1731306218.9263504,782.0879,678.1319,500.8425,752.674,nan,nan,,,,,,,,,
1731306218.9277380,,,,,,,,,,1644761.9,1607692.2,,,,
1731306218.9302516,775.2381,684.57874,801.8315,749.45056,nan,nan,,,,,,,,,
1731306218.9330463,,,,,,,,,,,,,nan,113033260.0,nan
1731306218.9341526,771.6117,683.36993,826.8132,748.6447,nan,nan,,,,,,,,,
1731306218.9353249,,,,,,,-0.33972168,0.057678223,0.9123535,,,,,,
1731306218.9380538,776.4469,685.78754,791.75824,758.71796,nan,nan,,,,,,,,,
1731306218.9419551,765.9707,686.99634,861.06226,750.65936,nan,nan,,,,,,,,,
1731306218.9458561,761.53845,684.57874,889.67035,744.21246,nan,nan,,,,,,,,,
1731306218.9486175,,,,,,,,,,,,,nan,113053410.0,nan
1731306218.9497573,773.6264,684.9817,778.0586,747.03296,nan,nan,,,,,,,,,
1731306218.9536586,784.5055,686.5934,778.0586,757.9121,nan,nan,,,,,,,,,
1731306218.9541934,,,,,,,-0.33422852,0.06732178,0.88726807,,,,,,
1731306218.9575596,775.2381,685.78754,904.9817,757.50916,nan,nan,,,,,,,,,
1731306218.9614608,761.9414,692.23444,830.4396,734.5421,nan,nan,,,,,,,,,
1731306218.9625244,,,,,,,,,,1644761.9,1607692.2,,,,
1731306218.9641888,,,,,,,,,,,,,nan,113039704.0,nan
1731306218.9653618,770.80585,694.65204,609.2308,740.989,nan,nan,,,,,,,,,
1731306218.9692631,784.10254,693.0403,599.15753,751.4652,nan,nan,,,,,,,,,
1731306218.9730618,,,,,,,-0.32940674,0.06896973,0.8951416,,,,,,
1731306218.9731643,784.10254,699.4872,913.0403,749.85345,nan,nan,,,,,,,,,
1731306218.9770653,775.2381,701.0989,922.3077,745.42126,nan,nan,,,,,,,,,
1731306218.9797602,,,,,,,,,,,,,nan,113059860.0,nan
1731306218.9809666,793.36993,701.0989,743.4066,740.58606,nan,nan,,,,,,,,,
1731306218.9848678,809.0842,696.26373,801.8315,744.61536,nan,nan,,,,,,,,,
1731306218.9887688,797.8022,698.2784,930.3663,755.89746,nan,nan,,,,,,,,,
1731306218.9919302,,,,,,,-0.33288574,0.0692749,0.9001465,,,,,,
1731306218.9926701,791.75824,704.7253,828.022,761.13556,nan,nan,,,,,,,,,
1731306218.9953313,,,,,,,,,,,,,nan,113100140.0,nan
1731306218.9965711,790.9524,707.9487,634.61536,756.7033,nan,nan,,,,,,,,,
1731306218.9973111,,,,,,,,,,1643956.0,1607692.2,,,,
1731306219.0004723,804.65204,712.381,708.3516,760.32965,nan,nan,,,,,,,,,
1731306219.0043736,817.9487,711.1722,837.6923,760.7326,nan,nan,,,,,,,,,
1731306219.0082746,825.2015,709.5604,680.14655,745.42126,nan,nan,,,,,,,,,
1731306219.0107987,,,,,,,-0.34069824,0.06756592,0.9022827,,,,,,
1731306219.0109026,,,,,,,,,,,,,nan,113080000.0,nan
1731306219.0121758,822.381,707.5458,442.82053,747.8388,nan,nan,,,,,,,,,
1731306219.0160768,822.381,708.3516,463.36996,756.7033,nan,nan,,,,,,,,,
1731306219.0199780,823.9927,718.8278,673.69965,758.71796,nan,nan,,,,,,,,,
1731306219.0238793,810.696,716.0073,639.85345,740.58606,nan,nan,,,,,,,,,
1731306219.0264740,,,,,,,,,,,,,nan,113102570.0,nan
1731306219.0277803,805.05493,706.7399,523.4066,740.58606,nan,nan,,,,,,,,,
