timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731142764.9033983,,,,,,,0.17407227,0.12548828,0.9852905,,,,,,
1731142764.9223008,,,,,,,0.17614746,0.124816895,0.9859009,,,,,,
1731142764.9412034,,,,,,,0.175354,0.121276855,0.97509766,,,,,,
1731142764.9449289,,,,,,,,,,,,,nan,115416190.0,nan
1731142764.9517002,775.64105,807.47253,809.0842,784.10254,nan,nan,,,,,,,,,
1731142764.9555995,821.5751,806.6667,809.4872,800.6227,nan,nan,,,,,,,,,
1731142764.9594989,803.0403,798.60803,802.6374,799.41394,nan,nan,,,,,,,,,
1731142764.9601061,,,,,,,0.17614746,0.1159668,0.96728516,,,,,,
1731142764.9604824,,,,,,,,,,,,,nan,115396040.0,nan
1731142764.9633982,757.9121,803.44324,801.02563,785.7143,nan,nan,,,,,,,,,
1731142764.9672976,774.83514,805.05493,794.9817,791.3553,nan,nan,,,,,,,,,
1731142764.9711967,813.1135,797.3993,796.1905,806.6667,nan,nan,,,,,,,,,
1731142764.9750960,814.3223,799.011,793.7729,807.8755,nan,nan,,,,,,,,,
1731142764.9760356,,,,,,,,,,,,,nan,115434730.0,nan
1731142764.9789953,765.56775,805.05493,788.93774,782.49084,nan,nan,,,,,,,,,
1731142764.9790087,,,,,,,0.17047119,0.115600586,0.96447754,,,,,,
1731142764.9828947,774.43225,803.0403,798.60803,776.4469,nan,nan,,,,,,,,,
1731142764.9867940,814.7253,797.8022,805.8608,790.54944,nan,nan,,,,,,,,,
1731142764.9906933,824.7985,796.5934,807.47253,807.0696,nan,nan,,,,,,,,,
1731142764.9915891,,,,,,,,,,,,,nan,115429090.0,nan
1731142764.9945927,786.1172,801.02563,804.2491,796.1905,nan,nan,,,,,,,,,
1731142764.9979112,,,,,,,0.16009521,0.11022949,0.96502686,,,,,,
1731142764.9984920,779.67035,803.8461,798.20514,785.31134,nan,nan,,,,,,,,,
1731142765.0023913,820.7692,796.99634,801.02563,803.44324,nan,nan,,,,,,,,,
1731142765.0062907,838.49817,796.1905,799.81683,816.337,nan,nan,,,,,,,,,
1731142765.0071425,,,,,,,,,,,,,nan,115437950.0,nan
1731142765.0101898,796.99634,801.02563,795.38464,802.23444,nan,nan,,,,,,,,,
1731142765.0140891,768.7912,799.81683,797.3993,794.57874,nan,nan,,,,,,,,,
1731142765.0168138,,,,,,,0.16149902,0.10736084,0.9703369,,,,,,
1731142765.0179884,793.7729,797.8022,796.1905,805.4579,nan,nan,,,,,,,,,
1731142765.0218878,827.619,796.1905,801.4286,805.8608,nan,nan,,,,,,,,,
1731142765.0226960,,,,,,,,,,,,,nan,115440370.0,nan
1731142765.0257871,818.3516,800.2198,805.05493,799.81683,nan,nan,,,,,,,,,
1731142765.0296865,769.59705,802.23444,794.17584,788.1319,nan,nan,,,,,,,,,
1731142765.0335858,782.8938,803.8461,787.72894,796.1905,nan,nan,,,,,,,,,
1731142765.0357163,,,,,,,0.16436768,0.103515625,0.9592285,,,,,,
1731142765.0374851,818.7546,798.60803,792.5641,808.2784,nan,nan,,,,,,,,,
1731142765.0382493,,,,,,,,,,,,,nan,115460510.0,nan
1731142765.0413845,829.6337,796.1905,806.26373,808.68134,nan,nan,,,,,,,,,
1731142765.0452838,777.6557,796.1905,805.8608,791.75824,nan,nan,,,,,,,,,
1731142765.0491829,772.4176,796.1905,801.8315,787.72894,nan,nan,,,,,,,,,
1731142765.0530822,825.2015,806.6667,803.44324,806.26373,nan,nan,,,,,,,,,
1731142765.0538027,,,,,,,,,,,,,nan,115443590.0,nan
1731142765.0546191,,,,,,,0.16931152,0.09954834,0.9522705,,,,,,
1731142765.0569816,840.10986,805.8608,796.5934,808.2784,nan,nan,,,,,,,,,
1731142765.0608809,781.28204,800.6227,787.326,785.31134,nan,nan,,,,,,,,,
1731142765.0647802,768.3883,805.8608,786.9231,788.5348,nan,nan,,,,,,,,,
1731142765.0686796,805.05493,809.89014,792.5641,810.696,nan,nan,,,,,,,,,
1731142765.0693562,,,,,,,,,,,,,nan,115495970.0,nan
1731142765.0725789,841.31866,809.4872,804.65204,820.7692,nan,nan,,,,,,,,,
1731142765.0735216,,,,,,,0.16241455,0.10021973,0.96276855,,,,,,
1731142765.0744252,,,,,,,,,,1588351.6,1607692.2,,,,
1731142765.0764782,819.5604,805.4579,799.41394,811.0989,nan,nan,,,,,,,,,
1731142765.0803776,771.6117,803.0403,784.90845,796.1905,nan,nan,,,,,,,,,
1731142765.0842769,796.1905,807.0696,794.17584,799.41394,nan,nan,,,,,,,,,
1731142765.0849094,,,,,,,,,,,,,nan,115502420.0,nan
1731142765.0881760,836.4835,807.0696,799.41394,810.696,nan,nan,,,,,,,,,
