timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731107571.0011926,,,,,,,,,,1623809.5,1607692.2,,,,
1731107571.0363333,,,,,,,,,,1623809.5,1607692.2,,,,
1731107571.0463686,801.02563,796.1905,804.2491,794.9817,nan,nan,,,,,,,,,
1731107571.0502627,795.78754,798.20514,800.2198,792.1612,nan,nan,,,,,,,,,
1731107571.0541568,794.17584,801.02563,798.60803,792.5641,nan,nan,,,,,,,,,
1731107571.0580511,799.81683,801.02563,800.2198,792.5641,nan,nan,,,,,,,,,
1731107571.0619452,806.26373,799.81683,802.6374,794.17584,nan,nan,,,,,,,,,
1731107571.0658393,805.05493,799.41394,805.05493,795.38464,nan,nan,,,,,,,,,
1731107571.0697334,803.44324,797.3993,802.23444,790.54944,nan,nan,,,,,,,,,
1731107571.0714738,,,,,,,,,,1623809.5,1606886.5,,,,
1731107571.0736275,811.0989,795.78754,803.0403,787.72894,nan,nan,,,,,,,,,
1731107571.0771675,,,,,,,0.24285889,0.06982422,0.95843506,,,,,,
1731107571.0775216,818.7546,799.011,809.4872,800.2198,nan,nan,,,,,,,,,
1731107571.0814159,813.91943,803.0403,807.47253,804.65204,nan,nan,,,,,,,,,
1731107571.0853100,809.89014,803.0403,807.8755,808.68134,nan,nan,,,,,,,,,
1731107571.0892041,810.293,802.23444,812.3077,817.1429,nan,nan,,,,,,,,,
1731107571.0930982,802.6374,802.23444,809.89014,815.9341,nan,nan,,,,,,,,,
1731107571.0960419,,,,,,,0.24609375,0.06781006,0.95440674,,,,,,
1731107571.0969923,795.78754,798.60803,804.65204,815.5311,nan,nan,,,,,,,,,
1731107571.1008863,790.14655,799.011,803.44324,811.9048,nan,nan,,,,,,,,,
1731107571.1047807,790.54944,801.4286,802.23444,811.50183,nan,nan,,,,,,,,,
1731107571.1066146,,,,,,,,,,1623809.5,1607692.2,,,,
1731107571.1086748,799.011,799.011,801.4286,809.0842,nan,nan,,,,,,,,,
1731107571.1125689,804.2491,801.4286,804.2491,807.0696,nan,nan,,,,,,,,,
1731107571.1149163,,,,,,,0.24267578,0.064819336,0.9484863,,,,,,
1731107571.1164629,806.6667,806.6667,808.2784,806.6667,nan,nan,,,,,,,,,
1731107571.1203570,810.696,803.0403,809.0842,797.8022,nan,nan,,,,,,,,,
1731107571.1242511,816.337,804.2491,810.293,801.4286,nan,nan,,,,,,,,,
1731107571.1281455,816.7399,809.0842,813.91943,807.8755,nan,nan,,,,,,,,,
1731107571.1302714,,,,,,,,,,,,,nan,93372670.0,nan
