timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731653713.2566969,754.68866,836.8865,716.0073,725.2747,nan,nan,,,,,,,,,
1731653713.2606061,743.8095,837.28937,716.0073,719.2308,nan,nan,,,,,,,,,
1731653713.2645149,772.01465,830.0366,721.2454,736.9597,nan,nan,,,,,,,,,
1731653713.2684240,801.4286,829.2308,724.87177,763.5531,nan,nan,,,,,,,,,
1731653713.2723331,774.83514,828.4249,726.4835,752.27106,nan,nan,,,,,,,,,
1731653713.2762423,757.50916,817.9487,732.1245,747.03296,nan,nan,,,,,,,,,
1731653713.2801511,779.2674,816.337,735.7509,761.9414,nan,nan,,,,,,,,,
1731653713.2840602,826.0073,821.1722,740.18317,778.86444,nan,nan,,,,,,,,,
1731653713.2858040,,,,,,,,,,,,,nan,115126890.0,nan
1731653713.2879694,819.5604,820.7692,746.2271,782.49084,nan,nan,,,,,,,,,
1731653713.2918782,790.54944,821.5751,747.4359,774.0293,nan,nan,,,,,,,,,
1731653713.2957873,808.68134,821.1722,744.61536,778.0586,nan,nan,,,,,,,,,
1731653713.2996964,839.707,815.9341,746.63007,794.57874,nan,nan,,,,,,,,,
1731653713.3013918,,,,,,,,,,,,,nan,115105940.0,nan
1731653713.3036056,842.9304,815.12823,751.06226,805.8608,nan,nan,,,,,,,,,
1731653713.3075144,796.5934,812.71063,755.89746,789.7436,nan,nan,,,,,,,,,
1731653713.3114235,793.36993,811.0989,755.89746,793.7729,nan,nan,,,,,,,,,
1731653713.3153327,826.8132,805.8608,753.8828,808.68134,nan,nan,,,,,,,,,
1731653713.3157156,,,,,,,0.20410156,0.120910645,0.95562744,,,,,,
1731653713.3169796,,,,,,,,,,,,,nan,115119630.0,nan
1731653713.3192418,836.8865,801.8315,751.8681,807.0696,nan,nan,,,,,,,,,
1731653713.3231506,793.7729,808.2784,751.06226,787.72894,nan,nan,,,,,,,,,
1731653713.3270597,779.67035,810.293,755.89746,777.25275,nan,nan,,,,,,,,,
1731653713.3309689,815.5311,805.4579,758.71796,793.36993,nan,nan,,,,,,,,,
1731653713.3325672,,,,,,,,,,,,,nan,115109960.0,nan
1731653713.3345685,,,,,,,0.21228027,0.12005615,0.9574585,,,,,,
1731653713.3348777,844.94507,802.23444,759.92676,815.5311,nan,nan,,,,,,,,,
1731653713.3387868,813.91943,803.44324,762.74725,799.41394,nan,nan,,,,,,,,,
1731653713.3426960,791.75824,804.65204,765.16486,786.9231,nan,nan,,,,,,,,,
1731653713.3466051,806.26373,802.6374,763.95605,801.4286,nan,nan,,,,,,,,,
1731653713.3481550,,,,,,,,,,,,,nan,115133336.0,nan
1731653713.3505139,836.4835,802.23444,762.74725,821.978,nan,nan,,,,,,,,,
1731653713.3534214,,,,,,,0.21087646,0.119018555,0.9592285,,,,,,
1731653713.3544230,826.4103,807.0696,770.0,811.0989,nan,nan,,,,,,,,,
1731653713.3583322,794.57874,804.65204,772.8205,788.1319,nan,nan,,,,,,,,,
1731653713.3622410,801.4286,797.8022,764.35895,788.1319,nan,nan,,,,,,,,,
1731653713.3637428,,,,,,,,,,,,,nan,115112380.0,nan
1731653713.3661501,831.6484,796.99634,765.16486,807.8755,nan,nan,,,,,,,,,
1731653713.3700593,837.6923,799.41394,767.1795,815.9341,nan,nan,,,,,,,,,
1731653713.3722742,,,,,,,0.20593262,0.11682129,0.9649048,,,,,,
1731653713.3739684,795.78754,809.0842,763.5531,797.3993,nan,nan,,,,,,,,,
1731653713.3778772,795.78754,804.65204,766.77655,803.0403,nan,nan,,,,,,,,,
