timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731305064.5873644,793.36993,718.4249,645.89746,790.9524,nan,nan,,,,,,,,,
1731305064.5912707,794.9817,541.9414,554.83514,796.5934,nan,nan,,,,,,,,,
1731305064.5951769,778.86444,351.75824,493.99268,777.6557,nan,nan,,,,,,,,,
1731305064.5990832,779.2674,644.68866,587.8755,785.7143,nan,nan,,,,,,,,,
1731305064.6029894,809.89014,807.8755,644.2857,823.9927,nan,nan,,,,,,,,,
1731305064.6068957,805.4579,445.64102,502.05127,824.7985,nan,nan,,,,,,,,,
1731305064.6087081,,,,,,,-0.0036621094,0.14849854,0.9686279,,,,,,
1731305064.6108019,788.93774,112.41758,426.7033,800.2198,nan,nan,,,,,,,,,
1731305064.6147082,790.14655,311.86813,529.45056,788.93774,nan,nan,,,,,,,,,
1731305064.6186142,794.57874,684.17584,632.6007,798.60803,nan,nan,,,,,,,,,
1731305064.6225204,802.23444,439.19415,491.5751,804.2491,nan,nan,,,,,,,,,
1731305064.6264267,777.6557,298.1685,472.63736,788.93774,nan,nan,,,,,,,,,
1731305064.6275833,,,,,,,-0.0013427734,0.1463623,0.9727783,,,,,,
1731305064.6303329,787.326,734.94507,594.7253,790.54944,nan,nan,,,,,,,,,
1731305064.6342392,794.17584,743.8095,602.7839,807.47253,nan,nan,,,,,,,,,
1731305064.6381454,776.4469,629.7802,602.7839,809.0842,nan,nan,,,,,,,,,
1731305064.6420517,788.5348,514.94507,563.2967,807.0696,nan,nan,,,,,,,,,
1731305064.6459579,796.99634,566.52014,570.9524,802.23444,nan,nan,,,,,,,,,
1731305064.6464584,,,,,,,-0.008605957,0.14788818,0.9777832,,,,,,
1731305064.6498642,795.38464,649.92676,573.7729,808.68134,nan,nan,,,,,,,,,
1731305064.6537704,800.2198,350.54944,524.21246,802.6374,nan,nan,,,,,,,,,
1731305064.6542115,,,,,,,,,,,,,nan,182002050.0,nan
1731305064.6576767,796.1905,383.1868,570.54944,796.99634,nan,nan,,,,,,,,,
1731305064.6615829,777.25275,702.71063,602.381,790.54944,nan,nan,,,,,,,,,
1731305064.6653335,,,,,,,-0.0032348633,0.14465332,0.97613525,,,,,,
