timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731305769.5514727,,,,,,,,,,,,,nan,117687100.0,nan
1731305769.5670552,,,,,,,,,,,,,nan,117697580.0,nan
1731305769.5700278,,,,,,,,,,1635897.4,1607692.2,,,,
1731305769.5723999,774.83514,802.6374,485.1282,778.0586,nan,nan,,,,,,,,,
1731305769.5763001,781.28204,799.81683,457.32602,747.8388,nan,nan,,,,,,,,,
1731305769.5802004,789.7436,801.02563,428.31503,766.3736,nan,nan,,,,,,,,,
1731305769.5826380,,,,,,,,,,,,,nan,117648424.0,nan
1731305769.5841007,785.7143,807.8755,527.8388,786.52014,nan,nan,,,,,,,,,
1731305769.5853782,,,,,,,-0.25256348,0.08898926,0.94525146,,,,,,
1731305769.5880010,782.49084,805.8608,561.28204,780.07324,nan,nan,,,,,,,,,
1731305769.5919013,777.25275,793.36993,392.05127,755.4945,nan,nan,,,,,,,,,
1731305769.5958016,774.83514,793.7729,292.52747,764.35895,nan,nan,,,,,,,,,
1731305769.5982206,,,,,,,,,,,,,nan,117678240.0,nan
1731305769.5997019,783.69965,803.8461,535.4945,772.01465,nan,nan,,,,,,,,,
1731305769.6036024,788.5348,796.1905,536.7033,757.9121,nan,nan,,,,,,,,,
1731305769.6042435,,,,,,,-0.25701904,0.091308594,0.9468384,,,,,,
1731305769.6050003,,,,,,,,,,1635897.4,1607692.2,,,,
1731305769.6075027,786.9231,789.34064,361.8315,748.6447,nan,nan,,,,,,,,,
1731305769.6114030,792.96704,798.20514,409.7802,758.315,nan,nan,,,,,,,,,
1731305769.6138034,,,,,,,,,,,,,nan,117669380.0,nan
1731305769.6153033,800.2198,805.05493,536.30035,792.1612,nan,nan,,,,,,,,,
1731305769.6192036,792.96704,804.2491,524.61536,787.326,nan,nan,,,,,,,,,
1731305769.6231039,784.90845,801.02563,450.4762,758.315,nan,nan,,,,,,,,,
1731305769.6231086,,,,,,,-0.26013184,0.08807373,0.9528198,,,,,,
1731305769.6270041,788.1319,799.41394,455.7143,747.4359,nan,nan,,,,,,,,,
1731305769.6293859,,,,,,,,,,,,,nan,117608130.0,nan
1731305769.6309044,790.54944,803.8461,519.7802,767.5824,nan,nan,,,,,,,,,
1731305769.6348047,789.34064,799.011,503.26007,767.5824,nan,nan,,,,,,,,,
1731305769.6387050,782.8938,792.1612,377.54578,736.1539,nan,nan,,,,,,,,,
1731305769.6399727,,,,,,,,,,1635897.4,1607692.2,,,,
1731305769.6419740,,,,,,,-0.25408936,0.08874512,0.9508667,,,,,,
1731305769.6426053,781.685,802.6374,409.7802,722.0513,nan,nan,,,,,,,,,
