timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731139435.6856954,766.77655,805.4579,794.9817,795.78754,nan,nan,,,,,,,,,
1731139435.6896091,864.68866,812.71063,815.5311,817.5458,nan,nan,,,,,,,,,
1731139435.6935229,898.93774,808.68134,813.5165,826.0073,nan,nan,,,,,,,,,
1731139435.6974366,788.5348,806.26373,782.8938,801.8315,nan,nan,,,,,,,,,
1731139435.6977749,,,,,,,,,,1631868.1,1607692.2,,,,
1731139435.7013502,745.82416,806.26373,781.28204,781.28204,nan,nan,,,,,,,,,
1731139435.7052639,828.022,804.2491,806.6667,806.26373,nan,nan,,,,,,,,,
1731139435.7091777,895.7143,801.4286,832.8571,819.5604,nan,nan,,,,,,,,,
1731139435.7130914,819.5604,801.4286,810.696,796.1905,nan,nan,,,,,,,,,
1731139435.7170050,744.21246,805.8608,782.8938,785.7143,nan,nan,,,,,,,,,
1731139435.7209189,811.9048,808.2784,799.81683,799.41394,nan,nan,,,,,,,,,
1731139435.7247121,,,,,,,0.07836914,0.12634277,0.9824219,,,,,,
1731139435.7248325,890.07324,803.44324,816.7399,810.696,nan,nan,,,,,,,,,
1731139435.7287462,854.21246,799.41394,792.96704,794.57874,nan,nan,,,,,,,,,
1731139435.7326598,732.9304,793.36993,776.8498,765.56775,nan,nan,,,,,,,,,
1731139435.7326667,,,,,,,,,,1631062.2,1607692.2,,,,
1731139435.7365737,771.2088,786.9231,796.99634,776.4469,nan,nan,,,,,,,,,
1731139435.7404873,871.9414,789.7436,814.3223,793.36993,nan,nan,,,,,,,,,
1731139435.7435760,,,,,,,0.08203125,0.12158203,0.9790039,,,,,,
1731139435.7444010,881.2088,802.23444,803.0403,797.8022,nan,nan,,,,,,,,,
1731139435.7483149,756.30035,803.8461,775.2381,775.64105,nan,nan,,,,,,,,,
1731139435.7522285,748.6447,798.60803,788.93774,773.6264,nan,nan,,,,,,,,,
1731139435.7561421,853.00366,805.8608,815.12823,799.41394,nan,nan,,,,,,,,,
1731139435.7600558,902.96704,809.0842,817.1429,813.1135,nan,nan,,,,,,,,,
1731139435.7624402,,,,,,,0.077819824,0.119140625,0.9875488,,,,,,
1731139435.7639697,791.3553,804.2491,778.0586,788.1319,nan,nan,,,,,,,,,
1731139435.7675588,,,,,,,,,,1631062.2,1607692.2,,,,
1731139435.7678833,734.1392,792.5641,779.67035,767.98535,nan,nan,,,,,,,,,
1731139435.7717969,831.6484,801.4286,810.293,787.326,nan,nan,,,,,,,,,
1731139435.7757108,910.2198,806.6667,809.0842,811.9048,nan,nan,,,,,,,,,
1731139435.7796245,828.8278,793.36993,790.14655,787.326,nan,nan,,,,,,,,,
1731139435.7813041,,,,,,,0.076660156,0.11364746,0.98150635,,,,,,
1731139435.7835381,723.663,798.20514,782.8938,759.5238,nan,nan,,,,,,,,,
1731139435.7874517,784.5055,791.3553,794.9817,777.6557,nan,nan,,,,,,,,,
1731139435.7913656,886.8498,794.57874,808.2784,805.05493,nan,nan,,,,,,,,,
1731139435.7952793,865.89746,803.0403,795.38464,801.02563,nan,nan,,,,,,,,,
1731139435.7960963,,,,,,,,,,,,,nan,118992600.0,nan
1731139435.7991929,735.34796,790.54944,781.28204,766.3736,nan,nan,,,,,,,,,
1731139435.8001683,,,,,,,0.086364746,0.11566162,0.97210693,,,,,,
1731139435.8024507,,,,,,,,,,1631868.1,1607692.2,,,,
1731139435.8031068,767.98535,794.57874,799.011,772.01465,nan,nan,,,,,,,,,
1731139435.8070204,875.56775,817.1429,804.2491,803.0403,nan,nan,,,,,,,,,
1731139435.8109341,895.31134,821.1722,792.1612,809.4872,nan,nan,,,,,,,,,
1731139435.8116665,,,,,,,,,,,,,nan,119015970.0,nan
1731139435.8148477,772.4176,806.6667,788.1319,786.1172,nan,nan,,,,,,,,,
1731139435.8187616,757.50916,810.293,807.0696,784.90845,nan,nan,,,,,,,,,
1731139435.8190322,,,,,,,0.0803833,0.1182251,0.9743042,,,,,,
1731139435.8226752,860.65936,824.7985,818.3516,813.5165,nan,nan,,,,,,,,,
1731139435.8265889,917.8755,821.5751,820.3663,826.0073,nan,nan,,,,,,,,,
1731139435.8272369,,,,,,,,,,,,,nan,119006300.0,nan
1731139435.8305027,819.5604,811.9048,799.41394,796.1905,nan,nan,,,,,,,,,
1731139435.8344164,755.09155,799.81683,792.96704,781.28204,nan,nan,,,,,,,,,
1731139435.8373427,,,,,,,,,,1631062.2,1607692.2,,,,
1731139435.8378963,,,,,,,0.0736084,0.11804199,0.97784424,,,,,,
1731139435.8383300,831.2454,806.6667,811.50183,795.78754,nan,nan,,,,,,,,,
1731139435.8422437,908.60803,807.8755,820.3663,807.8755,nan,nan,,,,,,,,,
1731139435.8428071,,,,,,,,,,,,,nan,119007100.0,nan
1731139435.8461576,855.0183,803.0403,795.78754,794.57874,nan,nan,,,,,,,,,
1731139435.8500712,741.39197,802.6374,785.31134,769.19415,nan,nan,,,,,,,,,
1731139435.8539848,791.3553,799.81683,791.75824,780.87915,nan,nan,,,,,,,,,
1731139435.8567603,,,,,,,0.06744385,0.11224365,0.9851074,,,,,,
1731139435.8578987,893.69965,803.44324,808.68134,811.9048,nan,nan,,,,,,,,,
1731139435.8583775,,,,,,,,,,,,,nan,119015970.0,nan
1731139435.8618124,887.25275,805.4579,813.5165,812.3077,nan,nan,,,,,,,,,
1731139435.8657260,757.9121,793.7729,778.46155,780.4762,nan,nan,,,,,,,,,
1731139435.8696399,767.1795,788.93774,793.36993,784.10254,nan,nan,,,,,,,,,
1731139435.8722346,,,,,,,,,,1631062.2,1607692.2,,,,
1731139435.8735535,870.32965,810.293,821.978,813.5165,nan,nan,,,,,,,,,
1731139435.8739476,,,,,,,,,,,,,nan,118943440.0,nan
1731139435.8756244,,,,,,,0.07159424,0.10900879,0.975708,,,,,,
1731139435.8774672,915.8608,819.9634,816.7399,826.8132,nan,nan,,,,,,,,,
1731139435.8813808,794.57874,806.6667,784.90845,794.17584,nan,nan,,,,,,,,,
1731139435.8852947,753.8828,793.36993,788.93774,777.25275,nan,nan,,,,,,,,,
1731139435.8892083,838.0952,797.8022,817.1429,790.9524,nan,nan,,,,,,,,,
1731139435.8895178,,,,,,,,,,,,,nan,118967620.0,nan
1731139435.8931220,890.87915,811.50183,807.8755,805.8608,nan,nan,,,,,,,,,
1731139435.8944883,,,,,,,0.07312012,0.111450195,0.9636841,,,,,,
1731139435.8970358,826.4103,813.1135,774.83514,803.0403,nan,nan,,,,,,,,,
1731139435.9009495,750.2564,807.8755,780.4762,793.36993,nan,nan,,,,,,,,,
1731139435.9048631,812.71063,801.8315,815.9341,803.0403,nan,nan,,,,,,,,,
1731139435.9050882,,,,,,,,,,,,,nan,118927330.0,nan
1731139435.9071267,,,,,,,,,,1631062.2,1607692.2,,,,
1731139435.9087768,914.2491,802.6374,823.9927,817.1429,nan,nan,,,,,,,,,
1731139435.9126906,867.50916,801.4286,791.75824,801.8315,nan,nan,,,,,,,,,
1731139435.9133525,,,,,,,0.07611084,0.113220215,0.9638672,,,,,,
1731139435.9166043,743.4066,799.011,779.67035,774.83514,nan,nan,,,,,,,,,
1731139435.9205179,799.41394,804.65204,809.89014,791.75824,nan,nan,,,,,,,,,
1731139435.9206583,,,,,,,,,,,,,nan,118949090.0,nan
1731139435.9244318,898.93774,806.6667,811.50183,813.1135,nan,nan,,,,,,,,,
1731139435.9283454,887.25275,790.9524,787.72894,807.8755,nan,nan,,,,,,,,,
1731139435.9322164,,,,,,,0.07489014,0.1184082,0.965271,,,,,,
1731139435.9322591,760.32965,788.5348,776.4469,784.5055,nan,nan,,,,,,,,,
1731139435.9361727,767.5824,803.44324,794.17584,796.5934,nan,nan,,,,,,,,,
1731139435.9362288,,,,,,,,,,,,,nan,118880584.0,nan
1731139435.9400866,854.21246,800.2198,795.78754,811.50183,nan,nan,,,,,,,,,
1731139435.9420185,,,,,,,,,,1631868.1,1606886.5,,,,
1731139435.9440002,897.72894,802.23444,781.28204,815.5311,nan,nan,,,,,,,,,
1731139435.9479139,797.8022,799.81683,776.04395,796.5934,nan,nan,,,,,,,,,
1731139435.9510806,,,,,,,0.07489014,0.12023926,0.973938,,,,,,
1731139435.9517989,,,,,,,,,,,,,nan,118920070.0,nan
1731139435.9518278,743.00366,801.4286,795.38464,778.46155,nan,nan,,,,,,,,,
1731139435.9557414,831.2454,813.5165,811.9048,801.02563,nan,nan,,,,,,,,,
1731139435.9596550,905.38464,804.2491,819.15753,825.2015,nan,nan,,,,,,,,,
1731139435.9635687,823.5897,797.8022,788.1319,805.05493,nan,nan,,,,,,,,,
1731139435.9673691,,,,,,,,,,,,,nan,118951500.0,nan
1731139435.9674826,730.5128,802.23444,781.28204,785.7143,nan,nan,,,,,,,,,
1731139435.9699445,,,,,,,0.07299805,0.12231445,0.982605,,,,,,
1731139435.9713962,788.5348,804.65204,800.6227,797.3993,nan,nan,,,,,,,,,
1731139435.9753098,872.74725,802.6374,801.8315,811.0989,nan,nan,,,,,,,,,
1731139435.9769106,,,,,,,,,,1631868.1,1607692.2,,,,
1731139435.9792237,859.45056,801.02563,796.99634,815.9341,nan,nan,,,,,,,,,
1731139435.9829395,,,,,,,,,,,,,nan,118961176.0,nan
1731139435.9831374,742.1978,794.17584,779.67035,787.72894,nan,nan,,,,,,,,,
1731139435.9870510,771.6117,794.9817,783.2967,787.72894,nan,nan,,,,,,,,,
1731139435.9888086,,,,,,,0.07623291,0.121520996,0.9829712,,,,,,
1731139435.9909647,865.09155,794.57874,809.0842,815.9341,nan,nan,,,,,,,,,
1731139435.9948785,879.19415,790.9524,821.5751,822.381,nan,nan,,,,,,,,,
1731139435.9985096,,,,,,,,,,,,,nan,118915240.0,nan
1731139435.9987922,776.8498,796.99634,793.36993,800.6227,nan,nan,,,,,,,,,
1731139436.0027058,766.77655,806.26373,788.5348,798.20514,nan,nan,,,,,,,,,
1731139436.0066197,855.82416,808.68134,814.3223,819.15753,nan,nan,,,,,,,,,
1731139436.0076725,,,,,,,0.07574463,0.120666504,0.97766113,,,,,,
1731139436.0105333,904.57874,811.0989,823.5897,833.663,nan,nan,,,,,,,,,
1731139436.0118024,,,,,,,,,,1631062.2,1607692.2,,,,
1731139436.0140798,,,,,,,,,,,,,nan,118976480.0,nan
1731139436.0144470,813.91943,828.022,792.1612,814.3223,nan,nan,,,,,,,,,
1731139436.0183606,788.1319,823.1868,788.1319,827.2161,nan,nan,,,,,,,,,
1731139436.0222745,847.3626,798.60803,803.44324,829.6337,nan,nan,,,,,,,,,
1731139436.0261881,869.5238,796.1905,816.7399,798.60803,nan,nan,,,,,,,,,
1731139436.0265367,,,,,,,0.07543945,0.11804199,0.97283936,,,,,,
1731139436.0296502,,,,,,,,,,,,,nan,118973260.0,nan
1731139436.0301018,811.0989,805.8608,799.41394,783.69965,nan,nan,,,,,,,,,
1731139436.0340157,716.4103,800.6227,767.5824,762.74725,nan,nan,,,,,,,,,
1731139436.0379293,765.16486,788.5348,783.69965,766.3736,nan,nan,,,,,,,,,
1731139436.0418429,858.6447,792.1612,822.381,789.7436,nan,nan,,,,,,,,,
1731139436.0452204,,,,,,,,,,,,,nan,118953920.0,nan
1731139436.0454006,,,,,,,0.07702637,0.11608887,0.96917725,,,,,,
1731139436.0457566,836.08057,794.57874,806.6667,782.8938,nan,nan,,,,,,,,,
1731139436.0466945,,,,,,,,,,1631062.2,1607692.2,,,,
1731139436.0496705,700.696,795.38464,778.86444,745.82416,nan,nan,,,,,,,,,
1731139436.0535841,727.6923,802.23444,802.6374,751.8681,nan,nan,,,,,,,,,
1731139436.0574977,838.49817,794.9817,823.9927,779.67035,nan,nan,,,,,,,,,
1731139436.0607908,,,,,,,,,,,,,nan,118924910.0,nan
1731139436.0614116,858.6447,787.72894,811.9048,782.8938,nan,nan,,,,,,,,,
1731139436.0642648,,,,,,,0.08312988,0.113464355,0.9702759,,,,,,
1731139436.0653253,734.5421,801.4286,783.69965,750.65936,nan,nan,,,,,,,,,
1731139436.0692389,715.6044,799.81683,792.1612,751.06226,nan,nan,,,,,,,,,
1731139436.0731525,817.1429,785.7143,809.89014,783.2967,nan,nan,,,,,,,,,
1731139436.0763609,,,,,,,,,,,,,nan,118962780.0,nan
1731139436.0770664,893.69965,786.52014,803.8461,813.5165,nan,nan,,,,,,,,,
1731139436.0809801,805.05493,796.1905,775.2381,800.2198,nan,nan,,,,,,,,,
1731139436.0815864,,,,,,,,,,1631062.2,1607692.2,,,,
1731139436.0831287,,,,,,,0.08068848,0.11224365,0.973999,,,,,,
1731139436.0848937,732.1245,807.0696,780.07324,789.7436,nan,nan,,,,,,,,,
1731139436.0888076,815.12823,804.2491,804.65204,805.4579,nan,nan,,,,,,,,,
1731139436.0919311,,,,,,,,,,,,,nan,118964390.0,nan
1731139436.0927212,898.93774,806.26373,810.293,814.7253,nan,nan,,,,,,,,,
1731139436.0966349,846.1539,813.1135,789.7436,811.0989,nan,nan,,,,,,,,,
1731139436.1005485,735.34796,811.50183,795.78754,792.5641,nan,nan,,,,,,,,,
1731139436.1019926,,,,,,,0.078063965,0.10864258,0.9749756,,,,,,
1731139436.1044624,790.9524,805.05493,807.47253,790.54944,nan,nan,,,,,,,,,
1731139436.1075015,,,,,,,,,,,,,nan,118963590.0,nan
1731139436.1083760,897.72894,792.1612,814.7253,811.50183,nan,nan,,,,,,,,,
1731139436.1122897,894.90845,790.54944,814.7253,816.337,nan,nan,,,,,,,,,
1731139436.1162035,772.4176,813.5165,790.14655,784.90845,nan,nan,,,,,,,,,
1731139436.1164784,,,,,,,,,,1631062.2,1607692.2,,,,
1731139436.1201172,784.5055,809.0842,792.1612,789.34064,nan,nan,,,,,,,,,
1731139436.1208568,,,,,,,0.07836914,0.11248779,0.9769287,,,,,,
1731139436.1230717,,,,,,,,,,,,,nan,118966820.0,nan
1731139436.1240308,877.98535,795.38464,803.44324,814.3223,nan,nan,,,,,,,,,
1731139436.1279445,917.0696,806.26373,818.3516,828.8278,nan,nan,,,,,,,,,
1731139436.1318583,801.02563,808.2784,798.20514,799.81683,nan,nan,,,,,,,,,
1731139436.1357720,762.74725,798.60803,794.9817,782.49084,nan,nan,,,,,,,,,
1731139436.1386421,,,,,,,,,,,,,nan,118965200.0,nan
1731139436.1396856,854.61536,797.3993,801.8315,805.8608,nan,nan,,,,,,,,,
1731139436.1397207,,,,,,,0.07556152,0.11254883,0.9758911,,,,,,
1731139436.1435995,908.60803,794.9817,813.5165,819.9634,nan,nan,,,,,,,,,
1731139436.1475132,823.9927,803.0403,813.91943,801.02563,nan,nan,,,,,,,,,
1731139436.1513703,,,,,,,,,,1631868.1,1607692.2,,,,
1731139436.1514268,731.7216,804.2491,790.14655,781.685,nan,nan,,,,,,,,,
1731139436.1542122,,,,,,,,,,,,,nan,118995016.0,nan
1731139436.1553404,794.17584,792.5641,796.1905,790.9524,nan,nan,,,,,,,,,
1731139436.1585848,,,,,,,0.083618164,0.11224365,0.9734497,,,,,,
1731139436.1592543,882.01465,787.72894,804.65204,809.89014,nan,nan,,,,,,,,,
1731139436.1631680,843.73627,793.7729,788.93774,803.0403,nan,nan,,,,,,,,,
1731139436.1670816,730.5128,790.14655,780.4762,771.6117,nan,nan,,,,,,,,,
1731139436.1697824,,,,,,,,,,,,,nan,118978100.0,nan
1731139436.1709955,763.95605,774.83514,802.23444,777.25275,nan,nan,,,,,,,,,
1731139436.1749091,864.68866,779.2674,813.91943,805.8608,nan,nan,,,,,,,,,
1731139436.1774487,,,,,,,0.07879639,0.10949707,0.97058105,,,,,,
1731139436.1788228,875.16486,797.3993,791.3553,811.50183,nan,nan,,,,,,,,,
1731139436.1827364,751.4652,808.68134,757.9121,789.34064,nan,nan,,,,,,,,,
1731139436.1853528,,,,,,,,,,,,,nan,118993410.0,nan
1731139436.1862621,,,,,,,,,,1631062.2,1607692.2,,,,
1731139436.1866503,754.2857,807.0696,784.90845,797.8022,nan,nan,,,,,,,,,
1731139436.1905639,850.18317,803.8461,826.8132,822.7839,nan,nan,,,,,,,,,
1731139436.1944776,899.34064,804.65204,828.8278,826.0073,nan,nan,,,,,,,,,
1731139436.1963129,,,,,,,0.07635498,0.10882568,0.98101807,,,,,,
1731139436.1983914,792.96704,799.011,787.326,794.9817,nan,nan,,,,,,,,,
1731139436.2009230,,,,,,,,,,,,,nan,118995820.0,nan
1731139436.2023051,730.5128,794.9817,780.4762,772.8205,nan,nan,,,,,,,,,
1731139436.2062187,813.91943,800.6227,811.50183,794.17584,nan,nan,,,,,,,,,
1731139436.2101326,894.5055,804.65204,811.9048,820.7692,nan,nan,,,,,,,,,
1731139436.2140462,826.4103,804.65204,783.69965,801.02563,nan,nan,,,,,,,,,
1731139436.2151768,,,,,,,0.07562256,0.10998535,0.97680664,,,,,,
1731139436.2164934,,,,,,,,,,,,,nan,119047400.0,nan
1731139436.2179599,726.4835,803.44324,786.52014,785.31134,nan,nan,,,,,,,,,
1731139436.2211542,,,,,,,,,,1631062.2,1607692.2,,,,
1731139436.2218735,790.9524,801.4286,805.4579,802.6374,nan,nan,,,,,,,,,
1731139436.2257874,894.10254,803.44324,821.5751,823.1868,nan,nan,,,,,,,,,
1731139436.2297010,868.71796,809.0842,794.57874,819.15753,nan,nan,,,,,,,,,
1731139436.2320635,,,,,,,,,,,,,nan,119009520.0,nan
1731139436.2336147,746.63007,804.65204,767.98535,793.7729,nan,nan,,,,,,,,,
1731139436.2340410,,,,,,,0.07611084,0.107788086,0.979187,,,,,,
1731139436.2375286,782.0879,803.8461,799.011,796.99634,nan,nan,,,,,,,,,
1731139436.2414422,893.69965,809.0842,809.89014,831.6484,nan,nan,,,,,,,,,
1731139436.2453558,915.05493,801.02563,792.5641,840.9158,nan,nan,,,,,,,,,
1731139436.2476337,,,,,,,,,,,,,nan,119026450.0,nan
1731139436.2492695,778.46155,807.0696,770.0,781.685,nan,nan,,,,,,,,,
1731139436.2529049,,,,,,,0.07385254,0.11035156,0.9701538,,,,,,
1731139436.2531834,756.30035,813.1135,776.8498,764.7619,nan,nan,,,,,,,,,
1731139436.2560461,,,,,,,,,,1631868.1,1607692.2,,,,
1731139436.2570970,859.85345,811.0989,800.2198,805.8608,nan,nan,,,,,,,,,
1731139436.2610106,912.6374,816.337,808.68134,818.7546,nan,nan,,,,,,,,,
1731139436.2632041,,,,,,,,,,,,,nan,119049010.0,nan
1731139436.2649245,807.8755,810.293,773.6264,782.0879,nan,nan,,,,,,,,,
1731139436.2688382,743.4066,809.0842,773.22345,779.2674,nan,nan,,,,,,,,,
1731139436.2717690,,,,,,,0.07507324,0.10845947,0.9689331,,,,,,
1731139436.2727518,817.5458,809.0842,794.57874,800.2198,nan,nan,,,,,,,,,
1731139436.2766654,898.5348,799.41394,794.57874,813.5165,nan,nan,,,,,,,,,
1731139436.2787743,,,,,,,,,,,,,nan,119069960.0,nan
1731139436.2805793,850.58606,800.6227,785.7143,799.41394,nan,nan,,,,,,,,,
