timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731655700.3097613,,,,,,,0.1262207,0.13116455,0.9706421,,,,,,
1731655700.3130467,,,,,,,,,,,,,nan,111233780.0,nan
1731655700.3286667,,,,,,,0.12164307,0.13018799,0.97595215,,,,,,
1731655700.3286667,,,,,,,,,,,,,nan,111243440.0,nan
1731655700.3442864,,,,,,,,,,,,,nan,111183810.0,nan
1731655700.3475718,,,,,,,0.12243652,0.12664795,0.9735718,,,,,,
1731655700.3486998,815.5311,809.4872,805.4579,818.7546,nan,nan,,,,,,,,,
1731655700.3526003,863.8828,813.1135,803.44324,847.3626,nan,nan,,,,,,,,,
1731655700.3565009,839.707,813.5165,805.8608,826.0073,nan,nan,,,,,,,,,
1731655700.3599064,,,,,,,,,,,,,nan,111219260.0,nan
1731655700.3604014,762.3443,804.2491,803.0403,791.3553,nan,nan,,,,,,,,,
1731655700.3643019,775.2381,798.20514,802.23444,805.8608,nan,nan,,,,,,,,,
1731655700.3664773,,,,,,,0.121032715,0.12438965,0.9713135,,,,,,
1731655700.3682024,830.84247,798.20514,806.6667,830.84247,nan,nan,,,,,,,,,
1731655700.3721030,836.8865,795.38464,805.05493,828.8278,nan,nan,,,,,,,,,
1731655700.3755264,,,,,,,,,,,,,nan,111220880.0,nan
1731655700.3760035,768.7912,795.38464,799.81683,792.5641,nan,nan,,,,,,,,,
1731655700.3799040,773.6264,803.0403,805.05493,800.6227,nan,nan,,,,,,,,,
1731655700.3838046,829.6337,801.8315,814.7253,832.8571,nan,nan,,,,,,,,,
1731655700.3853824,,,,,,,0.12451172,0.12640381,0.9628296,,,,,,
1731655700.3877051,848.5714,796.99634,811.50183,838.9011,nan,nan,,,,,,,,,
1731655700.3911462,,,,,,,,,,,,,nan,111198310.0,nan
1731655700.3916056,790.54944,803.44324,803.8461,803.8461,nan,nan,,,,,,,,,
1731655700.3955061,767.1795,807.0696,802.6374,792.96704,nan,nan,,,,,,,,,
1731655700.3994067,830.0366,810.696,801.02563,824.7985,nan,nan,,,,,,,,,
1731655700.4033072,870.7326,813.5165,807.0696,847.76556,nan,nan,,,,,,,,,
1731655700.4042878,,,,,,,0.1303711,0.12567139,0.95306396,,,,,,
1731655700.4067662,,,,,,,,,,,,,nan,111163660.0,nan
1731655700.4072077,807.47253,806.6667,809.0842,817.1429,nan,nan,,,,,,,,,
1731655700.4111083,758.315,804.2491,807.47253,786.1172,nan,nan,,,,,,,,,
1731655700.4150088,807.0696,807.47253,813.1135,805.8608,nan,nan,,,,,,,,,
1731655700.4189093,861.4652,807.8755,807.8755,835.6777,nan,nan,,,,,,,,,
1731655700.4223862,,,,,,,,,,,,,nan,111197510.0,nan
1731655700.4228098,830.0366,804.65204,805.4579,817.9487,nan,nan,,,,,,,,,
1731655700.4231930,,,,,,,0.13067627,0.12713623,0.9588623,,,,,,
1731655700.4267104,779.2674,802.6374,806.6667,783.69965,nan,nan,,,,,,,,,
1731655700.4306109,802.23444,807.47253,802.23444,795.38464,nan,nan,,,,,,,,,
