timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731305425.5827885,,,,,,,,,,1632674.0,1607692.2,,,,
1731305425.6176667,,,,,,,,,,1632674.0,1607692.2,,,,
1731305425.6217351,801.02563,450.07327,735.7509,781.28204,nan,nan,,,,,,,,,
1731305425.6256325,801.02563,375.53113,767.5824,792.5641,nan,nan,,,,,,,,,
1731305425.6295297,795.38464,834.4689,960.58606,798.20514,nan,nan,,,,,,,,,
1731305425.6334271,795.38464,796.99634,892.0879,786.9231,nan,nan,,,,,,,,,
1731305425.6373246,790.54944,290.1099,687.8022,787.72894,nan,nan,,,,,,,,,
1731305425.6378586,,,,,,,-0.2388916,0.14788818,0.9364624,,,,,,
1731305425.6412220,791.3553,286.0806,750.2564,799.41394,nan,nan,,,,,,,,,
1731305425.6451192,789.34064,591.0989,899.34064,810.293,nan,nan,,,,,,,,,
1731305425.6457498,,,,,,,,,,,,,nan,204304260.0,nan
1731305425.6490166,797.3993,629.7802,874.35895,806.6667,nan,nan,,,,,,,,,
1731305425.6525447,,,,,,,,,,1632674.0,1607692.2,,,,
1731305425.6529140,809.0842,302.1978,624.5421,796.99634,nan,nan,,,,,,,,,
1731305425.6567147,,,,,,,-0.24029541,0.14654541,0.94610596,,,,,,
1731305425.6568115,797.8022,120.07326,608.022,796.5934,nan,nan,,,,,,,,,
1731305425.6607087,802.6374,664.83514,928.3516,794.9817,nan,nan,,,,,,,,,
1731305425.6613333,,,,,,,,,,,,,nan,204196260.0,nan
1731305425.6646061,810.293,805.05493,884.43225,801.02563,nan,nan,,,,,,,,,
1731305425.6685035,790.9524,310.65933,666.04395,796.99634,nan,nan,,,,,,,,,
1731305425.6724007,792.5641,323.15018,749.85345,785.7143,nan,nan,,,,,,,,,
1731305425.6755707,,,,,,,-0.23919678,0.14959717,0.9451294,,,,,,
1731305425.6762981,803.0403,716.4103,910.2198,792.5641,nan,nan,,,,,,,,,
1731305425.6769171,,,,,,,,,,,,,nan,204143070.0,nan
1731305425.6801956,794.9817,546.3736,823.5897,795.38464,nan,nan,,,,,,,,,
1731305425.6840930,801.02563,335.2381,757.50916,783.2967,nan,nan,,,,,,,,,
1731305425.6874230,,,,,,,,,,1632674.0,1607692.2,,,,
1731305425.6879902,803.0403,442.01465,807.47253,773.6264,nan,nan,,,,,,,,,
1731305425.6918876,802.6374,702.71063,903.36993,780.4762,nan,nan,,,,,,,,,
1731305425.6925006,,,,,,,,,,,,,nan,204060880.0,nan
1731305425.6944268,,,,,,,-0.23852539,0.14978027,0.9390869,,,,,,
