timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731016308.9464109,,,,,,,,,,,,,nan,98932300.0,nan
1731016308.9593663,807.47253,808.2784,802.6374,799.41394,nan,nan,,,,,,,,,
1731016308.9620001,,,,,,,,,,,,,nan,98951650.0,nan
1731016308.9632678,805.05493,805.05493,805.05493,800.6227,nan,nan,,,,,,,,,
1731016308.9671693,801.02563,802.6374,803.44324,798.60803,nan,nan,,,,,,,,,
1731016308.9710708,798.20514,801.4286,801.8315,798.60803,nan,nan,,,,,,,,,
1731016308.9710827,,,,,,,-0.015075684,0.12420654,0.9725342,,,,,,
1731016308.9749722,801.4286,803.0403,802.23444,799.41394,nan,nan,,,,,,,,,
1731016308.9775891,,,,,,,,,,,,,nan,98957290.0,nan
1731016308.9788737,802.23444,808.2784,799.81683,801.8315,nan,nan,,,,,,,,,
1731016308.9827750,798.60803,806.6667,798.20514,799.81683,nan,nan,,,,,,,,,
1731016308.9866765,799.41394,803.8461,798.20514,799.81683,nan,nan,,,,,,,,,
1731016308.9899583,,,,,,,-0.014709473,0.12756348,0.9790039,,,,,,
1731016308.9905779,805.8608,806.6667,800.2198,802.23444,nan,nan,,,,,,,,,
1731016308.9931784,,,,,,,,,,,,,nan,98949230.0,nan
1731016308.9944794,810.696,801.8315,801.4286,804.65204,nan,nan,,,,,,,,,
1731016308.9983809,805.4579,800.6227,802.6374,809.0842,nan,nan,,,,,,,,,
1731016309.0003886,,,,,,,,,,1635897.4,1607692.2,,,,
1731016309.0022824,808.2784,802.6374,805.05493,808.2784,nan,nan,,,,,,,,,
1731016309.0061839,811.50183,797.3993,803.44324,805.8608,nan,nan,,,,,,,,,
1731016309.0087674,,,,,,,,,,,,,nan,98975820.0,nan
1731016309.0088339,,,,,,,-0.01159668,0.12878418,0.9795532,,,,,,
1731016309.0100853,809.4872,799.41394,803.0403,807.8755,nan,nan,,,,,,,,,
1731016309.0139868,809.4872,804.2491,801.4286,804.2491,nan,nan,,,,,,,,,
1731016309.0178883,805.05493,804.65204,805.4579,801.02563,nan,nan,,,,,,,,,
1731016309.0217898,801.02563,805.4579,808.2784,801.02563,nan,nan,,,,,,,,,
1731016309.0243566,,,,,,,,,,,,,nan,98957290.0,nan
1731016309.0256913,804.65204,803.0403,805.8608,803.0403,nan,nan,,,,,,,,,
1731016309.0277095,,,,,,,-0.0095825195,0.1307373,0.97784424,,,,,,
1731016309.0295925,809.89014,803.8461,804.65204,803.8461,nan,nan,,,,,,,,,
1731016309.0334940,809.89014,803.0403,806.26373,801.8315,nan,nan,,,,,,,,,
1731016309.0352228,,,,,,,,,,1635897.4,1606886.5,,,,
1731016309.0373955,803.0403,801.8315,808.68134,797.8022,nan,nan,,,,,,,,,
1731016309.0399456,,,,,,,,,,,,,nan,98995970.0,nan
1731016309.0412970,803.44324,805.4579,806.26373,799.41394,nan,nan,,,,,,,,,
1731016309.0451984,809.0842,804.65204,800.6227,796.5934,nan,nan,,,,,,,,,
1731016309.0465851,,,,,,,-0.014953613,0.1270752,0.9758911,,,,,,
1731016309.0490999,803.8461,804.2491,799.011,792.96704,nan,nan,,,,,,,,,
1731016309.0530014,798.20514,803.0403,796.5934,791.75824,nan,nan,,,,,,,,,
1731016309.0555348,,,,,,,,,,,,,nan,99020140.0,nan
1731016309.0569029,804.2491,805.4579,798.20514,795.78754,nan,nan,,,,,,,,,
1731016309.0608044,805.4579,806.6667,802.23444,798.60803,nan,nan,,,,,,,,,
1731016309.0647058,805.05493,801.8315,802.23444,798.20514,nan,nan,,,,,,,,,
1731016309.0654607,,,,,,,-0.013366699,0.12774658,0.9749756,,,,,,
1731016309.0686073,804.2491,805.4579,800.6227,800.6227,nan,nan,,,,,,,,,
1731016309.0700569,,,,,,,,,,1635897.4,1607692.2,,,,
1731016309.0711238,,,,,,,,,,,,,nan,99001610.0,nan
1731016309.0725088,802.23444,807.8755,799.81683,800.6227,nan,nan,,,,,,,,,
1731016309.0764101,805.8608,806.6667,802.23444,802.6374,nan,nan,,,,,,,,,
1731016309.0803115,806.6667,809.0842,802.6374,798.60803,nan,nan,,,,,,,,,
1731016309.0842130,813.5165,811.9048,805.4579,799.81683,nan,nan,,,,,,,,,
1731016309.0843363,,,,,,,-0.015991211,0.12298584,0.9746704,,,,,,
1731016309.0867131,,,,,,,,,,,,,nan,99024180.0,nan
1731016309.0881145,812.71063,810.293,806.26373,807.8755,nan,nan,,,,,,,,,
1731016309.0920160,801.8315,807.47253,801.4286,800.6227,nan,nan,,,,,,,,,
1731016309.0959175,804.65204,805.4579,803.8461,799.41394,nan,nan,,,,,,,,,
1731016309.0998189,806.6667,806.26373,805.4579,805.05493,nan,nan,,,,,,,,,
1731016309.1023021,,,,,,,,,,,,,nan,99070110.0,nan
