timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731140703.6244416,,,,,,,0.11468506,0.12225342,0.9631958,,,,,,
1731140703.6277246,,,,,,,,,,,,,nan,117459860.0,nan
1731140703.6370342,770.40295,759.12085,643.8828,759.12085,nan,nan,,,,,,,,,
1731140703.6409314,757.9121,754.2857,642.27106,756.30035,nan,nan,,,,,,,,,
1731140703.6433334,,,,,,,0.10809326,0.11651611,0.97039795,,,,,,
1731140703.6433334,,,,,,,,,,,,,nan,117356700.0,nan
1731140703.6448286,688.20514,754.2857,636.2271,732.9304,nan,nan,,,,,,,,,
1731140703.6487260,708.3516,756.7033,641.8681,734.1392,nan,nan,,,,,,,,,
1731140703.6526232,755.89746,757.1062,645.09155,749.0476,nan,nan,,,,,,,,,
1731140703.6565204,766.3736,759.92676,647.50916,755.09155,nan,nan,,,,,,,,,
1731140703.6589422,,,,,,,,,,,,,nan,117327700.0,nan
1731140703.6604176,745.82416,761.53845,653.95605,749.85345,nan,nan,,,,,,,,,
1731140703.6622252,,,,,,,0.099121094,0.11218262,0.97143555,,,,,,
1731140703.6643147,735.34796,762.3443,657.5824,743.8095,nan,nan,,,,,,,,,
1731140703.6682119,743.8095,768.7912,664.83514,743.00366,nan,nan,,,,,,,,,
1731140703.6721094,756.7033,768.7912,668.46155,748.24176,nan,nan,,,,,,,,,
1731140703.6745508,,,,,,,,,,,,,nan,117227770.0,nan
1731140703.6760066,745.0183,769.19415,661.2088,751.06226,nan,nan,,,,,,,,,
1731140703.6799037,740.989,782.8938,655.16486,757.50916,nan,nan,,,,,,,,,
1731140703.6811168,,,,,,,0.09503174,0.106933594,0.9815674,,,,,,
1731140703.6838009,762.3443,792.1612,670.07324,770.0,nan,nan,,,,,,,,,
1731140703.6876981,761.9414,780.87915,672.49084,765.9707,nan,nan,,,,,,,,,
1731140703.6901596,,,,,,,,,,,,,nan,117201976.0,nan
1731140703.6915956,755.09155,775.64105,664.43225,755.09155,nan,nan,,,,,,,,,
1731140703.6954927,739.7802,779.67035,660.80585,754.2857,nan,nan,,,,,,,,,
1731140703.6993899,735.34796,779.67035,661.6117,755.09155,nan,nan,,,,,,,,,
1731140703.7000086,,,,,,,0.09234619,0.10559082,0.9761963,,,,,,
1731140703.7032871,749.45056,780.87915,669.67035,755.09155,nan,nan,,,,,,,,,
1731140703.7057683,,,,,,,,,,,,,nan,117179416.0,nan
1731140703.7071843,764.35895,790.9524,673.69965,761.53845,nan,nan,,,,,,,,,
1731140703.7110817,744.21246,792.96704,674.10254,761.53845,nan,nan,,,,,,,,,
1731140703.7149789,740.58606,783.69965,673.69965,756.30035,nan,nan,,,,,,,,,
1731140703.7188761,750.65936,781.685,676.1172,752.27106,nan,nan,,,,,,,,,
1731140703.7189004,,,,,,,0.10284424,0.1083374,0.9768677,,,,,,
1731140703.7213771,,,,,,,,,,,,,nan,117089960.0,nan
1731140703.7227733,765.16486,775.64105,665.64105,751.06226,nan,nan,,,,,,,,,
1731140703.7257609,,,,,,,,,,1630256.4,1607692.2,,,,
1731140703.7266705,738.5714,785.31134,664.43225,749.45056,nan,nan,,,,,,,,,
1731140703.7305677,716.4103,792.1612,677.72894,745.0183,nan,nan,,,,,,,,,
1731140703.7344651,755.4945,787.72894,672.8938,748.6447,nan,nan,,,,,,,,,
1731140703.7369859,,,,,,,,,,,,,nan,117026300.0,nan
1731140703.7377923,,,,,,,0.101623535,0.11077881,0.9873657,,,,,,
1731140703.7383623,791.3553,788.5348,686.1905,764.35895,nan,nan,,,,,,,,,
1731140703.7422595,737.3626,776.04395,688.60803,746.63007,nan,nan,,,,,,,,,
1731140703.7461567,691.02563,774.83514,685.78754,721.6484,nan,nan,,,,,,,,,
1731140703.7500539,733.3333,784.5055,701.9048,736.1539,nan,nan,,,,,,,,,
1731140703.7525945,,,,,,,,,,,,,nan,116943300.0,nan
