timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730575522.3800268,,,,,,,,,,,,,nan,124391064.0,nan
1730575522.3919830,981.13556,469.011,532.674,821.1722,nan,nan,,,,,,,,,
1730575522.3959868,,,,,,,,,,,,,nan,124383000.0,nan
1730575522.3960087,963.00366,246.5934,449.2674,825.6044,nan,nan,,,,,,,,,
1730575522.4000344,962.1978,334.83517,498.82785,816.337,nan,nan,,,,,,,,,
1730575522.4040604,947.28937,579.81683,575.78754,819.5604,nan,nan,,,,,,,,,
1730575522.4080861,923.91943,552.8205,536.7033,823.5897,nan,nan,,,,,,,,,
1730575522.4119468,,,,,,,,,,,,,nan,124471650.0,nan
1730575522.4121118,906.5934,197.03297,391.24542,820.7692,nan,nan,,,,,,,,,
1730575522.4161375,896.1172,121.68498,441.2088,822.381,nan,nan,,,,,,,,,
1730575522.4201632,899.7436,404.94507,568.1319,822.7839,nan,nan,,,,,,,,,
1730575522.4241891,903.36993,553.6264,551.6117,821.5751,nan,nan,,,,,,,,,
1730575522.4279068,,,,,,,,,,,,,nan,124506300.0,nan
1730575522.4282148,884.0293,180.1099,338.46155,832.0513,nan,nan,,,,,,,,,
1730575522.4322405,875.56775,338.46155,485.53113,820.7692,nan,nan,,,,,,,,,
1730575522.4362662,887.25275,778.46155,638.24176,808.2784,nan,nan,,,,,,,,,
1730575522.4402921,884.83514,657.1795,550.0,816.7399,nan,nan,,,,,,,,,
1730575522.4438670,,,,,,,,,,,,,nan,124531280.0,nan
1730575522.4443178,886.4469,504.46887,572.96704,811.50183,nan,nan,,,,,,,,,
1730575522.4483435,890.4762,548.3883,547.5824,802.23444,nan,nan,,,,,,,,,
1730575522.4523692,893.69965,425.4945,523.8095,805.8608,nan,nan,,,,,,,,,
1730575522.4563949,898.5348,336.04395,498.02197,816.7399,nan,nan,,,,,,,,,
1730575522.4598269,,,,,,,,,,,,,nan,124578824.0,nan
1730575522.4604208,893.69965,149.48718,418.64468,825.2015,nan,nan,,,,,,,,,
1730575522.4644465,891.28204,367.47253,578.60803,813.91943,nan,nan,,,,,,,,,
1730575522.4684722,896.52014,819.9634,687.3993,799.011,nan,nan,,,,,,,,,
1730575522.4724979,888.86444,582.23444,563.2967,820.7692,nan,nan,,,,,,,,,
1730575522.4757869,,,,,,,,,,,,,nan,124595750.0,nan
1730575522.4765236,875.9707,257.87546,567.72894,839.304,nan,nan,,,,,,,,,
1730575522.4765971,,,,,,,0.060668945,-0.08483887,0.98443604,,,,,,
1730575522.4805496,882.4176,672.49084,701.50183,819.9634,nan,nan,,,,,,,,,
1730575522.4845753,878.7912,919.0842,702.71063,799.011,nan,nan,,,,,,,,,
1730575522.4886010,877.1795,624.5421,615.6777,788.1319,nan,nan,,,,,,,,,
1730575522.4917469,,,,,,,,,,,,,nan,124638460.0,nan
1730575522.4926267,865.09155,616.8865,701.0989,803.0403,nan,nan,,,,,,,,,
1730575522.4960001,,,,,,,0.042053223,-0.08770752,0.993042,,,,,,
1730575522.4966524,867.1062,944.87177,853.8095,806.6667,nan,nan,,,,,,,,,
1730575522.5006783,876.77655,966.2271,843.3333,814.7253,nan,nan,,,,,,,,,
1730575522.5047040,857.4359,666.8498,693.0403,829.6337,nan,nan,,,,,,,,,
1730575522.5077069,,,,,,,,,,,,,nan,124637656.0,nan
1730575522.5087297,848.1685,533.0769,658.3883,821.978,nan,nan,,,,,,,,,
1730575522.5127554,850.18317,632.1978,746.2271,828.4249,nan,nan,,,,,,,,,
1730575522.5154033,,,,,,,0.00970459,-0.0914917,0.98968506,,,,,,
1730575522.5167811,851.79486,773.6264,805.4579,824.3956,nan,nan,,,,,,,,,
1730575522.5208070,841.31866,440.80585,626.1539,826.8132,nan,nan,,,,,,,,,
1730575522.5236669,,,,,,,,,,,,,nan,124734360.0,nan
1730575522.5248327,839.707,612.4542,745.42126,828.8278,nan,nan,,,,,,,,,
1730575522.5288584,845.7509,952.9304,917.8755,829.2308,nan,nan,,,,,,,,,
1730575522.5328841,847.76556,722.4542,807.8755,832.0513,nan,nan,,,,,,,,,
1730575522.5348063,,,,,,,-0.0024414062,-0.08972168,0.9869995,,,,,,
