timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731106064.3364272,,,,,,,0.18811035,0.13397217,0.93621826,,,,,,
1731106064.3553331,,,,,,,0.19110107,0.15454102,0.9337158,,,,,,
1731106064.3613639,788.1319,800.6227,781.685,788.1319,nan,nan,,,,,,,,,
1731106064.3652720,784.10254,798.60803,775.2381,790.14655,nan,nan,,,,,,,,,
1731106064.3691800,778.86444,795.78754,771.2088,782.0879,nan,nan,,,,,,,,,
1731106064.3730881,789.7436,797.8022,774.83514,786.52014,nan,nan,,,,,,,,,
1731106064.3742392,,,,,,,0.17932129,0.16241455,0.94989014,,,,,,
1731106064.3769963,798.60803,796.1905,774.0293,788.1319,nan,nan,,,,,,,,,
1731106064.3809042,789.34064,792.5641,772.4176,786.1172,nan,nan,,,,,,,,,
1731106064.3848124,783.2967,793.7729,774.83514,787.72894,nan,nan,,,,,,,,,
1731106064.3887205,795.38464,795.38464,778.46155,792.5641,nan,nan,,,,,,,,,
1731106064.3926284,804.65204,799.41394,780.4762,801.8315,nan,nan,,,,,,,,,
1731106064.3931451,,,,,,,0.15612793,0.15368652,0.98913574,,,,,,
1731106064.3965366,792.96704,801.8315,775.64105,797.3993,nan,nan,,,,,,,,,
1731106064.4004447,785.7143,797.8022,775.64105,791.75824,nan,nan,,,,,,,,,
1731106064.4043529,795.78754,795.38464,778.86444,792.5641,nan,nan,,,,,,,,,
1731106064.4074705,,,,,,,,,,,,,nan,97398750.0,nan
1731106064.4082608,806.6667,801.8315,781.28204,795.38464,nan,nan,,,,,,,,,
1731106064.4120510,,,,,,,0.12957764,0.1303711,1.0062866,,,,,,
1731106064.4121690,799.41394,802.6374,782.8938,787.326,nan,nan,,,,,,,,,
1731106064.4160771,790.14655,800.6227,781.28204,787.326,nan,nan,,,,,,,,,
1731106064.4199851,794.9817,802.6374,782.49084,789.7436,nan,nan,,,,,,,,,
1731106064.4230590,,,,,,,,,,,,,nan,97389890.0,nan
1731106064.4238932,805.8608,804.65204,786.52014,785.7143,nan,nan,,,,,,,,,
1731106064.4278014,806.26373,802.6374,784.5055,790.14655,nan,nan,,,,,,,,,
1731106064.4309571,,,,,,,0.12994385,0.11907959,1.001648,,,,,,
1731106064.4317093,794.57874,799.41394,781.28204,792.1612,nan,nan,,,,,,,,,
1731106064.4356174,796.1905,800.2198,785.7143,796.1905,nan,nan,,,,,,,,,
1731106064.4386477,,,,,,,,,,,,,nan,97425340.0,nan
1731106064.4395256,806.26373,799.81683,785.7143,798.60803,nan,nan,,,,,,,,,
1731106064.4434335,811.9048,802.23444,785.31134,795.38464,nan,nan,,,,,,,,,
1731106064.4473417,803.0403,804.65204,787.326,796.1905,nan,nan,,,,,,,,,
1731106064.4498630,,,,,,,0.1496582,0.10998535,0.9627075,,,,,,
1731106064.4512498,796.1905,805.4579,783.2967,799.41394,nan,nan,,,,,,,,,
1731106064.4542363,,,,,,,,,,,,,nan,97396340.0,nan
1731106064.4551578,803.0403,801.02563,780.4762,797.3993,nan,nan,,,,,,,,,
1731106064.4590659,812.3077,798.60803,784.90845,800.2198,nan,nan,,,,,,,,,
1731106064.4629741,809.89014,798.20514,785.31134,801.8315,nan,nan,,,,,,,,,
1731106064.4668822,800.6227,801.02563,784.10254,797.3993,nan,nan,,,,,,,,,
1731106064.4687688,,,,,,,0.15472412,0.10467529,0.9423828,,,,,,
1731106064.4698248,,,,,,,,,,,,,nan,97386664.0,nan
1731106064.4707901,804.2491,805.05493,781.685,790.9524,nan,nan,,,,,,,,,
1731106064.4746983,810.293,800.2198,778.0586,779.67035,nan,nan,,,,,,,,,
1731106064.4786065,809.0842,797.8022,776.04395,777.25275,nan,nan,,,,,,,,,
1731106064.4825144,804.2491,797.3993,774.43225,786.52014,nan,nan,,,,,,,,,
1731106064.4854133,,,,,,,,,,,,,nan,97468056.0,nan
1731106064.4864225,797.3993,797.3993,773.6264,785.31134,nan,nan,,,,,,,,,
1731106064.4876747,,,,,,,0.1687622,0.10076904,0.93255615,,,,,,
1731106064.4903307,801.02563,796.1905,777.25275,787.72894,nan,nan,,,,,,,,,
1731106064.4942386,803.44324,799.011,779.2674,792.1612,nan,nan,,,,,,,,,
1731106064.4981468,798.20514,798.20514,774.83514,790.9524,nan,nan,,,,,,,,,
1731106064.5010021,,,,,,,,,,,,,nan,97452744.0,nan
1731106064.5020549,790.9524,794.57874,772.01465,786.52014,nan,nan,,,,,,,,,
1731106064.5059628,794.9817,798.20514,774.0293,782.0879,nan,nan,,,,,,,,,
1731106064.5065808,,,,,,,0.16558838,0.097229004,0.9439697,,,,,,
1731106064.5098710,803.8461,799.41394,775.2381,780.4762,nan,nan,,,,,,,,,
1731106064.5137792,790.14655,796.1905,771.6117,777.25275,nan,nan,,,,,,,,,
1731106064.5165906,,,,,,,,,,,,,nan,97491430.0,nan
1731106064.5176871,778.0586,794.57874,767.5824,778.86444,nan,nan,,,,,,,,,
1731106064.5215952,794.9817,796.99634,772.8205,782.8938,nan,nan,,,,,,,,,
1731106064.5254867,,,,,,,0.16845703,0.09698486,0.944397,,,,,,
1731106064.5255034,808.68134,798.20514,778.0586,790.14655,nan,nan,,,,,,,,,
1731106064.5294116,799.011,802.6374,776.8498,788.5348,nan,nan,,,,,,,,,
1731106064.5321791,,,,,,,,,,,,,nan,97451140.0,nan
1731106064.5333195,791.75824,805.8608,776.04395,785.7143,nan,nan,,,,,,,,,
1731106064.5372276,800.6227,805.05493,779.2674,796.5934,nan,nan,,,,,,,,,
1731106064.5411358,807.47253,804.65204,780.87915,796.5934,nan,nan,,,,,,,,,
1731106064.5443926,,,,,,,0.16845703,0.10223389,0.9430542,,,,,,
1731106064.5450437,799.81683,802.6374,776.04395,793.7729,nan,nan,,,,,,,,,
1731106064.5477676,,,,,,,,,,,,,nan,97526080.0,nan
1731106064.5489519,786.52014,801.02563,773.22345,793.7729,nan,nan,,,,,,,,,
1731106064.5528600,780.4762,801.02563,772.8205,791.3553,nan,nan,,,,,,,,,
1731106064.5567679,789.34064,797.3993,770.0,789.34064,nan,nan,,,,,,,,,
1731106064.5606761,790.9524,796.1905,763.95605,789.7436,nan,nan,,,,,,,,,
1731106064.5632987,,,,,,,0.17156982,0.10900879,0.95825195,,,,,,
1731106064.5633564,,,,,,,,,,,,,nan,97555090.0,nan
1731106064.5645843,785.31134,797.3993,760.7326,793.36993,nan,nan,,,,,,,,,
1731106064.5684922,786.1172,793.7729,760.7326,795.78754,nan,nan,,,,,,,,,
1731106064.5724003,792.5641,795.78754,761.53845,803.8461,nan,nan,,,,,,,,,
1731106064.5763085,795.38464,796.1905,760.32965,801.02563,nan,nan,,,,,,,,,
1731106064.5789449,,,,,,,,,,,,,nan,97581690.0,nan
1731106064.5802164,785.31134,794.17584,761.53845,796.1905,nan,nan,,,,,,,,,
1731106064.5822046,,,,,,,0.16680908,0.111328125,0.96466064,,,,,,
1731106064.5841246,782.8938,794.57874,762.3443,804.65204,nan,nan,,,,,,,,,
1731106064.5880327,787.72894,792.96704,758.71796,807.8755,nan,nan,,,,,,,,,
