timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731142634.0150914,,,,,,,0.20935059,0.07366943,0.9579468,,,,,,
1731142634.0339546,,,,,,,0.21087646,0.07489014,0.97210693,,,,,,
1731142634.0398080,,,,,,,,,,,,,nan,126915820.0,nan
1731142634.0528176,,,,,,,0.20007324,0.074035645,0.9727783,,,,,,
1731142634.0553834,,,,,,,,,,,,,nan,126897290.0,nan
1731142634.0574379,796.5934,806.26373,1043.5897,808.68134,nan,nan,,,,,,,,,
1731142634.0613337,799.011,804.65204,934.7985,808.68134,nan,nan,,,,,,,,,
1731142634.0652292,817.1429,804.2491,938.4249,811.0989,nan,nan,,,,,,,,,
1731142634.0691249,820.7692,801.8315,967.8388,813.5165,nan,nan,,,,,,,,,
1731142634.0709591,,,,,,,,,,,,,nan,126869090.0,nan
1731142634.0716808,,,,,,,0.19616699,0.07220459,0.9626465,,,,,,
1731142634.0730207,811.50183,804.65204,977.9121,808.2784,nan,nan,,,,,,,,,
1731142634.0769165,813.1135,809.89014,817.9487,806.6667,nan,nan,,,,,,,,,
1731142634.0808120,812.71063,812.3077,625.7509,816.7399,nan,nan,,,,,,,,,
1731142634.0847077,807.47253,809.4872,880.80585,809.89014,nan,nan,,,,,,,,,
1731142634.0865345,,,,,,,,,,,,,nan,126897290.0,nan
1731142634.0867541,,,,,,,,,,1593186.9,1607692.2,,,,
1731142634.0886035,805.4579,806.6667,950.9158,802.23444,nan,nan,,,,,,,,,
1731142634.0905440,,,,,,,0.19122314,0.08874512,0.9524536,,,,,,
1731142634.0924990,811.0989,803.8461,836.8865,807.47253,nan,nan,,,,,,,,,
1731142634.0963948,811.50183,801.02563,854.61536,816.337,nan,nan,,,,,,,,,
1731142634.1002905,810.293,797.8022,934.7985,819.15753,nan,nan,,,,,,,,,
1731142634.1021101,,,,,,,,,,,,,nan,126880370.0,nan
1731142634.1041861,806.6667,801.4286,930.3663,819.5604,nan,nan,,,,,,,,,
1731142634.1080818,810.293,805.8608,819.5604,827.619,nan,nan,,,,,,,,,
1731142634.1094072,,,,,,,0.19018555,0.09844971,0.95843506,,,,,,
1731142634.1119776,812.3077,805.4579,825.2015,831.6484,nan,nan,,,,,,,,,
1731142634.1158733,817.5458,807.47253,912.23444,820.3663,nan,nan,,,,,,,,,
1731142634.1176856,,,,,,,,,,,,,nan,126852160.0,nan
1731142634.1197689,807.8755,803.8461,929.15753,801.8315,nan,nan,,,,,,,,,
1731142634.1216667,,,,,,,,,,1593186.9,1607692.2,,,,
1731142634.1236646,802.6374,795.78754,766.77655,801.4286,nan,nan,,,,,,,,,
1731142634.1275604,808.68134,796.99634,650.32965,803.44324,nan,nan,,,,,,,,,
1731142634.1282701,,,,,,,0.18103027,0.09069824,0.98498535,,,,,,
1731142634.1314559,812.71063,804.2491,765.16486,803.44324,nan,nan,,,,,,,,,
1731142634.1332612,,,,,,,,,,,,,nan,126879560.0,nan
1731142634.1353517,816.7399,805.05493,911.4286,807.0696,nan,nan,,,,,,,,,
