timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730218406.6839409,,,,,,,,,,1677802.2,1607692.2,,,,
1730218406.7191176,,,,,,,,,,1677802.2,1607692.2,,,,
1730218406.7241275,,,,,,,,,,,,,nan,100050840.0,nan
1730218406.7397451,,,,,,,,,,,,,nan,100086300.0,nan
1730218406.7470715,,,,,,,0.02368164,0.21313477,0.96435547,,,,,,
1730218406.7542944,,,,,,,,,,1676996.4,1607692.2,,,,
1730218406.7550974,845.34796,813.5165,807.8755,808.2784,nan,nan,,,,,,,,,
1730218406.7553627,,,,,,,,,,,,,nan,100017800.0,nan
1730218406.7590001,786.52014,806.26373,806.26373,786.1172,nan,nan,,,,,,,,,
1730218406.7629027,761.9414,798.60803,803.0403,766.77655,nan,nan,,,,,,,,,
1730218406.7659640,,,,,,,0.018859863,0.21173096,0.95996094,,,,,,
1730218406.7668052,806.6667,802.6374,801.8315,781.685,nan,nan,,,,,,,,,
1730218406.7707078,843.73627,812.3077,801.02563,805.8608,nan,nan,,,,,,,,,
1730218406.7709804,,,,,,,,,,,,,nan,100043590.0,nan
1730218406.7746105,807.8755,806.26373,794.57874,790.14655,nan,nan,,,,,,,,,
1730218406.7785132,758.315,797.3993,788.1319,763.95605,nan,nan,,,,,,,,,
1730218406.7824159,787.72894,811.50183,800.2198,773.22345,nan,nan,,,,,,,,,
1730218406.7848568,,,,,,,0.02178955,0.20928955,0.967041,,,,,,
1730218406.7863183,837.6923,819.15753,813.5165,802.6374,nan,nan,,,,,,,,,
1730218406.7865980,,,,,,,,,,,,,nan,100118536.0,nan
1730218406.7894711,,,,,,,,,,1677802.2,1607692.2,,,,
1730218406.7902210,826.0073,807.8755,809.89014,810.696,nan,nan,,,,,,,,,
1730218406.7941236,767.98535,796.1905,807.0696,771.2088,nan,nan,,,,,,,,,
1730218406.7980263,779.2674,809.0842,811.0989,770.40295,nan,nan,,,,,,,,,
1730218406.8019290,824.3956,810.696,809.0842,807.8755,nan,nan,,,,,,,,,
1730218406.8022156,,,,,,,,,,,,,nan,100122570.0,nan
1730218406.8037493,,,,,,,0.027770996,0.20928955,0.95721436,,,,,,
1730218406.8058314,838.49817,810.696,809.89014,821.1722,nan,nan,,,,,,,,,
1730218406.8097341,782.0879,809.89014,806.6667,783.69965,nan,nan,,,,,,,,,
1730218406.8136368,769.59705,805.05493,802.6374,776.8498,nan,nan,,,,,,,,,
1730218406.8175395,818.3516,810.293,811.0989,810.696,nan,nan,,,,,,,,,
1730218406.8178332,,,,,,,,,,,,,nan,100089520.0,nan
1730218406.8214421,847.76556,811.50183,814.3223,830.4396,nan,nan,,,,,,,,,
1730218406.8226421,,,,,,,0.02368164,0.21002197,0.9666748,,,,,,
1730218406.8246479,,,,,,,,,,1677802.2,1607692.2,,,,
1730218406.8253446,799.011,808.2784,812.3077,803.0403,nan,nan,,,,,,,,,
1730218406.8292472,762.3443,808.68134,812.71063,777.25275,nan,nan,,,,,,,,,
1730218406.8331499,795.38464,807.8755,811.9048,793.36993,nan,nan,,,,,,,,,
1730218406.8334508,,,,,,,,,,,,,nan,100098390.0,nan
1730218406.8370526,838.49817,805.05493,813.5165,825.6044,nan,nan,,,,,,,,,
1730218406.8409553,814.7253,809.4872,812.71063,815.12823,nan,nan,,,,,,,,,
1730218406.8415346,,,,,,,0.03100586,0.21063232,0.96661377,,,,,,
1730218406.8448577,761.9414,808.2784,807.8755,776.4469,nan,nan,,,,,,,,,
1730218406.8487604,780.87915,806.26373,807.8755,786.9231,nan,nan,,,,,,,,,
1730218406.8490684,,,,,,,,,,,,,nan,100079050.0,nan
1730218406.8526630,834.0659,809.0842,815.12823,822.381,nan,nan,,,,,,,,,
1730218406.8565657,830.4396,813.1135,817.1429,822.7839,nan,nan,,,,,,,,,
1730218406.8598247,,,,,,,,,,1677802.2,1607692.2,,,,
1730218406.8604274,,,,,,,0.03289795,0.21569824,0.9707031,,,,,,
1730218406.8604684,762.3443,807.47253,804.65204,788.1319,nan,nan,,,,,,,,,
1730218406.8643708,774.43225,802.6374,811.0989,799.011,nan,nan,,,,,,,,,
1730218406.8646860,,,,,,,,,,,,,nan,100094360.0,nan
1730218406.8682735,832.4542,812.71063,818.3516,831.2454,nan,nan,,,,,,,,,
1730218406.8721762,845.7509,819.9634,807.8755,834.87177,nan,nan,,,,,,,,,
1730218406.8760788,780.4762,814.3223,806.26373,803.0403,nan,nan,,,,,,,,,
1730218406.8793199,,,,,,,0.036987305,0.2144165,0.97631836,,,,,,
1730218406.8799815,759.12085,805.8608,806.6667,787.72894,nan,nan,,,,,,,,,
1730218406.8803036,,,,,,,,,,,,,nan,100156410.0,nan
1730218406.8838840,801.4286,805.4579,806.26373,809.0842,nan,nan,,,,,,,,,
