timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730573940.4251900,,,,,,,,,,1589157.5,1607692.2,,,,
1730573940.4603333,,,,,,,,,,1589157.5,1607692.2,,,,
1730573940.4954767,,,,,,,,,,1589157.5,1607692.2,,,,
1730573940.5203652,779.67035,1167.2894,765.9707,786.1172,nan,nan,,,,,,,,,
1730573940.5242698,786.9231,885.64105,664.43225,788.93774,nan,nan,,,,,,,,,
1730573940.5281744,794.57874,1020.6227,674.90845,790.9524,nan,nan,,,,,,,,,
1730573940.5306201,,,,,,,,,,1589157.5,1607692.2,,,,
1730573940.5320790,786.9231,1132.6373,675.7143,798.60803,nan,nan,,,,,,,,,
1730573940.5359836,787.72894,986.77655,625.34796,807.0696,nan,nan,,,,,,,,,
1730573940.5398879,797.3993,548.3883,572.1612,811.0989,nan,nan,,,,,,,,,
1730573940.5437925,789.7436,680.14655,631.79486,792.1612,nan,nan,,,,,,,,,
1730573940.5476971,787.326,1141.9048,707.1429,791.75824,nan,nan,,,,,,,,,
1730573940.5516016,802.6374,909.81683,577.8022,807.47253,nan,nan,,,,,,,,,
1730573940.5555062,811.50183,222.82051,384.3956,806.6667,nan,nan,,,,,,,,,
1730573940.5594108,810.696,724.4689,599.15753,793.7729,nan,nan,,,,,,,,,
1730573940.5633154,801.8315,1199.1208,695.05493,788.1319,nan,nan,,,,,,,,,
1730573940.5657637,,,,,,,,,,1589157.5,1607692.2,,,,
1730573940.5672200,796.99634,917.8755,599.9634,785.7143,nan,nan,,,,,,,,,
1730573940.5711246,801.4286,901.3553,635.82416,788.5348,nan,nan,,,,,,,,,
1730573940.5750291,790.54944,1074.6154,665.2381,804.2491,nan,nan,,,,,,,,,
1730573940.5789335,799.81683,1117.326,660.40295,797.8022,nan,nan,,,,,,,,,
1730573940.5828381,809.89014,823.9927,567.72894,792.1612,nan,nan,,,,,,,,,
1730573940.5867426,799.011,602.7839,549.59705,794.17584,nan,nan,,,,,,,,,
1730573940.5898380,,,,,,,-0.0178833,0.023071289,0.9906616,,,,,,
1730573940.5906472,807.8755,722.0513,628.1685,799.81683,nan,nan,,,,,,,,,
1730573940.5945518,813.1135,756.7033,596.337,809.4872,nan,nan,,,,,,,,,
1730573940.5984564,821.5751,560.87915,492.38095,812.71063,nan,nan,,,,,,,,,
1730573940.6009071,,,,,,,,,,1589157.5,1607692.2,,,,
