timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731139312.3654351,,,,,,,0.10601807,0.10290527,0.98217773,,,,,,
1731139312.3843331,,,,,,,0.099365234,0.0927124,0.9830322,,,,,,
1731139312.4032311,,,,,,,0.09741211,0.09112549,0.9783325,,,,,,
1731139312.4083664,933.1868,810.696,892.49084,851.79486,nan,nan,,,,,,,,,
1731139312.4122670,889.67035,816.337,859.85345,835.2747,nan,nan,,,,,,,,,
1731139312.4161673,739.3773,818.3516,755.09155,785.7143,nan,nan,,,,,,,,,
1731139312.4200678,794.9817,820.3663,782.49084,796.5934,nan,nan,,,,,,,,,
1731139312.4214156,,,,,,,,,,,,,nan,120555170.0,nan
1731139312.4221292,,,,,,,0.099853516,0.09161377,0.97180176,,,,,,
1731139312.4239681,919.0842,813.1135,861.8681,821.978,nan,nan,,,,,,,,,
1731139312.4278686,922.71063,802.23444,861.4652,813.5165,nan,nan,,,,,,,,,
1731139312.4317689,756.30035,794.17584,763.5531,773.22345,nan,nan,,,,,,,,,
1731139312.4356694,754.2857,796.1905,769.59705,778.46155,nan,nan,,,,,,,,,
1731139312.4370003,,,,,,,,,,,,,nan,120501976.0,nan
1731139312.4395697,882.8205,799.011,801.02563,814.7253,nan,nan,,,,,,,,,
1731139312.4410272,,,,,,,0.100097656,0.09686279,0.9647217,,,,,,
1731139312.4434702,936.0073,803.8461,875.9707,830.4396,nan,nan,,,,,,,,,
1731139312.4473705,801.8315,806.26373,837.28937,791.3553,nan,nan,,,,,,,,,
1731139312.4512711,742.1978,800.6227,743.8095,784.90845,nan,nan,,,,,,,,,
1731139312.4525847,,,,,,,,,,,,,nan,120506010.0,nan
1731139312.4551713,847.3626,795.38464,805.8608,817.9487,nan,nan,,,,,,,,,
1731139312.4590719,939.2308,803.44324,893.69965,844.1392,nan,nan,,,,,,,,,
